City,Province,Ycase,Scase,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,TotalTransportCost_mUSD
Anshan,Liaoning ,YCurrent,S1,1.537847798,200.213649,-5.19E-12,89.40311056,0,33.58955823,1.372880442,9.02E-05,29.27438644,11.238298,71.99251247,235.2340426,0,0,6.05,26.367,10.79,73.40276596,3.122881631
Anshan,Liaoning ,YCurrent,S2,1.253532986,143.5741746,3.35E-12,64.13298719,0,25.19216867,1.14513782,6.73E-05,29.27502674,11.23862109,54.15920176,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,2.342161223
Anshan,Liaoning ,YCurrent,S3,1.077547961,91.57619639,-1.40E-11,40.88002552,0,16.79477911,0.917395197,5.37E-05,29.27298053,11.23758859,37.65388482,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,1.561440815
Anshan,Liaoning ,Y2030,S1,1.52078006,173.054683,0,57.49331237,0,33.58955823,1.372880442,8.17E-05,29.27115523,11.23666756,60.38928801,235.2340426,0,0,6.05,26.367,10.79,73.40276596,3.122881631
Anshan,Liaoning ,Y2030,S2,1.314263555,124.0537824,0,41.20083352,0,25.19216867,1.14513782,6.04E-05,29.26752798,11.23483727,45.83280309,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,2.342161223
Anshan,Liaoning ,Y2030,S3,1.173696172,79.04794861,-1.34E-11,26.23652433,0,16.79477911,0.917395197,5.10E-05,29.26915951,11.23566053,32.33611061,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,1.561440815
Anshan,Liaoning ,Y2040,S1,2.103578436,155.5733323,0,48.48630357,0,33.58955823,1.372880442,9.56E-05,29.24955857,11.22577005,55.29601773,235.2340426,0,0,6.05,26.367,10.79,73.40276596,3.122881631
Anshan,Liaoning ,Y2040,S2,1.715217339,111.4922112,0,34.76459825,0,25.19216867,1.14513782,7.69E-05,29.25503276,11.22853229,42.17738186,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,2.342161223
Anshan,Liaoning ,Y2040,S3,1.372411421,71.02523167,0,22.16790083,0,16.79477911,0.917395197,4.87E-05,29.26671701,11.23442807,30.00011759,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,1.561440815
Anshan,Liaoning ,Y2050,S1,16.31756675,127.0768891,0,38.22719072,0,33.58955823,1.372880442,7.90E-05,29.22596165,11.21386324,50.46998826,235.2340426,0,0,6.05,26.367,10.79,73.40276596,3.122881631
