City,Province,YCurrent_S1_VRE_CO2_tonnes,YCurrent_S2_VRE_CO2_tonnes,YCurrent_S3_VRE_CO2_tonnes,Y2030_S1_VRE_CO2_tonnes,Y2030_S2_VRE_CO2_tonnes,Y2030_S3_VRE_CO2_tonnes,Y2040_S1_VRE_CO2_tonnes,Y2040_S2_VRE_CO2_tonnes,Y2040_S3_VRE_CO2_tonnes,Y2050_S1_VRE_CO2_tonnes,Y2050_S2_VRE_CO2_tonnes,Y2050_S3_VRE_CO2_tonnes
Anshan,Liaoning ,80.98938584,58.24869865,37.4679274,76.52366335,55.1594433,35.60360716,73.62035611,53.07472964,34.23436965,90.72040724,65.116997,41.47310316
Anyang,Henan,174.7956709,125.383119,80.09014623,171.9506379,123.2587898,78.70542125,167.4883105,120.2096504,76.66211543,183.9324863,131.5671863,83.77511872
Baotou ,Inner Mongolia,194.0782536,139.2100053,88.76738756,231.0236102,164.9143131,104.2146797,251.2632483,177.3029058,110.2301364,260.2164381,184.6048557,115.9122905
Changzhi,Shanxi ,183.1025992,131.3423755,83.88870044,192.1146845,137.3745787,87.61070453,202.229624,144.5390146,91.85892037,255.1112191,180.5510116,112.2692658
Dalian,Liaoning ,82.40570316,59.51626828,38.67818544,79.39835233,57.27678924,37.09841139,84.85664702,60.97240416,39.18709678,113.8335428,81.68738992,52.05335152
Datong,Shanxi ,188.7878316,135.4497271,86.47441418,230.0875773,163.4974212,104.0746682,248.4939956,175.9708964,110.5615503,261.0378939,185.6887809,116.4792947
Deyang,Sichuan,318.4630329,227.9314828,144.9936919,301.3246665,215.6087163,137.1773943,286.4753486,204.9683165,130.3974248,273.7045361,195.8218275,124.5327477
Fuzhou,Fujian,129.0598103,92.62729294,59.00343754,136.4089075,97.86631807,62.44263762,141.6183799,101.6469496,64.91708922,167.6122132,120.2292561,76.46441112
Guangzhou,Guangdong ,196.32694,140.8284147,89.93301437,224.3096918,160.4301809,101.884481,250.6072572,176.9497527,111.1315041,264.5907662,188.1971988,118.0305942
Handan,Hebei,181.1780613,129.9810475,82.98213381,178.3396272,127.8865902,81.67884753,175.3999725,125.7988104,80.03300552,205.8906689,146.7603662,92.5570624
Jiaxing,Zhejiang,125.7452822,90.24815331,57.5002288,132.3635652,94.90045644,60.5515692,137.375011,98.58021054,62.87269857,148.0422109,106.2080428,67.78107628
