City,Province,YCurrent_S1_Total_VRE_Generation,YCurrent_S2_Total_VRE_Generation,YCurrent_S3_Total_VRE_Generation,Y2030_S1_Total_VRE_Generation,Y2030_S2_Total_VRE_Generation,Y2030_S3_Total_VRE_Generation,Y2040_S1_Total_VRE_Generation,Y2040_S2_Total_VRE_Generation,Y2040_S3_Total_VRE_Generation,Y2050_S1_Total_VRE_Generation,Y2050_S2_Total_VRE_Generation,Y2050_S3_Total_VRE_Generation
Anshan,Liaoning ,6640193.501,4765273.556,3046007.206,6248176.188,4485314.522,2867566.244,5935979.672,4260592.597,2723000.428,5688581.618,4083131.496,2608908.19
Anyang,Henan,6712121.659,4816843.559,3078476.281,6373787.849,4574225.355,2923147.159,6068093.705,4355344.147,2784151.76,5743869.514,4123542.63,2635709.576
Baotou ,Inner Mongolia,6858719.483,4923636.556,3147656.662,6347076.786,4557331.624,2914364.172,5989291.097,4302564.334,2754708.824,5711755.774,4099997.804,2622405.116
Changzhi,Shanxi ,6798296.796,4880345.172,3118868.359,6402197.129,4596490.789,2938299.848,6053059.63,4345554.886,2777764.285,5737699.681,4119215.99,2632892.11
Dalian,Liaoning ,6645027.654,4768761.401,3048321.675,6254439.27,4488591.19,2869426.358,5947175.989,4268516.8,2728077.246,5737627.741,4118569.806,2632115.15
Datong,Shanxi ,6917992.437,4964830.016,3172460.088,6382123.65,4586014.949,2931144.536,6011453.895,4317643.039,2762522.354,5732782.151,4114206.113,2629593.049
Deyang,Sichuan,6673924.221,4789589.099,3059373.173,6318034.004,4534345.56,2897030.518,6009970.444,4313461.841,2756293.733,5745015.867,4123325.555,2634635.815
Fuzhou,Fujian,6707866.486,4814291.237,3076431.97,6341700.066,4551399.766,2907994.125,6024372.537,4324008.595,2763627.984,5744122.272,4123121.486,2635910.931
Guangzhou,Guangdong ,6701945.873,4811024.198,3073712.073,6298089.735,4521209.962,2889345.018,5979576.6,4291167.368,2742059.217,5735144.261,4114846.817,2626987.821
Handan,Hebei,6737108.911,4835887.085,3089567.537,6395839.013,4590244.178,2933442.553,6076958.627,4362131.12,2789612.876,5726745.33,4112266.56,2629589.558
Jiaxing,Zhejiang,6749723.011,4844338.962,3095273.819,6347636.343,4556407.919,2911491.883,6023885.306,4323927.726,2763039.166,5734906.268,4116228.213,2631000.67
