City,Province,YCurrent_S1_Solar,YCurrent_S2_Solar,YCurrent_S3_Solar,Y2030_S1_Solar,Y2030_S2_Solar,Y2030_S3_Solar,Y2040_S1_Solar,Y2040_S2_Solar,Y2040_S3_Solar,Y2050_S1_Solar,Y2050_S2_Solar,Y2050_S3_Solar,YCurrent_S1_Wind,YCurrent_S2_Wind,YCurrent_S3_Wind,Y2030_S1_Wind,Y2030_S2_Wind,Y2030_S3_Wind,Y2040_S1_Wind,Y2040_S2_Wind,Y2040_S3_Wind,Y2050_S1_Wind,Y2050_S2_Wind,Y2050_S3_Wind,YCurrent_S1_Electrolyser,YCurrent_S2_Electrolyser,YCurrent_S3_Electrolyser,Y2030_S1_Electrolyser,Y2030_S2_Electrolyser,Y2030_S3_Electrolyser,Y2040_S1_Electrolyser,Y2040_S2_Electrolyser,Y2040_S3_Electrolyser,Y2050_S1_Electrolyser,Y2050_S2_Electrolyser,Y2050_S3_Electrolyser
Anshan,Liaoning ,22.46847674,18.31454113,15.74334035,26.56804769,22.96020162,20.50448759,41.06012559,33.47963553,26.78834521,386.0440378,277.093426,174.7574481,1993.638052,1429.647475,911.874843,1873.292599,1342.864743,855.6829236,1771.974373,1269.89207,808.9747032,1528.994644,1097.476771,702.347972,731.4774318,524.7226016,334.4717638,733.0880725,525.3452686,334.5377446,700.0671701,501.9469855,320.0701737,636.1359212,456.4393451,291.8989936
Anyang,Henan,1798.628056,1289.684923,823.4249827,1821.814042,1304.705376,832.5702844,1806.661753,1296.641338,825.4070656,2194.723067,1566.46651,995.1420129,1813.763776,1302.308267,832.8432423,1648.922342,1185.136689,758.1314006,1523.263831,1093.367399,701.1724787,1129.38004,816.6746747,525.9539859,714.007757,512.5029916,327.1357787,708.0776558,508.1811708,324.5033842,676.7164004,485.5665472,309.4797164,738.9447728,528.1673836,336.1326644
Baotou ,Inner Mongolia,1729.366188,1239.718544,789.0046573,2395.980202,1705.42651,1071.319952,2775.556845,1944.404585,1194.033685,2965.609438,2094.990079,1306.512318,1634.171719,1174.469891,753.6006021,890.4376302,651.0264016,431.3943219,438.0200421,353.3424298,265.9832906,168.662991,147.4674125,120.4785577,743.1390311,532.6900462,339.4290474,914.8793923,652.9040039,412.658301,1001.52591,705.7696624,437.3699135,1033.162491,732.8691885,459.1387776
Changzhi,Shanxi ,1812.9132,1299.612611,829.6844034,2058.72204,1468.156633,934.8421197,2314.161393,1649.86515,1045.103705,3326.053735,2341.438409,1440.618592,1879.419526,1350.543376,863.7165103,1511.64905,1092.581681,701.1317724,1158.987482,840.4971799,544.2603931,266.375536,225.3397738,185.1597546,743.5237816,532.9561387,340.2119876,795.5796149,568.7756002,362.2987864,837.6173601,598.3786647,380.1417719,1076.339475,760.2042093,471.4543112
Dalian,Liaoning ,46.24218937,39.74940925,36.40436787,75.38389193,59.22504232,46.24086715,234.0506475,169.1586879,111.9055995,780.4040713,559.7657368,355.1038944,2088.658153,1495.571523,950.4140325,1949.674597,1396.604846,888.5442378,1771.258321,1270.703953,810.1965403,1426.598525,1024.252199,655.9243909,789.5396306,565.8309611,359.8165773,786.9074308,564.1900994,359.0169789,734.0136835,526.5985189,335.9343093,643.8780797,461.8929655,295.0917127
Datong,Shanxi ,1655.742788,1187.688832,757.7252157,2402.905976,1697.903734,1078.568127,2760.667269,1943.575026,1211.788243,3009.375747,2133.912758,1329.394346,1690.548192,1213.696617,776.4344803,899.7448421,668.2072759,432.0920078,472.6286157,369.0332328,260.0500149,166.7901737,139.1499779,114.938597,770.7634216,553.0746547,353.1804007,932.8218033,662.551533,421.9724643,1004.551796,711.7075133,447.0396282,1041.346081,741.6364041,465.9829707
Deyang,Sichuan,4726.700197,3379.939923,2147.082587,4471.549937,3196.328665,2030.72372,4250.408556,3037.900905,1929.772945,4060.223795,2901.779348,1842.431562,118.0646006,123.291364,116.2416954,121.5486804,127.7423817,117.7352575,125.4480204,130.1208781,119.2760175,128.7665747,131.3700276,120.8476638,1281.313111,916.8816489,583.4468233,1261.26881,902.2905321,573.9752395,1201.091675,859.1136362,546.2978081,1139.133212,814.8034018,518.1262896
Fuzhou,Fujian,953.5429815,684.3656816,433.6459077,1184.109232,849.1697065,540.8575536,1361.158713,976.9751022,623.455592,1937.556687,1389.154898,880.2694745,2294.655046,1646.892898,1054.626848,1998.184329,1434.483618,917.5523809,1755.047132,1259.689509,805.6964573,1285.859642,923.9693871,595.4290778,738.2061641,529.6531971,338.4580526,731.7125215,525.1286937,335.6858135,703.6016231,504.8478924,322.3001706,725.5129843,520.3103686,330.942866
Guangzhou,Guangdong ,2303.806436,1651.695059,1054.440212,2956.346367,2110.445182,1335.974355,3555.033706,2493.673857,1554.907757,3891.285549,2759.294965,1719.487602,1951.757428,1402.726048,896.8212642,1214.315014,880.9840136,572.9812835,566.8837532,451.8932625,318.9554373,166.5222594,145.0267908,125.5565039,772.5884898,553.7323684,353.8147064,919.3387426,656.9337797,417.1798992,1045.278612,736.8711437,461.9422807,1099.39678,781.5787237,490.2332689
Handan,Hebei,1904.834809,1365.990917,871.5585264,1928.695465,1382.190161,882.3841296,1945.533604,1394.522491,883.9051099,2604.191109,1849.405944,1158.133357,1812.945777,1302.200681,832.7267109,1640.292405,1178.581412,753.8014155,1482.630781,1065.604424,686.7674854,879.5919599,645.4609854,429.1720342,725.1485403,520.0601613,332.3539091,722.7056145,518.5404634,331.0703752,703.2863422,504.1943468,320.185672,843.1672931,599.6620875,377.1546408
Jiaxing,Zhejiang,896.8491915,643.6688885,407.9927719,1126.195665,806.1584857,513.3477484,1304.498009,935.8201907,595.5710781,1587.789894,1138.649233,725.7002264,2176.694479,1562.238312,999.982284,1892.109495,1359.404505,869.6179152,1666.453695,1196.47417,765.8912203,1397.023875,1003.254295,642.4074564,708.4870583,508.3225506,325.080745,698.1324335,500.8430011,320.1311479,657.2766517,471.4867169,301.39821,633.0724641,454.2707372,289.9215997
Jinan ,Shandong ,1940.459019,1391.624152,887.6212288,2207.078583,1583.134792,998.703438,2544.428475,1817.459675,1143.948153,3359.345351,2364.536936,1463.065472,1840.560193,1321.743456,845.8309268,1453.322426,1043.845226,677.9885604,1035.218451,749.7614324,491.9693516,295.1146309,246.5393962,192.6349923,753.7965999,540.8111692,345.2878559,811.396903,582.0014984,368.3949476,870.3894676,622.5952133,394.6036736,1051.917401,742.43255,462.6470254
Jinzhong,Shanxi,3014.451988,2146.227416,1348.652936,3664.015107,2594.383928,1617.370923,3514.65751,2491.387268,1559.686204,3393.791356,2411.963281,1513.368064,1037.76216,760.7580772,508.8781816,222.4687592,191.0999846,159.2325381,185.5044821,160.5825711,132.1423804,146.9106274,127.653881,107.4655013,1041.838269,744.2259187,469.6291213,1219.866143,867.9874133,544.9832346,1168.538882,832.3744808,524.3380257,1116.811194,795.507771,501.4520067
Jiuquan,Gansu,3590.142773,2551.941081,1603.283986,3422.147102,2438.262902,1537.450475,3253.360623,2320.669921,1462.203977,3118.230937,2222.444435,1402.136419,187.683197,162.4118313,136.2681669,134.6905125,117.8961581,100.1682698,129.4447054,109.9057359,95.78250333,118.0813083,102.0870817,86.96547342,1169.951051,833.7589813,524.979493,1166.322593,831.889182,525.3302508,1111.466028,793.6205503,500.445451,1054.365516,753.3107712,476.0786318
Laiwu ,Shandong ,1971.216834,1411.661377,900.991242,2343.787462,1666.132708,1059.155495,2657.882188,1898.336952,1191.38389,3430.290204,2411.289206,1483.342575,1842.766614,1325.533227,847.8558611,1362.20126,991.8783609,638.4258134,962.433428,698.2694211,463.2462123,251.5772764,216.3020836,181.3421012,767.6839827,550.1121887,351.2390686,850.8732975,605.6210278,385.5306994,902.658615,645.2342959,407.0056056,1068.229113,756.3560152,468.6695901
Lijiang,Yunnan ,3466.707788,2475.456105,1567.156964,3273.711919,2337.799252,1479.443162,3111.136339,2220.272692,1403.570489,2970.846139,2120.1509,1340.121015,131.3927398,120.5103834,107.8051929,131.4318372,120.5434222,107.6963288,132.4267366,121.6932194,110.44978,132.4508788,121.715401,109.0926221,1157.351977,828.7147216,527.185971,1136.627963,813.2776777,517.2443267,1081.794985,774.4434959,492.2697961,1027.299078,735.0057902,467.349847
