City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Solar,YCurrent_S2_Solar,YCurrent_S3_Solar,Y2030_S1_Solar,Y2030_S2_Solar,Y2030_S3_Solar,Y2040_S1_Solar,Y2040_S2_Solar,Y2040_S3_Solar,Y2050_S1_Solar,Y2050_S2_Solar,Y2050_S3_Solar
Anshan,Liaoning ,52.45729426,52.46138127,52.44730029,44.43512411,44.42873175,44.41487946,41.55102351,41.55014735,41.54781312,38.19676383,38.19387246,38.19917169,0.546781179,0.621053291,0.835192567,0.687111215,0.827186537,1.155463214,1.117759915,1.269788459,1.589713417,10.96613324,10.96613324,10.82424368
Anyang,Henan,69.96314846,69.96541936,69.94485304,58.58911626,58.5912131,58.58437987,53.85614649,53.85354046,53.83423541,48.12171844,48.11121954,48.10274538,39.0049756,38.97261505,38.93379108,41.60494076,41.51770717,41.45803304,43.33741856,43.3347058,43.15327336,55.61777738,55.29541122,54.95737411
Baotou ,Inner Mongolia,65.11594676,65.09690438,65.05853137,54.88034484,54.85668878,54.8184202,49.94123016,49.91660361,49.86463231,42.1961775,42.26630726,42.34918203,45.26825716,45.20505081,45.00306198,67.77340797,67.18498573,65.99715673,83.20023567,81.13516345,77.8199111,93.21679728,91.73777411,89.44654641
Changzhi,Shanxi ,71.04354492,71.02190013,71.00571183,59.77585677,59.75403651,59.72877069,55.0101077,54.99580823,54.98010186,47.41643392,47.45137915,47.53519029,41.4822192,41.4236601,41.38099926,50.02116055,49.68566301,49.49111642,59.47080042,59.05930084,58.52603323,90.17300449,88.42056089,85.11400847
Dalian,Liaoning ,55.70776025,55.71247966,55.69720665,47.08221272,47.08477421,47.06644053,43.92207673,43.91973716,43.91170484,39.66846504,39.66333638,39.66072037,1.114187868,1.334571711,1.912095283,1.929776465,2.112575102,2.580166407,6.301092958,6.345036763,6.567680008,21.77729774,21.76089285,21.60067787
Datong,Shanxi ,65.2495826,65.24829592,65.24109728,55.0782414,55.01268073,54.9983873,50.25171182,50.22616909,50.18195252,42.49761849,42.55093586,42.65109671,42.47054303,42.44957179,42.38289299,66.81078706,65.69807159,65.29581888,81.49098556,79.87844475,77.83876883,93.15067421,92.03767504,89.70988684
Deyang,Sichuan,88.19194759,88.86924708,89.91787281,69.32371113,70.05733602,71.08378111,62.09898968,62.83843133,63.8804563,52.22248843,52.96208518,54.06246692,99.21530021,98.85817512,98.31463262,99.14663782,98.75035833,98.19732029,99.074116,98.66190753,98.08047959,99.00579255,98.586767,97.96538252
Fuzhou,Fujian,68.83221241,68.82724739,68.81630544,58.43574371,58.43517322,58.43973476,54.12546239,54.1223207,54.1121602,48.39619262,48.39194153,48.37447681,20.11130124,20.11130124,19.94216217,26.41620196,26.39573849,26.31320092,31.9654818,31.9654818,31.91613183,47.72160578,47.66601558,47.24645391
Guangzhou,Guangdong ,79.99360186,79.97238029,79.97755128,67.15012016,67.1345034,67.12838031,60.88202474,60.90732429,60.93274042,50.9792547,51.0696945,51.26810924,48.0389459,47.97784382,47.94100951,65.59864501,65.23306706,64.61704829,83.08482074,81.21057713,79.24578991,94.81938908,93.71149237,91.47225544
Handan,Hebei,71.22174098,71.20779893,71.2119015,59.59697273,59.59663955,59.58857741,54.83819537,54.83039268,54.78973926,48.85273893,48.83255237,48.81109331,41.36820395,41.32896934,41.27449591,44.12137625,44.05700028,44.01118032,46.84199377,46.77456125,46.3601274,66.53465306,65.801214,64.43970138
Jiaxing,Zhejiang,64.97404525,64.96903195,64.96571504,55.41305258,55.40329466,55.4016169,51.37134705,51.36503803,51.3651275,46.15835074,46.15724443,46.14838949,18.41581994,18.41558777,18.26884053,24.59004952,24.52197367,24.43732518,30.01403027,29.99656844,29.87474098,38.37287149,38.33964639,38.22908381
Jinan ,Shandong ,71.99983376,71.9952087,71.98378932,60.58260025,60.57740021,60.50797203,55.76997415,55.75863074,55.7544677,47.99198829,48.01623433,48.0868242,43.33469424,43.30192212,43.22106206,52.416973,52.3840049,51.65600209,64.06601309,63.74646449,62.77932208,89.19749011,87.43249549,84.63725151
Jinzhong,Shanxi,77.95352443,77.94300414,77.84932988,61.72875471,61.82042841,61.95095846,55.19548062,55.31845045,55.49035624,46.38325134,46.50910079,46.74423048,72.48697166,71.90081953,70.62102572,93.72577896,92.48887671,90.20830884,94.50084372,93.36515233,91.45699245,95.44478122,94.48656365,92.73931854
Jiuquan,Gansu,72.95800707,73.10768845,73.31694325,56.87544876,57.0283741,57.29964624,50.87282812,51.01471382,51.32392244,42.72683585,42.92112942,43.26051299,95.91305599,95.06837141,93.52110592,96.89163574,96.20825816,94.95728291,96.85877991,96.28323629,94.93131828,97.00581964,96.39102589,95.18778414
Laiwu ,Shandong ,72.69996315,72.67394454,72.66227037,61.2555258,61.18761077,61.16146555,56.17281466,56.15475764,56.11534718,48.00975664,48.1057391,48.19582671,43.99157441,43.88244013,43.82906876,55.81800713,55.2251777,54.91741988,66.97231128,66.62430401,65.37864857,90.91882042,89.113175,85.72678968
Lijiang,Yunnan ,70.07099537,70.44255857,71.11776611,54.59357454,54.97459368,55.69461591,48.88493058,49.30324906,50.0965747,41.23970239,41.67176426,42.48089874,98.15568358,97.64344182,96.70216275,98.0485072,97.507472,96.51685446,97.9334145,97.35465314,96.24529366,97.83754987,97.23269559,96.12086511
Lishui,Zhejiang,90.04944274,90.26570166,90.66246558,70.7451669,70.9891935,71.41488781,63.29175403,63.56878664,64.00743902,53.20716461,53.4579452,53.93449754,97.44273693,96.94797172,95.98711622,97.52805184,97.05869978,96.16566452,97.45644584,96.94647384,96.03332754,97.42036528,96.92739414,96.03819553
Liupanshui,Guizhou ,78.03863965,78.10095068,78.22719903,60.94084144,61.06838443,61.30520983,54.51594326,54.70188349,54.93491176,45.82504996,46.01536658,46.332248,95.14444129,94.31335273,92.7496794,96.03988551,95.2764111,93.99712151,96.0718285,95.23801487,94.00276078,96.2028659,95.45621538,94.202953
Lu’an,Anhui ,87.97204756,87.99468364,88.06145838,68.81275002,68.92350948,69.10989808,61.5279497,61.64733326,61.86770828,51.60224756,51.7446501,52.01919449,90.46584869,88.72924379,86.62182429,96.07665215,95.31254714,93.92499955,96.23917535,95.57160873,94.28784522,96.53917646,95.89791589,94.82613517
Maoming,Guangdong ,75.75701211,75.75202464,75.74276183,63.9002805,63.8968808,63.89124365,58.88175274,58.88201173,58.8598933,50.56505934,50.65574735,50.80091917,39.62655078,39.62655078,39.62268748,49.1301931,49.1301931,49.08645822,57.14206032,56.9996986,56.63645678,89.17555264,86.85725379,83.14065284
Rizhao,Shandong,68.37156656,68.37179493,68.35671893,57.31644419,57.31171723,57.31301101,52.63146913,52.63505971,52.64249393,46.93343595,46.89850094,46.85346353,36.11266059,35.96899299,35.84549671,39.67484413,39.66704705,39.32466354,42.38557001,42.35272422,42.189923,58.70575461,57.73169426,56.63780634
Tangshan,Hebei,69.54614266,69.53618395,69.51991461,58.31464593,58.30771691,58.29701405,53.76480428,53.73450473,53.72523546,47.10295563,47.10185007,47.09887245,39.04343915,38.99063339,38.94883208,43.83607067,43.79036681,43.74093377,51.64010125,51.28246468,50.99598951,84.93083758,82.94984462,79.55687
Tongchun,Sichuan,95.87450684,96.09873327,96.51127537,75.70290433,75.92300098,76.35646856,67.72369382,67.94248125,68.40836545,56.81713164,57.0983152,57.54656478,97.93269848,97.44781729,96.60180713,98.03356341,97.60760374,96.817846,97.95499027,97.54067055,96.70288057,97.95489421,97.50826856,96.73022851
Tongilao,Inner Mongolia,47.42794742,47.42513967,47.41835779,39.93795725,39.94696311,39.94184051,37.32530229,37.33524917,37.33812643,34.59120906,34.58380054,34.5822792,0.674130029,0.830061254,1.065880825,0.850980758,1.024446154,1.220910229,1.106812814,1.303525404,1.611618207,6.564312077,6.658945378,6.753742589
Urumqi,Xinjiang ,79.39484437,79.66890925,80.2037399,61.96211965,62.25641868,62.81027131,55.46466533,55.76752261,56.35771043,46.67653999,47.00572358,47.60382918,98.0980357,97.61991349,96.78250673,98.07364251,97.63367567,96.77754432,97.97445148,97.51222051,96.61209904,97.91573128,97.42428875,96.54756519
Wuhai,Inner Mongolia,58.82407868,58.81912129,58.81223921,49.44921549,49.44061737,49.43238008,45.53536214,45.53593431,45.5347681,40.88289673,40.86575317,40.8380587,31.04748129,31.04748129,31.03131112,35.37492647,35.34230022,35.28783824,38.71464661,38.54524557,38.51732722,56.57117438,55.85686804,55.11932841
Xiangyang,Hubei,85.28815082,85.28599281,85.25858348,69.8602401,69.91530123,70.01661973,62.47402089,62.55568819,62.70076181,52.38459092,52.50657712,52.72045843,56.31841632,56.19051081,56.02603152,87.57525429,85.82707714,83.03443788,93.16728233,91.61482324,89.27349071,95.59586557,94.58229139,92.6793447
Xianning,Hubei,89.63697118,89.62391442,89.61061474,72.60324347,72.70521481,72.89335389,64.88318771,65.00901324,65.21813058,54.44763615,54.58526366,54.76127774,59.38170991,59.2576329,59.12621992,92.04094837,90.52198101,87.90509968,94.46214009,93.25445574,90.94346366,95.71636253,94.79219416,93.44978276
Xingtai,Hebei,69.76997843,69.75663788,69.74680014,58.53018993,58.52404014,58.53654191,53.84574075,53.83771194,53.82900009,48.05798785,48.04465444,48.0133622,38.62261703,38.5754052,38.4918313,41.70802816,41.66474879,41.57085874,44.38960275,44.35398093,44.21723049,65.24230098,64.32263409,63.32282096
Zhangjiagang,Jiangsu ,65.5270858,65.5222116,65.50250936,56.12833366,56.12500259,56.10994513,52.13895548,52.13740005,52.12180688,46.77934784,46.77651689,46.76254298,16.41330133,16.41330185,16.37275084,23.91318071,23.91318536,23.85215144,30.6792443,30.66628505,30.56456058,40.27943042,40.27943042,40.15531951
Zhangjiakou,Hebei,66.08341155,66.08101138,66.07372978,55.72454773,55.72156229,55.699936,50.90132118,50.86916199,50.80242864,43.18620798,43.25126755,43.34101484,42.91547855,42.90802057,42.79756642,65.2525266,64.67575163,63.94487187,80.3757107,78.62262084,75.75409813,91.36799336,89.69356192,86.97684222
Zhanjiang,Guangdong ,67.42169931,67.41674968,67.40682936,57.58294087,57.5795664,57.57072459,53.2950751,53.30481835,53.29898546,47.82538571,47.82473871,47.81710858,19.97163983,19.97163983,19.97163983,26.52735155,26.52735155,26.39933953,31.62794761,31.53793511,31.4932567,42.60870648,42.55713791,42.44318281
