City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Land_Use,YCurrent_S2_Land_Use,YCurrent_S3_Land_Use,Y2030_S1_Land_Use,Y2030_S2_Land_Use,Y2030_S3_Land_Use,Y2040_S1_Land_Use,Y2040_S2_Land_Use,Y2040_S3_Land_Use,Y2050_S1_Land_Use,Y2050_S2_Land_Use,Y2050_S3_Land_Use
Anshan,Liaoning ,52.45729426,52.46138127,52.44730029,44.43512411,44.42873175,44.41487946,41.55102351,41.55014735,41.54781312,38.19676383,38.19387246,38.19917169,239.6859357,171.9239878,109.739848,225.3264728,161.6029732,103.0920406,213.4581272,153.0566411,97.61273129,191.200238,137.2390811,87.7769056
Anyang,Henan,69.96314846,69.96541936,69.94485304,58.58911626,58.5912131,58.58437987,53.85614649,53.85354046,53.83423541,48.12171844,48.11121954,48.10274538,253.6242143,182.0706905,116.4096887,234.3069618,168.3105102,107.6271738,218.9248948,157.1369147,100.6488388,179.4200661,129.3302912,83.01731856
Baotou ,Inner Mongolia,65.11594676,65.09690438,65.05853137,54.88034484,54.85668878,54.8184202,49.94123016,49.91660361,49.86463231,42.1961775,42.26630726,42.34918203,230.68793,165.7307578,106.2121654,154.7721197,112.2316984,73.19371767,108.0735419,81.28918328,55.79866856,79.55174768,59.59589108,40.58767328
Changzhi,Shanxi ,71.04354492,71.02190013,71.00571183,59.77585677,59.75403651,59.72877069,55.0101077,54.99580823,54.98010186,47.41643392,47.45137915,47.53519029,261.7886071,188.0574573,120.2396693,222.5723268,160.4729344,102.8326551,185.3617257,133.8569646,86.21332127,98.48613901,73.86954103,51.0315424
Dalian,Liaoning ,55.70776025,55.71247966,55.69720665,47.08221272,47.08477421,47.06644053,43.92207673,43.91973716,43.91170484,39.66846504,39.66333638,39.66072037,251.5638221,180.2635709,114.7777713,235.4686295,168.7770824,107.5501259,217.2320115,155.8676481,99.46169682,186.7999045,134.1055786,85.81300479
Datong,Shanxi ,65.2495826,65.24829592,65.24109728,55.0782414,55.01268073,54.9983873,50.25171182,50.22616909,50.18195252,42.49761849,42.55093586,42.65109671,235.9806388,169.3973707,108.3266419,156.0275006,114.1429478,73.42240348,111.9287793,83.15548845,55.44176664,80.20233577,59.3762525,40.38051856
Guangzhou,Guangdong ,79.99360186,79.97238029,79.97755128,67.15012016,67.1345034,67.12838031,60.88202474,60.90732429,60.93274042,50.9792547,51.0696945,51.26810924,280.28702,201.361027,128.7073559,204.8447291,147.9269853,95.47724113,139.1267245,104.1006686,69.37280761,97.80838212,72.58911419,49.45653252
Handan,Hebei,71.22174098,71.20779893,71.2119015,59.59697273,59.59663955,59.58857741,54.83819537,54.83039268,54.78973926,48.85273893,48.83255237,48.81109331,255.6501894,183.5839001,117.3583758,235.4089978,169.0735727,108.1038525,216.8263658,155.7629807,100.0902004,157.6348574,114.4434371,74.66331124
Jinan ,Shandong ,71.99983376,71.9952087,71.98378932,60.58260025,60.57740021,60.50797203,55.76997415,55.75863074,55.7544677,47.99198829,48.01623433,48.0868242,259.6764035,186.4416977,119.2521358,218.5402628,156.924123,101.332696,175.1147837,126.3205654,81.91528525,102.6006627,76.87546627,52.37750852
Jinzhong,Shanxi,77.95352443,77.94300414,77.84932988,61.72875471,61.82042841,61.95095846,55.19548062,55.31845045,55.49035624,46.38325134,46.50910079,46.74423048,184.8204989,134.2155176,88.0384405,99.97655325,74.81967672,51.45532303,92.55368805,69.09765388,47.05080972,85.50510241,63.55773135,43.16322144
