City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Ely_oversizing_factor,YCurrent_S2_Ely_oversizing_factor,YCurrent_S3_Ely_oversizing_factor,Y2030_S1_Ely_oversizing_factor,Y2030_S2_Ely_oversizing_factor,Y2030_S3_Ely_oversizing_factor,Y2040_S1_Ely_oversizing_factor,Y2040_S2_Ely_oversizing_factor,Y2040_S3_Ely_oversizing_factor,Y2050_S1_Ely_oversizing_factor,Y2050_S2_Ely_oversizing_factor,Y2050_S3_Ely_oversizing_factor
Anshan,Liaoning ,4.004803583,4.46631301,5.399167079,3.240349677,3.700740466,4.63071565,2.950009638,3.402732722,4.316653315,2.639122819,3.082185694,3.976977653,2.097756097,2.09803641,2.095510659,2.19587156,2.1939402,2.189133492,2.204913288,2.204138179,2.20228447,2.101652949,2.102438388,2.106784084
Anyang,Henan,4.472459947,4.929246446,5.855421104,3.61278056,4.067740852,4.987708381,3.271325294,3.717503675,4.616329552,3.045301143,3.483216801,4.369203683,2.047656748,2.049178115,2.049550332,2.120956351,2.12225987,2.123471186,2.131368377,2.132208795,2.129414792,2.441309579,2.43282913,2.426039889
Baotou ,Inner Mongolia,4.382215539,4.829219378,5.736585394,3.790021118,4.239211119,5.148164163,3.565551218,3.994667739,4.866752815,3.225459506,3.659588379,4.534840307,2.131200087,2.129893512,2.126569026,2.740403431,2.726648439,2.700334414,3.154377138,3.099157049,3.00937787,3.413331512,3.375713522,3.313831851
Changzhi,Shanxi ,4.491610466,4.939035678,5.854267519,3.695719677,4.142341827,5.053570321,3.431694044,3.872300727,4.76780964,3.328122064,3.752587425,4.61226823,2.132304015,2.130957902,2.131474749,2.383057431,2.375313659,2.370795584,2.638137914,2.627586841,2.615614481,3.55598113,3.50162567,3.402721233
Dalian,Liaoning ,4.192095701,4.650980271,5.578749683,3.362995844,3.823452796,4.751945425,3.031886108,3.483994564,4.396762602,2.66559368,3.105572698,3.993984409,2.264268848,2.262402821,2.254299578,2.35708056,2.356163442,2.349319639,2.311830667,2.312387715,2.311439886,2.127231107,2.127558597,2.129827047
Datong,Shanxi ,4.408045756,4.853680115,5.759348791,3.786194566,4.224873372,5.139168609,3.545005505,3.97832436,4.863567075,3.209181791,3.645431482,4.521615947,2.210422876,2.211399341,2.212723774,2.794148996,2.766939328,2.761285467,3.163909314,3.125232825,3.075913091,3.440369466,3.41609849,3.363231291
Deyang,Sichuan,6.129616006,6.602636725,7.56905231,4.665378726,5.142006915,6.106575697,4.142785258,4.611603856,5.556976943,3.617120689,4.078861543,5.006364078,3.674557701,3.665994889,3.655334379,3.777931472,3.768092746,3.755914613,3.78288893,3.772479304,3.758833295,3.763405479,3.75308336,3.739541625
Fuzhou,Fujian,4.368352416,4.82073642,5.74519499,3.51614553,3.968743124,4.889332878,3.187228278,3.631791802,4.532787711,2.911404186,3.348200639,4.228920858,2.117054438,2.117752022,2.120486313,2.191752129,2.193036421,2.196646918,2.216046158,2.216877366,2.217628901,2.396934949,2.396639395,2.388583287
Guangzhou,Guangdong ,4.674241293,5.120873639,6.042914018,3.941582937,4.388190467,5.302992861,3.716735184,4.141649293,5.026402778,3.340459695,3.770630919,4.643371442,2.215656384,2.214028658,2.216697111,2.753761586,2.743477765,2.729923363,3.292179858,3.235729482,3.178451857,3.632154688,3.600077431,3.538256196
Handan,Hebei,4.389842311,4.83964089,5.762488816,3.521547517,3.971379275,4.885484961,3.194380801,3.635751014,4.526378822,3.043071057,3.473882611,4.347932975,2.079606487,2.079394113,2.082242224,2.164772142,2.165521832,2.166443559,2.215051996,2.214006412,2.203078163,2.785636817,2.762145104,2.722115353
Jiaxing,Zhejiang,4.220536117,4.671981929,5.594625108,3.411279064,3.86374955,4.783936476,3.082633701,3.527683247,4.43090911,2.780829989,3.219191724,4.104329923,2.031825039,2.032463868,2.036675885,2.091167453,2.091615035,2.094861238,2.070142456,2.070382755,2.073810291,2.091532295,2.092449882,2.092512382
Jinan ,Shandong ,4.455274836,4.901927416,5.814686199,3.656582156,4.105197441,5.005705367,3.411247581,3.851930887,4.745353608,3.241506328,3.663924294,4.528642875,2.161764401,2.162364777,2.163275574,2.430435755,2.430547222,2.410686802,2.741355777,2.733925701,2.715121034,3.475295546,3.419766074,3.339154533
Jinzhong,Shanxi,5.261354093,5.703981638,6.598890332,4.313688234,4.759611355,5.662279533,3.835833102,4.278406115,5.173034596,3.35797553,3.794252297,4.674849077,2.987818675,2.975691233,2.942288437,3.6539406,3.62486717,3.566228505,3.680383825,3.655090477,3.607764566,3.689677683,3.664228304,3.619220357
Jiuquan,Gansu,5.640878306,6.092479603,7.003627522,4.362049113,4.82250806,5.749125837,3.899650572,4.355005697,5.263560142,3.435015201,3.885018074,4.78099543,3.355212071,3.333667091,3.289057468,3.493550373,3.47410745,3.437618767,3.500623602,3.48491085,3.443364507,3.483368105,3.469859391,3.436085305
Laiwu ,Shandong ,4.498710105,4.942518898,5.855096801,3.725220551,4.163793095,5.074258469,3.457833389,3.897950216,4.785362001,3.25840458,3.68645093,4.544475187,2.201590991,2.199553526,2.200560537,2.548682177,2.529186048,2.522818708,2.842989218,2.833337337,2.800453725,3.529184998,3.483899013,3.382621322
Lijiang,Yunnan ,5.522007541,5.99793511,6.958891661,4.239911999,4.716823458,5.676850057,3.790127437,4.260345012,5.200845975,3.344589542,3.805825437,4.728500116,3.319060701,3.313478518,3.302862349,3.404589258,3.396367012,3.384690298,3.40715904,3.400686033,3.387095639,3.393934601,3.385530225,3.37307113
Lishui,Zhejiang,6.087472054,6.533351438,7.448351098,4.581071068,5.035677842,5.958691717,4.041466887,4.489993547,5.395984182,3.502431175,3.941794103,4.833572413,3.866136313,3.853716647,3.827641587,4.002845022,3.992420729,3.967212484,4.006318332,3.996056601,3.968747247,3.987178059,3.97122839,3.9474259
Liupanshui,Guizhou ,5.667220983,6.109854703,7.014785571,4.31904741,4.771237087,5.691597123,3.841321062,4.289489095,5.192301348,3.361909791,3.803757585,4.693150804,3.463247852,3.443209842,3.40653459,3.578117226,3.559703439,3.532856489,3.58629829,3.570372789,3.541060718,3.570090577,3.554808247,3.529430986
Lu’an,Anhui ,5.826189244,6.238006775,7.123373045,4.474511009,4.921826712,5.833881149,3.956444155,4.399722373,5.299723497,3.43369614,3.870951768,4.761207648,3.548391986,3.492772883,3.430642919,3.825281194,3.803497518,3.762228396,3.837085908,3.818880876,3.782568221,3.82061159,3.802008409,3.778626912
Maoming,Guangdong ,4.507497307,4.958054053,5.880533543,3.692304677,4.144191485,5.064358579,3.409786633,3.855129523,4.756718921,3.281779639,3.702796849,4.564165745,2.106083499,2.106772244,2.108212849,2.338849943,2.339722126,2.340999337,2.560757763,2.559286439,2.550437491,3.464712663,3.398585442,3.293885048
Rizhao,Shandong,4.371477528,4.823322964,5.743311006,3.510026135,3.960616895,4.876902523,3.162414056,3.605336705,4.503064265,2.943849651,3.371459285,4.243615596,2.14143815,2.143365371,2.144862616,2.239761903,2.240320953,2.242427478,2.24371397,2.245548628,2.248459345,2.586375095,2.559117972,2.52878107
Tangshan,Hebei,4.367716909,4.816853952,5.734500271,3.525106395,3.973995992,4.886726282,3.24529778,3.682980377,4.578765707,3.181483819,3.601557349,4.455613123,2.103586001,2.103649485,2.104282666,2.234351719,2.234014576,2.234366302,2.403532891,2.392867848,2.388952622,3.336332436,3.275452492,3.171757982
Tongchun,Sichuan,6.380033939,6.828320918,7.752728308,4.858996516,5.315967673,6.248100169,4.29771654,4.7486041,5.663523902,3.734456636,4.181820437,5.080183586,3.870957845,3.85558415,3.831215964,4.032480347,4.017451128,3.993649817,4.036575051,4.021674982,3.995372491,4.018221629,4.006847395,3.979646388
Tongilao,Inner Mongolia,3.90714896,4.372821732,5.313114886,3.186765276,3.652983446,4.589471493,2.918139351,3.37581542,4.29396391,2.655526932,3.103593299,4.004419877,1.934058883,1.931947072,1.929025238,2.001826839,2.000931605,1.998643304,2.009647845,2.009236584,2.006956115,1.963448082,1.962395393,1.96381652
Urumqi,Xinjiang ,6.382329186,6.857714942,7.818258261,4.974352079,5.457955447,6.417701747,4.470890567,4.9457973,5.888097988,3.966808395,4.433461499,5.358575693,3.607003047,3.592512596,3.572152803,3.705712545,3.694156387,3.669042386,3.709621033,3.696445207,3.670854631,3.689967408,3.675157785,3.651097078
Wuhai,Inner Mongolia,4.082533531,4.53808133,5.461765086,3.335102772,3.789268254,4.707088681,3.035842468,3.481814044,4.381483327,2.873170505,3.30840218,4.188426429,1.879366974,1.87990762,1.881338492,1.971152642,1.970772641,1.971538082,1.992062288,1.991794638,1.993825163,2.377880695,2.36061035,2.342208748
Xiangyang,Hubei,5.028273985,5.478531221,6.401179841,4.387623303,4.819851095,5.712880932,3.956366488,4.385920854,5.270673111,3.464862291,3.898135768,4.77356477,2.47360722,2.472310318,2.469160705,3.516124466,3.462013062,3.378774722,3.71111849,3.658798176,3.584818326,3.777316424,3.744756108,3.680977625
Xianning,Hubei,5.245144854,5.693743185,6.619210122,4.568683428,5.006170658,5.906794278,4.067989689,4.505591653,5.393617196,3.544267955,3.979085551,4.861313991,2.645076861,2.642424764,2.641114582,3.796109396,3.750648066,3.675181274,3.884084127,3.848673662,3.775974233,3.911775476,3.882344134,3.836431088
Xingtai,Hebei,4.336108909,4.785120004,5.704027125,3.488159367,3.93688098,4.851872069,3.157854342,3.598462924,4.492371409,3.00731215,3.436636088,4.310958611,2.052118387,2.05202009,2.053538498,2.142255503,2.142265062,2.146414464,2.174531645,2.1739484,2.173377866,2.725737228,2.70033921,2.670909964
Zhangjiagang,Jiangsu ,4.211117815,4.660526238,5.575929117,3.417694716,3.868860529,4.784024382,3.100283485,3.54468655,4.443787529,2.800944143,3.237940383,4.119915644,2.009005134,2.009638594,2.010420391,2.082323097,2.08303229,2.083573457,2.086207706,2.087285484,2.087293796,2.131923963,2.132739353,2.131186694
Zhangjiakou,Hebei,4.39792697,4.84089983,5.743695163,3.729121845,4.176484445,5.085776511,3.48677543,3.916964119,4.791488628,3.147809703,3.577913869,4.448250738,2.278103186,2.279102154,2.280319635,2.811350202,2.803556869,2.792213207,3.177124424,3.136468539,3.068556048,3.434889376,3.396492914,3.332365844
Zhanjiang,Guangdong ,4.243793308,4.696811719,5.621125371,3.451533389,3.905425854,4.827436088,3.124192219,3.571367803,4.475333262,2.843247861,3.282023889,4.168658566,1.983463862,1.98407885,1.985309862,2.07451827,2.075219751,2.076771982,2.079034121,2.082027784,2.083506759,2.192914038,2.19342025,2.192886902
