City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Land_Use,YCurrent_S2_Land_Use,YCurrent_S3_Land_Use,Y2030_S1_Land_Use,Y2030_S2_Land_Use,Y2030_S3_Land_Use,Y2040_S1_Land_Use,Y2040_S2_Land_Use,Y2040_S3_Land_Use,Y2050_S1_Land_Use,Y2050_S2_Land_Use,Y2050_S3_Land_Use
Anshan,Liaoning ,4.004803583,4.46631301,5.399167079,3.240349677,3.700740466,4.63071565,2.950009638,3.402732722,4.316653315,2.639122819,3.082185694,3.976977653,239.6859357,171.9239878,109.739848,225.3264728,161.6029732,103.0920406,213.4581272,153.0566411,97.61273129,191.200238,137.2390811,87.7769056
Anyang,Henan,4.472459947,4.929246446,5.855421104,3.61278056,4.067740852,4.987708381,3.271325294,3.717503675,4.616329552,3.045301143,3.483216801,4.369203683,253.6242143,182.0706905,116.4096887,234.3069618,168.3105102,107.6271738,218.9248948,157.1369147,100.6488388,179.4200661,129.3302912,83.01731856
Baotou ,Inner Mongolia,4.382215539,4.829219378,5.736585394,3.790021118,4.239211119,5.148164163,3.565551218,3.994667739,4.866752815,3.225459506,3.659588379,4.534840307,230.68793,165.7307578,106.2121654,154.7721197,112.2316984,73.19371767,108.0735419,81.28918328,55.79866856,79.55174768,59.59589108,40.58767328
Changzhi,Shanxi ,4.491610466,4.939035678,5.854267519,3.695719677,4.142341827,5.053570321,3.431694044,3.872300727,4.76780964,3.328122064,3.752587425,4.61226823,261.7886071,188.0574573,120.2396693,222.5723268,160.4729344,102.8326551,185.3617257,133.8569646,86.21332127,98.48613901,73.86954103,51.0315424
Dalian,Liaoning ,4.192095701,4.650980271,5.578749683,3.362995844,3.823452796,4.751945425,3.031886108,3.483994564,4.396762602,2.66559368,3.105572698,3.993984409,251.5638221,180.2635709,114.7777713,235.4686295,168.7770824,107.5501259,217.2320115,155.8676481,99.46169682,186.7999045,134.1055786,85.81300479
Datong,Shanxi ,4.408045756,4.853680115,5.759348791,3.786194566,4.224873372,5.139168609,3.545005505,3.97832436,4.863567075,3.209181791,3.645431482,4.521615947,235.9806388,169.3973707,108.3266419,156.0275006,114.1429478,73.42240348,111.9287793,83.15548845,55.44176664,80.20233577,59.3762525,40.38051856
Guangzhou,Guangdong ,4.674241293,5.120873639,6.042914018,3.941582937,4.388190467,5.302992861,3.716735184,4.141649293,5.026402778,3.340459695,3.770630919,4.643371442,280.28702,201.361027,128.7073559,204.8447291,147.9269853,95.47724113,139.1267245,104.1006686,69.37280761,97.80838212,72.58911419,49.45653252
Handan,Hebei,4.389842311,4.83964089,5.762488816,3.521547517,3.971379275,4.885484961,3.194380801,3.635751014,4.526378822,3.043071057,3.473882611,4.347932975,255.6501894,183.5839001,117.3583758,235.4089978,169.0735727,108.1038525,216.8263658,155.7629807,100.0902004,157.6348574,114.4434371,74.66331124
Jinan ,Shandong ,4.455274836,4.901927416,5.814686199,3.656582156,4.105197441,5.005705367,3.411247581,3.851930887,4.745353608,3.241506328,3.663924294,4.528642875,259.6764035,186.4416977,119.2521358,218.5402628,156.924123,101.332696,175.1147837,126.3205654,81.91528525,102.6006627,76.87546627,52.37750852
Jinzhong,Shanxi,5.261354093,5.703981638,6.598890332,4.313688234,4.759611355,5.662279533,3.835833102,4.278406115,5.173034596,3.35797553,3.794252297,4.674849077,184.8204989,134.2155176,88.0384405,99.97655325,74.81967672,51.45532303,92.55368805,69.09765388,47.05080972,85.50510241,63.55773135,43.16322144
