City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Solar,YCurrent_S2_Solar,YCurrent_S3_Solar,Y2030_S1_Solar,Y2030_S2_Solar,Y2030_S3_Solar,Y2040_S1_Solar,Y2040_S2_Solar,Y2040_S3_Solar,Y2050_S1_Solar,Y2050_S2_Solar,Y2050_S3_Solar
Anshan,Liaoning ,793.5890233,685.9401858,586.3822968,722.8950968,635.2106823,553.9831702,691.8637851,612.9396247,539.7508747,662.4606676,591.8265963,526.2481801,0.546781179,0.621053291,0.835192567,0.687111215,0.827186537,1.155463214,1.117759915,1.269788459,1.589713417,10.96613324,10.96613324,10.82424368
Anyang,Henan,961.4584294,807.9940146,665.446445,865.3353307,739.0329271,621.4183068,818.7404565,705.6135529,600.0882625,768.505307,669.6150494,577.1628627,39.0049756,38.97261505,38.93379108,41.60494076,41.51770717,41.45803304,43.33741856,43.3347058,43.15327336,55.61777738,55.29541122,54.95737411
Baotou ,Inner Mongolia,929.9408554,785.0260333,650.4979813,831.9888191,714.8392924,605.7934826,783.328683,680.0808619,583.7637346,726.540338,639.6922206,558.3501094,45.26825716,45.20505081,45.00306198,67.77340797,67.18498573,65.99715673,83.20023567,81.13516345,77.8199111,93.21679728,91.73777411,89.44654641
Changzhi,Shanxi ,958.2513953,805.1305881,663.2376415,858.0537041,733.2588286,617.3600228,808.4511056,697.7037603,594.7028601,748.8372888,655.2952942,568.0099919,41.4822192,41.4236601,41.38099926,50.02116055,49.68566301,49.49111642,59.47080042,59.05930084,58.52603323,90.17300449,88.42056089,85.11400847
Dalian,Liaoning ,815.7152699,701.8983256,596.6813878,739.9687683,647.5361836,561.9533969,706.657937,623.6216512,546.6636674,673.102425,599.557808,531.3162206,1.114187868,1.334571711,1.912095283,1.929776465,2.112575102,2.580166407,6.301092958,6.345036763,6.567680008,21.77729774,21.76089285,21.60067787
Datong,Shanxi ,926.4873818,782.2809879,648.564908,826.8342675,710.8395799,603.01841,777.7472732,675.7208851,580.7089978,720.4300981,634.919987,555.0001063,42.47054303,42.44957179,42.38289299,66.81078706,65.69807159,65.29581888,81.49098556,79.87844475,77.83876883,93.15067421,92.03767504,89.70988684
Guangzhou,Guangdong ,986.3509986,824.4117746,674.9346757,873.3774596,743.4133096,623.2853362,815.0125936,701.6812733,596.7930071,744.9475169,651.8476295,565.4391289,48.0389459,47.97784382,47.94100951,65.59864501,65.23306706,64.61704829,83.08482074,81.21057713,79.24578991,94.81938908,93.71149237,91.47225544
Handan,Hebei,930.6095318,784.5638317,649.6768942,832.0082657,713.8274528,604.5191041,784.1412094,679.5002598,582.6176049,731.0080615,641.4761833,558.4573098,41.36820395,41.32896934,41.27449591,44.12137625,44.05700028,44.01118032,46.84199377,46.77456125,46.3601274,66.53465306,65.801214,64.43970138
Jinan ,Shandong ,940.9535484,791.9604219,654.3636061,838.7044429,718.6237937,607.5642102,787.7992651,682.1514873,584.3428757,727.0839242,638.9405753,557.121353,43.33469424,43.30192212,43.22106206,52.416973,52.3840049,51.65600209,64.06601309,63.74646449,62.77932208,89.19749011,87.43249549,84.63725151
Jinzhong,Shanxi,999.9069381,835.2592997,682.7931462,868.1644895,741.3319979,623.441681,810.4438008,700.0731983,597.2656048,746.0297524,654.0711797,568.1280279,72.48697166,71.90081953,70.62102572,93.72577896,92.48887671,90.20830884,94.50084372,93.36515233,91.45699245,95.44478122,94.48656365,92.73931854
Laiwu ,Shandong ,945.8712664,795.5211248,656.6810672,841.8464035,720.9248734,609.0958599,789.9644079,683.7617511,585.4429815,727.9140797,639.6422561,557.6914225,43.99157441,43.88244013,43.82906876,55.81800713,55.2251777,54.91741988,66.97231128,66.62430401,65.37864857,90.91882042,89.113175,85.72678968
Lijiang,Yunnan ,1004.072477,844.6666749,695.5501331,880.5605325,756.048574,638.9561032,829.382841,719.2960362,615.4460746,772.4212225,678.4300002,589.3515337,98.15568358,97.64344182,96.70216275,98.0485072,97.507472,96.51685446,97.9334145,97.35465314,96.24529366,97.83754987,97.23269559,96.12086511
Liupanshui,Guizhou ,1018.120703,849.7478341,693.3605595,882.8676262,752.9958742,631.9084062,825.5631523,711.9538459,605.7728603,761.5511126,666.164549,576.6628453,95.14444129,94.31335273,92.7496794,96.03988551,95.2764111,93.99712151,96.0718285,95.23801487,94.00276078,96.2028659,95.45621538,94.202953
