City,Province,YCurrent_S1_Energy_Per_Tonne,YCurrent_S2_Energy_Per_Tonne,YCurrent_S3_Energy_Per_Tonne,Y2030_S1_Energy_Per_Tonne,Y2030_S2_Energy_Per_Tonne,Y2030_S3_Energy_Per_Tonne,Y2040_S1_Energy_Per_Tonne,Y2040_S2_Energy_Per_Tonne,Y2040_S3_Energy_Per_Tonne,Y2050_S1_Energy_Per_Tonne,Y2050_S2_Energy_Per_Tonne,Y2050_S3_Energy_Per_Tonne,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_CO2_per_tonne_steel,YCurrent_S2_CO2_per_tonne_steel,YCurrent_S3_CO2_per_tonne_steel,Y2030_S1_CO2_per_tonne_steel,Y2030_S2_CO2_per_tonne_steel,Y2030_S3_CO2_per_tonne_steel,Y2040_S1_CO2_per_tonne_steel,Y2040_S2_CO2_per_tonne_steel,Y2040_S3_CO2_per_tonne_steel,Y2050_S1_CO2_per_tonne_steel,Y2050_S2_CO2_per_tonne_steel,Y2050_S3_CO2_per_tonne_steel,YCurrent_S1_Grid_Cost,YCurrent_S2_Grid_Cost,YCurrent_S3_Grid_Cost,Y2030_S1_Grid_Cost,Y2030_S2_Grid_Cost,Y2030_S3_Grid_Cost,Y2040_S1_Grid_Cost,Y2040_S2_Grid_Cost,Y2040_S3_Grid_Cost,Y2050_S1_Grid_Cost,Y2050_S2_Grid_Cost,Y2050_S3_Grid_Cost
Anshan,Liaoning ,16.21217875,11.83469185,7.693774206,15.5650476,11.37296781,7.399559124,15.09137334,11.03162699,7.179418475,14.73322997,10.77471884,7.013785935,793.5890233,685.9401858,586.3822968,722.8950968,635.2106823,553.9831702,691.8637851,612.9396247,539.7508747,662.4606676,591.8265963,526.2481801,0.00008,0.00006,0.00004,0.00008,0.00006,0.00004,0.00007,0.00005,0.00003,0.00009,0.00007,0.00004,1127.281232,925.3924274,739.4815749,1078.778476,890.7087788,717.3611538,1044.279472,865.8913881,701.415215,1016.136198,845.6992701,688.4464408
Anyang,Henan,16.3560363,11.93783214,7.758712794,15.81627134,11.55078963,7.510721023,15.35560149,11.22113011,7.301720724,14.84380443,10.85554029,7.067388084,961.4584294,807.9940146,665.446445,865.3353307,739.0329271,621.4183068,818.7404565,705.6135529,600.0882625,768.505307,669.6150494,577.1628627,0.00018,0.00013,0.00008,0.00017,0.00012,0.00008,0.00017,0.00012,0.00008,0.00018,0.00013,0.00008,1287.813003,1042.200944,815.1326531,1208.499047,985.302097,778.7932042,1163.4524,953.028403,758.2294056,1122.371052,923.5529826,739.4070344
Baotou ,Inner Mongolia,16.6492314,12.15141816,7.897073338,15.76284792,11.51700126,7.493154477,15.19799366,11.11556868,7.242834056,14.7795703,10.80844645,7.040777031,929.9408554,785.0260333,650.4979813,831.9888191,714.8392924,605.7934826,783.328683,680.0808619,583.7637346,726.540338,639.6922206,558.3501094,0.00019,0.00014,0.00009,0.00023,0.00017,0.0001,0.00025,0.00018,0.00011,0.00026,0.00019,0.00012,1292.866653,1045.540449,817.007995,1209.841996,985.9221907,778.8596013,1166.267916,954.3148237,758.4570763,1124.646382,924.6933532,739.8807553
Changzhi,Shanxi ,16.52838683,12.06483589,7.839497075,15.87309006,11.59532058,7.541026689,15.32553341,11.20155162,7.288945966,14.8314603,10.84688433,7.0617518,958.2513953,805.1305881,663.2376415,858.0537041,733.2588286,617.3600228,808.4511056,697.7037603,594.7028601,748.8372888,655.2952942,568.0099919,0.00018,0.00013,0.00008,0.00019,0.00014,0.00009,0.0002,0.00015,0.00009,0.00026,0.00018,0.00011,1285.143745,1039.789449,813.1958327,1203.011198,980.8172993,775.5722751,1157.73052,948.3023449,754.7638663,1126.028128,925.2157346,739.4832255
Dalian,Liaoning ,16.22184704,11.84166741,7.698403308,15.57757375,11.3795211,7.403279353,15.11376639,11.04747565,7.189572208,14.83132192,10.84559535,7.060199542,815.7152699,701.8983256,596.6813878,739.9687683,647.5361836,561.9533969,706.657937,623.6216512,546.6636674,673.102425,599.557808,531.3162206,0.00008,0.00006,0.00004,0.00008,0.00006,0.00004,0.00009,0.00006,0.00004,0.00011,0.00008,0.00005,1228.091176,997.7234563,785.5902282,1144.08561,937.5042268,747.2358711,1098.785929,905.0593097,726.5101217,1061.459952,878.3276387,709.4736921
Datong,Shanxi ,16.76777818,12.23380567,7.946680627,15.83294317,11.57436872,7.526715949,15.24232104,11.14572719,7.258461792,14.82162407,10.8368641,7.05515347,926.4873818,782.2809879,648.564908,826.8342675,710.8395799,603.01841,777.7472732,675.7208851,580.7089978,720.4300981,634.919987,555.0001063,0.00019,0.00014,0.00009,0.00023,0.00016,0.0001,0.00025,0.00018,0.00011,0.00026,0.00019,0.00012,1294.368215,1046.293472,817.2567142,1206.729116,983.4650215,777.1842164,1160.496328,950.0386535,755.7489186,1118.820433,920.3041854,736.7003778
Guangzhou,Guangdong ,16.33568434,11.92619354,7.749184147,15.66487465,11.44475813,7.443116542,15.17856508,11.09277502,7.217535166,14.82634751,10.83814445,7.049942443,986.3509986,824.4117746,674.9346757,873.3774596,743.4133096,623.2853362,815.0125936,701.6812733,596.7930071,744.9475169,651.8476295,565.4391289,0.0002,0.00014,0.00009,0.00022,0.00016,0.0001,0.00025,0.00018,0.00011,0.00027,0.00019,0.00012,1263.313067,1023.208849,801.9357328,1184.62529,966.670036,765.7682884,1145.790001,938.050375,747.157068,1106.305242,910.3696159,729.5230574
Handan,Hebei,16.4060105,11.97591877,7.780895017,15.86037311,11.58282689,7.53131154,15.37333084,11.23470372,7.312642758,14.80955522,10.83298755,7.055147605,930.6095318,784.5638317,649.6768942,832.0082657,713.8274528,604.5191041,784.1412094,679.5002598,582.6176049,731.0080615,641.4761833,558.4573098,0.00018,0.00013,0.00008,0.00018,0.00013,0.00008,0.00018,0.00013,0.00008,0.00021,0.00015,0.00009,1252.128267,1015.350822,797.1240071,1171.926237,957.7742681,760.4114105,1126.140151,924.976645,739.5403966,1086.71499,896.6233755,721.2798448
Jinan ,Shandong ,16.54994822,12.07796499,7.847469976,15.87416204,11.59346532,7.544263902,15.29788869,11.18122291,7.275069456,14.80991254,10.83320351,7.053134388,940.9535484,791.9604219,654.3636061,838.7044429,718.6237937,607.5642102,787.7992651,682.1514873,584.3428757,727.0839242,638.9405753,557.121353,0.00019,0.00014,0.00009,0.0002,0.00014,0.00009,0.00021,0.00015,0.0001,0.00025,0.00018,0.00011,1264.033052,1023.831599,802.5276431,1180.608537,964.0157993,764.4112764,1134.847547,931.1737618,743.2780127,1099.465225,905.4790701,726.6190624
Jinzhong,Shanxi,16.37213406,11.95140071,7.773790557,15.70324537,11.46814373,7.459044081,15.23953442,11.13462529,7.245071362,14.84803222,10.85861017,7.069994501,999.9069381,835.2592997,682.7931462,868.1644895,741.3319979,623.441681,810.4438008,700.0731983,597.2656048,746.0297524,654.0711797,568.1280279,0.00026,0.00018,0.00012,0.00029,0.00021,0.00013,0.00028,0.0002,0.00012,0.00027,0.00019,0.00012,1321.733283,1065.864777,829.7743574,1232.337239,1001.719645,788.7888704,1179.64265,964.1048819,765.0821461,1131.066473,929.6814323,743.371489
