City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Solar,YCurrent_S2_Solar,YCurrent_S3_Solar,Y2030_S1_Solar,Y2030_S2_Solar,Y2030_S3_Solar,Y2040_S1_Solar,Y2040_S2_Solar,Y2040_S3_Solar,Y2050_S1_Solar,Y2050_S2_Solar,Y2050_S3_Solar
Anshan,Liaoning ,558.3549807,509.5146538,468.7652756,487.6610542,458.7851504,436.3661489,456.6297425,436.5140928,422.1338534,427.226625,415.4010644,408.6311588,0.546781179,0.621053291,0.835192567,0.687111215,0.827186537,1.155463214,1.117759915,1.269788459,1.589713417,10.96613324,10.96613324,10.82424368
Anyang,Henan,726.2243868,631.5684826,547.8294237,630.1012882,562.6073951,503.8012855,583.5064139,529.1880209,482.4712412,533.2712644,493.1895175,459.5458414,39.0049756,38.97261505,38.93379108,41.60494076,41.51770717,41.45803304,43.33741856,43.3347058,43.15327336,55.61777738,55.29541122,54.95737411
Baotou ,Inner Mongolia,694.7068128,608.6005013,532.88096,596.7547766,538.4137605,488.1764613,548.0946405,503.65533,466.1467133,491.3062954,463.2666887,440.7330881,45.26825716,45.20505081,45.00306198,67.77340797,67.18498573,65.99715673,83.20023567,81.13516345,77.8199111,93.21679728,91.73777411,89.44654641
Changzhi,Shanxi ,723.0173528,628.7050562,545.6206202,622.8196615,556.8332967,499.7430015,573.2170631,521.2782283,477.0858388,513.6032462,478.8697623,450.3929706,41.4822192,41.4236601,41.38099926,50.02116055,49.68566301,49.49111642,59.47080042,59.05930084,58.52603323,90.17300449,88.42056089,85.11400847
Dalian,Liaoning ,580.4812273,525.4727937,479.0643666,504.7347257,471.1106517,444.3363756,471.4238944,447.1961193,429.0466461,437.8683824,423.1322761,413.6991993,1.114187868,1.334571711,1.912095283,1.929776465,2.112575102,2.580166407,6.301092958,6.345036763,6.567680008,21.77729774,21.76089285,21.60067787
Datong,Shanxi ,691.2533392,605.855456,530.9478868,591.600225,534.414048,485.4013887,542.5132307,499.2953532,463.0919766,485.1960555,458.494455,437.383085,42.47054303,42.44957179,42.38289299,66.81078706,65.69807159,65.29581888,81.49098556,79.87844475,77.83876883,93.15067421,92.03767504,89.70988684
Guangzhou,Guangdong ,751.116956,647.9862427,557.3176544,638.1434171,566.9877777,505.6683149,579.7785511,525.2557414,479.1759858,509.7134744,475.4220976,447.8221076,48.0389459,47.97784382,47.94100951,65.59864501,65.23306706,64.61704829,83.08482074,81.21057713,79.24578991,94.81938908,93.71149237,91.47225544
Handan,Hebei,695.3754892,608.1382998,532.059873,596.7742232,537.4019209,486.9020828,548.9071668,503.0747279,465.0005836,495.774019,465.0506514,440.8402885,41.36820395,41.32896934,41.27449591,44.12137625,44.05700028,44.01118032,46.84199377,46.77456125,46.3601274,66.53465306,65.801214,64.43970138
Jinan ,Shandong ,705.7195059,615.53489,536.7465849,603.4704004,542.1982618,489.9471889,552.5652226,505.7259554,466.7258544,491.8498816,462.5150434,439.5043318,43.33469424,43.30192212,43.22106206,52.416973,52.3840049,51.65600209,64.06601309,63.74646449,62.77932208,89.19749011,87.43249549,84.63725151
Jinzhong,Shanxi,764.6728955,658.8337677,565.1761249,632.9304469,564.906466,505.8246598,575.2097582,523.6476664,479.6485835,510.7957099,477.6456478,450.5110066,72.48697166,71.90081953,70.62102572,93.72577896,92.48887671,90.20830884,94.50084372,93.36515233,91.45699245,95.44478122,94.48656365,92.73931854
Laiwu ,Shandong ,710.6372238,619.0955929,539.0640459,606.6123609,544.4993415,491.4788386,554.7303654,507.3362192,467.8259602,492.6800372,463.2167242,440.0744012,43.99157441,43.88244013,43.82906876,55.81800713,55.2251777,54.91741988,66.97231128,66.62430401,65.37864857,90.91882042,89.113175,85.72678968
Lijiang,Yunnan ,768.8384349,668.241143,577.9331118,645.3264899,579.623042,521.3390819,594.1487984,542.8705043,497.8290533,537.18718,502.0044683,471.7345124,98.15568358,97.64344182,96.70216275,98.0485072,97.507472,96.51685446,97.9334145,97.35465314,96.24529366,97.83754987,97.23269559,96.12086511
Liupanshui,Guizhou ,782.8866605,673.3223022,575.7435383,647.6335836,576.5703423,514.2913849,590.3291097,535.528314,488.155839,526.3170701,489.7390171,459.0458241,95.14444129,94.31335273,92.7496794,96.03988551,95.2764111,93.99712151,96.0718285,95.23801487,94.00276078,96.2028659,95.45621538,94.202953
Lu’an,Anhui ,805.9262731,688.0613296,583.7068213,657.2796716,581.9740371,516.5805792,592.9521207,535.9143207,487.2768255,520.7368403,484.2490068,454.4522053,90.46584869,88.72924379,86.62182429,96.07665215,95.31254714,93.92499955,96.23917535,95.57160873,94.28784522,96.53917646,95.89791589,94.82613517
Maoming,Guangdong ,722.2508107,627.2472355,544.0304596,618.6043714,552.8984907,496.5766589,566.6675307,515.659211,472.8251446,504.966854,471.6542656,444.9979852,39.62655078,39.62655078,39.62268748,49.1301931,49.1301931,49.08645822,57.14206032,56.9996986,56.63645678,89.17555264,86.85725379,83.14065284
Rizhao,Shandong,677.5027927,595.3081495,523.8568494,581.9248289,526.7427291,480.0889175,536.166608,493.9284653,459.1536313,486.2826165,458.2031442,436.4236684,36.11266059,35.96899299,35.84549671,39.67484413,39.66704705,39.32466354,42.38557001,42.35272422,42.189923,58.70575461,57.73169426,56.63780634
Tangshan,Hebei,685.6405123,601.0830895,527.4609596,588.7628796,531.5859924,483.0921994,541.5342238,497.7260924,461.5019039,486.1163128,458.1888456,436.5057085,39.04343915,38.99063339,38.94883208,43.83607067,43.79036681,43.74093377,51.64010125,51.28246468,50.99598951,84.93083758,82.94984462,79.55687
Tongilao,Inner Mongolia,561.4495527,512.9209037,471.6655037,497.3168973,466.8954314,442.264757,469.3622794,446.8290101,429.4399209,443.3231553,428.1095594,417.4472478,0.674130029,0.830061254,1.065880825,0.850980758,1.024446154,1.220910229,1.106812814,1.303525404,1.611618207,6.564312077,6.658945378,6.753742589
Urumqi,Xinjiang ,970.418412,816.1951095,673.7947623,832.5082779,717.3584722,610.8094274,774.6878543,675.8727966,584.3160128,710.1233654,629.584004,554.7963982,98.0980357,97.61991349,96.78250673,98.07364251,97.63367567,96.77754432,97.97445148,97.51222051,96.61209904,97.91573128,97.42428875,96.54756519
Wuhai,Inner Mongolia,646.4688361,573.9797522,510.7498889,564.8857594,515.453498,473.3846077,525.9090736,487.4976502,455.5482798,483.8650973,457.3762981,436.3688614,31.04748129,31.04748129,31.03131112,35.37492647,35.34230022,35.28783824,38.71464661,38.54524557,38.51732722,56.57117438,55.85686804,55.11932841
Xingtai,Hebei,686.5568904,601.7057249,527.8175419,590.1498787,532.545716,483.6618528,543.3398478,498.9726186,462.2358392,491.5861641,461.9120347,438.6610065,38.62261703,38.5754052,38.4918313,41.70802816,41.66474879,41.57085874,44.38960275,44.35398093,44.21723049,65.24230098,64.32263409,63.32282096
Zhangjiagang,Jiangsu ,659.1491202,581.8916579,514.9569842,572.3581995,519.6239011,475.1961928,529.5422164,488.9106919,455.5916036,483.8373543,456.1253568,434.6664219,16.41330133,16.41330185,16.37275084,23.91318071,23.91318536,23.85215144,30.6792443,30.66628505,30.56456058,40.27943042,40.27943042,40.15531951
Zhangjiakou,Hebei,673.6626829,592.5516288,522.0934782,572.3989207,519.9778682,475.8551123,522.8206398,484.5464965,453.3882948,465.2361002,443.6084739,427.6387866,42.91547855,42.90802057,42.79756642,65.2525266,64.67575163,63.94487187,80.3757107,78.62262084,75.75409813,91.36799336,89.69356192,86.97684222
Zhanjiang,Guangdong ,666.613336,587.2721698,518.4293269,578.3644344,523.9594604,478.0012597,534.7605733,492.6815127,458.0359749,488.2038681,459.2869111,436.7257928,19.97163983,19.97163983,19.97163983,26.52735155,26.52735155,26.39933953,31.62794761,31.53793511,31.4932567,42.60870648,42.55713791,42.44318281
Jiuquan,Gansu,797.4363126,685.3611052,584.4616151,669.6952045,594.0452383,526.5151359,616.2923677,555.789195,502.159926,556.8450484,513.2362545,475.1103547,95.91305599,95.06837141,93.52110592,96.89163574,96.20825816,94.95728291,96.85877991,96.28323629,94.93131828,97.00581964,96.39102589,95.18778414
Fuzhou,Fujian,676.6552533,594.5167401,523.1092637,585.5534962,529.1613722,481.3812357,541.0802919,497.2624023,461.0229341,493.0945651,462.8569583,439.0860834,20.11130124,20.11130124,19.94216217,26.41620196,26.39573849,26.31320092,31.9654818,31.9654818,31.91613183,47.72160578,47.66601558,47.24645391
