City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_CAPEX_share_pct,YCurrent_S2_CAPEX_share_pct,YCurrent_S3_CAPEX_share_pct,Y2030_S1_CAPEX_share_pct,Y2030_S2_CAPEX_share_pct,Y2030_S3_CAPEX_share_pct,Y2040_S1_CAPEX_share_pct,Y2040_S2_CAPEX_share_pct,Y2040_S3_CAPEX_share_pct,Y2050_S1_CAPEX_share_pct,Y2050_S2_CAPEX_share_pct,Y2050_S3_CAPEX_share_pct
Anshan,Liaoning ,793.5890233,685.9401858,586.3822968,722.8950968,635.2106823,553.9831702,691.8637851,612.9396247,539.7508747,662.4606676,591.8265963,526.2481801,46.1989531,40.20929552,32.70162964,42.54270364,36.74507027,29.72567099,40.70180913,35.04308852,28.30544965,38.79837729,33.31132771,26.887021
Anyang,Henan,961.4584294,807.9940146,665.446445,865.3353307,739.0329271,621.4183068,818.7404565,705.6135529,600.0882625,768.505307,669.6150494,577.1628627,48.69992696,43.16800685,35.8383909,44.82464054,39.39643571,32.45537499,42.61867641,37.30349105,30.63792088,39.94070726,34.81530724,28.53475136
Baotou ,Inner Mongolia,929.9408554,785.0260333,650.4979813,831.9888191,714.8392924,605.7934826,783.328683,680.0808619,583.7637346,726.540338,639.6922206,558.3501094,48.2579056,42.64322648,35.27033761,44.09856506,38.62318004,31.70483605,41.64557591,36.32512906,29.74694837,38.36734696,33.3411478,27.2964024
Changzhi,Shanxi ,958.2513953,805.1305881,663.2376415,858.0537041,733.2588286,617.3600228,808.4511056,697.7037603,594.7028601,748.8372888,655.2952942,568.0099919,50.0219733,44.30858694,36.71877111,46.10251519,40.45867047,33.23589611,43.80267087,38.26086216,31.3176175,40.63552585,35.32753092,28.86130324
Dalian,Liaoning ,815.7152699,701.8983256,596.6813878,739.9687683,647.5361836,561.9533969,706.657937,623.6216512,546.6636674,673.102425,599.557808,531.3162206,47.21309366,41.19550998,33.57993708,43.48973181,37.63667489,30.4895856,41.59962004,35.87459247,29.00450405,39.5064808,33.95962107,27.42785925
Datong,Shanxi ,926.4873818,782.2809879,648.564908,826.8342675,710.8395799,603.01841,777.7472732,675.7208851,580.7089978,720.4300981,634.919987,555.0001063,48.87122949,43.16131556,35.6584605,44.6871961,39.09845155,32.03840138,42.23208179,36.78630116,30.05804346,38.94192439,33.77883991,27.57847319
Deyang,Sichuan,1114.344428,924.6213362,747.594572,963.4859692,816.2912334,678.3282333,898.4198358,769.5069973,648.3616717,824.9872976,716.7557285,614.6140419,52.74428167,47.59549782,40.5320934,47.91511345,42.81910469,36.13564779,45.33167703,40.34053126,33.94251367,41.9265803,37.15773297,31.21661963
Fuzhou,Fujian,911.8892958,770.942272,640.726285,820.7875388,705.5869041,598.998257,776.3143344,673.6879342,578.6399554,728.3286076,639.2824902,556.7031047,50.58053427,44.57612341,36.68393222,46.91708032,40.96275008,33.41654553,44.81636639,38.944517,31.65140885,42.26199549,36.54192775,29.604903
Guangzhou,Guangdong ,986.3509986,824.4117746,674.9346757,873.3774596,743.4133096,623.2853362,815.0125936,701.6812733,596.7930071,744.9475169,651.8476295,565.4391289,53.0722369,47.10626042,39.06115091,49.12511881,43.13154342,35.37148626,46.65725012,40.72550089,33.23115852,43.18390082,37.44877126,30.43892037
Handan,Hebei,930.6095318,784.5638317,649.6768942,832.0082657,713.8274528,604.5191041,784.1412094,679.5002598,582.6176049,731.0080615,641.4761833,558.4573098,51.24448913,45.25342272,37.33011207,47.41161808,41.4548081,33.87473057,45.20335071,39.32637815,32.00598152,42.41346792,36.70280937,29.7744685
