City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Land_Use,YCurrent_S2_Land_Use,YCurrent_S3_Land_Use,Y2030_S1_Land_Use,Y2030_S2_Land_Use,Y2030_S3_Land_Use,Y2040_S1_Land_Use,Y2040_S2_Land_Use,Y2040_S3_Land_Use,Y2050_S1_Land_Use,Y2050_S2_Land_Use,Y2050_S3_Land_Use
Anshan,Liaoning ,793.5890233,685.9401858,586.3822968,722.8950968,635.2106823,553.9831702,691.8637851,612.9396247,539.7508747,662.4606676,591.8265963,526.2481801,239.6859357,171.9239878,109.739848,225.3264728,161.6029732,103.0920406,213.4581272,153.0566411,97.61273129,191.200238,137.2390811,87.7769056
Anyang,Henan,961.4584294,807.9940146,665.446445,865.3353307,739.0329271,621.4183068,818.7404565,705.6135529,600.0882625,768.505307,669.6150494,577.1628627,253.6242143,182.0706905,116.4096887,234.3069618,168.3105102,107.6271738,218.9248948,157.1369147,100.6488388,179.4200661,129.3302912,83.01731856
Baotou ,Inner Mongolia,929.9408554,785.0260333,650.4979813,831.9888191,714.8392924,605.7934826,783.328683,680.0808619,583.7637346,726.540338,639.6922206,558.3501094,230.68793,165.7307578,106.2121654,154.7721197,112.2316984,73.19371767,108.0735419,81.28918328,55.79866856,79.55174768,59.59589108,40.58767328
Changzhi,Shanxi ,958.2513953,805.1305881,663.2376415,858.0537041,733.2588286,617.3600228,808.4511056,697.7037603,594.7028601,748.8372888,655.2952942,568.0099919,261.7886071,188.0574573,120.2396693,222.5723268,160.4729344,102.8326551,185.3617257,133.8569646,86.21332127,98.48613901,73.86954103,51.0315424
Dalian,Liaoning ,815.7152699,701.8983256,596.6813878,739.9687683,647.5361836,561.9533969,706.657937,623.6216512,546.6636674,673.102425,599.557808,531.3162206,251.5638221,180.2635709,114.7777713,235.4686295,168.7770824,107.5501259,217.2320115,155.8676481,99.46169682,186.7999045,134.1055786,85.81300479
Datong,Shanxi ,926.4873818,782.2809879,648.564908,826.8342675,710.8395799,603.01841,777.7472732,675.7208851,580.7089978,720.4300981,634.919987,555.0001063,235.9806388,169.3973707,108.3266419,156.0275006,114.1429478,73.42240348,111.9287793,83.15548845,55.44176664,80.20233577,59.3762525,40.38051856
Guangzhou,Guangdong ,986.3509986,824.4117746,674.9346757,873.3774596,743.4133096,623.2853362,815.0125936,701.6812733,596.7930071,744.9475169,651.8476295,565.4391289,280.28702,201.361027,128.7073559,204.8447291,147.9269853,95.47724113,139.1267245,104.1006686,69.37280761,97.80838212,72.58911419,49.45653252
Handan,Hebei,930.6095318,784.5638317,649.6768942,832.0082657,713.8274528,604.5191041,784.1412094,679.5002598,582.6176049,731.0080615,641.4761833,558.4573098,255.6501894,183.5839001,117.3583758,235.4089978,169.0735727,108.1038525,216.8263658,155.7629807,100.0902004,157.6348574,114.4434371,74.66331124
Jinan ,Shandong ,940.9535484,791.9604219,654.3636061,838.7044429,718.6237937,607.5642102,787.7992651,682.1514873,584.3428757,727.0839242,638.9405753,557.121353,259.6764035,186.4416977,119.2521358,218.5402628,156.924123,101.332696,175.1147837,126.3205654,81.91528525,102.6006627,76.87546627,52.37750852
Jinzhong,Shanxi,999.9069381,835.2592997,682.7931462,868.1644895,741.3319979,623.441681,810.4438008,700.0731983,597.2656048,746.0297524,654.0711797,568.1280279,184.8204989,134.2155176,88.0384405,99.97655325,74.81967672,51.45532303,92.55368805,69.09765388,47.05080972,85.50510241,63.55773135,43.16322144
Laiwu ,Shandong ,945.8712664,795.5211248,656.6810672,841.8464035,720.9248734,609.0958599,789.9644079,683.7617511,585.4429815,727.9140797,639.6422561,557.6914225,260.5563304,187.2972148,119.7625282,210.3399004,152.3480575,97.79420751,168.6496551,121.7590696,79.41722328,98.79507724,74.18203414,51.42790365
Lijiang,Yunnan ,1004.072477,844.6666749,695.5501331,880.5605325,756.048574,638.9561032,829.382841,719.2960362,615.4460746,772.4212225,678.4300002,589.3515337,85.10128453,63.97036811,44.27976243,81.24605884,61.2211957,42.51242269,78.11393518,59.00864018,41.32538338,75.31102823,57.00886612,39.89353496
Liupanshui,Guizhou ,1018.120703,849.7478341,693.3605595,882.8676262,752.9958742,631.9084062,825.5631523,711.9538459,605.7728603,761.5511126,666.164549,576.6628453,103.9178617,77.27250846,52.60989716,94.56884039,70.21025209,47.35178376,89.82146416,66.86309181,45.03141536,85.4034875,63.35941145,42.70538193
Lu’an,Anhui ,1041.160316,864.4868615,701.3238425,892.5137141,758.399569,634.1976004,828.1861633,712.3398526,604.8938468,755.9708828,660.6745388,572.0692265,138.9855869,105.6311891,72.0320078,106.7803629,79.07003341,53.36033744,100.8974171,74.4358665,50.05607511,95.32614027,70.28587783,46.87703747
Maoming,Guangdong ,957.4848533,803.6727674,661.6474809,853.8384139,729.3240226,614.1936802,801.9015733,692.0847429,590.4421659,740.2008965,648.0797975,562.6150064,283.4050919,203.4021765,129.9803876,239.2917762,171.7464867,109.8111123,203.8932786,146.6216348,94.19530781,109.717987,83.10084875,57.56056262
Rizhao,Shandong,912.7368353,771.7336814,641.4738707,817.1588714,703.1682611,597.7059388,771.4006505,670.3539972,576.7706525,721.5166591,634.6286761,554.0406897,251.9589336,181.0809471,115.8650093,229.7910874,164.9447829,105.7701981,212.7578414,152.7418307,97.76150296,165.9928321,120.7477028,78.3341882
Tangshan,Hebei,920.8745548,777.5086214,645.0779809,823.9969221,708.0115244,600.7092207,776.7682663,674.1516243,579.1189251,721.3503553,634.6143775,554.1227298,257.5558095,184.9693279,118.2617001,231.1645989,166.0104901,106.1556895,199.3843711,143.8269247,92.25438875,109.4755964,81.98528148,56.14243024
Tongilao,Inner Mongolia,796.6835953,689.3464356,589.2825249,732.5509398,643.3209633,559.8817783,704.596322,623.254542,547.0569422,678.5571979,604.5350913,535.0642691,212.9661399,152.7241357,97.47327776,200.9666998,144.0666477,91.9690389,190.6494148,136.6409961,87.15453085,175.3366495,125.7908992,80.3371621
Urumqi,Xinjiang ,1205.652455,992.6206414,791.4117835,1067.74232,893.7840042,728.4264487,1009.921897,852.2983285,701.9330341,945.357408,806.0095359,672.4134195,96.81320469,72.29183918,49.30268992,91.72491891,68.26241545,46.6558338,87.9745591,65.5791915,44.94060079,84.5407436,63.16314846,43.18832176
Wuhai,Inner Mongolia,881.7028787,750.4052841,628.3669101,800.119802,691.8790299,591.001629,761.1431162,663.9231822,573.1653011,719.0991398,633.80183,553.9858827,229.28603,164.5604802,105.1669158,207.7680198,149.1861306,95.39238387,191.148807,137.4303873,87.84615705,146.7725204,106.3608682,68.65980868
Xingtai,Hebei,921.7909329,778.1312568,645.4345631,825.3839213,708.9712479,601.278874,778.5738904,675.3981505,579.8528605,726.8202066,638.3375666,556.2780278,257.2307001,184.7305078,118.1482756,235.9769039,169.4550912,108.364565,217.9135126,156.4846654,100.1656974,157.5390206,114.6263386,74.36285285
Zhangjiagang,Jiangsu ,894.3831627,758.3171899,632.5740055,807.592242,696.049433,592.8132141,764.776259,665.3362238,573.2086249,719.0713969,632.5508887,552.2834432,292.3005405,209.7865161,134.1195581,258.1396549,185.2741306,118.4778851,230.5400551,165.4851308,105.8759347,200.6073049,143.99125,92.15881292
Zhangjiakou,Hebei,908.8967254,768.9771607,639.7104995,807.6329633,696.4034001,593.4721336,758.0546823,660.9720284,571.0053161,700.4701427,620.0340058,545.2558079,236.1368446,169.4856301,108.4382412,161.3834982,116.8810437,75.56647429,115.8193727,86.20434725,58.340847,85.32751396,63.98494743,43.75701379
Zhanjiang,Guangdong ,901.8473785,763.6977017,636.0463482,813.598477,700.3849923,595.618281,769.9946159,669.1070446,575.6529961,723.4379107,635.7124431,554.3428141,291.4644934,209.1864795,133.6723222,259.4478124,186.2130428,119.1388165,235.4795283,169.1171324,108.1250777,201.2246847,144.5052255,92.47117887
Jiuquan,Gansu,1032.670355,861.7866371,702.0786363,904.9292471,770.4707703,644.1321572,851.5264103,732.2147269,619.7769472,792.0790909,689.6617864,592.727376,94.32483909,70.52824138,48.41785974,84.60580354,62.91279701,42.76920188,80.60057711,59.60208673,40.73797995,76.53437574,56.69933851,38.47858519
Fuzhou,Fujian,911.8892958,770.942272,640.726285,820.7875388,705.5869041,598.998257,776.3143344,673.6879342,578.6399554,728.3286076,639.2824902,556.7031047,294.4294651,211.3144614,135.2281399,263.4643041,189.1214283,120.9234368,237.8288301,170.7022431,109.1526867,193.0542907,138.6594244,89.05687883
Xiangyang,Hubei,1034.772029,859.8883205,698.2065233,906.9543894,768.5025994,640.2052781,842.8196862,722.7686457,611.2978895,769.935959,670.8000842,578.4683095,272.0284019,195.5983367,125.3173317,138.6025802,104.1752671,71.35487294,111.8654921,84.28767037,57.69842184,98.61743293,73.2723923,49.82827831
Xianning,Hubei,1062.414784,879.8011195,711.0227858,924.3309865,781.213682,648.5988538,857.2452744,733.3116594,618.2609553,781.5100843,679.224836,584.0101363,275.0104329,197.777571,126.6454464,127.3501491,95.75181992,65.96212312,111.8997472,83.60571522,57.47705745,102.3435324,75.88698277,50.77507656
Deyang,Sichuan,1114.344428,924.6213362,747.594572,963.4859692,816.2912334,678.3282333,898.4198358,769.5069973,648.3616717,824.9872976,716.7557285,614.6140419,99.21530021,98.85817512,98.31463262,99.14663782,98.75035833,98.19732029,99.074116,98.66190753,98.08047959,99.00579255,98.586767,97.96538252
Tongchun,Sichuan,1152.544472,947.9721693,758.0148094,989.1617863,830.9343359,683.4974259,918.0509756,779.9431582,650.9692779,837.7859689,722.4257664,614.3232386,97.93269848,97.44781729,96.60180713,98.03356341,97.60760374,96.817846,97.95499027,97.54067055,96.70288057,97.95489421,97.50826856,96.73022851
Jiaxing,Zhejiang,888.6605719,754.2524899,630.0361162,801.8786071,691.993223,590.2829901,759.6236927,661.6841857,570.9365595,714.9273324,629.6241909,550.4786989,18.41581994,18.41558777,18.26884053,24.59004952,24.52197367,24.43732518,30.01403027,29.99656844,29.87474098,38.37287149,38.33964639,38.22908381
Lishui,Zhejiang,1061.569254,880.5802375,713.3152873,906.111923,769.2235353,642.4304741,839.6412775,721.5636242,612.02769,765.0576957,668.1320107,577.9918748,97.44273693,96.94797172,95.98711622,97.52805184,97.05869978,96.16566452,97.45644584,96.94647384,96.03332754,97.42036528,96.92739414,96.03819553
