City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3
Anshan,Liaoning ,239.6859357,171.9239878,109.739848,225.3264728,161.6029732,103.0920406,213.4581272,153.0566411,97.61273129,191.200238,137.2390811,87.7769056
Anyang,Henan,253.6242143,182.0706905,116.4096887,234.3069618,168.3105102,107.6271738,218.9248948,157.1369147,100.6488388,179.4200661,129.3302912,83.01731856
Baotou ,Inner Mongolia,230.68793,165.7307578,106.2121654,154.7721197,112.2316984,73.19371767,108.0735419,81.28918328,55.79866856,79.55174768,59.59589108,40.58767328
Changzhi,Shanxi ,261.7886071,188.0574573,120.2396693,222.5723268,160.4729344,102.8326551,185.3617257,133.8569646,86.21332127,98.48613901,73.86954103,51.0315424
Dalian,Liaoning ,251.5638221,180.2635709,114.7777713,235.4686295,168.7770824,107.5501259,217.2320115,155.8676481,99.46169682,186.7999045,134.1055786,85.81300479
Datong,Shanxi ,235.9806388,169.3973707,108.3266419,156.0275006,114.1429478,73.42240348,111.9287793,83.15548845,55.44176664,80.20233577,59.3762525,40.38051856
Guangzhou,Guangdong ,280.28702,201.361027,128.7073559,204.8447291,147.9269853,95.47724113,139.1267245,104.1006686,69.37280761,97.80838212,72.58911419,49.45653252
Handan,Hebei,255.6501894,183.5839001,117.3583758,235.4089978,169.0735727,108.1038525,216.8263658,155.7629807,100.0902004,157.6348574,114.4434371,74.66331124
Jinan ,Shandong ,259.6764035,186.4416977,119.2521358,218.5402628,156.924123,101.332696,175.1147837,126.3205654,81.91528525,102.6006627,76.87546627,52.37750852
Jinzhong,Shanxi,184.8204989,134.2155176,88.0384405,99.97655325,74.81967672,51.45532303,92.55368805,69.09765388,47.05080972,85.50510241,63.55773135,43.16322144
Laiwu ,Shandong ,260.5563304,187.2972148,119.7625282,210.3399004,152.3480575,97.79420751,168.6496551,121.7590696,79.41722328,98.79507724,74.18203414,51.42790365
Lijiang,Yunnan ,85.10128453,63.97036811,44.27976243,81.24605884,61.2211957,42.51242269,78.11393518,59.00864018,41.32538338,75.31102823,57.00886612,39.89353496
Liupanshui,Guizhou ,103.9178617,77.27250846,52.60989716,94.56884039,70.21025209,47.35178376,89.82146416,66.86309181,45.03141536,85.4034875,63.35941145,42.70538193
Lu’an,Anhui ,138.9855869,105.6311891,72.0320078,106.7803629,79.07003341,53.36033744,100.8974171,74.4358665,50.05607511,95.32614027,70.28587783,46.87703747
Maoming,Guangdong ,283.4050919,203.4021765,129.9803876,239.2917762,171.7464867,109.8111123,203.8932786,146.6216348,94.19530781,109.717987,83.10084875,57.56056262
Rizhao,Shandong,251.9589336,181.0809471,115.8650093,229.7910874,164.9447829,105.7701981,212.7578414,152.7418307,97.76150296,165.9928321,120.7477028,78.3341882
Tangshan,Hebei,257.5558095,184.9693279,118.2617001,231.1645989,166.0104901,106.1556895,199.3843711,143.8269247,92.25438875,109.4755964,81.98528148,56.14243024
Tongilao,Inner Mongolia,212.9661399,152.7241357,97.47327776,200.9666998,144.0666477,91.9690389,190.6494148,136.6409961,87.15453085,175.3366495,125.7908992,80.3371621
Urumqi,Xinjiang ,96.81320469,72.29183918,49.30268992,91.72491891,68.26241545,46.6558338,87.9745591,65.5791915,44.94060079,84.5407436,63.16314846,43.18832176
Wuhai,Inner Mongolia,229.28603,164.5604802,105.1669158,207.7680198,149.1861306,95.39238387,191.148807,137.4303873,87.84615705,146.7725204,106.3608682,68.65980868
Xingtai,Hebei,257.2307001,184.7305078,118.1482756,235.9769039,169.4550912,108.364565,217.9135126,156.4846654,100.1656974,157.5390206,114.6263386,74.36285285
Zhangjiagang,Jiangsu ,292.3005405,209.7865161,134.1195581,258.1396549,185.2741306,118.4778851,230.5400551,165.4851308,105.8759347,200.6073049,143.99125,92.15881292
Zhangjiakou,Hebei,236.1368446,169.4856301,108.4382412,161.3834982,116.8810437,75.56647429,115.8193727,86.20434725,58.340847,85.32751396,63.98494743,43.75701379
Zhanjiang,Guangdong ,291.4644934,209.1864795,133.6723222,259.4478124,186.2130428,119.1388165,235.4795283,169.1171324,108.1250777,201.2246847,144.5052255,92.47117887
Jiuquan,Gansu,94.32483909,70.52824138,48.41785974,84.60580354,62.91279701,42.76920188,80.60057711,59.60208673,40.73797995,76.53437574,56.69933851,38.47858519
Fuzhou,Fujian,294.4294651,211.3144614,135.2281399,263.4643041,189.1214283,120.9234368,237.8288301,170.7022431,109.1526867,193.0542907,138.6594244,89.05687883
Xiangyang,Hubei,272.0284019,195.5983367,125.3173317,138.6025802,104.1752671,71.35487294,111.8654921,84.28767037,57.69842184,98.61743293,73.2723923,49.82827831
Xianning,Hubei,275.0104329,197.777571,126.6454464,127.3501491,95.75181992,65.96212312,111.8997472,83.60571522,57.47705745,102.3435324,75.88698277,50.77507656
