t,s,w
t1,0.101,0.066
t2,0.22,0.096
t3,0.351,0.121
t4,0.491,0.155
t5,0.619,0.196
t6,0.617,0.235
t7,0.475,0.263
t8,0.22,0.261
t9,0.004,0.249
t10,0,0.218
t11,0,0.178
t12,0,0.15
t13,0,0.136
t14,0,0.125
t15,0,0.126
t16,0,0.146
t17,0,0.163
t18,0,0.17
t19,0,0.167
t20,0,0.152
t21,0,0.126
t22,0,0.081
t23,0,0.041
t24,0.079,0.017
t25,0.379,0.005
t26,0.598,0.003
t27,0.722,0.024
t28,0.772,0.089
t29,0.753,0.11
t30,0.665,0.1
t31,0.5,0.082
t32,0.246,0.055
t33,0.006,0.02
t34,0,0.002
t35,0,0
t36,0,0
t37,0,0.001
t38,0,0.003
t39,0,0.007
t40,0,0.011
t41,0,0.017
t42,0,0.018
t43,0,0.016
t44,0,0.01
t45,0,0.008
t46,0,0.015
t47,0,0.048
t48,0.064,0.115
t49,0.291,0.201
t50,0.48,0.168
t51,0.568,0.138
t52,0.528,0.183
t53,0.485,0.241
t54,0.442,0.296
t55,0.269,0.313
t56,0.095,0.334
t57,0,0.43
t58,0,0.536
t59,0,0.649
t60,0,0.712
t61,0,0.722
t62,0,0.706
t63,0,0.66
t64,0,0.544
t65,0,0.368
t66,0,0.235
t67,0,0.187
t68,0,0.186
t69,0,0.21
t70,0,0.193
t71,0,0.186
t72,0.021,0.188
t73,0.187,0.133
t74,0.525,0.279
t75,0.698,0.374
t76,0.745,0.328
t77,0.735,0.292
t78,0.648,0.27
t79,0.471,0.264
t80,0.219,0.247
t81,0.005,0.239
t82,0,0.228
t83,0,0.228
t84,0,0.244
t85,0,0.267
t86,0,0.307
t87,0,0.355
t88,0,0.422
t89,0,0.473
t90,0,0.502
t91,0,0.486
t92,0,0.462
t93,0,0.401
t94,0,0.309
t95,0,0.305
t96,0.087,0.3
t97,0.378,0.141
t98,0.597,0.193
t99,0.723,0.315
t100,0.775,0.256
t101,0.755,0.209
t102,0.665,0.175
t103,0.452,0.162
t104,0.232,0.167
t105,0.007,0.199
t106,0,0.244
t107,0,0.309
t108,0,0.343
t109,0,0.344
t110,0,0.353
t111,0,0.352
t112,0,0.311
t113,0,0.243
t114,0,0.187
t115,0,0.161
t116,0,0.168
t117,0,0.183
t118,0,0.171
t119,0,0.155
t120,0.077,0.136
t121,0.329,0.055
t122,0.522,0.023
t123,0.517,0.035
t124,0.372,0.039
t125,0.307,0.049
t126,0.262,0.054
t127,0.169,0.048
t128,0.039,0.041
t129,0,0.041
t130,0,0.028
t131,0,0.012
t132,0,0.006
t133,0,0.003
t134,0,0.001
t135,0,0
t136,0,0
t137,0,0.001
t138,0,0.003
t139,0,0.011
t140,0,0.02
t141,0,0.03
t142,0,0.026
t143,0,0.011
t144,0.065,0.002
t145,0.343,0.001
t146,0.558,0.002
t147,0.685,0.027
t148,0.731,0.068
t149,0.708,0.142
t150,0.611,0.184
t151,0.44,0.193
