Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,793.5890233,793.5890233,0.059659565,52.45729426,366.6298207,1.537847798,200.213649,-5.19E-12,89.40311056,0,33.58955823,1.372880442,9.02E-05,29.27438644,11.238298,426.9592026,71.99251247,235.2340426,0,0,6.05,26.367,10.79,73.40276596,793.5890233,558.3549807,235.2340426,3.122881631,3.122881631,22.46847674,1993.638052,731.4774318,0,116.7611284,5.421050384,2.644544269,59659.56531,0.069216779,0,0,1063829.787,0,6.92E-08,0.00011602,1.252631854,0.000982268,0.078354929,2.097756097,1.022827485,97.76819792,0,46.1989531,53.8010469,0.546781179,99.45321882,0,6640193.501,36307.32834,6603886.173,-1.56E-10,0,0.449369535,239.2365662,239.6859357,1.74275176,79.24663408,80.98938584,8.10E-05,4.004803583,18.84120445,149.5217303,238.9248409
cost,YCurrent,S2,685.9401858,685.9401858,0.042790848,52.46138127,275.8117164,1.253532986,143.5741746,3.35E-12,64.13298719,0,25.19216867,1.14513782,6.73E-05,29.27502674,11.23862109,410.1284694,54.15920176,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,685.9401858,509.5146538,176.4255319,2.342161223,2.342161223,18.31454113,1429.647475,524.7226016,0,116.7644852,5.421050384,2.644544269,42790.84823,0.045188352,0,0,797872.3404,250000,4.52E-08,0.000105603,0.899116932,3.84E-05,0.004272471,2.09803641,1.02285689,97.76538726,0,40.20929552,59.79070448,0.621053291,99.37894671,0,4765273.556,29594.88825,4735678.668,1.01E-10,0,0.366290823,171.557697,171.9239878,1.420554636,56.82814402,58.24869865,5.82E-05,4.46631301,18.51245015,126.9843349,191.1173221
cost,YCurrent,S3,586.3822968,586.3822968,0.02730887,52.44730029,191.756567,1.077547961,91.57619639,-1.40E-11,40.88002552,0,16.79477911,0.917395197,5.37E-05,29.27298053,11.23758859,394.6257299,37.65388482,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,586.3822968,468.7652756,117.6170213,1.561440815,1.561440815,15.74334035,911.874843,334.4717638,0,116.7537579,5.421050384,2.644544269,27308.87008,0.031616391,0,0,531914.8936,500000,3.16E-08,0.000115773,0.573376476,0.000459171,0.080017865,2.095510659,1.02276292,97.77436988,0,32.70162964,67.29837036,0.835192567,99.16480743,0,3046007.206,25440.02578,3020567.18,-4.18E-10,0,0.314866807,109.4249812,109.739848,1.221121237,36.24680616,37.4679274,3.75E-05,5.399167079,18.17331924,106.5651268,147.4451523
cost,Y2030,S1,722.8950968,722.8950968,0.059659556,44.43512411,307.5391186,1.52078006,173.054683,0,57.49331237,0,33.58955823,1.372880442,8.17E-05,29.27115523,11.23666756,415.3559782,60.38928801,235.2340426,0,0,6.05,26.367,10.79,73.40276596,722.8950968,487.6610542,235.2340426,3.122881631,3.122881631,26.56804769,1873.292599,733.0880725,0,116.7441888,5.421050384,2.644544269,59659.55625,0.060159103,0,0,1063829.787,0,6.02E-08,0.000100837,1.253613717,4.05E-07,3.23E-05,2.19587156,1.022679094,97.7823841,0,42.54270364,57.45729636,0.687111215,99.31288878,0,6248176.188,42931.91933,6205244.269,0,0,0.531360954,224.7951119,225.3264728,2.060732128,74.46293122,76.52366335,7.65E-05,3.240349677,18.78896566,135.8245115,193.3178239
cost,Y2030,S2,635.2106823,635.2106823,0.042790843,44.42873175,233.4086116,1.314263555,124.0537824,0,41.20083352,0,25.19216867,1.14513782,6.04E-05,29.26752798,11.23483727,401.8020707,45.83280309,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,635.2106823,458.7851504,176.4255319,2.342161223,2.342161223,22.96020162,1342.864743,525.3452686,0,116.725173,5.421050384,2.644544269,42790.84262,0.03957826,0,0,797872.3404,250000,3.96E-08,9.25E-05,0.899155038,3.10E-07,3.45E-05,2.1939402,1.022512515,97.79831397,0,36.74507027,63.25492973,0.827186537,99.17281346,0,4485314.522,37101.91789,4448212.604,-2.96E-12,0,0.459204032,161.1437692,161.6029732,1.780892058,53.37855125,55.1594433,5.52E-05,3.700740466,18.44379709,117.1569693,158.3578028
cost,Y2030,S3,553.9831702,553.9831702,0.027308867,44.41487946,164.6752145,1.173696172,79.04794861,-1.34E-11,26.23652433,0,16.79477911,0.917395197,5.10E-05,29.26915951,11.23566053,389.3079557,32.33611061,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,553.9831702,436.3661489,117.6170213,1.561440815,1.561440815,20.50448759,855.6829236,334.5377446,0,116.7337263,5.421050384,2.644544269,27308.86676,0.028300608,0,0,531914.8936,500000,2.83E-08,0.000103632,0.57383542,2.28E-07,3.97E-05,2.189133492,1.022587442,97.7911481,0,29.72567099,70.27432901,1.155463214,98.84453679,0,2867566.244,33133.6731,2834432.571,-4.44E-10,0,0.410089752,102.6819508,103.0920406,1.590416309,34.01319085,35.60360716,3.56E-05,4.63071565,18.09135688,100.2230724,126.4595967
cost,Y2040,S1,691.8637851,691.8637851,0.059659558,41.55102351,281.6010772,2.103578436,155.5733323,0,48.48630357,0,33.58955823,1.372880442,9.56E-05,29.24955857,11.22577005,410.2627079,55.29601773,235.2340426,0,0,6.05,26.367,10.79,73.40276596,691.8637851,456.6297425,235.2340426,3.122881631,3.122881631,41.06012559,1771.974373,700.0671701,0,116.6309684,5.421050384,2.644544269,59659.55834,0.062248265,0,0,1063829.787,0,6.22E-08,0.000104339,1.253613751,3.72E-07,2.97E-05,2.204913288,1.021687283,97.87730712,0,40.70180913,59.29819087,1.117759915,98.88224009,0,5935979.672,66350.00132,5869629.67,0,0,0.821202512,212.6369247,213.4581272,3.184800064,70.43555604,73.62035611,7.36E-05,2.950009638,18.42992382,127.5099685,175.9962721
cost,Y2040,S2,612.9396247,612.9396247,0.042790846,41.55014735,214.7929753,1.715217339,111.4922112,0,34.76459825,0,25.19216867,1.14513782,7.69E-05,29.25503276,11.22853229,398.1466495,42.17738186,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,612.9396247,436.5140928,176.4255319,2.342161223,2.342161223,33.47963553,1269.89207,501.9469855,0,116.6596668,5.421050384,2.644544269,42790.84574,0.042701586,0,0,797872.3404,250000,4.27E-08,9.98E-05,0.899152694,2.65E-06,0.000295217,2.204138179,1.021938681,97.85322919,0,35.04308852,64.95691148,1.269788459,98.73021154,0,4260592.597,54100.51308,4206492.084,0,0,0.669592711,152.3870484,153.0566411,2.596824628,50.47790501,53.07472964,5.31E-05,3.402732722,18.08354498,110.8412128,145.605811
cost,Y2040,S3,539.7508747,539.7508747,0.027308863,41.54781312,152.7789121,1.372411421,71.02523167,0,22.16790083,0,16.79477911,0.917395197,4.87E-05,29.26671701,11.23442807,386.9719627,30.00011759,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,539.7508747,422.1338534,117.6170213,1.561440815,1.561440815,26.78834521,808.9747032,320.0701737,0,116.7209215,5.421050384,2.644544269,27308.86347,0.025008101,0,0,531914.8936,500000,2.50E-08,9.16E-05,0.573835647,0,0,2.20228447,1.022475272,97.80187622,0,28.30544965,71.69455035,1.589713417,98.41028658,0,2723000.428,43287.90315,2679712.525,0,0,0.535766904,97.07696438,97.61273129,2.077819351,32.1565503,34.23436965,3.42E-05,4.316653315,17.73318019,95.7149952,117.882896
cost,Y2050,S1,662.4606676,662.4606676,0.059659538,38.19676383,257.0239892,16.31756675,127.0768891,0,38.22719072,0,33.58955823,1.372880442,7.90E-05,29.22596165,11.21386324,405.4366784,50.46998826,235.2340426,0,0,6.05,26.367,10.79,73.40276596,662.4606676,427.226625,235.2340426,3.122881631,3.122881631,386.0440378,1528.994644,636.1359212,0,116.5072617,5.421050384,2.644544269,59659.53798,0.041884365,0,0,1063829.787,0,4.19E-08,7.02E-05,1.253614123,0,0,2.101652949,1.020603612,97.98123269,0,38.79837729,61.20162271,10.96613324,89.03386676,0,5688581.618,623817.4396,5064764.178,0,0,7.720880755,183.4793573,191.200238,29.9432371,60.77717014,90.72040724,9.07E-05,2.639122819,17.99679032,119.2216573,157.448848
