t,s,w
t1,0.123,0.323
t2,0.333,0.167
t3,0.5,0.122
t4,0.568,0.101
t5,0.587,0.078
t6,0.538,0.05
t7,0.416,0.042
t8,0.234,0.063
t9,0.061,0.103
t10,0,0.113
t11,0,0.076
t12,0,0.042
t13,0,0.022
t14,0,0.013
t15,0,0.014
t16,0,0.022
t17,0,0.031
t18,0,0.035
t19,0,0.035
t20,0,0.033
t21,0,0.026
t22,0,0.017
t23,0,0.011
t24,0.001,0.008
t25,0.103,0.006
t26,0.287,0.001
t27,0.441,0
t28,0.636,0.007
t29,0.668,0.024
t30,0.632,0.045
t31,0.523,0.075
t32,0.342,0.114
t33,0.111,0.192
t34,0,0.272
t35,0,0.297
t36,0,0.291
t37,0,0.278
t38,0,0.255
t39,0,0.217
t40,0,0.171
t41,0,0.124
t42,0,0.093
t43,0,0.076
t44,0,0.071
t45,0,0.06
t46,0,0.044
t47,0,0.034
t48,0.001,0.035
t49,0.113,0.038
t50,0.302,0.01
t51,0.457,0.021
t52,0.534,0.065
t53,0.54,0.059
t54,0.516,0.061
t55,0.512,0.089
t56,0.322,0.121
t57,0.097,0.183
t58,0,0.167
t59,0,0.077
t60,0,0.011
t61,0,0
t62,0,0
t63,0,0.004
t64,0,0.037
t65,0,0.091
t66,0,0.153
t67,0,0.209
t68,0,0.261
t69,0,0.341
t70,0,0.429
t71,0,0.523
t72,0.001,0.613
t73,0.092,0.598
t74,0.262,0.606
t75,0.419,0.668
t76,0.558,0.586
t77,0.585,0.472
t78,0.542,0.37
t79,0.423,0.295
t80,0.247,0.245
t81,0.067,0.243
t82,0,0.285
t83,0,0.28
t84,0,0.238
t85,0,0.177
t86,0,0.12
t87,0,0.085
t88,0,0.068
t89,0,0.057
t90,0,0.051
t91,0,0.058
t92,0,0.069
t93,0,0.056
t94,0,0.049
t95,0,0.07
t96,0.003,0.105
t97,0.158,0.144
t98,0.388,0.116
t99,0.47,0.09
t100,0.468,0.047
t101,0.366,0.064
t102,0.21,0.093
t103,0.134,0.104
t104,0.068,0.098
t105,0.023,0.07
t106,0,0.077
t107,0,0.096
t108,0,0.086
t109,0,0.077
t110,0,0.065
t111,0,0.035
t112,0,0.018
t113,0,0.011
t114,0,0.008
t115,0,0.007
t116,0,0.005
t117,0,0.003
t118,0,0.004
t119,0,0.003
t120,0.002,0.001
t121,0.156,0
t122,0.353,0
t123,0.495,0.005
t124,0.574,0.024
