Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,961.4584294,961.4584294,0.059659542,69.96314846,468.2295528,123.1065295,182.1495451,0,87.26792059,0,33.58955823,1.372880442,7.50E-05,29.42749074,11.31555322,493.2288766,91.9429354,235.2340426,0,0,6.05,26.367,10.79,73.40276596,961.4584294,726.2243868,235.2340426,49.44213266,49.44213266,1798.628056,1813.763776,714.007757,0,117.5637772,6.018186465,3.880883459,59659.54245,0.04635443,0,0,1063829.787,0,4.64E-08,7.77E-05,1.253579803,3.43E-05,0.00273767,2.047656748,1.029858688,97.10070044,0,48.69992696,51.30007304,39.0049756,60.9950244,0,6712121.659,2618061.415,4094060.244,0,0,35.97256113,217.6516532,253.6242143,125.6669479,49.12872293,174.7956709,0.000174796,4.472459947,18.67548174,179.5569935,266.8249141
cost,YCurrent,S2,807.9940146,807.9940146,0.042790843,69.96541936,348.7949115,88.27207745,130.7859719,-4.91E-12,62.63947407,0,25.19216867,1.14513782,6.57E-05,29.43877084,11.32124506,459.199103,68.49039713,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,807.9940146,631.5684826,176.4255319,37.0815995,37.0815995,1289.684923,1302.308267,512.5029916,0,117.6229131,6.018186465,3.880883459,42790.84287,0.039830493,0,0,797872.3404,250000,3.98E-08,9.31E-05,0.899154271,1.08E-06,0.000119885,2.049178115,1.030376719,97.05188229,0,43.16800685,56.83199315,38.97261505,61.02738495,0,4816843.559,1877249.898,2939593.661,-1.47E-10,0,25.79369846,156.276992,182.0706905,90.1079951,35.27512393,125.383119,0.000125383,4.929246446,18.35250428,148.2871361,210.9266101
cost,YCurrent,S3,665.446445,665.446445,0.027308862,69.94485304,238.4852982,56.35906301,83.6393469,6.68E-13,39.98340198,0,16.79477911,0.917395197,3.97E-05,29.45954485,11.33172746,426.9611468,46.82967624,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,665.446445,547.8294237,117.6170213,24.72106633,24.72106633,823.4249827,832.8432423,327.1357787,0,117.7318207,6.018186465,3.880883459,27308.86198,0.023515908,0,0,531914.8936,500000,2.35E-08,8.61E-05,0.573823357,1.23E-05,0.002141781,2.049550332,1.03133075,96.96210458,0,35.8383909,64.1616091,38.93379108,61.06620892,0,3078476.281,1198567.524,1879908.758,2.00E-11,0,16.46849965,99.94118907,116.4096887,57.53124114,22.55890509,80.09014623,8.01E-05,5.855421104,18.02120752,119.9214848,159.9048867
cost,Y2030,S1,865.3353307,865.3353307,0.059659548,58.58911626,387.8834515,104.2823508,152.3273691,0,55.53184041,0,33.58955823,1.372880442,7.91E-05,29.45163651,11.32773698,477.4518792,76.16593807,235.2340426,0,0,6.05,26.367,10.79,73.40276596,865.3353307,630.1012882,235.2340426,49.44213266,49.44213266,1821.814042,1648.922342,708.0776558,0,117.6903613,6.018186465,3.880883459,59659.54796,0.051869506,0,0,1063829.787,0,5.19E-08,8.69E-05,1.253161305,0.000452817,0.036120961,2.120956351,1.030967565,96.99626195,0,44.82464054,55.17535946,41.60494076,58.39505924,0,6373787.849,2651810.658,3721977.19,0,0,36.43628085,197.870681,234.3069618,127.2869116,44.66372628,171.9506379,0.000171951,3.61278056,18.49052142,160.0050147,215.5368551
cost,Y2030,S2,739.0329271,739.0329271,0.042790839,58.5912131,291.152632,74.68256389,109.4828721,-3.06E-12,39.85471854,0,25.19216867,1.14513782,6.07E-05,29.46209567,11.33301458,447.8802951,57.17158918,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,739.0329271,562.6073951,176.4255319,37.0815995,37.0815995,1304.705376,1185.136689,508.1811708,0,117.7451934,6.018186465,3.880883459,42790.83949,0.03645079,0,0,797872.3404,250000,3.65E-08,8.52E-05,0.899020081,0.000135267,0.015043796,2.12225987,1.031447894,96.95109232,0,39.39643571,60.60356429,41.51770717,58.48229283,0,4574225.355,1899113.488,2675111.867,-1.01E-10,0,26.09410751,142.2164027,168.3105102,91.15744744,32.1013424,123.2587898,0.000123259,4.067740852,18.15985762,134.2073273,174.0620459
cost,Y2030,S3,621.4183068,621.4183068,0.027308865,58.58437987,201.6836417,47.65710683,70.03614346,0,25.44956757,0,16.79477911,0.917395197,4.34E-05,29.48435811,11.34424803,419.7346651,39.60319448,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,621.4183068,503.8012855,117.6170213,24.72106633,24.72106633,832.5702844,758.1314006,324.5033842,0,117.8619042,6.018186465,3.880883459,27308.86543,0.026965321,0,0,531914.8936,500000,2.70E-08,9.87E-05,0.573479887,0.000355761,0.061996946,2.123471186,1.03247028,96.85508813,0,32.45537499,67.54462501,41.45803304,58.54196696,0,2923147.159,1211879.315,1711267.844,0,0,16.65140569,90.97576808,107.6271738,58.17020713,20.53521413,78.70542125,7.87E-05,4.987708381,17.82359615,110.7590894,136.208657
cost,Y2040,S1,818.7404565,818.7404565,0.059659557,53.85614649,348.9363458,92.55828253,133.7373913,0,46.86904089,0,33.58955823,1.372880442,8.77E-05,29.4713968,11.33770786,469.8041107,68.51816957,235.2340426,0,0,6.05,26.367,10.79,73.40276596,818.7404565,583.5064139,235.2340426,49.44213266,49.44213266,1806.661753,1523.263831,676.7164004,0,117.7939545,6.018186465,3.880883459,59659.55656,0.060464236,0,0,1063829.787,0,6.05E-08,0.000101349,1.252620219,0.000993904,0.079283067,2.131368377,1.031875042,96.91095913,0,42.61867641,57.38132359,43.33741856,56.66258144,0,6068093.705,2629755.167,3438338.538,0,0,36.13323506,182.7916597,218.9248948,126.228248,41.26006245,167.4883105,0.000167488,3.271325294,18.1127944,148.2967755,195.1658164
cost,Y2040,S2,705.6135529,705.6135529,0.042790845,53.85354046,263.2184886,66.42908953,95.99394459,0,33.63009725,0,25.19216867,1.14513782,6.47E-05,29.4839459,11.34404004,442.3950643,51.68635842,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,705.6135529,529.1880209,176.4255319,37.0815995,37.0815995,1296.641338,1093.367399,485.5665472,0,117.8597432,6.018186465,3.880883459,42790.84524,0.042205582,0,0,797872.3404,250000,4.22E-08,9.86E-05,0.899155349,0,0,2.132208795,1.03245135,96.85686398,0,37.30349105,62.69650895,43.3347058,56.6652942,0,4355344.147,1887375.572,2467968.574,0,0,25.93282677,131.2040879,157.1369147,90.59402748,29.61562289,120.2096504,0.00012021,3.717503675,17.77814878,125.4450272,159.0751245
cost,Y2040,S3,600.0882625,600.0882625,0.027308872,53.83423541,183.8545671,42.286975,61.56056245,2.99E-12,21.43441104,0,16.79477911,0.917395197,5.25E-05,29.50548388,11.35490793,416.2336954,36.10222482,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,600.0882625,482.4712412,117.6170213,24.72106633,24.72106633,825.4070656,701.1724787,309.4797164,0,117.9726559,6.018186465,3.880883459,27308.87193,0.033464529,0,0,531914.8936,500000,3.35E-08,0.000122541,0.573831113,4.53E-06,0.000790215,2.129414792,1.033440466,96.76416135,0,30.63792088,69.36207912,43.15327336,56.84672664,0,2784151.76,1201452.62,1582699.14,1.03E-10,0,16.50814131,84.14069745,100.6488388,57.66972575,18.99238968,76.66211543,7.67E-05,4.616329552,17.43615864,104.6323415,126.0667525
cost,Y2050,S1,768.505307,768.505307,0.059659567,48.12171844,306.946455,92.76801773,93.86435894,5.74E-13,44.40526281,0,33.58955823,1.372880442,9.15E-05,29.56257147,11.38371388,461.558852,60.27291082,235.2340426,0,0,6.05,26.367,10.79,73.40276596,768.505307,533.2712644,235.2340426,49.44213266,49.44213266,2194.723067,1129.38004,738.9447728,0,118.2719374,6.018186465,3.880883459,59659.56651,0.070415203,0,0,1063829.787,0,7.04E-08,0.000118028,1.253613165,9.58E-07,7.64E-05,2.441309579,1.036062172,96.51930424,0,39.94070726,60.05929274,55.61777738,44.38222262,0,5743869.514,3194612.559,2549256.954,2.04E-11,0,43.89446134,135.5256048,179.4200661,153.3414029,30.59108345,183.9324863,0.000183932,3.045301143,17.86273719,137.2760833,181.6813461
