t,s,w
t1,0.118,0.008
t2,0.414,0.007
t3,0.629,0.003
t4,0.725,0.004
t5,0.69,0.003
t6,0.544,0.002
t7,0.342,0.002
t8,0.201,0.003
t9,0.079,0.007
t10,0,0.019
t11,0,0.045
t12,0,0.077
t13,0,0.096
t14,0,0.105
t15,0,0.106
t16,0,0.118
t17,0,0.139
t18,0,0.16
t19,0,0.187
t20,0,0.209
t21,0,0.234
t22,0,0.254
t23,0,0.281
t24,0,0.321
t25,0.034,0.337
t26,0.129,0.223
t27,0.234,0.141
t28,0.357,0.17
t29,0.425,0.178
t30,0.407,0.171
t31,0.328,0.162
t32,0.24,0.141
t33,0.11,0.135
t34,0,0.161
t35,0,0.19
t36,0,0.208
t37,0,0.204
t38,0,0.183
t39,0,0.164
t40,0,0.155
t41,0,0.141
t42,0,0.146
t43,0,0.168
t44,0,0.205
t45,0,0.258
t46,0,0.26
t47,0,0.213
t48,0,0.157
t49,0.079,0.105
t50,0.369,0.055
t51,0.659,0.047
t52,0.782,0.07
t53,0.822,0.127
t54,0.778,0.168
t55,0.66,0.197
t56,0.475,0.211
t57,0.199,0.221
t58,0,0.278
t59,0,0.316
t60,0,0.34
t61,0,0.355
t62,0,0.341
t63,0,0.311
t64,0,0.289
t65,0,0.26
t66,0,0.231
t67,0,0.22
t68,0,0.21
t69,0,0.19
t70,0,0.16
t71,0,0.13
t72,0,0.1
t73,0.168,0.072
t74,0.492,0.017
t75,0.694,0
t76,0.803,0.001
t77,0.836,0.01
t78,0.803,0.028
t79,0.704,0.039
t80,0.53,0.048
t81,0.251,0.068
t82,0.001,0.118
t83,0,0.141
t84,0,0.142
t85,0,0.128
t86,0,0.099
t87,0,0.06
t88,0,0.03
t89,0,0.011
t90,0,0.005
t91,0,0.006
t92,0,0.008
t93,0,0.007
t94,0,0.037
t95,0,0.12
t96,0,0.205
t97,0.018,0.233
t98,0.092,0.157
t99,0.159,0.085
t100,0.197,0.113
t101,0.225,0.149
t102,0.224,0.167
t103,0.183,0.155
t104,0.127,0.116
t105,0.068,0.107
t106,0,0.18
t107,0,0.291
t108,0,0.362
t109,0,0.384
t110,0,0.348
t111,0,0.283
t112,0,0.251
t113,0,0.235
t114,0,0.191
t115,0,0.115
t116,0,0.063
t117,0,0.046
t118,0,0.043
t119,0,0.035
t120,0,0.035
t121,0.129,0.056
t122,0.395,0.058
t123,0.598,0.032
t124,0.72,0.06
t125,0.771,0.144
t126,0.778,0.236
t127,0.689,0.297
t128,0.519,0.321
t129,0.247,0.329
t130,0.001,0.369
t131,0,0.376
t132,0,0.374
t133,0,0.37
t134,0,0.352
t135,0,0.332
t136,0,0.362
t137,0,0.391
t138,0,0.371
t139,0,0.324
t140,0,0.261
t141,0,0.179
t142,0,0.102
t143,0,0.076
t144,0,0.105
t145,0.032,0.149
t146,0.165,0.124
t147,0.43,0.161
t148,0.695,0.245
t149,0.795,0.308
t150,0.779,0.341
t151,0.687,0.355
t152,0.515,0.367
t153,0.241,0.349
t154,0.001,0.377
t155,0,0.409
t156,0,0.403
t157,0,0.367
t158,0,0.311
t159,0,0.261
t160,0,0.253
t161,0,0.255
t162,0,0.232
t163,0,0.186
t164,0,0.141
t165,0,0.111
t166,0,0.081
t167,0,0.045
t168,0,0.019
t169,0.205,0.005
t170,0.513,0.001
t171,0.708,0
t172,0.816,0
t173,0.853,0
t174,0.823,0
t175,0.723,0
t176,0.541,0
t177,0.254,0
t178,0.002,0
t179,0,0.002
t180,0,0.007
t181,0,0.013
t182,0,0.011
t183,0,0.017
t184,0,0.038
t185,0,0.062
t186,0,0.077
t187,0,0.095
t188,0,0.106
t189,0,0.105
t190,0,0.11
t191,0,0.129
t192,0,0.147
t193,0.046,0.14
t194,0.203,0.07
t195,0.417,0.033
t196,0.626,0.057
t197,0.723,0.058
t198,0.698,0.048
t199,0.59,0.035
t200,0.4,0.022
t201,0.144,0.01
t202,0,0.002
t203,0,0
t204,0,0
t205,0,0
t206,0,0
t207,0,0.001
t208,0,0.009
t209,0,0.038
t210,0,0.083
t211,0,0.126
t212,0,0.154
t213,0,0.167
t214,0,0.14
t215,0,0.088
t216,0,0.051
t217,0.052,0.042
t218,0.145,0.026
t219,0.243,0.019
t220,0.322,0.045
t221,0.366,0.084
t222,0.377,0.124
t223,0.374,0.144
t224,0.325,0.141
t225,0.121,0.115
t226,0,0.079
t227,0,0.04
t228,0,0.017
t229,0,0.009
t230,0,0.013
t231,0,0.025
t232,0,0.058
t233,0,0.118
t234,0,0.159
t235,0,0.162
t236,0,0.146
t237,0,0.118
t238,0,0.065
t239,0,0.026
t240,0,0.011
t241,0.165,0.008
t242,0.446,0.006
t243,0.652,0.005
t244,0.78,0.027
t245,0.819,0.055
t246,0.79,0.08
t247,0.688,0.103
t248,0.504,0.115
t249,0.232,0.1
t250,0.003,0.103
t251,0,0.151
t252,0,0.215
t253,0,0.282
t254,0,0.347
t255,0,0.388
t256,0,0.439
t257,0,0.522
t258,0,0.559
t259,0,0.566
t260,0,0.592
t261,0,0.611
t262,0,0.56
t263,0,0.495
t264,0,0.44
t265,0.161,0.363
t266,0.456,0.192
t267,0.68,0.192
t268,0.79,0.243
t269,0.828,0.302
t270,0.8,0.348
t271,0.706,0.386
t272,0.536,0.376
t273,0.268,0.298
t274,0.004,0.239
t275,0,0.162
t276,0,0.105
t277,0,0.068
t278,0,0.042
t279,0,0.025
t280,0,0.023
t281,0,0.03
t282,0,0.037
t283,0,0.04
t284,0,0.04
t285,0,0.031
t286,0,0.011
t287,0,0.002
t288,0,0.001
t289,0.212,0.003
t290,0.502,0.007
t291,0.692,0.002
t292,0.796,0.004
