Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,929.9408554,929.9408554,0.059659553,65.11594676,448.7699801,118.3659228,164.1137832,0,90.82842214,0,33.58955823,1.372880442,7.64E-05,29.26551527,11.23382168,481.1708752,88.12179634,235.2340426,0,0,6.05,26.367,10.79,73.40276596,929.9408554,694.7068128,235.2340426,41.20527038,41.20527038,1729.366188,1634.171719,743.1390311,0,116.7146214,4.879263298,3.81346248,59659.55256,0.056461394,0,0,1063829.787,0,5.65E-08,9.46E-05,1.253612066,2.06E-06,0.000164085,2.131200087,1.022420083,97.80715543,0,48.2579056,51.7420944,45.26825716,54.73174284,0,6858719.483,3104822.773,3753896.709,0,0,34.58732376,196.1006062,230.68793,149.0314931,45.04676051,194.0782536,0.000194078,4.382215539,18.34660722,170.6125961,261.4410183
cost,YCurrent,S2,785.0260333,785.0260333,0.042790842,65.09690438,334.7604293,84.85214439,117.9476397,1.03E-11,65.10678938,0,25.19216867,1.14513782,5.98E-05,29.27691542,11.2395741,450.265604,65.73454482,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,785.0260333,608.6005013,176.4255319,30.90395278,30.90395278,1239.718544,1174.469891,532.6900462,0,116.7743866,4.879263298,3.81346248,42790.84239,0.039347526,0,0,797872.3404,250000,3.93E-08,9.20E-05,0.898130394,0.001024954,0.113990771,2.129893512,1.022943627,97.75709764,0,42.64322648,57.35677352,45.20505081,54.79494919,0,4923636.556,2225732.407,2697904.149,3.08E-10,0,24.79437088,140.936387,165.7307578,106.8351555,32.37484979,139.2100053,0.00013921,4.829219378,18.02992129,141.5395759,206.6463653
cost,YCurrent,S3,650.4979813,650.4979813,0.027308866,65.05853137,229.4328341,54.0031747,75.6813035,-7.02E-12,41.48591786,0,16.79477911,0.917395197,4.51E-05,29.29933288,11.25088577,421.0651472,45.05210771,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,650.4979813,532.88096,117.6170213,20.60263519,20.60263519,789.0046573,753.6006021,339.4290474,0,116.89191,4.879263298,3.81346248,27308.86601,0.027548479,0,0,531914.8936,500000,2.75E-08,0.000100877,0.573052882,0.000782766,0.136409425,2.126569026,1.023973132,97.6588124,0,35.27033761,64.72966239,45.00306198,54.99693802,0,3147656.662,1416541.878,1731114.783,-2.11E-10,0,15.78009315,90.43207226,106.2121654,67.99401017,20.7733774,88.76738756,8.88E-05,5.736585394,17.70546986,115.173724,156.6596419
cost,Y2030,S1,831.9888191,831.9888191,0.059659573,54.88034484,366.8951307,137.1481623,82.25858679,-3.07E-12,71.75051493,0,33.58955823,1.372880442,9.96E-05,29.44894807,11.32638041,465.0936884,72.04460953,235.2340426,0,0,6.05,26.367,10.79,73.40276596,831.9888191,596.7547766,235.2340426,41.20527038,41.20527038,2395.980202,890.4376302,914.8793923,0,117.6762671,4.879263298,3.81346248,59659.57317,0.077072192,0,0,1063829.787,0,7.71E-08,0.000129187,1.252888471,0.000725651,0.057884752,2.740403431,1.0308441,97.00787925,0,44.09856506,55.90143494,67.77340797,32.22659203,0,6347076.786,4301630.244,2045446.541,-1.01E-10,0,47.91960405,106.8525156,154.7721197,206.4782517,24.5453585,231.0236102,0.000231024,3.790021118,18.55319731,154.3605272,226.1110422
cost,Y2030,S2,714.8392924,714.8392924,0.042790857,54.85668878,276.0936669,97.62021886,60.14178864,-1.79E-12,51.20478051,0,25.19216867,1.14513782,7.52E-05,29.45836503,11.33113213,438.7456256,54.2145664,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,714.8392924,538.4137605,176.4255319,30.90395278,30.90395278,1705.42651,651.0264016,652.9040039,0,117.7256355,4.879263298,3.81346248,42790.85709,0.054056339,0,0,797872.3404,250000,5.41E-08,0.000126327,0.899063012,9.23E-05,0.010269219,2.726648439,1.031276567,96.96719887,0,38.62318004,61.37681996,67.18498573,32.81501427,0,4557331.624,3061842.601,1495489.023,-5.91E-11,0,34.1085302,78.12316819,112.2316984,146.9684449,17.94586827,164.9143131,0.000164914,4.239211119,18.21314218,130.1946967,181.3994772
cost,Y2030,S3,605.7934826,605.7934826,0.027308877,54.8184202,192.0658304,61.32336257,39.85218735,-5.69E-12,32.36322278,0,16.79477911,0.917395197,5.33E-05,29.47520213,11.339628,413.7276521,37.7146127,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,605.7934826,488.1764613,117.6170213,20.60263519,20.60263519,1071.319952,431.3943219,412.658301,0,117.813904,4.879263298,3.81346248,27308.87652,0.038061973,0,0,531914.8936,500000,3.81E-08,0.000139376,0.573600433,0.000235214,0.04098981,2.700334414,1.032049799,96.89454917,0,31.70483605,68.29516395,65.99715673,34.00284327,0,2914364.172,1923397.49,990966.6816,-1.88E-10,0,21.42639905,51.76731863,73.19371767,92.32307954,11.89160018,104.2146797,0.000104215,5.148164163,17.86538809,108.2273567,140.5905794
cost,Y2040,S1,783.328683,783.328683,0.05965961,49.94123016,326.2217413,142.1963875,38.45667218,1.22E-12,69.36518579,0,33.58955823,1.372880442,0.000121841,29.75840527,11.48253006,457.1069418,64.05786287,235.2340426,0,0,6.05,26.367,10.79,73.40276596,783.328683,548.0946405,235.2340426,41.20527038,41.20527038,2775.556845,438.0200421,1001.52591,0,119.2985955,4.879263298,3.81346248,59659.60999,0.113898685,0,0,1063829.787,0,1.14E-07,0.000190914,1.2535575,5.66E-05,0.004516779,3.154377138,1.045055696,95.68867991,0,41.64557591,58.35442409,83.20023567,16.79976433,0,5989291.097,4983104.308,1006186.789,4.21E-11,0,55.5111369,52.56240505,108.0735419,239.1890068,12.07424147,251.2632483,0.000251263,3.565551218,18.300646,143.3542093,212.7193951
cost,Y2040,S2,680.0808619,680.0808619,0.042790882,49.91660361,247.0402508,99.61507661,31.02226539,-5.86E-12,48.88125535,0,25.19216867,1.14513782,9.08E-05,29.72073446,11.46352166,433.0406111,48.50955195,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,680.0808619,503.65533,176.4255319,30.90395278,30.90395278,1944.404585,353.3424298,705.7696624,0,119.1011063,4.879263298,3.81346248,42790.88205,0.079007993,0,0,797872.3404,250000,7.90E-08,0.000184637,0.89915477,5.78E-07,6.43E-05,3.099157049,1.043325692,95.84734739,0,36.32512906,63.67487094,81.13516345,18.86483655,0,4302564.334,3490892.605,811671.7291,-2.02E-10,0,38.8880917,42.40109158,81.28918328,167.562845,9.740060749,177.3029058,0.000177303,3.994667739,17.9469983,122.0541007,170.935356
cost,Y2040,S3,583.7637346,583.7637346,0.027308888,49.86463231,173.6518967,61.17232901,23.35242963,2.44E-12,30.2920224,0,16.79477911,0.917395197,6.15E-05,29.67994188,11.44293805,410.1118378,34.0987984,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,583.7637346,466.1467133,117.6170213,20.60263519,20.60263519,1194.033685,265.9832906,437.3699135,0,118.8872514,4.879263298,3.81346248,27308.88816,0.049694201,0,0,531914.8936,500000,4.97E-08,0.000181971,0.573835327,3.20E-07,5.58E-05,3.00937787,1.041452322,96.01975807,0,29.74694837,70.25305163,77.8199111,22.1800889,0,2754708.824,2143711.958,610996.8663,8.43E-11,0,23.8806737,31.91799487,55.79866856,102.898174,7.331962396,110.2301364,0.00011023,4.866752815,17.5779309,102.6135859,132.9056083
cost,Y2050,S1,726.540338,726.540338,0.059659709,42.1961775,278.7542523,125.3523568,14.01781772,2.76E-12,62.08563025,0,33.58955823,1.372880442,0.000150534,30.48612614,11.84973222,447.7860857,54.73700679,235.2340426,0,0,6.05,26.367,10.79,73.40276596,726.540338,491.3062954,235.2340426,41.20527038,41.20527038,2965.609438,168.662991,1033.162491,0,123.1136695,4.879263298,3.81346248,59659.70859,0.212497883,0,0,1063829.787,0,2.12E-07,0.000356183,1.253326674,0.000287448,0.022929554,3.413331512,1.078475745,92.72345758,0,38.36734696,61.63265304,93.21679728,6.783202723,0,5711755.774,5324315.801,387439.9732,9.81E-11,0,59.31218876,20.23955892,79.55174768,255.5671584,4.649279678,260.2164381,0.000260216,3.225459506,17.94041392,130.344344,192.4299742
