t,s,w
t1,0.196,0.236
t2,0.456,0.089
t3,0.619,0.072
t4,0.654,0.045
t5,0.665,0.011
t6,0.619,0
t7,0.506,0
t8,0.335,0
t9,0.11,0
t10,0,0.02
t11,0,0.082
t12,0,0.128
t13,0,0.153
t14,0,0.167
t15,0,0.186
t16,0,0.192
t17,0,0.18
t18,0,0.155
t19,0,0.121
t20,0,0.088
t21,0,0.059
t22,0,0.038
t23,0,0.028
t24,0,0.028
t25,0.164,0.045
t26,0.413,0.04
t27,0.59,0.1
t28,0.708,0.117
t29,0.736,0.108
t30,0.696,0.101
t31,0.587,0.1
t32,0.403,0.119
t33,0.15,0.168
t34,0,0.244
t35,0,0.259
t36,0,0.219
t37,0,0.192
t38,0,0.192
t39,0,0.204
t40,0,0.221
t41,0,0.231
t42,0,0.234
t43,0,0.225
t44,0,0.2
t45,0,0.144
t46,0,0.093
t47,0,0.066
t48,0,0.054
t49,0.153,0.041
t50,0.397,0.011
t51,0.566,0.009
t52,0.591,0.005
t53,0.619,0
t54,0.607,0
t55,0.565,0
t56,0.381,0
t57,0.134,0.015
t58,0,0.08
t59,0,0.117
t60,0,0.1
t61,0,0.051
t62,0,0.017
t63,0,0.002
t64,0,0
t65,0,0
t66,0,0
t67,0,0.001
t68,0,0.015
t69,0,0.053
t70,0,0.1
t71,0,0.146
t72,0,0.196
t73,0.131,0.225
t74,0.348,0.264
t75,0.521,0.2
t76,0.673,0.09
t77,0.7,0.034
t78,0.642,0.01
t79,0.516,0.004
t80,0.33,0.002
t81,0.106,0.006
t82,0,0.044
t83,0,0.072
t84,0,0.061
t85,0,0.043
t86,0,0.03
t87,0,0.02
t88,0,0.014
t89,0,0.013
t90,0,0.014
t91,0,0.014
t92,0,0.02
t93,0,0.028
t94,0,0.045
t95,0,0.055
t96,0,0.056
t97,0.113,0.086
t98,0.261,0.086
t99,0.263,0.049
t100,0.189,0.02
t101,0.206,0.009
t102,0.209,0.007
t103,0.155,0.02
t104,0.093,0.025
t105,0.024,0.029
t106,0,0.049
t107,0,0.055
t108,0,0.038
t109,0,0.025
t110,0,0.013
t111,0,0.015
t112,0,0.025
t113,0,0.038
t114,0,0.044
t115,0,0.045
t116,0,0.063
t117,0,0.109
t118,0,0.167
t119,0,0.145
t120,0.001,0.076
t121,0.129,0.034
t122,0.28,0.012
t123,0.386,0.023
t124,0.482,0.042
t125,0.549,0.054
t126,0.594,0.055
t127,0.567,0.04
t128,0.387,0.02
t129,0.14,0.012
t130,0,0.007
t131,0,0.003
t132,0,0.004
t133,0,0.003
t134,0,0.001
t135,0,0
t136,0,0.001
t137,0,0.003
t138,0,0.009
t139,0,0.025
t140,0,0.045
t141,0,0.06
t142,0,0.119
t143,0,0.164
t144,0,0.15
t145,0.104,0.108
t146,0.286,0.067
t147,0.412,0.046
t148,0.542,0.014
t149,0.623,0.001
t150,0.583,0
t151,0.47,0
t152,0.291,0.001
t153,0.09,0.009
t154,0,0.035
t155,0,0.044
t156,0,0.034
t157,0,0.022
t158,0,0.013
t159,0,0.009
t160,0,0.005
t161,0,0.009
t162,0,0.038
t163,0,0.096
t164,0,0.16
t165,0,0.217
t166,0,0.238
t167,0,0.233
t168,0.001,0.201
t169,0.134,0.139
t170,0.265,0.144
t171,0.386,0.212
t172,0.454,0.181
t173,0.491,0.137
t174,0.45,0.133
t175,0.295,0.152
t176,0.139,0.203
t177,0.039,0.321
t178,0,0.391
t179,0,0.386
t180,0,0.282
t181,0,0.202
t182,0,0.159
t183,0,0.121
t184,0,0.101
t185,0,0.085
t186,0,0.074
t187,0,0.065
t188,0,0.058
t189,0,0.055
t190,0,0.051
t191,0,0.046
t192,0,0.028
t193,0.069,0.006
t194,0.158,0.012
t195,0.258,0.04
t196,0.263,0.062
t197,0.249,0.054
t198,0.208,0.03
t199,0.153,0.013
t200,0.097,0.005
t201,0.034,0.003
t202,0,0.005
t203,0,0.015
t204,0,0.05
t205,0,0.112
t206,0,0.201
t207,0,0.289
t208,0,0.341
t209,0,0.377
t210,0,0.413
t211,0,0.442
t212,0,0.447
t213,0,0.468
t214,0,0.51
t215,0,0.531
t216,0.001,0.509
t217,0.16,0.37
t218,0.403,0.146
t219,0.578,0.087
t220,0.659,0.035
t221,0.663,0.007
t222,0.571,0
t223,0.333,0
t224,0.128,0
t225,0.038,0
t226,0,0
t227,0,0
t228,0,0.008
t229,0,0.035
t230,0,0.069
t231,0,0.118
t232,0,0.162
t233,0,0.18
t234,0,0.219
t235,0,0.264
t236,0,0.32
t237,0,0.332
t238,0,0.311
t239,0,0.305
t240,0.001,0.329
t241,0.183,0.277
t242,0.432,0.12
t243,0.605,0.053
t244,0.699,0.014
t245,0.725,0.006
t246,0.688,0.008
t247,0.583,0.013
t248,0.403,0.016
t249,0.156,0.007
t250,0,0.001
t251,0,0
t252,0,0
t253,0,0
t254,0,0.002
t255,0,0.025
t256,0,0.089
t257,0,0.151
t258,0,0.158
t259,0,0.14
t260,0,0.168
t261,0,0.245
t262,0,0.324
t263,0,0.407
t264,0.006,0.47
t265,0.265,0.446
t266,0.514,0.226
t267,0.664,0.32
t268,0.718,0.376
t269,0.71,0.337
t270,0.653,0.279
t271,0.497,0.217
t272,0.273,0.14
t273,0.078,0.088
t274,0,0.085
t275,0,0.107
t276,0,0.134
t277,0,0.163
t278,0,0.205
t279,0,0.261
t280,0,0.315
t281,0,0.338
t282,0,0.32
t283,0,0.28
t284,0,0.227
t285,0,0.168
t286,0,0.131
t287,0,0.115
t288,0.007,0.113
t289,0.289,0.115
t290,0.537,0.046
t291,0.695,0.005
t292,0.776,0
t293,0.795,0.001
t294,0.754,0
t295,0.649,0
t296,0.468,0
t297,0.201,0
t298,0.002,0.013
t299,0,0.027
t300,0,0.029
t301,0,0.024
t302,0,0.027
t303,0,0.054
t304,0,0.076
t305,0,0.058
t306,0,0.022
t307,0,0.044
t308,0,0.058
t309,0,0.019
t310,0,0.036
t311,0,0.051
t312,0.003,0.049
t313,0.167,0.095
t314,0.365,0.092
t315,0.471,0.19
t316,0.496,0.27
t317,0.416,0.297
t318,0.308,0.31
t319,0.212,0.3
t320,0.115,0.265
t321,0.038,0.305
t322,0,0.443
t323,0,0.644
t324,0,0.752
t325,0,0.772
t326,0,0.738
t327,0,0.679
t328,0,0.612
t329,0,0.566
t330,0,0.559
t331,0,0.538
t332,0,0.52
t333,0,0.618
t334,0,0.652
t335,0,0.602
t336,0.003,0.469
t337,0.079,0.414
t338,0.211,0.366
t339,0.391,0.264
t340,0.431,0.151
t341,0.404,0.069
t342,0.43,0.034
t343,0.367,0.012
t344,0.269,0.002
t345,0.093,0.001
t346,0,0
t347,0,0.001
t348,0,0
t349,0,0
t350,0,0.001
t351,0,0.012
t352,0,0.018
t353,0,0.014
t354,0,0.012
t355,0,0.018
t356,0,0.037
t357,0,0.055
t358,0,0.077
t359,0,0.12
t360,0.006,0.18
t361,0.266,0.169
t362,0.525,0.207
t363,0.694,0.28
t364,0.791,0.27
t365,0.81,0.227
t366,0.767,0.193
t367,0.657,0.164
t368,0.479,0.129
t369,0.216,0.089
t370,0.004,0.068
t371,0,0.061
t372,0,0.099
t373,0,0.221
t374,0,0.401
t375,0,0.542
t376,0,0.55
t377,0,0.474
t378,0,0.45
t379,0,0.513
t380,0,0.571
t381,0,0.583
t382,0,0.569
t383,0,0.573
t384,0.014,0.574
t385,0.339,0.395
t386,0.586,0.203
t387,0.74,0.12
t388,0.816,0.024
t389,0.833,0.001
t390,0.789,0
t391,0.678,0.003
t392,0.494,0.027
t393,0.226,0.071
t394,0.004,0.093
t395,0,0.126
t396,0,0.168
t397,0,0.166
t398,0,0.161
t399,0,0.213
t400,0,0.278
t401,0,0.278
t402,0,0.204
t403,0,0.126
t404,0,0.095
t405,0,0.061
t406,0,0.042
t407,0,0.035
t408,0.002,0.033
t409,0.073,0.027
t410,0.178,0.008
t411,0.285,0.001
t412,0.362,0
t413,0.365,0.001
t414,0.34,0.003
t415,0.274,0.005
t416,0.171,0.015
t417,0.067,0.066
t418,0,0.157
t419,0,0.217
t420,0,0.195
t421,0,0.12
t422,0,0.051
t423,0,0.02
t424,0,0.015
t425,0,0.022
t426,0,0.041
t427,0,0.07
t428,0,0.113
t429,0,0.196
t430,0,0.286
t431,0,0.246
t432,0.002,0.17
t433,0.091,0.117
t434,0.154,0.166
t435,0.164,0.126
t436,0.222,0.057
t437,0.308,0.016
t438,0.286,0.006
t439,0.21,0.006
t440,0.191,0.007
t441,0.109,0.006
t442,0.001,0.022
t443,0,0.033
t444,0,0.019
t445,0,0.007
t446,0,0.008
t447,0,0.008
t448,0,0.004
t449,0,0.001
t450,0,0.001
t451,0,0.013
t452,0,0.049
t453,0,0.104
t454,0,0.16
t455,0,0.192
t456,0.005,0.157
t457,0.233,0.102
t458,0.482,0.078
t459,0.652,0.014
t460,0.752,0
t461,0.776,0.009
t462,0.734,0.058
t463,0.616,0.131
t464,0.445,0.193
t465,0.2,0.213
t466,0.006,0.18
t467,0,0.137
t468,0,0.154
t469,0,0.261
t470,0,0.466
t471,0,0.632
t472,0,0.69
t473,0,0.697
t474,0,0.703
t475,0,0.719
t476,0,0.744
t477,0,0.771
t478,0,0.785
t479,0,0.795
t480,0.015,0.794
t481,0.358,0.692
t482,0.608,0.772
t483,0.763,0.753
t484,0.847,0.677
t485,0.864,0.647
t486,0.82,0.642
t487,0.712,0.642
t488,0.534,0.648
t489,0.27,0.62
t490,0.013,0.676
t491,0,0.773
t492,0,0.799
t493,0,0.765
t494,0,0.757
t495,0,0.756
t496,0,0.773
t497,0,0.788
t498,0,0.794
t499,0,0.796
t500,0,0.8
t501,0,0.802
t502,0,0.786
t503,0,0.77
t504,0.022,0.758
t505,0.353,0.61
t506,0.592,0.38
t507,0.743,0.5
t508,0.818,0.58
t509,0.833,0.567
t510,0.79,0.514
t511,0.683,0.437
t512,0.509,0.332
t513,0.253,0.268
t514,0.011,0.25
t515,0,0.317
t516,0,0.43
t517,0,0.501
t518,0,0.503
t519,0,0.457
t520,0,0.41
t521,0,0.379
t522,0,0.344
t523,0,0.317
t524,0,0.291
t525,0,0.251
t526,0,0.207
t527,0,0.154
t528,0.022,0.098
t529,0.326,0.077
t530,0.553,0.055
t531,0.699,0.077
t532,0.761,0.21
t533,0.78,0.223
t534,0.74,0.216
t535,0.608,0.226
t536,0.428,0.271
t537,0.18,0.418
t538,0.005,0.491
t539,0,0.395
t540,0,0.253
t541,0,0.164
t542,0,0.131
t543,0,0.113
t544,0,0.102
t545,0,0.087
t546,0,0.068
t547,0,0.052
t548,0,0.044
t549,0,0.039
t550,0,0.031
t551,0,0.023
t552,0.009,0.019
t553,0.155,0.022
t554,0.406,0.018
