Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,958.2513953,958.2513953,0.059659538,71.04354492,479.3362571,124.0842717,188.7431076,0,90.87544736,0,33.58955823,1.372880442,6.80E-05,29.37955734,11.2913664,478.9151383,94.12388059,235.2340426,0,0,6.05,26.367,10.79,73.40276596,958.2513953,723.0173528,235.2340426,32.94744915,32.94744915,1812.9132,1879.419526,743.5237816,0,117.3124865,5.631434203,4.13847058,59659.53781,0.041715881,0,0,1063829.787,0,4.17E-08,6.99E-05,1.253609287,4.84E-06,0.000385765,2.132304015,1.027657382,97.30869625,0,50.0219733,49.9780267,41.4822192,58.5177808,0,6798296.796,2820084.379,3978212.417,0,0,36.25826399,225.5303431,261.7886071,135.3640502,47.73854901,183.1025992,0.000183103,4.491610466,18.48074085,177.0919571,267.9674044
cost,YCurrent,S2,805.1305881,805.1305881,0.042790833,71.02190013,356.7419867,88.95157492,135.6300444,0,65.13931192,0,25.19216867,1.14513782,5.12E-05,29.38804739,11.29565041,448.3886015,70.05090823,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,805.1305881,628.7050562,176.4255319,24.71058686,24.71058686,1299.612611,1350.543376,532.9561387,0,117.3569956,5.631434203,4.13847058,42790.83329,0.030251559,0,0,797872.3404,250000,3.03E-08,7.07E-05,0.898509915,0.000645434,0.071782247,2.130957902,1.028047281,97.27179072,0,44.30858694,55.69141306,41.4236601,58.5763399,0,4880345.172,2021617.596,2858727.576,0,0,25.99225222,162.0652051,188.0574573,97.03764459,34.30473091,131.3423755,0.000131342,4.939035678,18.15930764,146.2061404,211.3454523
cost,YCurrent,S3,663.2376415,663.2376415,0.02730886,71.00571183,243.5327115,56.78748708,86.73983429,-1.51E-12,41.58161088,0,16.79477911,0.917395197,3.94E-05,29.40656919,11.30499636,419.70493,47.8208012,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,663.2376415,545.6206202,117.6170213,16.47372458,16.47372458,829.6844034,863.7165103,340.2119876,0,117.454096,5.631434203,4.13847058,27308.85965,0.021185385,0,0,531914.8936,500000,2.12E-08,7.76E-05,0.573794255,4.14E-05,0.007213234,2.131474749,1.028897881,97.19137519,0,36.71877111,63.28122889,41.38099926,58.61900074,0,3118868.359,1290618.892,1828249.467,-4.51E-11,0,16.59368807,103.6459812,120.2396693,61.94970684,21.9389936,83.88870044,8.39E-05,5.854267519,17.83550144,118.2917591,159.87337
cost,Y2030,S1,858.0537041,858.0537041,0.059659545,59.77585677,395.5843393,117.8431876,139.6460688,0,62.39428662,0,33.58955823,1.372880442,7.34E-05,29.42432722,11.31395692,462.4693648,77.6781071,235.2340426,0,0,6.05,26.367,10.79,73.40276596,858.0537041,622.8196615,235.2340426,32.94744915,32.94744915,2058.72204,1511.64905,795.5796149,0,117.5471924,5.631434203,4.13847058,59659.54502,0.048925859,0,0,1063829.787,0,4.89E-08,8.20E-05,1.253082244,0.000531879,0.04242763,2.383057431,1.029713406,97.11440043,0,46.10251519,53.89748481,50.02116055,49.97883945,0,6402197.129,3202453.304,3199743.825,0,0,41.1744408,181.397886,222.5723268,153.7177586,38.39692589,192.1146845,0.000192115,3.695719677,18.42433254,158.0906678,220.4849545
cost,Y2030,S2,733.2588286,733.2588286,0.042790838,59.75403651,296.6667732,84.03866776,100.9326448,0,44.60690943,0,25.19216867,1.14513782,5.40E-05,29.43290539,11.3182854,436.5920554,58.2543622,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,733.2588286,556.8332967,176.4255319,24.71058686,24.71058686,1468.156633,1092.581681,568.7756002,0,117.5921635,5.631434203,4.13847058,42790.8379,0.034864119,0,0,797872.3404,250000,3.49E-08,8.15E-05,0.898802512,0.000352837,0.0392409,2.375313659,1.030107352,97.07726073,0,40.45867047,59.54132953,49.68566301,50.31433699,0,4596490.789,2283796.924,2312693.866,0,0,29.36313267,131.1098017,160.4729344,109.6222523,27.75232639,137.3745787,0.000137375,4.142341827,18.09011539,132.6473682,177.2542777
cost,Y2030,S3,617.3600228,617.3600228,0.02730886,59.72877069,205.1851358,53.51124295,64.77052046,0,28.41371737,0,16.79477911,0.917395197,3.50E-05,29.45035521,11.32709044,412.174887,40.29075818,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,617.3600228,499.7430015,117.6170213,16.47372458,16.47372458,934.8421197,701.1317724,362.2987864,0,117.6836441,5.631434203,4.13847058,27308.85987,0.021406976,0,0,531914.8936,500000,2.14E-08,7.84E-05,0.573613149,0.000222498,0.03877385,2.370795584,1.030908722,97.00179836,0,33.23589611,66.76410389,49.49111642,50.50888358,0,2938299.848,1454197.399,1484102.45,0,0,18.69684239,84.13581268,102.8326551,69.80147513,17.8092294,87.61070453,8.76E-05,5.053570321,17.75196357,109.5935264,138.0072437
cost,Y2040,S1,808.4511056,808.4511056,0.059659555,55.0101077,354.123177,118.5583321,101.755165,0,58.01296123,0,33.58955823,1.372880442,8.77E-05,29.48807085,11.34612146,454.3279287,69.53667103,235.2340426,0,0,6.05,26.367,10.79,73.40276596,808.4511056,573.2170631,235.2340426,32.94744915,32.94744915,2314.161393,1158.987482,837.6173601,0,117.8813682,5.631434203,4.13847058,59659.55523,0.059136398,0,0,1063829.787,0,5.91E-08,9.91E-05,1.25294049,0.000673632,0.053735222,2.638137914,1.032640786,96.83909583,0,43.80267087,56.19732913,59.47080042,40.52919958,0,6053059.63,3599803.012,2453256.618,0,0,46.28322787,139.0784978,185.3617257,172.7905446,29.43907942,202.229624,0.00020223,3.431694044,18.14833057,146.7203792,204.7333404
cost,Y2040,S2,697.7037603,697.7037603,0.042790845,54.99580823,266.947474,84.52533211,73.79279807,0,41.44340832,0,25.19216867,1.14513782,6.72E-05,29.49762127,11.35094052,430.7562862,52.418593,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,697.7037603,521.2782283,176.4255319,24.71058686,24.71058686,1649.86515,840.4971799,598.3786647,0,117.9314362,5.631434203,4.13847058,42790.84464,0.041599932,0,0,797872.3404,250000,4.16E-08,9.72E-05,0.89915448,8.69E-07,9.66E-05,2.627586841,1.033079381,96.79798261,0,38.26086216,61.73913784,59.05930084,40.94069916,0,4345554.886,2566454.333,1779100.553,0,0,32.99730299,100.8596616,133.8569646,123.189808,21.34920663,144.5390146,0.000144539,3.872300727,17.80922184,124.2556105,165.6990188
cost,Y2040,S3,594.7028601,594.7028601,0.027308868,54.98010186,186.246767,53.54239876,47.78421421,0,26.32842981,0,16.79477911,0.917395197,4.97E-05,29.51818393,11.36131628,408.4560931,36.57196425,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,594.7028601,477.0858388,117.6170213,16.47372458,16.47372458,1045.103705,544.2603931,380.1417719,0,118.0392359,5.631434203,4.13847058,27308.86802,0.029561966,0,0,531914.8936,500000,2.96E-08,0.00010825,0.573563954,0.000271693,0.047346861,2.615614481,1.034023707,96.70958156,0,31.3176175,68.6823825,58.52603323,41.47396677,0,2777764.285,1625715.249,1152049.036,0,0,20.9020741,65.31124718,86.21332127,78.03433193,13.82458844,91.85892037,9.19E-05,4.76780964,17.46671512,103.8750544,130.2034842
cost,Y2050,S1,748.8372888,748.8372888,0.059659662,47.41643392,304.29397,140.5878566,22.13884436,-1.29E-11,64.68025625,0,33.58955823,1.372880442,0.000128615,30.21268801,11.71175752,444.5433187,59.75206106,235.2340426,0,0,6.05,26.367,10.79,73.40276596,748.8372888,513.6032462,235.2340426,32.94744915,32.94744915,3326.053735,266.375536,1076.339475,0,121.6801711,5.631434203,4.13847058,59659.66192,0.165828972,0,0,1063829.787,0,1.66E-07,0.000277958,1.253614123,0,0,3.55598113,1.065918299,93.8158207,0,40.63552585,59.36447415,90.17300449,9.826995509,0,5737699.681,5173856.191,563843.49,-4.60E-10,0,66.5210747,31.96506432,98.48613901,248.3450972,6.76612188,255.1112191,0.000255111,3.328122064,17.87763282,133.8743809,198.5546372
