t,s,w
t1,0.133,0.481
t2,0.338,0.532
t3,0.546,0.585
t4,0.691,0.651
t5,0.683,0.697
t6,0.603,0.718
t7,0.452,0.715
t8,0.226,0.689
t9,0.015,0.633
t10,0,0.571
t11,0,0.501
t12,0,0.445
t13,0,0.42
t14,0,0.407
t15,0,0.383
t16,0,0.38
t17,0,0.375
t18,0,0.347
t19,0,0.329
t20,0,0.341
t21,0,0.374
t22,0,0.365
t23,0,0.323
t24,0.093,0.278
t25,0.373,0.225
t26,0.58,0.174
t27,0.704,0.161
t28,0.732,0.174
t29,0.715,0.19
t30,0.632,0.192
t31,0.465,0.187
t32,0.227,0.178
t33,0.014,0.186
t34,0,0.181
t35,0,0.147
t36,0,0.098
t37,0,0.054
t38,0,0.026
t39,0,0.011
t40,0,0.009
t41,0,0.011
t42,0,0.011
t43,0,0.007
t44,0,0.004
t45,0,0.001
t46,0,0
t47,0,0
t48,0.031,0
t49,0.118,0
t50,0.201,0
t51,0.429,0.001
t52,0.566,0.005
t53,0.574,0.012
t54,0.482,0.018
t55,0.328,0.018
t56,0.132,0.013
t57,0.005,0.014
t58,0,0.024
t59,0,0.026
t60,0,0.036
t61,0,0.068
t62,0,0.086
t63,0,0.091
t64,0,0.103
t65,0,0.119
t66,0,0.133
t67,0,0.156
t68,0,0.197
t69,0,0.263
t70,0,0.373
t71,0,0.479
t72,0.015,0.523
t73,0.129,0.516
t74,0.291,0.566
t75,0.491,0.501
t76,0.558,0.414
t77,0.585,0.372
t78,0.536,0.368
t79,0.367,0.391
t80,0.177,0.435
t81,0.011,0.493
t82,0,0.551
t83,0,0.55
t84,0,0.519
t85,0,0.455
t86,0,0.386
t87,0,0.341
t88,0,0.358
t89,0,0.42
t90,0,0.48
t91,0,0.552
t92,0,0.624
t93,0,0.692
t94,0,0.697
t95,0,0.648
t96,0.091,0.583
t97,0.375,0.473
t98,0.586,0.417
t99,0.706,0.328
t100,0.748,0.259
t101,0.744,0.259
t102,0.673,0.267
t103,0.512,0.255
t104,0.265,0.265
t105,0.021,0.344
t106,0,0.481
t107,0,0.497
t108,0,0.488
t109,0,0.491
t110,0,0.466
t111,0,0.413
t112,0,0.374
t113,0,0.374
t114,0,0.422
t115,0,0.467
t116,0,0.46
t117,0,0.446
t118,0,0.442
t119,0,0.413
t120,0.063,0.349
t121,0.274,0.265
t122,0.521,0.223
t123,0.678,0.175
t124,0.729,0.161
t125,0.71,0.179
t126,0.623,0.222
t127,0.465,0.243
t128,0.216,0.235
t129,0.013,0.238
t130,0,0.231
t131,0,0.201
t132,0,0.165
t133,0,0.124
t134,0,0.088
t135,0,0.07
