Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,815.7152699,815.7152699,0.059659566,55.70776025,385.1244143,3.165032054,209.7561641,-4.38E-11,96.49962639,0,33.58955823,1.372880442,8.62E-05,29.42617677,11.31489019,430.5908555,75.6241654,235.2340426,0,0,6.05,26.367,10.79,73.40276596,815.7152699,580.4812273,235.2340426,3.122881631,3.122881631,46.24218937,2088.658153,789.5396306,0,117.5568887,5.471259027,2.784458146,59659.56572,0.069623409,0,0,"1,063,829.79",0,6.96E-08,0.000116701,1.253007827,0.000606295,0.0483638,2.264268848,1.029798345,97.10639028,0,47.21309366,52.78690634,1.114187868,98.88581213,0,6645027.654,74038.09195,6570989.562,-1.31E-09,0,0.924843787,250.6389783,251.5638221,3.553828414,78.85187475,82.40570316,8.24E-05,4.192095701,18.82997514,153.5989826,250.0986089
cost,YCurrent,S2,701.8983256,701.8983256,0.042790851,55.71247966,289.1505947,2.720635768,150.1946814,-2.20E-11,69.15735985,0,25.19216867,1.14513782,7.02E-05,29.42582721,11.31471381,412.7477308,56.77846324,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,701.8983256,525.4727937,176.4255319,2.342161223,2.342161223,39.74940925,1495.571523,565.8309611,0,117.5550561,5.471259027,2.784458146,42790.85055,0.047511244,0,0,797872.3404,250000,4.75E-08,0.000111031,0.89874198,0.000413369,0.045973001,2.262402821,1.029782292,97.10790409,0,41.19550998,58.80449002,1.334571711,98.66542829,0,4768761.401,63642.54065,4705118.861,-6.58E-10,0,0.794988185,179.4685828,180.2635709,3.054841951,56.46142633,59.51626828,5.95E-05,4.650980271,18.50154604,129.8620418,199.0194017
cost,YCurrent,S3,596.6813878,596.6813878,0.027308867,55.69720665,200.3652346,2.491685467,95.44654375,-2.90E-11,43.9777358,0,16.79477911,0.917395197,5.28E-05,29.42350198,11.31354052,396.3161532,39.34430817,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,596.6813878,479.0643666,117.6170213,1.561440815,1.561440815,36.40436787,950.4140325,359.8165773,0,117.5428661,5.471259027,2.784458146,27308.86707,0.028612037,0,0,531914.8936,500000,2.86E-08,0.000104772,0.573587551,0.000248097,0.043234827,2.254299578,1.029675507,97.11797482,0,33.57993708,66.42006292,1.912095283,98.08790472,0,3048321.675,58286.81497,2990034.86,-8.70E-10,0,0.728087357,114.0496839,114.7777713,2.797767118,35.88041833,38.67818544,3.87E-05,5.578749683,18.1623895,108.3715977,152.3493335
cost,Y2030,S1,739.9687683,739.9687683,0.059659556,47.08221272,321.8104328,4.315044937,180.1108485,-1.47E-11,61.71416017,0,33.58955823,1.372880442,8.40E-05,29.40410409,11.30375249,418.1583355,63.19164533,235.2340426,0,0,6.05,26.367,10.79,73.40276596,739.9687683,504.7347257,235.2340426,3.122881631,3.122881631,75.38389193,1949.674597,786.9074308,0,117.4411727,5.471259027,2.784458146,59659.55638,0.060280864,0,0,1063829.787,0,6.03E-08,0.000101041,1.253220923,0.000393199,0.03136525,2.35708056,1.028784673,97.20207017,0,43.48973181,56.51026819,1.929776465,98.07022353,0,6254439.27,120696.6971,6133742.572,-4.85E-10,0,1.507677839,233.9609517,235.4686295,5.793441459,73.60491087,79.39835233,7.94E-05,3.362995844,18.77385721,138.92068,200.6348401
cost,Y2030,S2,647.5361836,647.5361836,0.042790843,47.08477421,243.7110882,3.390097175,129.0182906,-2.91E-11,44.24728602,0,25.19216867,1.14513782,6.28E-05,29.41087567,11.30716938,403.8250954,47.85582777,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,647.5361836,471.1106517,176.4255319,2.342161223,2.342161223,59.22504232,1396.604846,564.1900994,0,117.4766727,5.471259027,2.784458146,42790.84343,0.040390913,0,0,797872.3404,250000,4.04E-08,9.44E-05,0.898770766,0.000384582,0.042771514,2.356163442,1.029095653,97.17269692,0,37.63667489,62.36332511,2.112575102,97.8874249,0,4488591.19,94824.85991,4393766.331,-9.61E-10,0,1.184500846,167.5925815,168.7770824,4.551593276,52.72519597,57.27678924,5.73E-05,3.823452796,18.43317593,119.3614839,163.60877
cost,Y2030,S3,561.9533969,561.9533969,0.027308867,47.06644053,171.337262,2.646870765,82.08367529,-3.60E-11,28.15633767,0,16.79477911,0.917395197,4.74E-05,29.42424242,11.31391414,390.616135,33.64428989,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,561.9533969,444.3363756,117.6170213,1.561440815,1.561440815,46.24086715,888.5442378,359.0169789,0,117.5467479,5.471259027,2.784458146,27308.86674,0.028273688,0,0,531914.8936,500000,2.83E-08,0.000103533,0.573501195,0.000334453,0.058283727,2.349319639,1.029709512,97.11476769,0,30.4895856,69.5104144,2.580166407,97.41983359,0,2869426.358,74035.97495,2795390.383,-1.19E-09,0,0.924817343,106.6253085,107.5501259,3.553726798,33.54468459,37.09841139,3.71E-05,4.751945425,18.08226576,101.6139067,129.7702443
cost,Y2040,S1,706.657937,706.657937,0.05965955,43.92207673,293.9670168,11.99080344,155.5104654,0,50.83742218,0,33.58955823,1.372880442,8.76E-05,29.37615157,11.28964788,412.6909202,57.72423007,235.2340426,0,0,6.05,26.367,10.79,73.40276596,706.657937,471.4238944,235.2340426,3.122881631,3.122881631,234.0506475,1771.258321,734.0136835,0,117.2946318,5.471259027,2.784458146,59659.54991,0.053812635,0,0,1063829.787,0,5.38E-08,9.02E-05,1.253614123,0,0,2.311830667,1.027500975,97.32350867,0,41.59962004,58.40037996,6.301092958,93.69890704,0,5947175.989,374737.0875,5572438.902,0,0,4.681012951,212.5509986,217.2320115,17.9873802,66.86926682,84.85664702,8.49E-05,3.031886108,18.40261484,130.0435384,180.8809606
cost,Y2040,S2,623.6216512,623.6216512,0.04279084,43.91973716,223.7217259,8.666280558,111.5634918,0,36.47195117,0,25.19216867,1.14513782,6.42E-05,29.38733886,11.29529289,399.8999253,43.93065766,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,623.6216512,447.1961193,176.4255319,2.342161223,2.342161223,169.1586879,1270.703953,526.5985189,0,117.3532811,5.471259027,2.784458146,42790.84047,0.037434434,0,0,797872.3404,250000,3.74E-08,8.75E-05,0.899155349,0,0,2.312387715,1.028014742,97.27486958,0,35.87459247,64.12540753,6.345036763,93.65496324,0,4268516.8,270838.9602,3997677.84,0,0,3.383173757,152.4844743,155.8676481,13.00027009,47.97213407,60.97240416,6.10E-05,3.483994564,18.05760018,112.6111044,149.0830556
cost,Y2040,S3,546.6636674,546.6636674,0.027308862,43.91170484,158.5570856,5.733109741,71.13250481,0,23.26664297,0,16.79477911,0.917395197,4.58E-05,29.40726201,11.30534596,388.1065818,31.13473677,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,546.6636674,429.0466461,117.6170213,1.561440815,1.561440815,111.9055995,810.1965403,335.9343093,0,117.4577281,5.471259027,2.784458146,27308.8615,0.023040582,0,0,531914.8936,500000,2.30E-08,8.44E-05,0.573835647,0,0,2.311439886,1.028929698,97.18836977,0,29.00450405,70.99549595,6.567680008,93.43231999,0,2728077.246,179171.3839,2548905.862,0,0,2.23811199,97.22358483,99.46169682,8.600226427,30.58687035,39.18709678,3.92E-05,4.396762602,17.70813459,96.80393799,120.070581
cost,Y2050,S1,673.102425,673.102425,0.059659544,39.66846504,265.9190803,32.98663955,118.5666041,0,38.69243873,0,33.58955823,1.372880442,7.18E-05,29.4061185,11.30476895,407.1833447,52.21665457,235.2340426,0,0,6.05,26.367,10.79,73.40276596,673.102425,437.8683824,235.2340426,3.122881631,3.122881631,780.4040713,1426.598525,643.8780797,0,117.4517333,5.471259027,2.784458146,59659.54436,0.048262214,0,0,1063829.787,0,4.83E-08,8.09E-05,1.253613236,8.87E-07,7.08E-05,2.127231107,1.028877184,97.19333033,0,39.5064808,60.4935192,21.77729774,78.22270226,0,5737627.741,1249500.276,4488127.465,0,0,15.60808143,171.191823,186.7999045,59.97601325,53.85752958,113.8335428,0.000113834,2.66559368,17.87776439,120.3356657,159.0281044
