t,s,w
t1,0.174,0.041
t2,0.484,0.025
t3,0.675,0.014
t4,0.772,0.017
t5,0.795,0.021
t6,0.748,0.017
t7,0.626,0.007
t8,0.39,0.001
t9,0.086,0
t10,0,0
t11,0,0.001
t12,0,0.003
t13,0,0.005
t14,0,0.006
t15,0,0.006
t16,0,0.003
t17,0,0.002
t18,0,0.002
t19,0,0.002
t20,0,0.003
t21,0,0.003
t22,0,0.003
t23,0,0.002
t24,0,0.001
t25,0.123,0.001
t26,0.338,0
t27,0.491,0.001
t28,0.531,0.018
t29,0.487,0.035
t30,0.365,0.037
t31,0.233,0.027
t32,0.131,0.01
t33,0.03,0.006
t34,0,0.019
t35,0,0.043
t36,0,0.069
t37,0,0.101
t38,0,0.133
t39,0,0.163
t40,0,0.201
t41,0,0.234
t42,0,0.251
t43,0,0.264
t44,0,0.271
t45,0,0.259
t46,0,0.234
t47,0,0.195
t48,0,0.148
t49,0.089,0.101
t50,0.286,0.047
t51,0.473,0.071
t52,0.608,0.066
t53,0.697,0.062
t54,0.662,0.077
t55,0.513,0.087
t56,0.296,0.078
t57,0.076,0.067
t58,0,0.085
t59,0,0.145
t60,0,0.234
t61,0,0.32
t62,0,0.328
t63,0,0.283
t64,0,0.222
t65,0,0.175
t66,0,0.143
t67,0,0.129
t68,0,0.119
t69,0,0.105
t70,0,0.091
t71,0,0.09
t72,0,0.1
t73,0.237,0.073
t74,0.519,0.064
t75,0.697,0.085
t76,0.792,0.055
t77,0.815,0.045
t78,0.767,0.05
t79,0.649,0.057
t80,0.447,0.058
t81,0.156,0.046
t82,0,0.047
t83,0,0.084
t84,0,0.135
t85,0,0.176
t86,0,0.189
t87,0,0.165
t88,0,0.12
t89,0,0.085
t90,0,0.07
t91,0,0.06
t92,0,0.053
t93,0,0.056
t94,0,0.063
t95,0,0.059
t96,0,0.054
t97,0.048,0.037
t98,0.184,0.013
t99,0.286,0.014
t100,0.297,0.009
t101,0.262,0.006
t102,0.234,0.008
t103,0.153,0.009
t104,0.077,0.002
t105,0.018,0
t106,0,0
t107,0,0.004
t108,0,0.036
t109,0,0.11
t110,0,0.167
t111,0,0.196
t112,0,0.21
t113,0,0.208
t114,0,0.196
t115,0,0.194
t116,0,0.183
t117,0,0.153
t118,0,0.123
t119,0,0.117
t120,0,0.134
t121,0.071,0.126
t122,0.227,0.069
t123,0.421,0.113
t124,0.587,0.191
t125,0.658,0.23
t126,0.615,0.266
t127,0.526,0.277
t128,0.347,0.237
t129,0.104,0.19
t130,0,0.213
t131,0,0.243
t132,0,0.277
t133,0,0.308
t134,0,0.282
t135,0,0.259
t136,0,0.256
t137,0,0.265
t138,0,0.257
t139,0,0.228
t140,0,0.179
t141,0,0.121
t142,0,0.079
t143,0,0.061
t144,0,0.059
t145,0.071,0.058
t146,0.22,0.101
t147,0.328,0.175
t148,0.377,0.179
t149,0.423,0.184
t150,0.409,0.192
t151,0.345,0.199
t152,0.281,0.202
t153,0.121,0.192
t154,0,0.202
t155,0,0.243
t156,0,0.301
t157,0,0.337
t158,0,0.328
t159,0,0.28
t160,0,0.264
t161,0,0.27
t162,0,0.262
t163,0,0.241
t164,0,0.215
t165,0,0.19
t166,0,0.156
t167,0,0.116
t168,0,0.079
t169,0.265,0.034
t170,0.544,0.021
t171,0.72,0.034
t172,0.814,0.011
t173,0.836,0.006
t174,0.79,0.004
t175,0.673,0.001
t176,0.473,0
t177,0.176,0
t178,0,0.001
t179,0,0.006
t180,0,0.017
t181,0,0.035
t182,0,0.03
t183,0,0.021
t184,0,0.018
t185,0,0.018
t186,0,0.02
t187,0,0.029
t188,0,0.041
t189,0,0.049
t190,0,0.045
t191,0,0.05
t192,0,0.068
t193,0.086,0.085
t194,0.237,0.051
t195,0.392,0.077
t196,0.528,0.155
t197,0.558,0.19
t198,0.523,0.182
t199,0.421,0.156
t200,0.254,0.124
t201,0.064,0.088
t202,0,0.076
t203,0,0.078
t204,0,0.084
t205,0,0.087
t206,0,0.092
t207,0,0.106
t208,0,0.146
t209,0,0.213
t210,0,0.28
t211,0,0.332
t212,0,0.37
t213,0,0.376
t214,0,0.332
t215,0,0.267
t216,0,0.212
t217,0.143,0.157
t218,0.362,0.063
t219,0.621,0.026
t220,0.719,0.056
t221,0.738,0.083
t222,0.69,0.095
t223,0.57,0.092
t224,0.362,0.075
t225,0.095,0.082
t226,0,0.112
t227,0,0.144
t228,0,0.181
t229,0,0.217
t230,0,0.228
t231,0,0.221
t232,0,0.208
t233,0,0.186
t234,0,0.15
t235,0,0.118
t236,0,0.111
t237,0,0.115
t238,0,0.124
t239,0,0.123
t240,0,0.105
t241,0.159,0.077
t242,0.412,0.02
t243,0.605,0.006
t244,0.706,0.002
t245,0.736,0.004
t246,0.695,0.01
t247,0.582,0.019
t248,0.391,0.029
t249,0.129,0.045
t250,0,0.071
t251,0,0.101
t252,0,0.111
t253,0,0.121
t254,0,0.159
t255,0,0.214
t256,0,0.263
t257,0,0.285
t258,0,0.28
t259,0,0.309
t260,0,0.398
t261,0,0.394
t262,0,0.299
t263,0,0.265
t264,0,0.299
t265,0.208,0.3
t266,0.467,0.175
t267,0.656,0.352
t268,0.749,0.498
t269,0.773,0.586
t270,0.734,0.644
t271,0.627,0.672
t272,0.439,0.633
t273,0.163,0.471
t274,0,0.435
t275,0,0.47
t276,0,0.464
t277,0,0.434
t278,0,0.386
t279,0,0.336
t280,0,0.323
t281,0,0.323
t282,0,0.305
t283,0,0.285
t284,0,0.272
t285,0,0.259
t286,0,0.218
t287,0,0.16
t288,0,0.114
t289,0.27,0.074
t290,0.531,0.019
t291,0.699,0.004
t292,0.78,0.033
t293,0.796,0.063
t294,0.75,0.071
t295,0.638,0.066
t296,0.448,0.054
t297,0.169,0.045
t298,0,0.052
t299,0,0.068
t300,0,0.092
t301,0,0.107
t302,0,0.105
t303,0,0.088
t304,0,0.073
t305,0,0.075
t306,0,0.084
t307,0,0.094
t308,0,0.112
t309,0,0.13
t310,0,0.141
t311,0,0.156
t312,0,0.206
t313,0.237,0.266
t314,0.493,0.201
t315,0.656,0.172
t316,0.742,0.475
t317,0.752,0.606
t318,0.718,0.668
t319,0.583,0.728
t320,0.412,0.794
t321,0.14,0.833
t322,0,0.832
t323,0,0.87
t324,0,0.908
t325,0,0.914
t326,0,0.889
t327,0,0.856
t328,0,0.82
t329,0,0.812
t330,0,0.809
t331,0,0.79
t332,0,0.762
t333,0,0.703
t334,0,0.601
t335,0,0.5
t336,0.002,0.41
t337,0.332,0.308
t338,0.599,0.436
t339,0.77,0.397
t340,0.863,0.289
t341,0.883,0.235
t342,0.836,0.233
t343,0.719,0.227
t344,0.52,0.203
t345,0.22,0.169
t346,0,0.168
t347,0,0.201
t348,0,0.236
t349,0,0.25
t350,0,0.236
t351,0,0.22
t352,0,0.222
t353,0,0.225
t354,0,0.231
t355,0,0.245
t356,0,0.271
t357,0,0.302
t358,0,0.302
t359,0,0.287
t360,0.002,0.286
t361,0.315,0.228
t362,0.58,0.1
t363,0.747,0.121
t364,0.833,0.176
t365,0.851,0.186
t366,0.805,0.183
t367,0.691,0.171
t368,0.499,0.157
t369,0.205,0.157
t370,0,0.251
t371,0,0.401
t372,0,0.523
t373,0,0.59
t374,0,0.594
t375,0,0.552
t376,0,0.499
t377,0,0.457
t378,0,0.437
t379,0,0.433
t380,0,0.426
t381,0,0.404
t382,0,0.371
t383,0,0.337
t384,0.003,0.297
t385,0.325,0.195
t386,0.583,0.046
