Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,926.4873818,926.4873818,0.059659536,65.2495826,452.7857745,113.3267925,169.7754626,0,94.20474836,0,33.58955823,1.372880442,6.83E-05,29.27676565,11.23949853,473.7016072,88.91034957,235.2340426,0,0,6.05,26.367,10.79,73.40276596,926.4873818,691.2533392,235.2340426,32.94744915,32.94744915,1655.742788,1690.548192,770.7634216,0,116.7736015,4.936612988,3.721014002,59659.53646,0.040363615,0,0,1063829.787,0,4.04E-08,6.77E-05,1.252131873,0.001482249,0.118238071,2.210422876,1.022936749,97.75775494,0,48.87122949,51.12877051,42.47054303,57.52945697,0,6917992.437,2938108.955,3979883.482,0,0,33.11485577,202.8657831,235.9806388,141.0292298,47.75860179,188.7878316,0.000188788,4.408045756,18.21689334,168.7772182,262.9819665
cost,YCurrent,S2,782.2809879,782.2809879,0.042790832,65.24829592,337.6427657,81.2909872,121.8870337,-8.80E-12,67.59825028,0,25.19216867,1.14513782,5.43E-05,29.28531919,11.24381458,444.6382221,66.3005289,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,782.2809879,605.855456,176.4255319,24.71058686,24.71058686,1187.688832,1213.696617,553.0746547,0,116.8184433,4.936612988,3.721014002,42790.83155,0.028516178,0,0,797872.3404,250000,2.85E-08,6.66E-05,0.898187309,0.00096804,0.107660997,2.211399341,1.023329564,97.72022969,0,43.16131556,56.83868444,42.44957179,57.55042821,0,4964830.016,2107549.082,2857280.934,-2.64E-10,0,23.75377664,145.643594,169.3973707,101.1623559,34.28737121,135.4497271,0.00013545,4.853680115,17.90849581,140.0947579,207.6930082
cost,YCurrent,S3,648.564908,648.564908,0.027308858,65.24109728,231.2682616,51.86226319,77.97442489,-6.72E-12,43.16664471,0,16.79477911,0.917395197,4.06E-05,29.30099127,11.25172258,417.2966465,45.41251765,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,648.564908,530.9478868,117.6170213,16.47372458,16.47372458,757.7252157,776.4344803,353.1804007,0,116.9006041,4.936612988,3.721014002,27308.85793,0.019467996,0,0,531914.8936,500000,1.95E-08,7.13E-05,0.573745583,9.01E-05,0.015695177,2.212723774,1.024049292,97.65154935,0,35.6584605,64.3415395,42.38289299,57.61710701,0,3172460.088,1344580.364,1827879.724,-2.01E-10,0,15.15450431,93.17213763,108.3266419,64.53985749,21.93455669,86.47441418,8.65E-05,5.759348791,17.59493796,114.1145932,157.2812379
cost,Y2030,S1,826.8342675,826.8342675,0.059659544,55.0782414,369.4890506,137.5446,83.11838659,-2.77E-11,73.15767005,0,33.58955823,1.372880442,7.79E-05,29.40278863,11.30308873,457.3452169,72.55395928,235.2340426,0,0,6.05,26.367,10.79,73.40276596,826.8342675,591.600225,235.2340426,32.94744915,32.94744915,2402.905976,899.7448421,932.8218033,0,117.4342765,4.936612988,3.721014002,59659.54364,0.047547075,0,0,1063829.787,0,4.75E-08,7.97E-05,1.253393585,0.000220537,0.017592116,2.794148996,1.028724262,97.20777832,0,44.6871961,55.3128039,66.81078706,33.18921294,0,6382123.65,4263947.042,2118176.608,-9.16E-10,0,48.05811951,107.9693811,156.0275006,204.669458,25.4181193,230.0875773,0.000230088,3.786194566,18.47104987,152.7249699,225.88264
cost,Y2030,S2,710.8395799,710.8395799,0.042790841,55.01268073,277.9272688,97.18960806,61.72895701,5.18E-12,51.96139956,0,25.19216867,1.14513782,6.92E-05,29.40548112,11.30444733,432.9123111,54.57461787,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,710.8395799,534.414048,176.4255319,24.71058686,24.71058686,1697.903734,668.2072759,662.551533,0,117.4483918,4.936612988,3.721014002,42790.8414,0.038360851,0,0,797872.3404,250000,3.84E-08,8.96E-05,0.898949132,0.000206217,0.022934488,2.766939328,1.028847912,97.19609555,0,39.09845155,60.90154845,65.69807159,34.30192841,0,4586014.949,3012923.384,1573091.564,1.71E-10,0,33.95807468,80.18487311,114.1429478,144.6203224,18.87709877,163.4974212,0.000163497,4.224873372,18.12286351,128.8244868,180.7858864
cost,Y2030,S3,603.01841,603.01841,0.027308862,54.9983873,193.1974586,61.73825492,39.91663955,0,33.09369722,0,16.79477911,0.917395197,4.24E-05,29.42324125,11.31340895,409.8209514,37.93682255,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,603.01841,485.4013887,117.6170213,16.47372458,16.47372458,1078.568127,432.0920078,421.9724643,0,117.5414992,4.936612988,3.721014002,27308.86209,0.023630754,0,0,531914.8936,500000,2.36E-08,8.65E-05,0.573738626,9.70E-05,0.016907596,2.761285467,1.029663533,97.11910422,0,32.03840138,67.96159862,65.29581888,34.70418112,0,2931144.536,1913914.827,1017229.708,1.39E-12,0,21.57136254,51.85104094,73.42240348,91.86791171,12.2067565,104.0746682,0.000104075,5.139168609,17.78571729,107.2511496,140.3448468
cost,Y2040,S1,777.7472732,777.7472732,0.059659573,50.25171182,328.4588646,141.4335697,41.49518741,1.39E-11,69.5747571,0,33.58955823,1.372880442,0.000104533,29.59349133,11.39931579,449.2884087,64.49715099,235.2340426,0,0,6.05,26.367,10.79,73.40276596,777.7472732,542.5132307,235.2340426,32.94744915,32.94744915,2760.667269,472.6286157,1004.551796,0,118.4340347,4.936612988,3.721014002,59659.5735,0.077404569,0,0,1063829.787,0,7.74E-08,0.000129744,1.253613336,7.87E-07,6.28E-05,3.163909314,1.037482144,96.38720105,0,42.23208179,57.76791821,81.49098556,18.50901444,0,6011453.895,4898793.025,1112660.869,4.78E-10,0,55.21334537,56.71543388,111.9287793,235.1420652,13.35193043,248.4939956,0.000248494,3.545005505,18.2474133,141.9187594,211.4935165
cost,Y2040,S2,675.7208851,675.7208851,0.04279086,50.22616909,248.5727198,99.57257693,32.3998646,-1.87E-11,49.29250794,0,25.19216867,1.14513782,8.58E-05,29.57858423,11.39179379,427.1481653,48.81047209,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,675.7208851,499.2953532,176.4255319,24.71058686,24.71058686,1943.575026,369.0332328,711.7075133,0,118.3558843,4.936612988,3.721014002,42790.85956,0.056521865,0,0,797872.3404,250000,5.65E-08,0.000132089,0.898493871,0.000661477,0.073566522,3.125232825,1.036797546,96.45084555,0,36.78630116,63.21369884,79.87844475,20.12155525,0,4317643.039,3448866.109,868776.9295,-6.44E-10,0,38.87150052,44.28398793,83.15548845,165.5455732,10.42532315,175.9708964,0.000175971,3.97832436,17.89842725,120.943411,170.235919
cost,Y2040,S3,580.7089978,580.7089978,0.027308874,50.18195252,174.549763,62.0819245,22.83150818,-5.73E-12,30.96174202,0,16.79477911,0.917395197,5.59E-05,29.5732539,11.38910414,406.1592349,34.27510605,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,580.7089978,463.0919766,117.6170213,16.47372458,16.47372458,1211.788243,260.0500149,447.0396282,0,118.32794,4.936612988,3.721014002,27308.87439,0.035926784,0,0,531914.8936,500000,3.59E-08,0.000131557,0.573392541,0.000443106,0.077218316,3.075913091,1.036552755,96.47362331,0,30.05804346,69.94195654,77.83876883,22.16123117,0,2762522.354,2150313.389,612208.965,-1.98E-10,0,24.23576485,31.20600179,55.44176664,103.2150427,7.34650758,110.5615503,0.000110562,4.863567075,17.54007613,101.8568003,132.8185423
cost,Y2050,S1,720.4300981,720.4300981,0.059659687,42.49761849,280.5493441,127.2023003,13.86216524,1.74E-12,62.57740511,0,33.58955823,1.372880442,0.000148587,30.22627354,11.71861267,439.880754,55.08949631,235.2340426,0,0,6.05,26.367,10.79,73.40276596,720.4300981,485.1960555,235.2340426,32.94744915,32.94744915,3009.375747,166.7901737,1041.346081,0,121.7513932,4.936612988,3.721014002,59659.68687,0.190778049,0,0,1063829.787,0,1.91E-07,0.000319777,1.253591381,2.27E-05,0.001814045,3.440369466,1.066542204,93.76094035,0,38.94192439,61.05807561,93.15067421,6.849325792,0,5732782.151,5340125.225,392656.9265,6.21E-11,0,60.18751493,20.01482084,80.20233577,256.3260108,4.711883118,261.0378939,0.000261038,3.209181791,17.88950462,128.8813757,191.4587808
