t,s,w
t1,0.06,0
t2,0.276,0
t3,0.498,0
t4,0.593,0
t5,0.602,0
t6,0.609,0
t7,0.509,0.002
t8,0.385,0.015
t9,0.222,0.024
t10,0.052,0.05
t11,0,0.032
t12,0,0.006
t13,0,0
t14,0,0
t15,0,0
t16,0,0
t17,0,0
t18,0,0
t19,0,0
t20,0,0
t21,0,0
t22,0,0
t23,0,0
t24,0,0
t25,0.062,0
t26,0.27,0
t27,0.483,0.002
t28,0.628,0.017
t29,0.714,0.024
t30,0.722,0.028
t31,0.657,0.029
t32,0.519,0.028
t33,0.31,0.038
t34,0.073,0.037
t35,0,0.016
t36,0,0.004
t37,0,0.003
t38,0,0.003
t39,0,0.001
t40,0,0
t41,0,0
t42,0,0
t43,0,0
t44,0,0.002
t45,0,0.005
t46,0,0.008
t47,0,0.013
t48,0,0.025
t49,0.049,0.032
t50,0.216,0.02
t51,0.399,0.025
t52,0.501,0.027
t53,0.494,0.021
t54,0.493,0.012
t55,0.433,0.019
t56,0.351,0.029
t57,0.206,0.042
t58,0.052,0.081
t59,0,0.078
t60,0,0.048
t61,0,0.035
t62,0,0.043
t63,0,0.054
t64,0,0.045
t65,0,0.024
t66,0,0.011
t67,0,0.008
t68,0,0.01
t69,0,0.016
t70,0,0.015
t71,0,0.009
t72,0,0.006
t73,0.07,0.004
t74,0.293,0.002
t75,0.508,0.001
t76,0.653,0.004
t77,0.688,0.003
t78,0.696,0.002
t79,0.627,0.006
t80,0.495,0.012
t81,0.289,0.021
t82,0.069,0.035
t83,0,0.014
t84,0,0.001
t85,0,0
t86,0,0
t87,0,0
t88,0,0
t89,0,0
t90,0,0.001
t91,0,0.001
t92,0,0.001
t93,0,0
t94,0,0.001
t95,0,0.001
t96,0,0.002
t97,0.096,0.002
t98,0.361,0.001
t99,0.58,0.024
t100,0.703,0.084
t101,0.766,0.105
t102,0.763,0.124
t103,0.696,0.155
t104,0.561,0.154
t105,0.35,0.093
t106,0.095,0.037
t107,0,0.011
t108,0,0.009
t109,0,0.017
t110,0,0.013
t111,0,0.002
t112,0,0
t113,0,0
t114,0,0.001
t115,0,0.007
t116,0,0.022
t117,0,0.043
t118,0,0.061
t119,0,0.064
t120,0,0.063
t121,0.066,0.05
t122,0.272,0.016
t123,0.479,0.024
t124,0.612,0.025
t125,0.68,0.023
t126,0.66,0.035
t127,0.614,0.045
t128,0.457,0.055
t129,0.259,0.065
t130,0.063,0.066
t131,0,0.031
t132,0,0.01
t133,0,0.009
t134,0,0.019
t135,0,0.042
t136,0,0.056
t137,0,0.046
t138,0,0.029
t139,0,0.017
t140,0,0.008
t141,0,0.003
t142,0,0.003
t143,0,0.004
t144,0,0.005
t145,0.064,0.008
t146,0.277,0.011
t147,0.495,0.02
t148,0.626,0.048
t149,0.694,0.046
t150,0.704,0.045
t151,0.642,0.047
t152,0.505,0.051
t153,0.3,0.058
t154,0.074,0.079
t155,0,0.049
t156,0,0.021
t157,0,0.016
t158,0,0.021
t159,0,0.03
t160,0,0.033
t161,0,0.03
t162,0,0.034
t163,0,0.025
t164,0,0.007
t165,0,0.005
t166,0,0.003
t167,0,0.006
t168,0,0.013
t169,0.013,0.008
t170,0.064,0.008
t171,0.118,0.005
t172,0.164,0.002
t173,0.239,0.004
t174,0.298,0.008
t175,0.198,0.011
t176,0.13,0.006
t177,0.056,0.004
t178,0.013,0.004
t179,0,0.003
t180,0,0.001
t181,0,0.004
t182,0,0.02
t183,0,0.034
t184,0,0.024
t185,0,0.043
t186,0,0.038
t187,0,0.025
t188,0,0.015
t189,0,0.013
t190,0,0.014
t191,0,0.026
t192,0,0.043
t193,0.026,0.044
t194,0.137,0.022
t195,0.275,0.017
t196,0.412,0.008
t197,0.465,0
t198,0.485,0
t199,0.427,0
t200,0.333,0.002
t201,0.205,0.018
t202,0.05,0.041
t203,0,0.05
t204,0,0.055
t205,0,0.053
t206,0,0.047
t207,0,0.037
t208,0,0.032
t209,0,0.038
t210,0,0.053
t211,0,0.058
t212,0,0.045
t213,0,0.027
t214,0,0.016
t215,0,0.011
t216,0,0.007
t217,0.037,0.006
t218,0.179,0.006
t219,0.372,0.02
t220,0.528,0.03
t221,0.609,0.027
t222,0.603,0.031
t223,0.53,0.036
t224,0.393,0.044
t225,0.2,0.055
t226,0.045,0.065
t227,0,0.039
t228,0,0.01
t229,0,0
t230,0,0
t231,0,0.004
t232,0,0.019
t233,0,0.026
t234,0,0.019
t235,0,0.01
t236,0,0.006
t237,0,0.008
t238,0,0.016
t239,0,0.025
t240,0,0.035
t241,0.098,0.039
t242,0.354,0.022
t243,0.571,0.035
t244,0.733,0.057
t245,0.794,0.065
t246,0.793,0.069
t247,0.706,0.058
t248,0.573,0.051
t249,0.366,0.058
t250,0.107,0.058
t251,0,0.032
t252,0,0.009
t253,0,0.005
t254,0,0.004
t255,0,0.001
t256,0,0
t257,0,0
t258,0,0
t259,0,0.002
t260,0,0.008
t261,0,0.021
t262,0,0.051
t263,0,0.106
t264,0,0.18
t265,0.049,0.188
t266,0.215,0.088
t267,0.447,0.076
t268,0.684,0.061
t269,0.747,0.03
t270,0.735,0.014
t271,0.665,0.01
t272,0.532,0.011
t273,0.322,0.008
t274,0.084,0.004
t275,0,0
t276,0,0.008
t277,0,0.049
t278,0,0.096
t279,0,0.118
t280,0,0.089
t281,0,0.05
t282,0,0.019
t283,0,0.004
t284,0,0.002
t285,0,0.002
t286,0,0.003
t287,0,0.006
t288,0,0.007
t289,0.093,0.007
t290,0.331,0.002
t291,0.538,0
t292,0.675,0.001
t293,0.724,0.003
t294,0.714,0.002
t295,0.631,0.003
t296,0.486,0.009
t297,0.28,0.01
t298,0.069,0.032
t299,0,0.026
t300,0,0.01
t301,0,0.001
t302,0,0.001
t303,0,0.002
t304,0,0.003
t305,0,0.003
t306,0,0.002
t307,0,0.002
t308,0,0.001
t309,0,0
t310,0,0.001
t311,0,0.001
t312,0,0.001
t313,0.063,0.001
t314,0.262,0
t315,0.46,0
t316,0.58,0.001
t317,0.637,0.007
t318,0.63,0.018
t319,0.546,0.039
t320,0.408,0.083
t321,0.218,0.12
t322,0.052,0.079
t323,0,0.044
t324,0,0.032
t325,0,0.035
t326,0,0.056
t327,0,0.093
t328,0,0.134
t329,0,0.176
t330,0,0.217
t331,0,0.272
t332,0,0.308
t333,0,0.285
t334,0,0.227
t335,0,0.203
t336,0,0.147
t337,0.072,0.095
t338,0.253,0.084
t339,0.427,0.164
t340,0.524,0.18
t341,0.546,0.164
t342,0.521,0.147
t343,0.461,0.145
t344,0.354,0.133
t345,0.2,0.106
t346,0.05,0.083
t347,0,0.057
t348,0,0.041
t349,0,0.037
t350,0,0.025
t351,0,0.012
t352,0,0.003
t353,0,0
t354,0,0
t355,0,0
t356,0,0
t357,0,0
t358,0,0.001
t359,0,0
t360,0,0
t361,0.158,0
t362,0.422,0
t363,0.62,0.023
t364,0.744,0.058
t365,0.796,0.074
t366,0.787,0.093
t367,0.708,0.107
t368,0.571,0.101
t369,0.36,0.08
t370,0.104,0.073
t371,0,0.051
t372,0,0.025
t373,0,0.019
t374,0,0.023
t375,0,0.029
t376,0,0.025
t377,0,0.012
t378,0,0.004
t379,0,0.002
t380,0,0.001
t381,0,0
t382,0,0
t383,0,0.001
t384,0,0.002
t385,0.058,0.002
t386,0.205,0.001
t387,0.413,0.005
t388,0.594,0.016
t389,0.684,0.014
