Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1114.344428,1114.344428,0.05966015,88.19194759,587.7529641,323.5175029,11.85678839,-3.39E-11,156.6054846,0,33.58955823,1.372880442,0.000337156,42.76490558,18.04550677,526.5914643,115.4129048,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1114.344428,879.1103858,235.2340426,59.33475098,59.33475098,4726.700197,118.0646006,1281.313111,0,187.4851276,6.253198875,19.74872231,59660.15037,0.654277771,0,0,1063829.787,0,6.54E-07,0.001096675,1.253613104,1.02E-06,8.13E-05,3.674557701,1.642369717,60.8876302,0,52.74428167,47.25571833,99.21530021,0.784699786,0,6673924.221,6621553.952,52370.26907,-1.02E-09,0,94.53400393,14.16775207,108.701756,317.8345897,0.628443229,318.4630329,0.000318463,6.129616006,18.76334845,209.088328,365.6938126
cost,YCurrent,S2,924.6213362,924.6213362,0.042791309,88.86924708,440.078128,231.3389211,12.38169279,0,112.0637054,0,25.19216867,1.14513782,0.000265096,40.86792943,17.08830768,484.5432082,86.41503862,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,924.6213362,748.1958043,176.4255319,44.50106324,44.50106324,3379.939923,123.291364,916.8816489,0,177.5402367,6.253198875,19.74872231,42791.30887,0.505830762,0,0,797872.3404,250000,5.06E-07,0.001182088,0.899154628,7.20E-07,8.01E-05,3.665994889,1.555252474,64.29824204,0,47.59549782,52.40450218,98.85817512,1.141824885,0,4789589.099,4734900.379,54688.72022,0,0,67.59879846,14.79496368,82.39376214,227.2752182,0.656264643,227.9314828,0.000227931,6.602636725,18.43692714,170.4717621,282.5354675
cost,YCurrent,S3,747.594572,747.594572,0.027309158,89.91787281,303.0157302,146.9563899,11.67372081,1.68E-12,71.31041722,0,16.79477911,0.917395197,0.000173138,39.14428461,16.21857019,444.5788419,59.50106211,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,747.594572,629.9775507,117.6170213,29.66737549,29.66737549,2147.082587,116.2416954,583.4468233,0,168.5040348,6.253198875,19.74872231,27309.15823,0.319765688,0,0,531914.8936,500000,3.20E-07,0.00117091,0.573835205,4.42E-07,7.71E-05,3.655334379,1.476095345,67.7463013,0,40.5320934,59.4679066,98.31463262,1.685367382,0,3059373.173,3007811.496,51561.67756,5.03E-11,0,42.94165174,13.94900345,56.89065519,144.3749518,0.618740131,144.9936919,0.000144994,7.56905231,18.11062239,135.3940299,206.7044472
cost,Y2030,S1,963.4859692,963.4859692,0.059660155,69.32371113,461.6553952,255.9557277,11.22866143,9.99E-12,98.91652094,0,33.58955823,1.372880442,0.000336887,42.61954873,17.97216086,501.8305739,90.65201444,235.2340426,0,0,6.05,26.367,10.79,73.40276596,963.4859692,728.2519266,235.2340426,59.33475098,59.33475098,4471.549937,121.5486804,1261.26881,0,186.7230947,6.253198875,19.74872231,59660.15528,0.65918792,0,0,1063829.787,0,6.59E-07,0.001104905,1.252697251,0.000916872,0.073138279,3.777931472,1.63569431,61.13611779,0,47.91511345,52.08488655,99.14663782,0.853362182,0,6318034.004,6264118.291,53915.7128,3.30E-10,0,89.43099874,14.58584165,104.0168404,300.677678,0.646988554,301.3246665,0.000301325,4.665378726,18.6220354,179.4206983,278.3372192
cost,Y2030,S2,816.2912334,816.2912334,0.042791313,70.05733602,349.5285978,182.9608617,11.80083527,1.15E-11,70.76321845,0,25.19216867,1.14513782,0.000267274,40.67510081,16.99100789,466.7626356,68.63446593,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,816.2912334,639.8657015,176.4255319,44.50106324,44.50106324,3196.328665,127.7423817,902.2905321,0,176.5293334,6.253198875,19.74872231,42791.31332,0.510280169,0,0,797872.3404,250000,5.10E-07,0.001192485,0.898676311,0.000479038,0.053276447,3.768092746,1.54639696,64.66644889,0,42.81910469,57.18089531,98.75035833,1.249641668,0,4534345.56,4477682.489,56663.07148,3.81E-10,0,63.92657329,15.32908581,79.2556591,214.9287595,0.679956858,215.6087163,0.000215609,5.142006915,18.28636697,149.2700105,220.033229
cost,Y2030,S3,678.3282333,678.3282333,0.027309154,71.08378111,245.1183013,116.2405374,10.87637761,5.85E-12,45.01469738,0,16.79477911,0.917395197,0.000169367,39.08545831,16.18888691,433.209932,48.13215228,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,678.3282333,560.711212,117.6170213,29.66737549,29.66737549,2030.72372,117.7352575,573.9752395,0,168.1956382,6.253198875,19.74872231,27309.15401,0.31554989,0,0,531914.8936,500000,3.16E-07,0.001155473,0.573558621,0.000277026,0.048276259,3.755914613,1.47339379,67.87051816,0,36.13564779,63.86435221,98.19732029,1.802679712,0,2897030.518,2844806.337,52224.1814,1.93E-10,0,40.6144744,14.12823091,54.7427053,136.5507042,0.626690177,137.1773943,0.000137177,6.106575697,17.94864386,121.7507188,166.7654162
cost,Y2040,S1,898.4198358,898.4198358,0.059660159,62.09898968,407.2687783,217.7554904,11.01391017,3.54E-12,83.18701129,0,33.58955823,1.372880442,0.000341275,42.45862596,17.89096051,491.1510575,79.972498,235.2340426,0,0,6.05,26.367,10.79,73.40276596,898.4198358,663.1857932,235.2340426,59.33475098,59.33475098,4250.408556,125.4480204,1201.091675,0,185.8794577,6.253198875,19.74872231,59660.15863,0.662539113,0,0,1063829.787,0,6.63E-07,0.001110522,1.253030577,0.000583546,0.046549068,3.78288893,1.628304049,61.41359167,0,45.33167703,54.66832297,99.074116,0.925884,0,6009970.444,5954325.09,55645.35476,1.22E-10,0,85.00817113,15.05376245,100.0619336,285.8076043,0.667744257,286.4753486,0.000286475,4.142785258,18.25117922,163.9722144,247.1592257
cost,Y2040,S2,769.5069973,769.5069973,0.04279131,62.83843133,310.4232108,155.6367094,11.4241712,2.25E-12,59.50178261,0,25.19216867,1.14513782,0.000264796,40.57997043,16.94300585,459.0837865,60.95561684,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,769.5069973,593.0814653,176.4255319,44.50106324,44.50106324,3037.900905,130.1208781,859.1136362,0,176.0306127,6.253198875,19.74872231,42791.31014,0.507102275,0,0,797872.3404,250000,5.07E-07,0.001185059,0.898757495,0.000397854,0.044247471,3.772479304,1.542028167,64.84965848,0,40.34053126,59.65946874,98.66190753,1.338092473,0,4313461.841,4255743.733,57718.10824,7.76E-11,0,60.75801809,15.61450537,76.37252346,204.2756992,0.692617299,204.9683165,0.000204968,4.611603856,17.9120903,137.8347882,197.3365708
cost,Y2040,S3,648.3616717,648.3616717,0.027309153,63.8804563,220.070249,98.86547338,10.47202927,1.30E-11,37.83631414,0,16.79477911,0.917395197,0.000168191,39.02547163,16.15861811,428.2914226,43.2136429,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,648.3616717,530.7446504,117.6170213,29.66737549,29.66737549,1929.772945,119.2760175,546.2978081,0,167.8811582,6.253198875,19.74872231,27309.15296,0.314497558,0,0,531914.8936,500000,3.14E-07,0.00115162,0.573605259,0.000230388,0.040148842,3.758833295,1.470638946,67.99765521,0,33.94251367,66.05748633,98.08047959,1.919520415,0,2756293.733,2703386.112,52907.6209,4.49E-10,0,38.59545889,14.3131221,52.90858099,129.7625334,0.634891451,130.3974248,0.000130397,5.556976943,17.57044319,113.9200192,151.7563333
cost,Y2050,S1,824.9872976,824.9872976,0.059660168,52.22248843,345.8889618,171.6202462,10.70197061,2.64E-11,68.45370794,0,33.58955823,1.372880442,0.000327501,42.32615447,17.82411645,479.0983358,67.91977627,235.2340426,0,0,6.05,26.367,10.79,73.40276596,824.9872976,589.753255,235.2340426,59.33475098,59.33475098,4060.223795,128.7665747,1139.133212,0,185.1849764,6.253198875,19.74872231,59660.16753,0.671434418,0,0,1063829.787,0,6.71E-07,0.001125432,1.252808504,0.000805619,0.064263721,3.763405479,1.622220393,61.64390512,0,41.9265803,58.0734197,99.00579255,0.994207452,0,5745015.867,5687898.491,57117.37586,9.37E-10,0,81.2044759,15.45198897,96.65646487,273.0191276,0.68540851,273.7045361,0.000273705,3.617120689,17.86019237,147.3443184,215.7980263
