t,s,w
t1,0.101,0.684
t2,0.197,0.734
t3,0.291,0.728
t4,0.349,0.7
t5,0.322,0.665
t6,0.291,0.648
t7,0.211,0.653
t8,0.115,0.663
t9,0.033,0.656
t10,0,0.661
t11,0,0.687
t12,0,0.695
t13,0,0.695
t14,0,0.687
t15,0,0.688
t16,0,0.695
t17,0,0.721
t18,0,0.735
t19,0,0.739
t20,0,0.754
t21,0,0.754
t22,0,0.728
t23,0,0.705
t24,0.021,0.714
t25,0.11,0.728
t26,0.182,0.732
t27,0.21,0.734
t28,0.223,0.744
t29,0.224,0.733
t30,0.238,0.718
t31,0.185,0.691
t32,0.098,0.674
t33,0.026,0.622
t34,0,0.625
t35,0,0.661
t36,0,0.673
t37,0,0.654
t38,0,0.638
t39,0,0.636
t40,0,0.633
t41,0,0.61
t42,0,0.586
t43,0,0.566
t44,0,0.527
t45,0,0.504
t46,0,0.478
t47,0,0.461
t48,0.014,0.476
t49,0.064,0.509
t50,0.126,0.544
t51,0.204,0.586
t52,0.231,0.586
t53,0.276,0.59
t54,0.261,0.592
t55,0.208,0.594
t56,0.123,0.59
t57,0.036,0.544
t58,0,0.541
t59,0,0.605
t60,0,0.634
t61,0,0.646
t62,0,0.634
t63,0,0.615
t64,0,0.583
t65,0,0.567
t66,0,0.566
t67,0,0.461
t68,0,0.396
t69,0,0.388
t70,0,0.381
t71,0,0.364
t72,0.041,0.305
t73,0.158,0.221
t74,0.267,0.225
t75,0.339,0.213
t76,0.376,0.188
t77,0.373,0.135
t78,0.341,0.095
t79,0.285,0.069
t80,0.185,0.051
t81,0.055,0.035
t82,0,0.028
t83,0,0.02
t84,0,0.011
t85,0,0.01
t86,0,0.016
t87,0,0.021
t88,0,0.023
t89,0,0.022
t90,0,0.019
t91,0,0.019
t92,0,0.022
t93,0,0.027
t94,0,0.03
t95,0,0.031
t96,0.029,0.03
t97,0.128,0.032
t98,0.241,0.026
t99,0.322,0.012
t100,0.362,0.007
t101,0.347,0.005
t102,0.305,0.005
t103,0.237,0.014
t104,0.142,0.034
t105,0.039,0.067
t106,0,0.12
t107,0,0.141
t108,0,0.13
t109,0,0.126
t110,0,0.116
t111,0,0.106
t112,0,0.14
t113,0,0.175
t114,0,0.183
t115,0,0.182
t116,0,0.182
t117,0,0.208
t118,0,0.264
t119,0,0.291
t120,0.076,0.29
t121,0.283,0.305
t122,0.547,0.355
t123,0.666,0.395
t124,0.728,0.404
t125,0.682,0.401
t126,0.671,0.402
t127,0.54,0.43
t128,0.358,0.466
t129,0.115,0.49
t130,0,0.501
t131,0,0.506
t132,0,0.502
t133,0,0.456
t134,0,0.522
t135,0,0.527
t136,0,0.473
t137,0,0.5
t138,0,0.47
t139,0,0.431
t140,0,0.382
t141,0,0.341
t142,0,0.323
t143,0,0.327
t144,0.054,0.308
t145,0.169,0.333
t146,0.32,0.338
t147,0.409,0.289
t148,0.44,0.205
t149,0.412,0.137
t150,0.454,0.092
t151,0.416,0.063
t152,0.268,0.048
t153,0.09,0.045
t154,0,0.068
t155,0,0.092
t156,0,0.099
t157,0,0.101
t158,0,0.108
t159,0,0.126
t160,0,0.166
t161,0,0.196
t162,0,0.22
t163,0,0.245
t164,0,0.27
t165,0,0.294
t166,0,0.319
t167,0,0.352
t168,0.043,0.355
t169,0.169,0.328
