Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,911.8892958,911.8892958,0.059659524,68.83221241,461.2384777,65.26494836,230.4436653,0,90.22551405,0,33.58955823,1.372880442,6.32E-05,29.16084321,11.18100499,450.6508181,90.57014729,235.2340426,0,0,6.05,26.367,10.79,73.40276596,911.8892958,676.6552533,235.2340426,8.236862288,8.236862288,953.5429815,2294.655046,738.2061641,0,116.1658784,6.191841048,3.751040528,59659.5244,0.028305243,0,0,1063829.787,0,2.83E-08,4.74E-05,1.253613207,9.16E-07,7.30E-05,2.117054438,1.017613095,98.26917566,0,50.58053427,49.41946573,20.11130124,79.88869876,0,6707866.486,1349039.236,5358827.25,0,0,19.07085963,275.3586055,294.4294651,64.75388334,64.305927,129.0598103,0.00012906,4.368352416,18.68519723,170.3883135,260.6138275
cost,YCurrent,S2,770.942272,770.942272,0.042790823,68.82724739,343.6561786,46.84119304,165.3913239,0,64.73561764,0,25.19216867,1.14513782,4.80E-05,29.16671943,11.18397008,427.2860935,67.48134037,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,770.942272,594.5167401,176.4255319,6.177646716,6.177646716,684.3656816,1646.892898,529.6531971,0,116.1966845,6.191841048,3.751040528,42790.82289,0.019851951,0,0,797872.3404,250000,1.99E-08,4.64E-05,0.899154691,6.57E-07,7.31E-05,2.117752022,1.017882956,98.24312254,0,44.57612341,55.42387659,20.11130124,79.88869876,0,4814291.237,968216.6135,3846074.624,0,0,13.68731363,197.6271478,211.3144614,46.47439745,46.15289549,92.62729294,9.26E-05,4.82073642,18.36034498,141.5476607,206.2832784
cost,YCurrent,S3,640.726285,640.726285,0.027308857,68.81630544,235.0435961,29.68075726,105.9122489,0,41.3672403,0,16.79477911,0.917395197,4.85E-05,29.18030275,11.19082412,405.6826889,46.15385348,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,640.726285,523.1092637,117.6170213,4.118431144,4.118431144,433.6459077,1054.626848,338.4580526,0,116.267895,6.191841048,3.751040528,27308.85697,0.018506521,0,0,531914.8936,500000,1.85E-08,6.78E-05,0.573835223,4.25E-07,7.40E-05,2.120486313,1.01850676,98.18295164,0,36.68393222,63.31606778,19.94216217,80.05783783,0,3076431.97,613507.0526,2462924.918,0,0,8.672918155,126.5552217,135.2281399,29.44833853,29.55509901,59.00343754,5.90E-05,5.74519499,18.03070525,115.5274679,156.8947082
cost,Y2030,S1,820.7875388,820.7875388,0.059659533,58.43574371,385.0895489,67.7795271,184.5921752,0,57.38543313,0,33.58955823,1.372880442,7.20E-05,29.17948921,11.19041361,435.6979899,75.61731911,235.2340426,0,0,6.05,26.367,10.79,73.40276596,820.7875388,585.5534962,235.2340426,8.236862288,8.236862288,1184.109232,1998.184329,731.7125215,0,116.26363,6.191841048,3.751040528,59659.53296,0.036865548,0,0,1063829.787,0,3.69E-08,6.18E-05,1.253593553,2.06E-05,0.001640824,2.191752129,1.018469399,98.18655337,0,46.91708032,53.08291968,26.41620196,73.58379804,0,6341700.066,1675236.297,4666463.768,0,0,23.68218464,239.7821194,263.4643041,80.41134227,55.99756522,136.4089075,0.000136409,3.51614553,18.56584802,152.386167,209.7716001
cost,Y2030,S2,705.5869041,705.5869041,0.042790829,58.43517322,289.0278001,48.60727337,132.5175298,0,41.18384837,0,25.19216867,1.14513782,5.83E-05,29.18738569,11.19439811,416.559104,56.75435093,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,705.5869041,529.1613722,176.4255319,6.177646716,6.177646716,849.1697065,1434.483618,525.1286937,0,116.3050273,6.191841048,3.751040528,42790.8294,0.026358937,0,0,797872.3404,250000,2.64E-08,6.16E-05,0.899155349,0,0,2.193036421,1.018832039,98.15160511,0,40.96275008,59.03724992,26.39573849,73.60426151,0,4551399.766,1201375.58,3350024.186,0,0,16.98339413,172.1380342,189.1214283,57.66602783,40.20029024,97.86631807,9.79E-05,3.968743124,18.2319089,128.6419616,169.8258099
cost,Y2030,S3,598.998257,598.998257,0.027308858,58.43973476,200.1645253,30.95919551,84.7634462,0,26.32656302,0,16.79477911,0.917395197,4.51E-05,29.20155391,11.20154728,398.8337317,39.3048963,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,598.998257,481.3812357,117.6170213,4.118431144,4.118431144,540.8575536,917.5523809,335.6858135,0,116.3793041,6.191841048,3.751040528,27308.85753,0.01906412,0,0,531914.8936,500000,1.91E-08,6.98E-05,0.573835088,5.59E-07,9.75E-05,2.196646918,1.019482704,98.08896177,0,33.41654553,66.58345447,26.31320092,73.68679908,0,2907994.125,765186.3368,2142807.788,0,0,10.81715107,110.1062857,120.9234368,36.72894417,25.71369345,62.44263762,6.24E-05,4.889332878,17.89580031,107.195532,133.522095
cost,Y2040,S1,776.3143344,776.3143344,0.059659535,54.12546239,347.9158764,69.73442182,154.0871781,0,48.73109803,0,33.58955823,1.372880442,7.89E-05,29.19993202,11.20072889,428.398458,68.3177872,235.2340426,0,0,6.05,26.367,10.79,73.40276596,776.3143344,541.0802919,235.2340426,8.236862288,8.236862288,1361.158713,1755.047132,703.6016231,0,116.3708014,6.191841048,3.751040528,59659.5355,0.039401523,0,0,1063829.787,0,3.94E-08,6.60E-05,1.253613459,6.64E-07,5.30E-05,2.216046158,1.01940822,98.09612874,0,44.81636639,55.18363361,31.9654818,68.0345182,0,6024372.537,1925719.707,4098652.83,0,0,27.22317427,210.6056559,237.8288301,92.43454594,49.18383396,141.6183799,0.000141618,3.187228278,18.21652059,141.4174606,190.1485586
cost,Y2040,S2,673.6879342,673.6879342,0.04279083,54.1223207,262.364512,50.05205728,110.596461,0,34.96551362,0,25.19216867,1.14513782,5.75E-05,29.20821019,11.20490599,411.3234222,51.51866907,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,673.6879342,497.2624023,176.4255319,6.177646716,6.177646716,976.9751022,1259.689509,504.8478924,0,116.4141997,6.191841048,3.751040528,42790.83048,0.027443678,0,0,797872.3404,250000,2.74E-08,6.41E-05,0.899154872,4.76E-07,5.30E-05,2.216877366,1.019788389,98.05955927,0,38.944517,61.055483,31.9654818,68.0345182,0,4324008.595,1382190.18,2941818.414,0,0,19.53950204,151.1627411,170.7022431,66.34512866,35.30182097,101.6469496,0.000101647,3.631791802,17.87799181,120.4418737,155.4073873
cost,Y2040,S3,578.6399554,578.6399554,0.027308856,54.1121602,183.147698,31.94066556,70.73741281,0,22.32234931,0,16.79477911,0.917395197,3.96E-05,29.22279241,11.21226406,395.4922573,35.96342193,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,578.6399554,461.0229341,117.6170213,4.118431144,4.118431144,623.455592,805.6964573,322.3001706,0,116.4906469,6.191841048,3.751040528,27308.8555,0.017039365,0,0,531914.8936,500000,1.70E-08,6.24E-05,0.573835339,3.08E-07,5.37E-05,2.217628901,1.020458067,97.99520749,0,31.65140885,68.34859115,31.91613183,68.08386817,0,2763627.984,882043.1506,1881584.833,0,0,12.46911184,96.68357488,109.1526867,42.33807123,22.579018,64.91708922,6.49E-05,4.532787711,17.53471988,101.4628953,123.7852446
cost,Y2050,S1,728.3286076,728.3286076,0.059659541,48.39619262,307.8062033,81.89793775,106.8695981,0,43.59810899,0,33.58955823,1.372880442,7.30E-05,29.25136513,11.22668163,420.5224043,60.44173354,235.2340426,0,0,6.05,26.367,10.79,73.40276596,728.3286076,493.0945651,235.2340426,8.236862288,8.236862288,1937.556687,1285.859642,725.5129843,0,116.6404393,6.191841048,3.751040528,59659.54115,0.045052023,0,0,1063829.787,0,4.51E-08,7.55E-05,1.25361002,4.10E-06,0.000327297,2.396934949,1.021770248,97.86935975,0,42.26199549,57.73800451,47.72160578,52.27839422,0,5744122.272,2741187.387,3002934.886,0,0,38.75113374,154.303157,193.0542907,131.5769946,36.03521863,167.6122132,0.000167612,2.911404186,17.86211986,130.0949289,173.6930378
