Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,986.3509986,986.3509986,0.05965955,79.99360186,523.4785387,157.6833043,196.0077338,2.76E-11,94.42781303,0,33.58955823,1.372880442,7.74E-05,29.19761285,11.19955866,462.8724599,102.7917891,235.2340426,0,0,6.05,26.367,10.79,73.40276596,986.3509986,751.116956,235.2340426,8.236862288,8.236862288,2303.806436,1951.757428,772.5884898,0,116.3586432,6.268385655,4.909656162,59659.54959,0.053499652,0,0,1063829.787,0,5.35E-08,8.97E-05,1.253614123,0,0,2.215656384,1.019301714,98.10637871,0,53.0722369,46.9277631,48.0389459,51.9610541,0,6701945.873,3219544.152,3482401.721,8.28E-10,0,46.07612872,234.2108913,280.28702,154.5381193,41.78882065,196.32694,0.000196327,4.674241293,18.698751,184.4353172,278.8631302
cost,YCurrent,S2,824.4117746,824.4117746,0.042790841,79.97238029,388.3495575,113.0497469,140.870556,-2.21E-12,67.67863778,0,25.19216867,1.14513782,5.50E-05,29.20830266,11.20495265,436.0622171,76.25746402,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,824.4117746,647.9862427,176.4255319,6.177646716,6.177646716,1651.695059,1402.726048,553.7323684,0,116.4146845,6.268385655,4.909656162,42790.8406,0.0375645,0,0,797872.3404,250000,3.76E-08,8.78E-05,0.899155349,0,0,2.214028658,1.019792636,98.05915093,0,47.10626042,52.89373958,47.97784382,52.02215618,0,4811024.198,2308225.676,2502798.522,-6.62E-11,0,33.03390117,168.3271258,201.361027,110.7948324,30.03358226,140.8284147,0.000140828,5.120873639,18.37041325,151.4478499,219.1264876
cost,YCurrent,S3,674.9346757,674.9346757,0.027308866,79.97755128,263.6372522,72.17082744,90.0644215,0,43.24417123,0,16.79477911,0.917395197,4.42E-05,29.22980897,11.21580456,411.2974235,51.76858809,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,674.9346757,557.3176544,117.6170213,4.118431144,4.118431144,1054.440212,896.8212642,353.8147064,0,116.5274312,6.268385655,4.909656162,27308.86625,0.027786896,0,0,531914.8936,500000,2.78E-08,0.00010175,0.573833104,2.54E-06,0.000443202,2.216697111,1.020780297,97.96427329,0,39.06115091,60.93884909,47.94100951,52.05899049,0,3073712.073,1473568.597,1600143.476,0,0,21.08880424,107.6185517,128.7073559,70.73129266,19.20172171,89.93301437,8.99E-05,6.042914018,18.0433698,121.7809594,165.0251307
cost,Y2030,S1,873.3774596,873.3774596,0.059659557,67.15012016,429.0477147,169.224049,112.1783644,2.06E-12,72.10024483,0,33.58955823,1.372880442,8.48E-05,29.32080995,11.26172293,444.329745,84.24907415,235.2340426,0,0,6.05,26.367,10.79,73.40276596,873.3774596,638.1434171,235.2340426,8.236862288,8.236862288,2956.346367,1214.315014,919.3387426,0,117.0045035,6.268385655,4.909656162,59659.55701,0.060915701,0,0,1063829.787,0,6.09E-08,0.000102106,1.253614123,0,0,2.753761586,1.024959451,97.5648353,0,49.12511881,50.87488119,65.59864501,34.40135499,0,6298089.735,4131461.528,2166628.207,6.81E-11,0,59.12692734,145.7178017,204.8447291,198.3101533,25.99953848,224.3096918,0.00022431,3.941582937,18.66923004,163.0528471,235.1530919
cost,Y2030,S2,743.4133096,743.4133096,0.042790853,67.1345034,320.6456344,120.8038689,81.38526213,4.63E-12,51.52082051,0,25.19216867,1.14513782,7.58E-05,29.33128966,11.26701091,422.7676752,62.96292209,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,743.4133096,566.9877777,176.4255319,6.177646716,6.177646716,2110.445182,880.9840136,656.9337797,0,117.0594434,6.268385655,4.909656162,42790.85345,0.050408919,0,0,797872.3404,250000,5.04E-08,0.000117803,0.899155349,0,0,2.743477765,1.025440724,97.51904489,0,43.13154342,56.86845658,65.23306706,34.76693294,0,4521209.962,2949323.926,1571886.035,1.53E-10,0,42.20890363,105.7180816,147.9269853,141.5675485,18.86263243,160.4301809,0.00016043,4.388190467,18.32810805,136.2535947,187.7744152
cost,Y2030,S3,623.2853362,623.2853362,0.027308869,67.12838031,220.4652871,76.47242972,52.93198427,-1.06E-12,32.71783454,0,16.79477911,0.917395197,5.24E-05,29.3528977,11.27791416,402.8200491,43.29121374,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,623.2853362,505.6683149,117.6170213,4.118431144,4.118431144,1335.974355,572.9812835,417.1798992,0,117.1727234,6.268385655,4.909656162,27308.86929,0.030826671,0,0,531914.8936,500000,3.08E-08,0.000112882,0.573835647,0,0,2.729923363,1.026433057,97.42476559,0,35.37148626,64.62851374,64.61704829,35.38295171,0,2889345.018,1867009.466,1022335.552,-3.50E-11,0,26.7194871,68.75775402,95.47724113,89.61645435,12.26802663,101.884481,0.000101884,5.302992861,17.98548719,112.1009043,144.8187389
cost,Y2040,S1,815.0125936,815.0125936,0.059659601,60.88202474,380.2624643,182.1302818,49.77046839,3.16E-11,72.39547615,0,33.58955823,1.372880442,0.000113634,29.60072153,11.40296409,434.7501294,74.66945856,235.2340426,0,0,6.05,26.367,10.79,73.40276596,815.0125936,579.7785511,235.2340426,8.236862288,8.236862288,3555.033706,566.8837532,1045.278612,0,118.471939,6.268385655,4.909656162,59659.60147,0.105369753,0,0,1063829.787,0,1.05E-07,0.000176618,1.253608664,5.46E-06,0.000435451,3.292179858,1.037814185,96.35636263,0,46.65725012,53.34274988,83.08482074,16.91517926,0,5979576.6,4968120.499,1011456.101,1.09E-09,0,71.10067413,68.02605038,139.1267245,238.469784,12.13747321,250.6072572,0.000250607,3.716735184,18.32406822,149.3434637,221.7389398
cost,Y2040,S2,701.6812733,701.6812733,0.042790876,60.90732429,285.7632132,127.7550538,39.67469382,2.57E-11,51.03532845,0,25.19216867,1.14513782,8.86E-05,29.57217989,11.38856221,415.9180601,56.11330702,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,701.6812733,525.2557414,176.4255319,6.177646716,6.177646716,2493.673857,451.8932625,736.8711437,0,118.3223096,6.268385655,4.909656162,42790.87633,0.073291461,0,0,797872.3404,250000,7.33E-08,0.000171278,0.899155349,0,0,3.235729482,1.036503432,96.4782141,0,40.72550089,59.27449911,81.21057713,18.78942287,0,4291167.368,3484881.785,806285.5829,8.87E-10,0,49.87347714,54.2271915,104.1006686,167.2743257,9.675426994,176.9497527,0.00017695,4.141649293,17.98387374,126.1894742,177.2248027
cost,Y2040,S3,596.7930071,596.7930071,0.027308882,60.93274042,198.3212303,79.66050715,28.00320422,1.82E-12,31.99389231,0,16.79477911,0.917395197,5.65E-05,29.56596799,11.38542773,398.4717769,38.94294145,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,596.7930071,479.1759858,117.6170213,4.118431144,4.118431144,1554.907757,318.9554373,461.9422807,0,118.2897437,6.268385655,4.909656162,27308.88154,0.043073655,0,0,531914.8936,500000,4.31E-08,0.000157728,0.573819253,1.64E-05,0.002857053,3.178451857,1.036218155,96.50477514,0,33.23115852,66.76884148,79.24578991,20.75421009,0,2742059.217,2172966.486,569092.7305,6.28E-11,0,31.09815514,38.27465248,69.37280761,104.3023913,6.829112766,111.1315041,0.000111132,5.026402778,17.63954076,105.2715457,137.265438
cost,Y2050,S1,744.9475169,744.9475169,0.059659704,50.9792547,321.6973969,164.4794518,13.83989851,0,66.06583437,0,33.58955823,1.372880442,0.000146971,30.49527693,11.85434964,423.2501201,63.16944926,235.2340426,0,0,6.05,26.367,10.79,73.40276596,744.9475169,509.7134744,235.2340426,8.236862288,8.236862288,3891.285549,166.5222594,1099.39678,0,123.1616425,6.268385655,4.909656162,59659.70366,0.207565966,0,0,1063829.787,0,2.08E-07,0.000347917,1.253613517,6.05E-07,4.83E-05,3.632154688,1.078895989,92.68734064,0,43.18390082,56.81609918,94.81938908,5.180610916,0,5735144.261,5438028.751,297115.5096,0,0,77.82571099,19.98267113,97.80838212,261.0253801,3.565386115,264.5907662,0.000264591,3.340459695,17.88381035,133.2250011,199.2908355
cost,Y2050,S2,651.8476295,651.8476295,0.042790943,51.0696945,244.1089277,116.6317191,12.05337997,0,46.96725643,0,25.19216867,1.14513782,0.000111876,30.3420974,11.77705647,407.7387018,47.93394872,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,651.8476295,475.4220976,176.4255319,6.177646716,6.177646716,2759.294965,145.0267908,781.5787237,0,122.3585994,6.268385655,4.909656162,42790.94266,0.139625978,0,0,797872.3404,250000,1.40E-07,0.000326298,0.899154835,5.14E-07,5.71E-05,3.600077431,1.071861331,93.29565042,0,37.44877126,62.55122874,93.71149237,6.288507631,0,4114846.817,3856084.361,258762.4561,0,0,55.18589929,17.40321489,72.58911419,185.0920493,3.105149473,188.1971988,0.000188197,3.770630919,17.54729017,114.381595,161.3488515
cost,Y2050,S3,565.4391289,565.4391289,0.027308917,51.26810924,172.1135662,72.68044829,10.43517712,5.72E-12,29.45949135,0,16.79477911,0.917395197,7.32E-05,30.1473922,11.67880977,393.3255627,33.79672728,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,565.4391289,447.8221076,117.6170213,4.118431144,4.118431144,1719.487602,125.5565039,490.2332689,0,121.3378581,6.268385655,4.909656162,27308.91665,0.078193368,0,0,531914.8936,500000,7.82E-08,0.000286329,0.573835225,4.22E-07,7.36E-05,3.538256196,1.062919637,94.08048978,0,30.43892037,69.56107963,91.47225544,8.527744559,0,2626987.821,2402965.01,224022.811,2.03E-10,0,34.38975205,15.06678047,49.45653252,115.3423205,2.688273732,118.0305942,0.000118031,4.643371442,17.2159915,97.34595237,126.8054437
