Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,930.6095318,930.6095318,0.059659548,71.22174098,476.8861004,130.3758172,182.0673964,0,88.62957666,0,33.58955823,1.372880442,7.08E-05,29.49910924,11.35169134,453.7234314,93.6427606,235.2340426,0,0,6.05,26.367,10.79,73.40276596,930.6095318,695.3754892,235.2340426,8.236862288,8.236862288,1904.834809,1812.945777,725.1485403,0,117.9392369,5.987164503,4.020519335,59659.54803,0.051929876,0,0,1063829.787,0,5.19E-08,8.70E-05,1.252363497,0.001250625,0.099761597,2.079606487,1.033147715,96.79158025,0,51.24448913,48.75551087,41.36820395,58.63179605,0,6737108.911,2787020.955,3950087.957,0,0,38.09669619,217.5534932,255.6501894,133.7770058,47.40105548,181.1780613,0.000181178,4.389842311,18.61859626,173.2664315,261.8960082
cost,YCurrent,S2,784.5638317,784.5638317,0.042790851,71.20779893,355.0419873,93.49481711,130.7751675,-1.38E-12,63.56313138,0,25.19216867,1.14513782,6.06E-05,29.51286954,11.35863468,429.5218444,69.71709133,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,784.5638317,608.1382998,176.4255319,6.177646716,6.177646716,1365.990917,1302.200681,520.0601613,0,118.0113752,5.987164503,4.020519335,42790.8508,0.047759388,0,0,797872.3404,250000,4.78E-08,0.000111611,0.898245716,0.000909633,0.101165271,2.079394113,1.033779647,96.73241322,0,45.25342272,54.74657728,41.32896934,58.67103066,0,4835887.085,1998622.29,2837264.794,-4.14E-11,0,27.31981834,156.2640817,183.5839001,95.93386994,34.04717753,129.9810475,0.000129981,4.83964089,18.2941418,143.5292198,207.0923512
cost,YCurrent,S3,649.6768942,649.6768942,0.027308867,71.2119015,242.5251127,59.65354821,83.62764408,1.52E-12,40.6211757,0,16.79477911,0.917395197,4.34E-05,29.53880532,11.37172167,407.1517815,47.62294613,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,649.6768942,532.059873,117.6170213,4.118431144,4.118431144,871.5585264,832.7267109,332.3539091,0,118.1473435,5.987164503,4.020519335,27308.86733,0.028865423,0,0,531914.8936,500000,2.89E-08,0.0001057,0.573273028,0.000562619,0.098045381,2.082242224,1.034970729,96.62109004,0,37.33011207,62.66988793,41.27449591,58.72550409,0,3089567.537,1275203.427,1814364.11,4.56E-11,0,17.43117053,99.9272053,117.3583758,61.20976448,21.77236932,82.98213381,8.30E-05,5.762488816,17.96983514,116.7458668,157.3670425
cost,Y2030,S1,832.0082657,832.0082657,0.059659559,59.59697273,394.4685813,110.400344,151.5301359,0,56.67905564,0,33.58955823,1.372880442,7.67E-05,29.52950278,11.36702768,437.5396844,77.45901358,235.2340426,0,0,6.05,26.367,10.79,73.40276596,832.0082657,596.7742232,235.2340426,8.236862288,8.236862288,1928.695465,1640.292405,722.7056145,0,118.0985749,5.987164503,4.020519335,59659.55883,0.062730623,0,0,1063829.787,0,6.27E-08,0.000105148,1.253614123,0,0,2.164772142,1.034543516,96.66098952,0,47.41161808,52.58838192,44.12137625,55.87862375,0,6395839.013,2821932.195,3573906.818,0,0,38.57390929,196.8350885,235.4089978,135.4527454,42.88688181,178.3396272,0.00017834,3.521547517,18.43910955,153.4149156,210.0939712
cost,Y2030,S2,713.8274528,713.8274528,0.042790847,59.59663955,295.9158007,79.11786595,108.8772959,-8.62E-12,40.6671585,0,25.19216867,1.14513782,6.09E-05,29.54251795,11.37359503,417.9116521,58.10689903,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,713.8274528,537.4019209,176.4255319,6.177646716,6.177646716,1382.190161,1178.581412,518.5404634,0,118.1668069,5.987164503,4.020519335,42790.84711,0.04407463,0,0,797872.3404,250000,4.41E-08,0.000103,0.899155349,0,0,2.165521832,1.035141229,96.60517542,0,41.4548081,58.5451919,44.05700028,55.94299972,0,4590244.178,2022323.89,2567920.288,-2.85E-10,0,27.64380322,141.4297694,169.0735727,97.07154673,30.81504345,127.8865902,0.000127887,3.971379275,18.10963201,129.2715249,169.9386834
cost,Y2030,S3,604.5191041,604.5191041,0.027308871,59.58857741,204.7792177,50.50849822,69.63613964,-7.68E-12,25.96459172,0,16.79477911,0.917395197,5.20E-05,29.57019914,11.38756274,399.7398863,40.21105092,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,604.5191041,486.9020828,117.6170213,4.118431144,4.118431144,882.3841296,753.8014155,331.0703752,0,118.3119255,5.987164503,4.020519335,27308.87069,0.0322295,0,0,531914.8936,500000,3.22E-08,0.000118018,0.573835647,0,0,2.166443559,1.036412467,96.48668188,0,33.87473057,66.12526943,44.01118032,55.98881968,0,2933442.553,1291042.692,1642399.862,-2.54E-10,0,17.64768259,90.45616986,108.1038525,61.97004919,19.70879834,81.67884753,8.17E-05,4.885484961,17.77487008,107.4524853,133.4170771
cost,Y2040,S1,784.1412094,784.1412094,0.059659567,54.83819537,354.4581009,99.67291813,130.1699475,-1.01E-11,48.70926182,0,33.58955823,1.372880442,9.58E-05,29.56067963,11.38275927,429.6831085,69.60243769,235.2340426,0,0,6.05,26.367,10.79,73.40276596,784.1412094,548.9071668,235.2340426,8.236862288,8.236862288,1945.533604,1482.630781,703.2863422,0,118.2620195,5.987164503,4.020519335,59659.56676,0.070661115,0,0,1063829.787,0,7.07E-08,0.000118441,1.253611667,2.46E-06,0.000195902,2.215051996,1.035975291,96.52739877,0,45.20335071,54.79664929,46.84199377,53.15800623,0,6076958.627,2846568.582,3230390.046,-3.49E-10,0,38.91067208,177.9156937,216.8263658,136.6352919,38.76468055,175.3999725,0.0001754,3.194380801,18.09190885,141.8661128,190.5753747
cost,Y2040,S2,679.5002598,679.5002598,0.042790852,54.83039268,267.2228417,71.44370358,93.55644962,-2.45E-11,34.92024937,0,25.19216867,1.14513782,7.33E-05,29.57504928,11.39001008,412.2774181,52.47266501,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,679.5002598,503.0747279,176.4255319,6.177646716,6.177646716,1394.522491,1065.604424,504.1943468,0,118.3373523,5.987164503,4.020519335,42790.85208,0.049040464,0,0,797872.3404,250000,4.90E-08,0.000114605,0.899155349,0,0,2.214006412,1.036635206,96.46595002,0,39.32637815,60.67362185,46.77456125,53.22543875,0,4362131.12,2040367.692,2321763.427,-8.46E-10,0,27.89044982,127.8725309,155.7629807,97.93764924,27.86116113,125.7988104,0.000125799,3.635751014,17.7566723,120.6566344,155.5768838
cost,Y2040,S3,582.6176049,582.6176049,0.027308876,54.78973926,186.472483,45.28392698,60.29585296,-3.56E-12,22.17590019,0,16.79477911,0.917395197,5.36E-05,29.60131256,11.40326232,396.1451219,36.6162865,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,582.6176049,465.0005836,117.6170213,4.118431144,4.118431144,883.9051099,686.7674854,320.185672,0,118.4750375,5.987164503,4.020519335,27308.87597,0.037511754,0,0,531914.8936,500000,3.75E-08,0.000137361,0.573835647,0,0,2.203078163,1.037841328,96.35384261,0,32.00598152,67.99401848,46.3601274,53.6398726,0,2789612.876,1293268.083,1496344.793,-1.23E-10,0,17.6781022,82.41209825,100.0902004,62.076868,17.95613751,80.03300552,8.00E-05,4.526378822,17.41011889,101.4344177,123.6103178
cost,Y2050,S1,731.0080615,731.0080615,0.059659585,48.85273893,310.0458697,110.0756859,73.10412133,-2.86E-11,50.66828621,0,33.58955823,1.372880442,9.75E-05,29.75462005,11.48062007,420.9621918,60.88152104,235.2340426,0,0,6.05,26.367,10.79,73.40276596,731.0080615,495.774019,235.2340426,8.236862288,8.236862288,2604.191109,879.5919599,843.1672931,0,119.2787515,5.987164503,4.020519335,59659.5846,0.088503804,0,0,1063829.787,0,8.85E-08,0.000148348,1.253606053,8.07E-06,0.000643702,2.785636817,1.044881863,95.7045993,0,42.41346792,57.58653208,66.53465306,33.46534694,0,5726745.33,3810270.137,1916475.193,-1.02E-09,0,52.08382217,105.5510352,157.6348574,182.8929666,22.99770231,205.8906689,0.000205891,3.043071057,17.90405275,130.8800689,181.5483552
