Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,888.6605719,888.6605719,0.059659521,64.97404525,441.82236,61.3845598,218.5973247,0,86.59316618,0,33.58955823,1.372880442,5.74E-05,29.12293593,11.16187728,446.838212,86.75754116,235.2340426,0,0,6.05,26.367,10.79,73.40276596,888.6605719,653.4265294,235.2340426,8.236862288,8.236862288,896.8491915,2176.694479,708.4870583,0,115.9671497,6.320428404,3.462658626,59659.52054,0.024445272,0,0,1063829.787,0,2.44E-08,4.10E-05,1.253179762,0.000434361,0.034648677,2.031825039,1.015872231,98.43757604,0,49.71778584,50.28221416,18.41581994,81.58418006,0,6749723.011,1243016.836,5506706.174,0,0,17.93698383,261.2033375,279.1403213,59.66480814,66.08047409,125.7452822,0.000125745,4.220536117,18.5899994,165.201995,251.7951612
cost,YCurrent,S2,754.2524899,754.2524899,0.042790828,64.96903195,329.7057448,44.05571388,156.8897788,-1.20E-11,62.12852948,0,25.19216867,1.14513782,6.04E-05,29.12927814,11.1650775,424.5467452,64.74199207,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,754.2524899,577.826958,176.4255319,6.177646716,6.177646716,643.6688885,1562.238312,508.3225506,0,116.0003987,6.320428404,3.462658626,42790.8278,0.024757785,0,0,797872.3404,250000,2.48E-08,5.79E-05,0.899122188,3.32E-05,0.003687988,2.032463868,1.016163492,98.40936105,0,43.71291433,56.28708567,18.41558777,81.58441223,0,4844338.962,892113.4934,3952225.469,-3.61E-10,0,12.87337777,187.4685974,200.3419752,42.82144768,47.42670562,90.24815331,9.02E-05,4.671981929,18.26834469,137.7894447,199.9179742
cost,YCurrent,S3,630.0361162,630.0361162,0.027308854,64.96571504,226.1080395,27.92493648,100.4244988,-8.34E-12,39.73223031,0,16.79477911,0.917395197,4.13E-05,29.14243971,11.17171873,403.9280766,44.39924124,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,630.0361162,512.4190949,117.6170213,4.118431144,4.118431144,407.9927719,999.982284,325.080745,0,116.0693981,6.320428404,3.462658626,27308.85367,0.015210322,0,0,531914.8936,500000,1.52E-08,5.57E-05,0.573633209,0.000202438,0.035278036,2.036675885,1.016767928,98.35085989,0,35.88810764,64.11189236,18.26884053,81.73115947,0,3095273.819,565470.638,2529803.181,-2.50E-10,0,8.159855438,119.9978741,128.1577295,27.14259062,30.35763818,57.5002288,5.75E-05,5.594625108,17.94350597,113.0505681,152.7827984
cost,Y2030,S1,801.8786071,801.8786071,0.059659527,55.41305258,369.2842017,64.46450002,174.792987,0,54.75187441,0,33.58955823,1.372880442,6.99E-05,29.1412256,11.1711061,432.5944054,72.51373456,235.2340426,0,0,6.05,26.367,10.79,73.40276596,801.8786071,566.6445646,235.2340426,8.236862288,8.236862288,1126.195665,1892.109495,698.1324335,0,116.0630332,6.320428404,3.462658626,59659.52662,0.030527205,0,0,1063829.787,0,3.05E-08,5.12E-05,1.253169028,0.000445094,0.035504894,2.091167453,1.016712171,98.35625351,0,46.0523823,53.9476177,24.59004952,75.40995048,0,6347636.343,1560886.92,4786749.423,0,0,22.5239133,227.0531395,249.5770528,74.92257217,57.44099307,132.3635652,0.000132364,3.411279064,18.55186289,148.7634197,203.5152941
cost,Y2030,S2,691.993223,691.993223,0.042790824,55.40329466,277.6652941,46.1452706,125.5817249,3.56E-12,39.27921377,0,25.19216867,1.14513782,5.26E-05,29.14746924,11.17425659,414.3279289,54.52317576,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,691.993223,515.5676911,176.4255319,6.177646716,6.177646716,806.1584857,1359.404505,500.8430011,0,116.0957655,6.320428404,3.462658626,42790.82438,0.021345627,0,0,797872.3404,250000,2.13E-08,4.99E-05,0.89883714,0.000318209,0.035389767,2.091615035,1.016998906,98.32852272,0,40.12543547,59.87456453,24.52197367,75.47802633,0,4556407.919,1117321.15,3439086.769,1.18E-10,0,16.12316971,163.1285406,179.2517103,53.63141521,41.26904123,94.90045644,9.49E-05,3.86374955,18.21604757,126.0538147,165.3330285
cost,Y2030,S3,590.2829901,590.2829901,0.027308854,55.4016169,192.8797236,29.38450836,80.33526249,-3.39E-12,25.10666968,0,16.79477911,0.917395197,3.68E-05,29.1603273,11.18074466,397.4032666,37.87443116,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,590.2829901,472.6659688,117.6170213,4.118431144,4.118431144,513.3477484,869.6179152,320.1311479,0,116.1631738,6.320428404,3.462658626,27308.85366,0.015194755,0,0,531914.8936,500000,1.52E-08,5.56E-05,0.5736008,0.000234847,0.040925916,2.094861238,1.017589403,98.27146367,0,32.67580581,67.32419419,24.43732518,75.56267482,0,2911491.883,711490.739,2200001.144,-1.12E-10,0,10.26695497,104.3541498,114.6211048,34.15155547,26.40001372,60.5515692,6.06E-05,4.783936476,17.87907719,105.5371515,130.6438211
cost,Y2040,S1,759.6236927,759.6236927,0.059659528,51.37134705,333.9647241,66.83159981,146.3089751,5.17E-13,45.52265357,0,33.58955823,1.372880442,7.34E-05,29.15893927,11.18004428,425.6589686,65.5782978,235.2340426,0,0,6.05,26.367,10.79,73.40276596,759.6236927,524.3896502,235.2340426,8.236862288,8.236862288,1304.498009,1666.453695,657.2766517,0,116.1558971,6.320428404,3.462658626,59659.52755,0.031451513,0,0,1063829.787,0,3.15E-08,5.27E-05,1.253506321,0.000107802,0.00859929,2.070142456,1.017525658,98.27762001,0,43.96449549,56.03550451,30.01403027,69.98596973,0,6023885.306,1808010.759,4215874.547,1.78E-11,0,26.08996018,199.9744434,226.0644035,86.78451645,50.59049456,137.375011,0.000137375,3.082633701,18.21768041,138.3858166,183.9084702
cost,Y2040,S2,661.6841857,661.6841857,0.042790825,51.36503803,252.3309779,47.9436228,105.0463689,-5.50E-12,32.65493521,0,25.19216867,1.14513782,5.15E-05,29.16539244,11.18330049,409.3532078,49.54845473,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,661.6841857,485.2586538,176.4255319,6.177646716,6.177646716,935.8201907,1196.47417,471.4867169,0,116.1897278,6.320428404,3.462658626,42790.82477,0.021736584,0,0,797872.3404,250000,2.17E-08,5.08E-05,0.898861642,0.000293706,0.032664674,2.070382755,1.017822015,98.24900475,0,38.13465447,61.86534553,29.99656844,70.00343156,0,4323927.726,1297029.94,3026897.787,-1.90E-10,0,18.71640381,143.5769004,162.2933042,62.2574371,36.32277344,98.58021054,9.86E-05,3.527683247,17.87824812,118.2975405,150.9524757
cost,Y2040,S3,570.9365595,570.9365595,0.027308854,51.3651275,176.7086856,30.5120956,67.24264818,0,20.87468993,0,16.79477911,0.917395197,3.89E-05,29.17758566,11.1894531,394.2278739,34.69903848,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,570.9365595,453.3195382,117.6170213,4.118431144,4.118431144,595.5710781,765.8912203,301.39821,0,116.2536507,6.320428404,3.462658626,27308.8543,0.015842097,0,0,531914.8936,500000,1.58E-08,5.80E-05,0.573814674,2.10E-05,0.003654916,2.073810291,1.01838198,98.19498179,0,30.95066916,69.04933084,29.87474098,70.12525902,0,2763039.166,825450.7939,1937588.372,0,0,11.91142156,91.90694644,103.818368,39.62163811,23.25106046,62.87269857,6.29E-05,4.43090911,17.53756345,100.1283614,121.0030513
cost,Y2050,S1,714.9273324,714.9273324,0.059659528,46.15835074,296.604523,67.11376174,116.1086134,0,38.043099,0,33.58955823,1.372880442,6.87E-05,29.18390148,11.19264001,418.3228094,58.24213857,235.2340426,0,0,6.05,26.367,10.79,73.40276596,714.9273324,479.6932898,235.2340426,8.236862288,8.236862288,1587.789894,1397.023875,633.0724641,0,116.2867613,6.320428404,3.462658626,59659.52846,0.032365096,0,0,1063829.787,0,3.24E-08,5.42E-05,1.253613756,3.67E-07,2.93E-05,2.091532295,1.018672029,98.16702247,0,41.48736656,58.51263344,38.37287149,61.62712851,0,5734906.268,2200648.212,3534258.056,0,0,31.75579787,167.642865,199.3986628,105.6311142,42.41109667,148.0422109,0.000148042,2.780829989,17.8843221,127.8599069,165.9030059
