t,s,w
t1,0.207,0.001
t2,0.433,0.001
t3,0.589,0.03
t4,0.585,0.053
t5,0.606,0.061
t6,0.553,0.061
t7,0.419,0.052
t8,0.23,0.041
t9,0.044,0.041
t10,0,0.043
t11,0,0.041
t12,0,0.039
t13,0,0.032
t14,0,0.015
t15,0,0.004
t16,0,0.002
t17,0,0.001
t18,0,0.001
t19,0,0
t20,0,0
t21,0,0.001
t22,0,0.002
t23,0,0.005
t24,0.018,0.013
t25,0.223,0.029
t26,0.451,0.017
t27,0.6,0.007
t28,0.643,0.002
t29,0.645,0.001
t30,0.577,0
t31,0.411,0
t32,0.216,0
t33,0.039,0
t34,0,0.002
t35,0,0.022
t36,0,0.057
t37,0,0.093
t38,0,0.13
t39,0,0.158
t40,0,0.16
t41,0,0.142
t42,0,0.119
t43,0,0.096
t44,0,0.083
t45,0,0.08
t46,0,0.08
t47,0,0.078
t48,0.012,0.086
t49,0.159,0.113
t50,0.357,0.078
t51,0.506,0.068
t52,0.556,0.077
t53,0.571,0.06
t54,0.514,0.044
t55,0.384,0.024
t56,0.205,0.019
t57,0.037,0.01
t58,0,0.005
t59,0,0.007
t60,0,0.017
t61,0,0.036
t62,0,0.068
t63,0,0.095
t64,0,0.074
t65,0,0.039
t66,0,0.017
t67,0,0.004
t68,0,0
t69,0,0.001
t70,0,0.007
t71,0,0.021
t72,0.003,0.045
t73,0.07,0.066
t74,0.188,0.043
t75,0.301,0.073
t76,0.365,0.072
t77,0.41,0.066
t78,0.376,0.078
t79,0.279,0.106
t80,0.141,0.155
t81,0.025,0.261
t82,0,0.393
t83,0,0.457
t84,0,0.451
t85,0,0.398
t86,0,0.309
t87,0,0.22
t88,0,0.176
t89,0,0.171
t90,0,0.193
t91,0,0.245
t92,0,0.294
t93,0,0.328
t94,0,0.311
t95,0,0.276
t96,0.018,0.239
t97,0.239,0.114
t98,0.5,0.072
t99,0.652,0.101
t100,0.735,0.058
t101,0.739,0.028
t102,0.633,0.015
t103,0.433,0.013
t104,0.199,0.03
t105,0.027,0.068
t106,0,0.088
t107,0,0.055
t108,0,0.012
t109,0,0.004
t110,0,0.002
t111,0,0.003
t112,0,0.003
t113,0,0.001
t114,0,0
t115,0,0
t116,0,0
t117,0,0
t118,0,0
t119,0,0
t120,0.025,0.003
t121,0.25,0.008
t122,0.473,0.002
t123,0.618,0
t124,0.641,0
t125,0.634,0
t126,0.552,0.002
t127,0.391,0.004
t128,0.213,0.002
t129,0.048,0
t130,0,0
t131,0,0
t132,0,0
t133,0,0
t134,0,0
t135,0,0
t136,0,0
t137,0,0
t138,0,0
t139,0,0.002
t140,0,0.01
t141,0,0.027
t142,0,0.032
t143,0,0.031
t144,0.014,0.045
t145,0.087,0.051
t146,0.205,0.016
t147,0.399,0.013
t148,0.498,0.004
t149,0.513,0.001
t150,0.481,0.002
t151,0.378,0.003
t152,0.205,0.007
t153,0.04,0.039
t154,0,0.089
t155,0,0.124
t156,0,0.127
t157,0,0.113
t158,0,0.105
t159,0,0.098
t160,0,0.104
t161,0,0.132
t162,0,0.174
t163,0,0.218
t164,0,0.23
t165,0,0.251
t166,0,0.255
t167,0,0.262
t168,0.024,0.28
t169,0.261,0.187
t170,0.476,0.154
t171,0.601,0.325
t172,0.653,0.368
t173,0.636,0.443
t174,0.59,0.51
t175,0.45,0.52
t176,0.239,0.485
t177,0.046,0.447
t178,0,0.425
t179,0,0.374
t180,0,0.34
t181,0,0.278
