Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,940.9535484,940.9535484,0.059659548,71.99983376,485.5323199,132.814105,184.8406094,0,92.13101844,0,33.58955823,1.372880442,7.39E-05,29.45476087,11.3293135,455.4212285,95.34055775,235.2340426,0,0,6.05,26.367,10.79,73.40276596,940.9535484,705.7195059,235.2340426,8.236862288,8.236862288,1940.459019,1840.560193,753.7965999,0,117.7067408,5.760823245,4.17877127,59659.54798,0.051885915,0,0,1063829.787,0,5.19E-08,8.70E-05,1.253612772,1.35E-06,0.000107718,2.161764401,1.031111049,96.98276446,0,51.6000307,48.3999693,43.33469424,56.66530576,0,6809077.77,2950693.032,3858384.738,0,0,38.80918038,220.8672232,259.6764035,141.6332655,46.30061686,187.9338824,0.000187934,4.455274836,18.45666715,173.6686644,265.7996829
cost,YCurrent,S2,791.9604219,791.9604219,0.042790843,71.9952087,361.224551,95.24927579,132.7377756,0,66.09937457,0,25.19216867,1.14513782,5.94E-05,29.4658501,11.33490904,430.7358709,70.93111778,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,791.9604219,615.53489,176.4255319,6.177646716,6.177646716,1391.624152,1321.743456,540.8111692,0,117.764876,5.760823245,4.17877127,42790.84267,0.039635728,0,0,797872.3404,250000,3.96E-08,9.26E-05,0.899143816,1.15E-05,0.001282625,2.162364777,1.031620314,96.93488843,0,45.61143979,54.38856021,43.30192212,56.69807788,0,4886909.975,2116125.951,2770784.024,0,0,27.83248304,158.6092147,186.4416977,101.5740457,33.24940828,134.823454,0.000134823,4.901927416,18.13957192,143.6582303,209.7576049
cost,YCurrent,S3,654.3636061,654.3636061,0.027308862,71.98378932,246.4425793,60.75295481,84.94365171,1.69E-12,42.20199697,0,16.79477911,0.917395197,3.85E-05,29.48645627,11.34530675,407.9210268,48.39219142,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,654.3636061,536.7465849,117.6170213,4.118431144,4.118431144,887.6212288,845.8309268,345.2878559,0,117.8729038,5.760823245,4.17877127,27308.86199,0.023528529,0,0,531914.8936,500000,2.35E-08,8.62E-05,0.573835032,6.15E-07,0.000107205,2.163275574,1.032566637,96.84604983,0,37.66141286,62.33858714,43.22106206,56.77893794,0,3122854.873,1349731.042,1773123.83,5.07E-11,0,17.75242458,101.4997112,119.2521358,64.78709004,21.27748596,86.064576,8.61E-05,5.814686199,17.81738239,116.590466,158.7924629
cost,Y2030,S1,838.7044429,838.7044429,0.059659554,60.58260025,400.0656932,126.3352558,134.257858,0,63.63477644,0,33.58955823,1.372880442,7.46E-05,29.51538548,11.3599042,438.6387498,78.55807896,235.2340426,0,0,6.05,26.367,10.79,73.40276596,838.7044429,603.4704004,235.2340426,8.236862288,8.236862288,2207.078583,1453.322426,811.396903,0,118.0245651,5.760823245,4.17877127,59659.55359,0.057498874,0,0,1063829.787,0,5.75E-08,9.64E-05,1.253612994,1.13E-06,9.01E-05,2.430435755,1.03389519,96.7216029,0,47.70043804,52.29956196,52.416973,47.583027,0,6402733.342,3356119.007,3046614.335,0,0,44.14157167,174.3986911,218.5402628,161.0937123,36.55937201,197.6530844,0.000197653,3.656582156,18.42309099,154.5152827,218.1500591
cost,Y2030,S2,718.6237937,718.6237937,0.042790843,60.57740021,299.9249025,90.62012577,96.43037337,2.02E-12,45.64416638,0,25.19216867,1.14513782,5.34E-05,29.52707466,11.36580247,418.6988912,58.89413809,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,718.6237937,542.1982618,176.4255319,6.177646716,6.177646716,1583.134792,1043.845226,582.0014984,0,118.0858456,5.760823245,4.17877127,42790.84266,0.039618336,0,0,797872.3404,250000,3.96E-08,9.26E-05,0.898827031,0.000328317,0.036513944,2.430547222,1.034432007,96.67140935,0,41.73601057,58.26398943,52.3840049,47.6159951,0,4595563.281,2407340.094,2188223.186,6.67E-11,0,31.66269583,125.2614272,156.924123,115.5523245,26.25867824,141.8110028,0.000141811,4.105197441,18.0930123,130.0206914,175.6648578
cost,Y2030,S3,607.5642102,607.5642102,0.027308866,60.50797203,207.3245207,57.16672493,62.63255162,0,28.89181613,0,16.79477911,0.917395197,3.93E-05,29.54590854,11.37530589,400.2396895,40.71085411,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,607.5642102,489.9471889,117.6170213,4.118431144,4.118431144,998.703438,677.9885604,368.3949476,0,118.1845821,5.760823245,4.17877127,27308.8665,0.028037592,0,0,531914.8936,500000,2.80E-08,0.000102668,0.573658182,0.000177465,0.030926138,2.410686802,1.035296939,96.59064587,0,34.12388637,65.87611363,51.65600209,48.34399791,0,2939918.626,1518644.427,1421274.199,0,0,19.97406876,81.35862725,101.332696,72.8949325,17.05529039,89.95022289,9.00E-05,5.005705367,17.74435058,107.8083235,136.7001396
cost,Y2040,S1,787.7992651,787.7992651,0.059659562,55.76997415,357.515748,130.3552972,90.88866444,0,60.28274107,0,33.58955823,1.372880442,8.12E-05,29.61590164,11.41062386,430.2835171,70.2028463,235.2340426,0,0,6.05,26.367,10.79,73.40276596,787.7992651,552.5652226,235.2340426,8.236862288,8.236862288,2544.428475,1035.218451,870.3894676,0,118.5515207,5.760823245,4.17877127,59659.56214,0.066043207,0,0,1063829.787,0,6.60E-08,0.0001107,1.253614123,0,0,2.741355777,1.038511321,96.29168019,0,45.38157928,54.61842072,64.06601309,35.93398691,0,6039237.442,3869098.65,2170138.792,0,0,50.8885695,124.2262142,175.1147837,185.7167352,26.0416655,211.7584007,0.000211758,3.411247581,18.18112841,143.230796,203.513537
cost,Y2040,S2,682.1514873,682.1514873,0.042790849,55.75863074,269.4389146,93.11147801,65.82650758,0,43.12063442,0,25.19216867,1.14513782,5.88E-05,29.62680412,11.41612516,412.7125727,52.90781962,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,682.1514873,505.7259554,176.4255319,6.177646716,6.177646716,1817.459675,749.7614324,622.5952133,0,118.6086769,5.760823245,4.17877127,42790.84933,0.046287552,0,0,797872.3404,250000,4.63E-08,0.000108172,0.899154739,6.10E-07,6.78E-05,2.733925701,1.03901201,96.24527827,0,39.49839876,60.50160124,63.74646449,36.25353551,0,4335390.649,2763658.261,1571732.388,0,0,36.3491935,89.97137189,126.3205654,132.6555965,18.86078866,151.5163852,0.000151516,3.851930887,17.84160294,121.7067598,164.8273942
cost,Y2040,S3,584.3428757,584.3428757,0.027308872,55.7544677,187.9145795,58.606364,43.19323835,-1.33E-12,27.33005392,0,16.79477911,0.917395197,4.74E-05,29.64659168,11.42610981,396.4282962,36.89946083,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,584.3428757,466.7258544,117.6170213,4.118431144,4.118431144,1143.948153,491.9693516,394.6036736,0,118.7124131,5.760823245,4.17877127,27308.87231,0.033848476,0,0,531914.8936,500000,3.38E-08,0.000123947,0.573835296,3.51E-07,6.13E-05,2.715121034,1.039920739,96.16117488,0,32.15827339,67.84172661,62.77932208,37.22067792,0,2770826.136,1739505.864,1031320.272,-4.61E-11,0,22.87896305,59.0363222,81.91528525,83.49628147,12.37584326,95.87212473,9.59E-05,4.745353608,17.50003398,102.2602018,129.5902557
cost,Y2050,S1,727.0839242,727.0839242,0.059659672,47.99198829,306.7658138,141.9950488,24.52739085,0,63.21266535,0,33.58955823,1.372880442,0.000140551,30.30818502,11.75994455,420.3181104,60.23743959,235.2340426,0,0,6.05,26.367,10.79,73.40276596,727.0839242,491.8498816,235.2340426,8.236862288,8.236862288,3359.345351,295.1146309,1051.917401,0,122.1808138,5.760823245,4.17877127,59659.67218,0.176083348,0,0,1063829.787,0,1.76E-07,0.000295146,1.252851471,0.000762652,0.060836246,3.475295546,1.070303929,93.4314051,0,42.19125243,57.80874757,89.19749011,10.80250989,0,5726926.042,5108274.29,618651.752,0,0,67.18690701,35.41375571,102.6006627,245.1971659,7.423821024,252.6209869,0.000252621,3.241506328,17.90364705,130.1745396,193.3872049
