t,s,w
t1,0.16,0.052
t2,0.446,0.026
t3,0.64,0.038
t4,0.745,0.035
t5,0.785,0.023
t6,0.752,0.015
t7,0.652,0.009
t8,0.474,0.006
t9,0.2,0.014
t10,0.001,0.049
t11,0,0.063
t12,0,0.055
t13,0,0.038
t14,0,0.017
t15,0,0.002
t16,0,0
t17,0,0
t18,0,0.006
t19,0,0.037
t20,0,0.068
t21,0,0.083
t22,0,0.085
t23,0,0.088
t24,0,0.101
t25,0.138,0.113
t26,0.386,0.062
t27,0.564,0.134
t28,0.693,0.178
t29,0.723,0.179
t30,0.695,0.193
t31,0.595,0.204
t32,0.414,0.205
t33,0.16,0.191
t34,0.001,0.191
t35,0,0.201
t36,0,0.211
t37,0,0.213
t38,0,0.214
t39,0,0.224
t40,0,0.239
t41,0,0.223
t42,0,0.192
t43,0,0.161
t44,0,0.115
t45,0,0.07
t46,0,0.043
t47,0,0.033
t48,0,0.025
t49,0.114,0.013
t50,0.324,0.003
t51,0.43,0.013
t52,0.529,0.013
t53,0.424,0.006
t54,0.281,0.007
t55,0.266,0.008
t56,0.24,0.011
t57,0.1,0.019
t58,0,0.041
t59,0,0.067
t60,0,0.068
t61,0,0.064
t62,0,0.075
t63,0,0.093
t64,0,0.118
t65,0,0.176
t66,0,0.242
t67,0,0.283
t68,0,0.29
t69,0,0.283
t70,0,0.29
t71,0,0.297
t72,0,0.279
t73,0.104,0.231
t74,0.329,0.126
t75,0.48,0.066
t76,0.447,0.007
t77,0.264,0
t78,0.207,0
t79,0.143,0
t80,0.078,0.003
t81,0.023,0.028
t82,0,0.079
t83,0,0.103
t84,0,0.095
t85,0,0.064
t86,0,0.025
t87,0,0.007
t88,0,0.012
t89,0,0.039
t90,0,0.083
t91,0,0.119
t92,0,0.121
t93,0,0.126
t94,0,0.106
t95,0,0.112
t96,0,0.126
t97,0.024,0.114
t98,0.082,0.092
t99,0.193,0.14
t100,0.278,0.175
t101,0.258,0.168
t102,0.232,0.114
t103,0.18,0.096
t104,0.139,0.086
t105,0.064,0.075
t106,0,0.084
t107,0,0.126
t108,0,0.185
t109,0,0.227
t110,0,0.234
t111,0,0.223
t112,0,0.231
t113,0,0.229
t114,0,0.202
t115,0,0.175
t116,0,0.167
t117,0,0.166
t118,0,0.158
t119,0,0.108
t120,0,0.05
t121,0.071,0.017
t122,0.17,0.006
t123,0.265,0.041
t124,0.363,0.067
t125,0.513,0.067
t126,0.604,0.054
t127,0.582,0.042
t128,0.403,0.049
t129,0.159,0.078
t130,0.001,0.13
t131,0,0.146
t132,0,0.142
t133,0,0.133
t134,0,0.123
t135,0,0.122
t136,0,0.145
t137,0,0.184
t138,0,0.224
t139,0,0.236
t140,0,0.204
t141,0,0.218
t142,0,0.213
t143,0,0.167
t144,0,0.105
t145,0.026,0.055
t146,0.133,0.021
t147,0.245,0.024
t148,0.506,0.042
t149,0.688,0.112
t150,0.721,0.233
t151,0.632,0.369
t152,0.468,0.471
t153,0.217,0.523
t154,0.004,0.506
t155,0,0.489
t156,0,0.51
t157,0,0.523
t158,0,0.529
t159,0,0.541
t160,0,0.523
t161,0,0.525
t162,0,0.484
t163,0,0.413
t164,0,0.355
t165,0,0.317
t166,0,0.297
t167,0,0.29
t168,0,0.265
t169,0.1,0.155
t170,0.229,0.061
t171,0.402,0.072
t172,0.6,0.033
t173,0.613,0.011
t174,0.477,0.006
t175,0.292,0.005
t176,0.156,0.009
t177,0.058,0.013
t178,0,0.029
t179,0,0.063
t180,0,0.133
t181,0,0.231
t182,0,0.247
t183,0,0.22
t184,0,0.189
t185,0,0.169
t186,0,0.167
t187,0,0.156
t188,0,0.133
t189,0,0.131
t190,0,0.133
t191,0,0.13
t192,0,0.121
t193,0.046,0.086
t194,0.11,0.05
t195,0.157,0.054
t196,0.185,0.06
t197,0.212,0.06
t198,0.209,0.048
t199,0.18,0.029
t200,0.143,0.019
t201,0.068,0.013
t202,0,0.015
t203,0,0.018
t204,0,0.025
t205,0,0.036
t206,0,0.045
t207,0,0.048
t208,0,0.044
t209,0,0.037
t210,0,0.038
t211,0,0.047
t212,0,0.054
t213,0,0.041
t214,0,0.023
t215,0,0.014
t216,0,0.019
t217,0.145,0.035
t218,0.401,0.026
t219,0.589,0.056
t220,0.693,0.072
t221,0.718,0.081
t222,0.671,0.08
t223,0.447,0.061
t224,0.129,0.048
t225,0.026,0.065
t226,0,0.135
t227,0,0.171
t228,0,0.161
t229,0,0.167
t230,0,0.178
t231,0,0.184
t232,0,0.2
t233,0,0.199
t234,0,0.175
t235,0,0.146
t236,0,0.132
t237,0,0.126
t238,0,0.106
t239,0,0.079
t240,0,0.057
t241,0.212,0.039
t242,0.486,0.011
t243,0.669,0.02
t244,0.77,0.036
t245,0.803,0.05
t246,0.772,0.064
t247,0.675,0.074
t248,0.503,0.072
t249,0.243,0.063
t250,0.007,0.065
t251,0,0.045
t252,0,0.019
t253,0,0.007
t254,0,0.004
t255,0,0.003
t256,0,0.003
t257,0,0.004
t258,0,0.007
t259,0,0.025
t260,0,0.055
t261,0,0.076
t262,0,0.073
t263,0,0.064
t264,0,0.084
t265,0.193,0.123
t266,0.457,0.087
t267,0.648,0.144
t268,0.77,0.259
t269,0.809,0.326
t270,0.783,0.364
t271,0.691,0.373
t272,0.519,0.343
t273,0.262,0.272
t274,0.01,0.228
t275,0,0.203
t276,0,0.181
t277,0,0.172
t278,0,0.167
t279,0,0.154
t280,0,0.141
t281,0,0.122
t282,0,0.092
t283,0,0.062
t284,0,0.037
t285,0,0.017
t286,0,0.008
t287,0,0.006
t288,0,0.006
t289,0.269,0.006
t290,0.53,0.002
t291,0.698,0.001
t292,0.788,0.001
t293,0.814,0
t294,0.779,0.001
t295,0.671,0.003
t296,0.442,0.009
t297,0.129,0.035
t298,0.002,0.078
t299,0,0.093
t300,0,0.108
t301,0,0.117
t302,0,0.089
t303,0,0.051
t304,0,0.025
t305,0,0.009
