Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,999.9069381,999.9069381,0.059659583,77.95352443,514.1547399,206.3232147,104.218591,0,127.3362347,0,33.58955823,1.372880442,8.96E-05,29.8070801,11.50709099,485.7521982,100.9609405,235.2340426,0,0,6.05,26.367,10.79,73.40276596,999.9069381,764.6728955,235.2340426,32.94744915,32.94744915,3014.451988,1037.76216,1041.838269,0,119.5537731,5.420909488,4.916807174,59659.58302,0.086929265,0,0,1063829.787,0,8.69E-08,0.000145709,1.253613255,8.68E-07,6.92E-05,2.987818675,1.047291052,95.48444035,0,51.42025926,48.57974074,72.48697166,27.51302834,0,6720171.631,4871248.906,1848922.725,0,0,60.28903975,124.5314592,184.8204989,233.8199475,22.1870727,256.0070202,0.000256007,5.261354093,18.65713193,186.5539566,313.8901913
cost,YCurrent,S2,835.2592997,835.2592997,0.042790865,77.94300414,381.9255746,146.897858,76.40010207,0,90.96126442,0,25.19216867,1.14513782,7.34E-05,29.81691604,11.51205413,453.333725,74.9960318,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,835.2592997,658.8337677,176.4255319,24.71058686,24.71058686,2146.227416,760.7580772,744.2259187,0,119.605338,5.420909488,4.916807174,42790.86548,0.062441521,0,0,797872.3404,250000,6.24E-08,0.000145923,0.899154334,1.01E-06,0.000112866,2.975691233,1.04774276,95.4432746,0,45.72539028,54.27460972,71.90081953,28.09918047,0,4823628.451,3468228.387,1355400.064,0,0,42.92454833,91.29096926,134.2155176,166.4749626,16.26480076,182.7397633,0.00018274,5.703981638,18.33167815,153.1170465,244.078311
cost,YCurrent,S3,682.7931462,682.7931462,0.027308882,77.84932988,259.8785075,92.30812445,51.10474168,0,57.399316,0,16.79477911,0.917395197,4.90E-05,29.83361947,11.52048254,422.9146387,51.03050989,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,682.7931462,565.1761249,117.6170213,16.47372458,16.47372458,1348.652936,508.8781816,469.6291213,0,119.6929056,5.420909488,4.916807174,27308.88191,0.043452291,0,0,531914.8936,500000,4.35E-08,0.000159114,0.573643073,0.000192574,0.033559113,2.942288437,1.048509853,95.37344805,0,38.06108906,61.93891094,70.62102572,29.37897428,0,3086015.7,2179375.941,906639.7589,0,0,26.97305871,61.06538179,88.0384405,104.6100452,10.87967711,115.4897223,0.00011549,6.598890332,17.98626737,122.8090008,180.2083168
cost,Y2030,S1,868.1644895,868.1644895,0.059659759,61.72875471,404.0356086,209.7316739,20.55165361,3.28E-12,95.66946708,0,33.58955823,1.372880442,0.000159417,31.00743525,12.11278066,464.1288809,79.33762326,235.2340426,0,0,6.05,26.367,10.79,73.40276596,868.1644895,632.9304469,235.2340426,32.94744915,32.94744915,3664.015107,222.4687592,1219.866143,0,125.8466307,5.420909488,4.916807174,59659.75892,0.262824386,0,0,1063829.787,0,2.63E-07,0.000440539,1.252704189,0.000909933,0.072584806,3.6539406,1.102416485,90.70981917,0,46.53906183,53.46093817,93.72577896,6.274221041,0,6317280.303,5920920.173,396360.13,1.09E-10,0,73.28030215,26.6962511,99.97655325,284.2041683,4.75632156,288.9604899,0.00028896,4.313688234,18.623675,161.684133,257.3536001
cost,Y2030,S2,741.3319979,741.3319979,0.04279097,61.82042841,303.4148669,148.5049783,17.65380767,0,68.07295516,0,25.19216867,1.14513782,0.000118965,30.82498338,12.02071689,437.917131,59.57943777,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,741.3319979,564.906466,176.4255319,24.71058686,24.71058686,2594.383928,191.0999846,867.9874133,0,124.8901274,5.420909488,4.916807174,42790.96986,0.166823562,0,0,797872.3404,250000,1.67E-07,0.000389857,0.899153825,1.52E-06,0.00016949,3.62486717,1.094037516,91.40454374,0,40.92833814,59.07166186,92.48887671,7.511123295,0,4532905.766,4192433.625,340472.1409,0,0,51.88767857,22.93199815,74.81967672,201.236814,4.085665691,205.3224797,0.000205322,4.759611355,18.29078352,135.5954309,203.668386
cost,Y2030,S3,623.441681,623.441681,0.027308936,61.95095846,210.2685917,92.57983417,14.70989445,7.94E-12,42.74096459,0,16.79477911,0.917395197,7.39E-05,30.61226788,11.91338234,413.1730894,41.28896056,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,623.441681,505.8246598,117.6170213,16.47372458,16.47372458,1617.370923,159.2325381,544.9832346,0,123.7749672,5.420909488,4.916807174,27308.93568,0.097214094,0,0,531914.8936,500000,9.72E-08,0.000355979,0.573835647,0,0,3.566228505,1.084268712,92.22806013,0,33.72706671,66.27293329,90.20830884,9.791691158,0,2897310.5,2613614.804,283695.6961,2.62E-10,0,32.34741847,19.10790457,51.45532303,125.4535106,3.404348353,128.8578589,0.000128858,5.662279533,17.94712583,111.889863,154.6308276
cost,Y2040,S1,810.4438008,810.4438008,0.059659813,55.19548062,355.7888045,180.0617422,16.28666355,7.74E-12,80.93242101,0,33.58955823,1.372880442,0.000195425,31.28998876,12.25535491,454.6549962,69.86373858,235.2340426,0,0,6.05,26.367,10.79,73.40276596,810.4438008,575.2097582,235.2340426,32.94744915,32.94744915,3514.65751,185.5044821,1168.538882,0,127.3279165,5.420909488,4.916807174,59659.81348,0.317386869,0,0,1063829.787,0,3.17E-07,0.000531994,1.253614123,0,0,3.680383825,1.115392548,89.65453476,0,43.9004906,56.0995094,94.50084372,5.499156275,0,6010066.47,5679563.523,330502.9474,2.67E-10,0,70.2931502,22.26053785,92.55368805,272.6190491,3.966035369,276.5850845,0.000276585,3.835833102,18.25082334,147.9126664,228.8450874
cost,Y2040,S2,700.0731983,700.0731983,0.042791003,55.31845045,268.9280085,127.637908,14.0986044,0,57.64984202,0,25.19216867,1.14513782,0.000134389,31.06326252,12.14095065,431.1451898,52.80749659,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,700.0731983,523.6476664,176.4255319,24.71058686,24.71058686,2491.387268,160.5825711,832.3744808,0,126.139305,5.420909488,4.916807174,42791.0026,0.199563906,0,0,797872.3404,250000,2.00E-07,0.000466369,0.899154403,9.46E-07,0.000105159,3.655090477,1.104980311,90.49935004,0,38.41426998,61.58573002,93.36515233,6.634847665,0,4312095.6,4025994.626,286100.9743,0,0,49.82774535,19.26990853,69.09765388,193.2477421,3.433211691,196.6809537,0.000196681,4.278406115,17.91633296,125.4274452,183.0772872
cost,Y2040,S3,597.2656048,597.2656048,0.02730895,55.49035624,188.3888801,79.90531491,11.60165224,-1.39E-12,36.31539054,0,16.79477911,0.917395197,8.46E-05,30.83067475,12.02358871,408.8767247,36.99259589,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,597.2656048,479.6485835,117.6170213,16.47372458,16.47372458,1559.686204,132.1423804,524.3380257,0,124.9199644,5.420909488,4.916807174,27308.95003,0.111566896,0,0,531914.8936,500000,1.12E-07,0.000408536,0.573835647,0,0,3.607764566,1.094298888,91.38271187,0,31.54189335,68.45810665,91.45699245,8.543007553,0,2755828.995,2520398.316,235430.6792,-4.79E-11,0,31.19372407,15.85708565,47.05080972,120.9791192,2.82516815,123.8042873,0.000123804,5.173034596,17.57254258,104.9547527,141.2701433
cost,Y2050,S1,746.0297524,746.0297524,0.059659869,46.38325134,301.9472438,143.4510356,12.20994827,1.83E-11,67.11231532,0,33.58955823,1.372880442,0.000207203,31.73260382,12.47869496,444.0825086,59.29125098,235.2340426,0,0,6.05,26.367,10.79,73.40276596,746.0297524,510.7957099,235.2340426,32.94744915,32.94744915,3393.791356,146.9106274,1116.811194,0,129.6483244,5.420909488,4.916807174,59659.86911,0.37301791,0,0,1063829.787,0,3.73E-07,0.000625241,1.253612622,1.50E-06,0.000119667,3.689677683,1.135719322,88.04992405,0,40.47388764,59.52611236,95.44478122,4.555218781,0,5745990.487,5484248.049,261742.4378,6.50E-10,0,67.87582713,17.62927529,85.50510241,263.2439064,3.140909254,266.3848156,0.000266385,3.35797553,17.85774158,133.2240653,200.3363806
