Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1032.670355,1032.670355,0.059659809,72.95800707,486.4437177,245.7261888,18.8483249,-3.78E-11,142.9945185,0,33.58955823,1.372880442,0.000181404,31.53372383,12.3783417,546.2266374,95.51952253,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1032.670355,797.4363126,235.2340426,98.86330639,98.86330639,3590.142773,187.683197,1169.951051,0,128.6056968,4.906218969,6.019212005,59659.80937,0.313276646,0,0,1063829.787,0,3.13E-07,0.000525105,1.253614123,0,0,3.355212071,1.126585904,88.76375932,0,47.10542094,52.89457906,95.91305599,4.086944014,0,6683303.293,6410160.429,273142.8639,-1.13E-09,0,71.80285545,22.52198364,94.32483909,307.6877006,3.277714367,310.965415,0.000310965,5.640878306,18.74162505,193.539206,336.5337244
cost,YCurrent,S2,861.7866371,861.7866371,0.042791001,73.10768845,362.7762391,174.6668017,16.3104157,2.41E-11,101.9042326,0,25.19216867,1.14513782,0.000126809,31.29797234,12.25938337,499.010398,71.23581183,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,861.7866371,685.3611052,176.4255319,74.14747979,74.14747979,2551.941081,162.4118313,833.7589813,0,127.3697704,4.906218969,6.019212005,42791.00066,0.197622937,0,0,797872.3404,250000,1.98E-07,0.000461833,0.899155349,0,0,3.333667091,1.115759189,89.62507412,0,42.09583016,57.90416984,95.06837141,4.931628586,0,4792827.164,4556462.729,236364.4345,7.21E-10,0,51.03882163,19.48941975,70.52824138,218.710211,2.836373214,221.5465842,0.000221547,6.092479603,18.42672644,158.7990661,260.7032987
cost,YCurrent,S3,702.0786363,702.0786363,0.027308951,73.31694325,248.4501709,109.7362663,13.6849048,-1.45E-12,64.16438514,0,16.79477911,0.917395197,7.80E-05,31.02880077,12.12356153,453.6284655,48.78640802,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,702.0786363,584.4616151,117.6170213,49.4316532,49.4316532,1603.283986,136.2681669,524.979493,0,125.9586394,4.906218969,6.019212005,27308.95128,0.11281571,0,0,531914.8936,500000,1.13E-07,0.000413109,0.573834725,9.22E-07,0.000160676,3.289057468,1.103397681,90.62915551,0,35.38779818,64.61220182,93.52110592,6.478894083,0,3060962.434,2862645.92,198316.514,-4.35E-11,0,32.06567971,16.35218003,48.41785974,137.4070042,2.379798168,139.7868023,0.000139787,7.003627522,18.103006,127.0973376,191.2617228
cost,Y2030,S1,904.9292471,904.9292471,0.059659894,56.87544876,379.6691738,195.8869216,12.44270327,9.71E-12,91.47024989,0,33.58955823,1.372880442,0.000192562,32.19476835,12.71189951,525.2600732,74.5529583,235.2340426,0,0,6.05,26.367,10.79,73.40276596,904.9292471,669.6952045,235.2340426,98.86330639,98.86330639,3422.147102,134.6905125,1166.322593,0,132.0712203,4.906218969,6.019212005,59659.89411,0.398012898,0,0,1063829.787,0,3.98E-07,0.000667136,1.253614123,0,0,3.493550373,1.15694389,86.43461525,0,41.955675,58.044325,96.89163574,3.108364257,0,6306226.498,6110206.007,196020.4904,3.21E-10,0,68.44294204,16.1628615,84.60580354,293.2898884,2.352245885,295.6421342,0.000295642,4.362049113,18.64998162,168.7691383,260.2393882
cost,Y2030,S2,770.4707703,770.4707703,0.042791058,57.0283741,286.448343,139.5684638,10.89124159,3.02E-11,65.24190803,0,25.19216867,1.14513782,0.000148422,31.86418493,12.54508974,484.0224273,56.24784112,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,770.4707703,594.0452383,176.4255319,74.14747979,74.14747979,2438.262902,117.8961581,831.889182,0,130.3381379,4.906218969,6.019212005,42791.05849,0.255455477,0,0,797872.3404,250000,2.55E-07,0.000596983,0.899129097,2.63E-05,0.002919614,3.47410745,1.141762088,87.58392056,0,37.17835303,62.82164697,96.20825816,3.791741842,0,4525070.585,4353491.59,171578.9948,9.98E-10,0,48.76525803,14.14753897,62.91279701,208.9675963,2.058947937,211.0265443,0.000211027,4.82250806,18.31585595,141.1183164,206.3602245
cost,Y2030,S3,644.1321572,644.1321572,0.027308981,57.29964624,200.0146361,88.0051125,9.253540096,-1.68E-11,41.19965573,0,16.79477911,0.917395197,9.37E-05,31.48852501,12.35553473,444.1175211,39.27546361,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,644.1321572,526.5151359,117.6170213,49.4316532,49.4316532,1537.450475,100.1682698,525.3302508,0,128.3687421,4.906218969,6.019212005,27308.98115,0.142686933,0,0,531914.8936,500000,1.43E-07,0.000522491,0.573835647,0,0,3.437618767,1.124510181,88.92760753,0,31.05180107,68.94819893,94.95728291,5.042717089,0,2890879.802,2745100.912,145778.8898,-5.55E-10,0,30.74900951,12.02019238,42.76920188,131.7648438,1.749346677,133.5141904,0.000133514,5.749125837,17.97816055,115.8031134,157.0027691
cost,Y2040,S1,851.5264103,851.5264103,0.059659913,50.87282812,335.0315186,166.6750687,11.36480554,0,76.97958356,0,33.58955823,1.372880442,0.000193554,32.28965172,12.7597769,516.4948916,65.78777672,235.2340426,0,0,6.05,26.367,10.79,73.40276596,851.5264103,616.2923677,235.2340426,98.86330639,98.86330639,3253.360623,129.4447054,1111.466028,0,132.5686461,4.906218969,6.019212005,59659.91266,0.416566375,0,0,1063829.787,0,4.17E-07,0.000698235,1.253612903,1.22E-06,9.73E-05,3.500623602,1.16130134,86.1102942,0,39.34481827,60.65518173,96.85877991,3.141220092,0,5997225.663,5808839.606,188386.0575,0,0,65.06721246,15.53336464,80.60057711,278.8243011,2.26063269,281.0849338,0.000281085,3.899650572,18.28166773,155.6732289,232.6528125
cost,Y2040,S2,732.2147269,732.2147269,0.042791062,51.01471382,254.4713886,118.8917748,9.649350369,-1.80E-11,54.96576409,0,25.19216867,1.14513782,0.000149337,32.00892109,12.61812246,477.7433383,49.96875209,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,732.2147269,555.789195,176.4255319,74.14747979,74.14747979,2320.669921,109.9057359,793.6205503,0,131.0969167,4.906218969,6.019212005,42791.06243,0.259393537,0,0,797872.3404,250000,2.59E-07,0.000606186,0.899155349,0,0,3.48491085,1.14840899,87.07699161,0,34.75365617,65.24634383,96.28323629,3.716763706,0,4303480.831,4143530.617,159950.2136,-6.21E-10,0,46.41339843,13.1886883,59.60208673,198.8894696,1.919402563,200.8088722,0.000200809,4.355005697,17.9441292,131.3895566,186.3553207
cost,Y2040,S3,619.7769472,619.7769472,0.027308987,51.32392244,179.6569261,74.91113854,8.409378515,-5.49E-12,34.66060272,0,16.79477911,0.917395197,9.36E-05,31.56793438,12.39560407,440.1200211,35.27796367,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,619.7769472,502.159926,117.6170213,49.4316532,49.4316532,1462.203977,95.78250333,500.445451,0,128.7850454,4.906218969,6.019212005,27308.9866,0.148137098,0,0,531914.8936,500000,1.48E-07,0.000542448,0.573835108,5.40E-07,9.40E-05,3.443364507,1.128156998,88.64014511,0,28.98735213,71.01264787,94.93131828,5.068681722,0,2750145.226,2610749.118,139396.1084,-1.90E-10,0,29.24407955,11.4939004,40.73797995,125.3159576,1.672753301,126.9887109,0.000126989,5.263560142,17.60018522,109.0818907,143.7424934
cost,Y2050,S1,792.0790909,792.0790909,0.059659937,42.72683585,285.3414815,131.803464,9.813903134,7.16E-12,63.35977945,0,33.58955823,1.372880442,0.00021433,32.52377049,12.87791138,506.7376094,56.03049453,235.2340426,0,0,6.05,26.367,10.79,73.40276596,792.0790909,556.8450484,235.2340426,98.86330639,98.86330639,3118.230937,118.0813083,1054.365516,0,133.7960129,4.906218969,6.019212005,59659.9369,0.440802274,0,0,1063829.787,0,4.41E-07,0.000738858,1.253614123,0,0,3.483368105,1.172053073,85.32036843,0,36.02436736,63.97563264,97.00581964,2.994180359,0,5739415.488,5567567.037,171848.4513,2.55E-10,0,62.36461873,14.169757,76.53437574,267.2432178,2.062181415,269.3053992,0.000269305,3.435015201,17.87359524,141.5730107,204.9327901
