t,s,w
t1,0.215,0.003
t2,0.44,0.004
t3,0.594,0.039
t4,0.583,0.061
t5,0.604,0.072
t6,0.551,0.072
t7,0.414,0.061
t8,0.226,0.047
t9,0.043,0.043
t10,0,0.045
t11,0,0.043
t12,0,0.044
t13,0,0.035
t14,0,0.016
t15,0,0.004
t16,0,0.001
t17,0,0.001
t18,0,0
t19,0,0.001
t20,0,0.001
t21,0,0.001
t22,0,0.001
t23,0,0.001
t24,0.021,0.003
t25,0.23,0.009
t26,0.458,0.006
t27,0.607,0.003
t28,0.652,0.001
t29,0.653,0.001
t30,0.585,0
t31,0.421,0
t32,0.223,0
t33,0.04,0
t34,0,0.002
t35,0,0.018
t36,0,0.049
t37,0,0.083
t38,0,0.113
t39,0,0.132
t40,0,0.125
t41,0,0.102
t42,0,0.076
t43,0,0.05
t44,0,0.035
t45,0,0.028
t46,0,0.026
t47,0,0.025
t48,0.014,0.031
t49,0.171,0.051
t50,0.373,0.039
t51,0.522,0.047
t52,0.567,0.059
t53,0.581,0.048
t54,0.523,0.037
t55,0.38,0.021
t56,0.201,0.021
t57,0.036,0.017
t58,0,0.011
t59,0,0.015
t60,0,0.028
t61,0,0.049
t62,0,0.074
t63,0,0.089
t64,0,0.061
t65,0,0.028
t66,0,0.01
t67,0,0.001
t68,0,0
t69,0,0.001
t70,0,0.016
t71,0,0.042
t72,0.003,0.071
t73,0.064,0.087
t74,0.174,0.048
t75,0.283,0.077
t76,0.353,0.073
t77,0.392,0.063
t78,0.362,0.069
t79,0.27,0.088
t80,0.135,0.127
t81,0.024,0.216
t82,0,0.345
t83,0,0.439
t84,0,0.464
t85,0,0.413
t86,0,0.327
t87,0,0.243
t88,0,0.202
t89,0,0.202
t90,0,0.233
t91,0,0.293
t92,0,0.343
t93,0,0.377
t94,0,0.364
t95,0,0.329
t96,0.018,0.286
t97,0.229,0.137
t98,0.487,0.101
t99,0.642,0.119
t100,0.73,0.067
t101,0.732,0.031
t102,0.637,0.017
t103,0.442,0.011
t104,0.213,0.023
t105,0.03,0.057
t106,0,0.081
t107,0,0.054
t108,0,0.011
t109,0,0.003
t110,0,0.001
t111,0,0.001
t112,0,0.001
t113,0,0
t114,0,0
t115,0,0
t116,0,0
t117,0,0
t118,0,0
t119,0,0.001
t120,0.027,0.001
t121,0.25,0.001
t122,0.474,0
t123,0.619,0
t124,0.641,0
t125,0.633,0
t126,0.543,0.001
t127,0.378,0.002
t128,0.208,0.001
t129,0.048,0
t130,0,0
t131,0,0
t132,0,0
t133,0,0
t134,0,0
t135,0,0
t136,0,0
