Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,945.8712664,945.8712664,0.059659552,72.69996315,489.6428768,134.9193139,185.0621921,0,93.82837118,0,33.58955823,1.372880442,7.96E-05,29.51218969,11.35829163,456.2283896,96.14771882,235.2340426,0,0,6.05,26.367,10.79,73.40276596,945.8712664,710.6372238,235.2340426,8.236862288,8.236862288,1971.216834,1842.766614,767.6839827,0,118.0078112,5.764204553,4.232446339,59659.55163,0.05553922,0,0,1063829.787,0,5.55E-08,9.31E-05,1.253572599,4.15E-05,0.003312351,2.201590991,1.033748426,96.73533474,0,51.76633377,48.23366623,43.99157441,56.00842559,0,6809725.662,2995705.531,3814020.13,0,0,39.42433668,221.1319937,260.5563304,143.7938655,45.76824156,189.5621071,0.000189562,4.498710105,18.45522354,174.5626566,268.3910278
cost,YCurrent,S2,795.5211248,795.5211248,0.042790847,72.67394454,364.2008241,96.6207173,133.1183682,0,67.23616982,0,25.19216867,1.14513782,6.07E-05,29.52396714,11.36423444,431.3203006,71.51554755,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,795.5211248,619.0955929,176.4255319,6.177646716,6.177646716,1411.661377,1325.533227,550.1121887,0,118.0695544,5.764204553,4.232446339,42790.8465,0.043463854,0,0,797872.3404,250000,4.35E-08,0.000101573,0.899154326,1.02E-06,0.000113745,2.199553526,1.034289297,96.68474801,0,45.78141457,54.21858543,43.88244013,56.11755987,0,4888824.932,2145335.674,2743489.258,0,0,28.23322753,159.0639873,187.2972148,102.9761123,32.9218711,135.8979834,0.000135898,4.942518898,18.13382363,144.2583977,211.4945675
cost,YCurrent,S3,656.6810672,656.6810672,0.027308864,72.66227037,248.3796679,61.66806115,85.14700833,0,42.92936995,0,16.79477911,0.917395197,4.31E-05,29.54710267,11.37590844,408.3013993,48.77256386,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,656.6810672,539.0640459,117.6170213,4.118431144,4.118431144,900.991242,847.8558611,351.2390686,0,118.1908423,5.764204553,4.232446339,27308.86444,0.025973742,0,0,531914.8936,500000,2.60E-08,9.51E-05,0.573834995,6.52E-07,0.000113685,2.200560537,1.035351779,96.58552972,0,37.82348546,62.17651454,43.82906876,56.17093124,0,3124086.486,1369258.014,1754828.472,0,0,18.01982484,101.7427033,119.7625282,65.72438469,21.05794167,86.78232635,8.68E-05,5.855096801,17.81179338,116.9666748,159.8960448
cost,Y2030,S1,841.8464035,841.8464035,0.059659555,61.2555258,402.6919535,134.1606007,125.8400889,0,66.73076008,0,33.58955823,1.372880442,7.48E-05,29.59693628,11.40105409,439.15445,79.07377918,235.2340426,0,0,6.05,26.367,10.79,73.40276596,841.8464035,606.6123609,235.2340426,8.236862288,8.236862288,2343.787462,1362.20126,850.8732975,0,118.4520948,5.764204553,4.232446339,59659.55531,0.059216924,0,0,1063829.787,0,5.92E-08,9.93E-05,1.25290876,0.000705363,0.056266331,2.548682177,1.037640351,96.3725051,0,47.83437357,52.16562643,55.81800713,44.18199287,0,6381292.06,3561910.057,2819382.003,0,0,46.87574924,163.4641512,210.3399004,170.9716827,33.83258404,204.8042668,0.000204804,3.725220551,18.47299469,155.5142414,222.2450015
cost,Y2030,S2,720.9248734,720.9248734,0.042790855,61.18761077,301.8482985,95.37100465,91.62967676,0,47.49655633,0,25.19216867,1.14513782,6.94E-05,29.60736735,11.40631752,419.0765749,59.27182179,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,720.9248734,544.4993415,176.4255319,6.177646716,6.177646716,1666.132708,991.8783609,605.6210278,0,118.5067797,5.764204553,4.232446339,42790.85535,0.05231236,0,0,797872.3404,250000,5.23E-08,0.000122251,0.898672337,0.000483012,0.053718377,2.529186048,1.03811939,96.32803409,0,41.86959136,58.13040864,55.2251777,44.7748223,0,4584977.304,2532061.864,2052915.44,0,0,33.32265416,119.0254033,152.3480575,121.5389695,24.63498529,146.1739548,0.000146174,4.163793095,18.12612056,130.6757117,178.1722681
cost,Y2030,S3,609.0958599,609.0958599,0.02730887,61.16146555,208.6047757,60.62705759,58.97774689,0,30.23570805,0,16.79477911,0.917395197,4.32E-05,29.6328632,11.41918253,400.4910842,40.96224876,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,609.0958599,491.4788386,117.6170213,4.118431144,4.118431144,1059.155495,638.4258134,385.5306994,0,118.6404416,5.764204553,4.232446339,27308.86953,0.031068115,0,0,531914.8936,500000,3.11E-08,0.000113766,0.573544668,0.00029098,0.050707855,2.522818708,1.039290268,96.21950963,0,34.24826689,65.75173311,54.91741988,45.08258012,0,2930989.892,1609624.026,1321365.867,0,0,21.1831099,76.6110976,97.79420751,77.26195323,15.8563904,93.11834363,9.31E-05,5.074258469,17.78645392,108.3365544,138.5722625
cost,Y2040,S1,789.9644079,789.9644079,0.059659575,56.17281466,359.3255189,136.1677193,84.49838656,0,62.51768615,0,33.58955823,1.372880442,8.70E-05,29.71737479,11.4618264,430.638889,70.55821824,235.2340426,0,0,6.05,26.367,10.79,73.40276596,789.9644079,554.7303654,235.2340426,8.236862288,8.236862288,2657.882188,962.433428,902.658615,0,119.0834933,5.764204553,4.232446339,59659.57507,0.078978792,0,0,1063829.787,0,7.90E-08,0.000132382,1.253599381,1.47E-05,0.001175923,2.842989218,1.043171401,95.86152369,0,45.4862922,54.5137078,66.97231128,33.02768872,0,6031219.876,4039247.35,1991972.527,0,0,53.15764375,115.4920114,168.6496551,193.8838728,23.90367032,217.7875431,0.000217788,3.457833389,18.20021043,143.7751845,206.2928707
cost,Y2040,S2,683.7617511,683.7617511,0.042790858,56.15475764,270.7848805,97.25495524,61.30568385,6.61E-12,44.68860601,0,25.19216867,1.14513782,6.39E-05,29.73004522,11.4682198,412.9768706,53.17211745,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,683.7617511,507.3362192,176.4255319,6.177646716,6.177646716,1898.336952,698.2694211,645.2342959,0,119.149918,5.764204553,4.232446339,42790.85808,0.055046003,0,0,797872.3404,250000,5.50E-08,0.00012864,0.899154694,6.54E-07,7.27E-05,2.833337337,1.043753282,95.80808201,0,39.60222696,60.39777304,66.62430401,33.37569599,0,4330173.903,2884948.225,1445225.678,2.28E-10,0,37.96673903,83.79233053,121.7590696,138.4775148,17.34270813,155.820223,0.00015582,3.897950216,17.8582713,122.1080285,166.7966345
cost,Y2040,S3,585.4429815,585.4429815,0.027308876,56.11534718,188.8341213,61.03657562,40.67144426,8.45E-12,28.18900556,0,16.79477911,0.917395197,4.72E-05,29.74773068,11.47714374,396.6088602,37.08002478,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,585.4429815,467.8259602,117.6170213,4.118431144,4.118431144,1191.38389,463.2462123,407.0056056,0,119.2426339,5.764204553,4.232446339,27308.87609,0.037630475,0,0,531914.8936,500000,3.76E-08,0.000137796,0.573835257,3.90E-07,6.80E-05,2.800453725,1.044565473,95.73358738,0,32.25491249,67.74508751,65.37864857,34.62135143,0,2769366.958,1810574.691,958792.2667,2.92E-10,0,23.8276778,55.58954547,79.41722328,86.90758517,11.5055072,98.41309237,9.84E-05,4.785362001,17.50705972,102.4938524,130.6828579
cost,Y2050,S1,727.9140797,727.9140797,0.059659685,48.00975664,307.4597132,144.9937932,20.90894025,-4.41E-12,64.19288186,0,33.58955823,1.372880442,0.000138631,30.52976737,11.87175324,420.4543665,60.37369572,235.2340426,0,0,6.05,26.367,10.79,73.40276596,727.9140797,492.6800372,235.2340426,8.236862288,8.236862288,3430.290204,251.5772764,1068.229113,0,123.3424585,5.764204553,4.232446339,59659.68453,0.188435822,0,0,1063829.787,0,1.88E-07,0.000315851,1.253110785,0.000503337,0.04015089,3.529184998,1.080479937,92.55146403,0,42.23846217,57.76153783,90.91882042,9.081179582,0,5733790.128,5213094.35,520695.7784,-1.57E-10,0,68.60580408,30.18927317,98.79507724,250.2285288,6.248349341,256.4768781,0.000256477,3.25840458,17.88707089,130.2025074,194.3953893
