t,s,w
t1,0.123,0.001
t2,0.426,0.006
t3,0.66,0.052
t4,0.799,0.101
t5,0.865,0.147
t6,0.869,0.184
t7,0.818,0.202
t8,0.71,0.195
t9,0.543,0.17
t10,0.318,0.106
t11,0.023,0.054
t12,0,0.035
t13,0,0.022
t14,0,0.016
t15,0,0.011
t16,0,0.008
t17,0,0.007
t18,0,0.006
t19,0,0.007
t20,0,0.008
t21,0,0.008
t22,0,0.005
t23,0,0.004
t24,0,0.003
t25,0.175,0.003
t26,0.494,0.002
t27,0.695,0.012
t28,0.82,0.026
t29,0.884,0.034
t30,0.893,0.039
t31,0.851,0.045
t32,0.755,0.054
t33,0.598,0.057
t34,0.363,0.042
t35,0.03,0.025
t36,0,0.017
t37,0,0.012
t38,0,0.012
t39,0,0.013
t40,0,0.012
t41,0,0.011
t42,0,0.011
t43,0,0.011
t44,0,0.014
t45,0,0.02
t46,0,0.021
t47,0,0.025
t48,0,0.026
t49,0.061,0.034
t50,0.296,0.058
t51,0.546,0.204
t52,0.696,0.3
t53,0.816,0.426
t54,0.859,0.538
t55,0.835,0.59
t56,0.738,0.61
t57,0.583,0.581
t58,0.333,0.466
t59,0.022,0.327
t60,0,0.214
t61,0,0.14
t62,0,0.104
t63,0,0.086
t64,0,0.063
t65,0,0.046
t66,0,0.029
t67,0,0.019
t68,0,0.015
t69,0,0.013
t70,0,0.011
t71,0,0.009
t72,0,0.009
t73,0.168,0.009
t74,0.489,0.03
t75,0.685,0.155
t76,0.788,0.281
t77,0.833,0.411
t78,0.822,0.519
t79,0.761,0.579
t80,0.685,0.601
t81,0.554,0.566
t82,0.345,0.472
t83,0.03,0.342
t84,0,0.286
t85,0,0.27
t86,0,0.231
t87,0,0.146
t88,0,0.09
t89,0,0.084
t90,0,0.075
t91,0,0.05
t92,0,0.039
t93,0,0.027
t94,0,0.014
t95,0,0.01
t96,0,0.01
t97,0.184,0.01
t98,0.514,0.006
t99,0.709,0.014
t100,0.831,0.023
t101,0.892,0.02
t102,0.899,0.01
t103,0.856,0.013
t104,0.759,0.041
t105,0.602,0.074
t106,0.369,0.069
t107,0.035,0.07
t108,0,0.069
t109,0,0.051
t110,0,0.039
t111,0,0.034
t112,0,0.03
t113,0,0.023
t114,0,0.018
t115,0,0.014
t116,0,0.012
t117,0,0.011
t118,0,0.011
t119,0,0.013
t120,0,0.015
t121,0.18,0.019
t122,0.495,0.019
t123,0.686,0.122
t124,0.794,0.226
t125,0.855,0.364
t126,0.873,0.488
t127,0.837,0.555
t128,0.743,0.543
t129,0.589,0.466
t130,0.358,0.309
t131,0.034,0.163
t132,0,0.09
t133,0,0.049
t134,0,0.024
t135,0,0.014
t136,0,0.011
t137,0,0.01
t138,0,0.011
t139,0,0.012
t140,0,0.013
t141,0,0.013
t142,0,0.012
t143,0,0.012
t144,0,0.012
t145,0.187,0.012
t146,0.501,0.004
t147,0.688,0.035
t148,0.807,0.099
t149,0.868,0.164
t150,0.876,0.229
t151,0.834,0.283
t152,0.74,0.305
t153,0.584,0.256
t154,0.351,0.172
t155,0.034,0.092
t156,0,0.042
t157,0,0.016
t158,0,0.006
t159,0,0.003
t160,0,0.003
t161,0,0.002
t162,0,0.002
t163,0,0.001
t164,0,0
t165,0,0
t166,0,0
t167,0,0
t168,0,0
t169,0.005,0
t170,0.078,0
t171,0.169,0.002
t172,0.212,0.002
t173,0.169,0.01
t174,0.157,0.014
t175,0.144,0.007
t176,0.116,0.001
t177,0.08,0
t178,0.039,0
t179,0,0
t180,0,0
t181,0,0
t182,0,0
t183,0,0.001
t184,0,0.011
t185,0,0.023
t186,0,0.025
t187,0,0.024
t188,0,0.028
t189,0,0.038
t190,0,0.041
t191,0,0.036
t192,0,0.025
t193,0.142,0.018
t194,0.441,0.022
t195,0.691,0.089
t196,0.82,0.121
t197,0.884,0.14
t198,0.895,0.159
t199,0.854,0.195
t200,0.757,0.204
t201,0.596,0.185
t202,0.355,0.128
t203,0.034,0.073
t204,0,0.055
t205,0,0.05
t206,0,0.05
t207,0,0.05
t208,0,0.046
t209,0,0.038
t210,0,0.035
t211,0,0.024
t212,0,0.015
t213,0,0.013
t214,0,0.01
t215,0,0.008
t216,0,0.006
t217,0.141,0.005
t218,0.437,0.03
t219,0.677,0.112
t220,0.79,0.2
t221,0.819,0.288
t222,0.799,0.356
t223,0.738,0.401
t224,0.641,0.4
t225,0.477,0.349
t226,0.273,0.231
t227,0.023,0.133
t228,0,0.08
t229,0,0.059
t230,0,0.053
t231,0,0.042
t232,0,0.035
t233,0,0.031
t234,0,0.03
t235,0,0.021
t236,0,0.013
t237,0,0.008
t238,0,0.005
t239,0,0.004
t240,0,0.005
t241,0.182,0.005
t242,0.501,0.005
t243,0.698,0.013
t244,0.823,0.017
t245,0.885,0.02
t246,0.894,0.032
t247,0.851,0.054
t248,0.753,0.077
t249,0.593,0.086
t250,0.355,0.064
t251,0.038,0.038
t252,0,0.033
t253,0,0.034
t254,0,0.034
t255,0,0.029
t256,0,0.029
t257,0,0.033
t258,0,0.037
t259,0,0.039
t260,0,0.035
t261,0,0.033
t262,0,0.028
t263,0,0.019
t264,0,0.013
t265,0.19,0.012
t266,0.504,0.036
t267,0.701,0.118
t268,0.823,0.214
t269,0.885,0.316
t270,0.893,0.428
t271,0.852,0.503
t272,0.756,0.525
t273,0.6,0.469
t274,0.365,0.361
t275,0.043,0.236
t276,0,0.167
t277,0,0.098
t278,0,0.049
t279,0,0.028
t280,0,0.019
t281,0,0.017
t282,0,0.017
t283,0,0.017
t284,0,0.015
t285,0,0.014
t286,0,0.017
t287,0,0.018
t288,0,0.019
t289,0.214,0.02
t290,0.526,0.014
t291,0.71,0.072
t292,0.826,0.164
t293,0.883,0.325
t294,0.888,0.499
t295,0.843,0.603
t296,0.749,0.643
