Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1004.072477,1004.072477,0.059660159,70.07099537,483.1944606,237.2777202,13.1952838,-2.93E-11,141.4546263,0,33.58955823,1.372880442,0.000350886,39.76982691,16.53421387,520.8780169,94.88148881,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1004.072477,768.8384349,235.2340426,74.15271953,74.15271953,3466.707788,131.3927398,1157.351977,0,171.7834381,4.623547686,9.326302409,59660.15919,0.663093647,0,0,1063829.787,0,6.63E-07,0.001111451,1.253614123,0,0,3.319060701,1.504822918,66.45300174,0,48.12346434,51.87653566,98.15568358,1.844316418,0,6691608.885,6568194.443,123414.4413,-8.80E-10,0,69.33415576,15.76712878,85.10128453,315.2733333,1.480973295,316.7543066,0.000316754,5.522007541,18.7226746,187.9892227,329.4438489
cost,YCurrent,S2,844.6666749,844.6666749,0.042791257,70.44255857,363.9573004,169.4318117,12.10240925,-1.70E-11,101.2877098,0,25.19216867,1.14513782,0.000229504,38.76875344,16.02908015,480.7093745,71.4677285,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,844.6666749,668.241143,176.4255319,55.61453965,55.61453965,2475.456105,120.5103834,828.7147216,0,166.535314,4.623547686,9.326302409,42791.25657,0.453531076,0,0,797872.3404,250000,4.54E-07,0.001059869,0.899155349,0,0,3.313478518,1.458849351,68.54717381,0,43.08886703,56.91113297,97.64344182,2.356558176,0,4803313.306,4690120.434,113192.8724,-5.09E-10,0,49.5091221,14.46124601,63.97036811,225.1257808,1.358314469,226.4840953,0.000226484,5.99793511,18.39441225,155.3714703,256.6591802
cost,YCurrent,S3,695.5501331,695.5501331,0.027309108,71.11776611,253.320591,107.2635637,10.82647426,-5.68E-12,64.43406672,0,16.79477911,0.917395197,0.000152641,37.62979076,15.45436864,442.2295421,49.74277808,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,695.5501331,577.9331118,117.6170213,37.07635976,37.07635976,1567.156964,107.8051929,527.185971,0,160.5643062,4.623547686,9.326302409,27309.10804,0.269575951,0,0,531914.8936,500000,2.70E-07,0.000987128,0.573835647,0,0,3.302862349,1.406543322,71.09628151,0,36.4201772,63.5798228,96.70216275,3.29783725,0,3070471.528,2969212.374,101259.1538,-1.70E-10,0,31.34313928,12.93662315,44.27976243,142.522194,1.215109846,143.7373038,0.000143737,6.958891661,18.05866342,125.6070575,190.0411242
cost,Y2030,S1,880.5605325,880.5605325,0.05966016,54.59357454,379.9549335,187.390352,12.141667,-3.41E-12,89.14141284,0,33.58955823,1.372880442,0.000351971,39.77957725,16.53913381,500.6055989,74.60907091,235.2340426,0,0,6.05,26.367,10.79,73.40276596,880.5605325,645.3264899,235.2340426,74.15271953,74.15271953,3273.711919,131.4318372,1136.627963,0,171.8345543,4.623547686,9.326302409,59660.1596,0.663505834,0,0,1063829.787,0,6.64E-07,0.001112142,1.253614123,0,0,3.404589258,1.505270695,66.43323378,0,43.14921229,56.85078771,98.0485072,1.951492798,0,6325986.178,6202535.013,123451.1646,-1.13E-10,0,65.47423837,15.77182047,81.24605884,297.7216806,1.481413976,299.2030946,0.000299203,4.239911999,18.60319736,163.8124137,252.9538266
cost,Y2030,S2,756.048574,756.048574,0.042791256,54.97459368,289.884377,133.8178299,11.13579572,-1.60E-11,63.78227845,0,25.19216867,1.14513782,0.000229407,38.77746242,16.03347463,466.1641969,56.9225509,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,756.048574,579.623042,176.4255319,55.61453965,55.61453965,2337.799252,120.5434222,813.2776777,0,166.5809708,4.623547686,9.326302409,42791.25633,0.453295831,0,0,797872.3404,250000,4.53E-07,0.001059319,0.899155349,0,0,3.396367012,1.459249304,68.52838629,0,38.34203079,61.65796921,97.507472,2.492528001,0,4542532.921,4429309.016,113223.905,-5.27E-10,0,46.75598505,14.46521066,61.2211957,212.6068327,1.35868686,213.9655196,0.000213966,4.716823458,18.26027163,138.0565232,201.8388017
cost,Y2030,S3,638.9561032,638.9561032,0.027309113,55.69461591,206.0155236,84.68471927,9.948981836,-3.41E-12,40.56550742,0,16.79477911,0.917395197,0.000152447,37.64296971,15.46101862,432.9405796,40.45381558,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,638.9561032,521.3390819,117.6170213,37.07635976,37.07635976,1479.443162,107.6963288,517.2443267,0,160.6333967,4.623547686,9.326302409,27309.11326,0.27479588,0,0,531914.8936,500000,2.75E-07,0.001006242,0.573835647,0,0,3.384690298,1.407148555,71.06570206,0,32.24251597,67.75748403,96.51685446,3.483145541,0,2904182.407,2803025.507,101156.9,-1.13E-10,0,29.58886324,12.92355946,42.51242269,134.5452243,1.2138828,135.7591071,0.000135759,5.676850057,17.91425626,114.4642337,155.0297412
cost,Y2040,S1,829.382841,829.382841,0.059660157,48.88493058,337.1772033,159.3886824,11.62661775,-1.44E-11,74.92458194,0,33.58955823,1.372880442,0.000353642,39.75021235,16.52431652,492.2056377,66.20910968,235.2340426,0,0,6.05,26.367,10.79,73.40276596,829.382841,594.1487984,235.2340426,74.15271953,74.15271953,3111.136339,132.4267366,1081.794985,0,171.6806089,4.623547686,9.326302409,59660.15738,0.66128956,0,0,1063829.787,0,6.61E-07,0.001108427,1.253614123,0,0,3.40715904,1.503922134,66.49280422,0,40.65398831,59.34601169,97.9334145,2.066585498,0,6018897.007,5894511.354,124385.6527,-4.97E-10,0,62.22272679,15.89120839,78.11393518,282.936545,1.492627833,284.4291728,0.000284429,3.790127437,18.22982222,151.1950174,226.1195994
cost,Y2040,S2,719.2960362,719.2960362,0.042791256,49.30324906,259.164153,113.748258,10.6842514,-2.14E-11,53.63757085,0,25.19216867,1.14513782,0.000222898,38.74131064,16.01523273,460.1318832,50.89023714,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,719.2960362,542.8705043,176.4255319,55.61453965,55.61453965,2220.272692,121.6932194,774.4434959,0,166.3914452,4.623547686,9.326302409,42791.2562,0.453161053,0,0,797872.3404,250000,4.53E-07,0.001059004,0.899155349,0,0,3.400686033,1.45758906,68.60644247,0,36.03024902,63.96975098,97.35465314,2.645346857,0,4320941.322,4206637.436,114303.8855,-7.39E-10,0,44.40545385,14.60318633,59.00864018,201.9185969,1.371646625,203.2902436,0.00020329,4.260345012,17.88803741,128.6679441,182.3055149
cost,Y2040,S3,615.4460746,615.4460746,0.027309111,50.0965747,186.3642725,71.90724755,9.697115593,-6.53E-12,34.09436093,0,16.79477911,0.917395197,0.000154008,37.54276435,15.4104558,429.081802,36.59503799,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,615.4460746,497.8290533,117.6170213,37.07635976,37.07635976,1403.570489,110.44978,492.2697961,0,160.1080705,4.623547686,9.326302409,27309.11128,0.272822157,0,0,531914.8936,500000,2.73E-07,0.000999015,0.573835647,0,0,3.387095639,1.402546698,71.29887379,0,30.28117007,69.71882993,96.24529366,3.754706342,0,2763016.583,2659273.424,103743.1589,-2.25E-10,0,28.07140979,13.25397359,41.32538338,127.6451244,1.244917906,128.8900423,0.00012889,5.200845975,17.53786806,107.9361206,142.0304815
cost,Y2050,S1,772.4212225,772.4212225,0.059660158,41.23970239,289.5648808,125.5737052,11.00817829,-6.12E-12,61.73328133,0,33.58955823,1.372880442,0.000353711,39.75845034,16.52847334,482.8563417,56.85981368,235.2340426,0,0,6.05,26.367,10.79,73.40276596,772.4212225,537.18718,235.2340426,74.15271953,74.15271953,2970.846139,132.4508788,1027.299078,0,171.7237965,4.623547686,9.326302409,59660.15758,0.661488617,0,0,1063829.787,0,6.61E-07,0.001108761,1.253614123,0,0,3.393934601,1.504300457,66.47608163,0,37.48794989,62.51205011,97.83754987,2.162450126,0,5753118.995,5628710.666,124408.329,-2.18E-10,0,59.41692278,15.89410545,75.31102823,270.178112,1.492899948,271.6710119,0.000271671,3.344589542,17.84071356,137.8054578,199.5387391
