t,s,w
t1,0.127,0.139
t2,0.222,0.135
t3,0.315,0.114
t4,0.39,0.086
t5,0.385,0.061
t6,0.317,0.046
t7,0.222,0.048
t8,0.119,0.064
t9,0.028,0.092
t10,0,0.141
t11,0,0.17
t12,0,0.181
t13,0,0.179
t14,0,0.167
t15,0,0.14
t16,0,0.128
t17,0,0.121
t18,0,0.115
t19,0,0.104
t20,0,0.085
t21,0,0.068
t22,0,0.061
t23,0,0.066
t24,0.042,0.064
t25,0.147,0.054
t26,0.212,0.044
t27,0.309,0.043
t28,0.409,0.045
t29,0.438,0.049
t30,0.391,0.058
t31,0.254,0.064
t32,0.102,0.077
t33,0.017,0.103
t34,0,0.126
t35,0,0.121
t36,0,0.1
t37,0,0.078
t38,0,0.062
t39,0,0.05
t40,0,0.045
t41,0,0.044
t42,0,0.044
t43,0,0.046
t44,0,0.048
t45,0,0.047
t46,0,0.043
t47,0,0.039
t48,0.022,0.034
t49,0.092,0.032
t50,0.168,0.04
t51,0.216,0.052
t52,0.22,0.053
t53,0.214,0.051
t54,0.211,0.054
t55,0.17,0.065
t56,0.092,0.079
t57,0.018,0.074
t58,0,0.083
t59,0,0.079
t60,0,0.073
t61,0,0.075
t62,0,0.08
t63,0,0.083
t64,0,0.077
t65,0,0.073
t66,0,0.078
t67,0,0.087
t68,0,0.084
t69,0,0.084
t70,0,0.097
t71,0,0.08
t72,0.011,0.044
t73,0.053,0.008
t74,0.105,0.002
t75,0.148,0.004
t76,0.189,0.002
t77,0.243,0.001
t78,0.27,0
t79,0.17,0
t80,0.069,0.005
t81,0.015,0.023
t82,0,0.045
t83,0,0.067
t84,0,0.087
t85,0,0.116
t86,0,0.142
t87,0,0.146
t88,0,0.148
t89,0,0.141
t90,0,0.14
t91,0,0.153
t92,0,0.176
t93,0,0.179
t94,0,0.175
t95,0,0.154
t96,0.011,0.149
t97,0.054,0.142
t98,0.099,0.105
t99,0.133,0.087
t100,0.141,0.096
t101,0.16,0.088
t102,0.142,0.065
t103,0.102,0.062
t104,0.053,0.058
t105,0.01,0.044
t106,0,0.054
t107,0,0.068
t108,0,0.085
t109,0,0.103
t110,0,0.132
t111,0,0.152
t112,0,0.155
t113,0,0.124
t114,0,0.123
t115,0,0.152
t116,0,0.201
t117,0,0.248
t118,0,0.261
t119,0,0.228
t120,0.032,0.194
t121,0.14,0.179
t122,0.276,0.153
t123,0.451,0.11
t124,0.465,0.059
t125,0.451,0.027
t126,0.466,0.011
t127,0.349,0.005
t128,0.224,0.005
t129,0.054,0.025
t130,0,0.091
t131,0,0.146
t132,0,0.17
t133,0,0.172
t134,0,0.157
t135,0,0.133
t136,0,0.106
t137,0,0.075
t138,0,0.057
t139,0,0.042
t140,0,0.029
t141,0,0.021
t142,0,0.018
t143,0,0.016
t144,0.012,0.012
t145,0.061,0.016
t146,0.13,0.024
t147,0.2,0.021
t148,0.235,0.011
t149,0.26,0.004
t150,0.216,0.001
t151,0.136,0
t152,0.066,0
t153,0.013,0
t154,0,0.008
t155,0,0.023
t156,0,0.034
t157,0,0.051
t158,0,0.07
t159,0,0.091
t160,0,0.112
t161,0,0.133
t162,0,0.156
t163,0,0.179
t164,0,0.181
t165,0,0.179
t166,0,0.167
t167,0,0.14
t168,0.038,0.118
t169,0.164,0.119
t170,0.275,0.123
t171,0.371,0.097
t172,0.353,0.063
t173,0.362,0.054
t174,0.253,0.055
t175,0.177,0.076
t176,0.083,0.133
t177,0.018,0.153
t178,0,0.166
t179,0,0.223
t180,0,0.27
t181,0,0.239
t182,0,0.205
t183,0,0.171
t184,0,0.14
t185,0,0.125
t186,0,0.119
t187,0,0.12
t188,0,0.115
t189,0,0.111
t190,0,0.123
t191,0,0.118
t192,0.018,0.117
t193,0.082,0.124
t194,0.153,0.12
t195,0.195,0.088
t196,0.196,0.06
t197,0.167,0.045
t198,0.137,0.037
t199,0.119,0.042
t200,0.069,0.055
t201,0.015,0.062
t202,0,0.078
t203,0,0.08
t204,0,0.069
t205,0,0.054
t206,0,0.036
t207,0,0.022
t208,0,0.012
t209,0,0.008
t210,0,0.005
t211,0,0.002
t212,0,0.003
t213,0,0.009
t214,0,0.017
t215,0,0.024
t216,0.028,0.025
t217,0.101,0.013
t218,0.164,0.009
t219,0.207,0.005
t220,0.224,0.004
t221,0.217,0.004
t222,0.205,0.004
t223,0.184,0.004
t224,0.111,0.006
t225,0.027,0.021
t226,0,0.048
t227,0,0.059
t228,0,0.057
t229,0,0.05
t230,0,0.038
t231,0,0.028
t232,0,0.032
t233,0,0.035
t234,0,0.026
t235,0,0.015
t236,0,0.036
t237,0,0.065
t238,0,0.067
t239,0,0.056
t240,0.014,0.034
t241,0.071,0.011
t242,0.141,0.003
t243,0.212,0.001
t244,0.299,0
t245,0.308,0
t246,0.24,0
t247,0.167,0
t248,0.101,0.003
t249,0.03,0.028
t250,0,0.114
t251,0,0.244
t252,0,0.311
t253,0,0.272
t254,0,0.223
t255,0,0.225
t256,0,0.231
t257,0,0.216
t258,0,0.195
t259,0,0.27
t260,0,0.306
t261,0,0.317
t262,0,0.32
t263,0,0.347
t264,0.045,0.385
t265,0.198,0.387
t266,0.414,0.348
t267,0.597,0.291
t268,0.719,0.234
t269,0.717,0.175
t270,0.661,0.14
t271,0.544,0.133
t272,0.348,0.136
t273,0.106,0.131
t274,0,0.141
t275,0,0.125
t276,0,0.096
t277,0,0.074
t278,0,0.055
t279,0,0.042
t280,0,0.033
t281,0,0.028
t282,0,0.035
t283,0,0.051
t284,0,0.063
t285,0,0.063
t286,0,0.045
t287,0,0.032
t288,0.038,0.025
t289,0.132,0.023
t290,0.238,0.017
t291,0.408,0.016
t292,0.629,0.016
t293,0.655,0.014
t294,0.542,0.013
t295,0.408,0.019
t296,0.247,0.035
t297,0.069,0.064
t298,0,0.108
t299,0,0.134
t300,0,0.132
t301,0,0.104
t302,0,0.083
t303,0,0.064
t304,0,0.051
t305,0,0.041
t306,0,0.033
t307,0,0.03
t308,0,0.026
t309,0,0.017
t310,0,0.011
t311,0,0.012
t312,0.07,0.011
t313,0.189,0.01
t314,0.282,0.027
t315,0.327,0.024
t316,0.385,0.02
t317,0.472,0.017
t318,0.417,0.015
t319,0.24,0.019
t320,0.113,0.033
t321,0.032,0.058
t322,0,0.096
t323,0,0.102
t324,0,0.084
t325,0,0.069
t326,0,0.046
t327,0,0.027
t328,0,0.012
t329,0,0.003
t330,0,0.001
t331,0,0.012
t332,0,0.061
t333,0,0.101
t334,0,0.114
t335,0,0.112
t336,0.021,0.096
t337,0.085,0.074
t338,0.154,0.084
t339,0.2,0.087
t340,0.208,0.085
t341,0.176,0.088
t342,0.133,0.112
t343,0.082,0.152
t344,0.038,0.187
t345,0.008,0.211
t346,0,0.243
t347,0,0.297
t348,0,0.315
t349,0,0.289
t350,0,0.255
t351,0,0.234
t352,0,0.213
t353,0,0.231
t354,0,0.251
t355,0,0.251
t356,0,0.264
t357,0,0.243
t358,0,0.183
t359,0,0.141
t360,0.015,0.147
t361,0.057,0.153
t362,0.105,0.125
t363,0.148,0.089
t364,0.177,0.066
t365,0.198,0.049
t366,0.199,0.049
t367,0.157,0.058
t368,0.083,0.067
t369,0.017,0.068
t370,0,0.069
t371,0,0.067
t372,0,0.058
t373,0,0.047
t374,0,0.047
t375,0,0.046
t376,0,0.041
t377,0,0.034
t378,0,0.037
t379,0,0.051
t380,0,0.072
t381,0,0.081
t382,0,0.067
t383,0,0.061
t384,0.106,0.049
t385,0.394,0.042
t386,0.619,0.045
t387,0.743,0.048
t388,0.793,0.063
t389,0.787,0.077
t390,0.722,0.071
t391,0.589,0.063
t392,0.393,0.054
t393,0.136,0.05
t394,0,0.055
t395,0,0.054
t396,0,0.045
t397,0,0.036
t398,0,0.029
t399,0,0.025
t400,0,0.02
t401,0,0.02
t402,0,0.019
t403,0,0.019
t404,0,0.021
t405,0,0.026
t406,0,0.03
t407,0,0.029
t408,0.189,0.017
t409,0.437,0.016
t410,0.623,0.045
t411,0.738,0.046
t412,0.783,0.052
t413,0.774,0.063
t414,0.707,0.078
t415,0.555,0.088
t416,0.352,0.087
t417,0.11,0.1
t418,0,0.114
t419,0,0.103
t420,0,0.089
t421,0,0.073
t422,0,0.048
t423,0,0.022
t424,0,0.007
t425,0,0.01
t426,0,0.015
t427,0,0.02
t428,0,0.027
t429,0,0.034
t430,0,0.041
t431,0,0.054
t432,0.056,0.05
t433,0.249,0.016
t434,0.577,0.004
t435,0.676,0.011
t436,0.704,0.027
t437,0.682,0.041
t438,0.529,0.044
t439,0.298,0.028
t440,0.145,0.011
t441,0.038,0.004
t442,0,0.003
t443,0,0.002
t444,0,0.002
t445,0,0.003
t446,0,0.016
t447,0,0.052
t448,0,0.103
t449,0,0.148
t450,0,0.196
t451,0,0.221
t452,0,0.251
t453,0,0.316
t454,0,0.32
t455,0,0.308
t456,0.028,0.299
t457,0.157,0.323
t458,0.377,0.303
t459,0.555,0.26
t460,0.635,0.217
t461,0.623,0.183
t462,0.53,0.171
t463,0.345,0.189
t464,0.16,0.245
t465,0.031,0.309
t466,0,0.404
t467,0,0.439
t468,0,0.434
t469,0,0.347
t470,0,0.233
t471,0,0.203
t472,0,0.174
t473,0,0.165
t474,0,0.168
t475,0,0.154
t476,0,0.138
t477,0,0.152
t478,0,0.14
t479,0,0.149
t480,0.126,0.095
t481,0.393,0.076
t482,0.593,0.05
t483,0.716,0.025
t484,0.766,0.011
t485,0.74,0.005
t486,0.609,0.007
t487,0.4,0.015
t488,0.271,0.027
t489,0.1,0.039
t490,0,0.048
t491,0,0.036
t492,0,0.019
t493,0,0.007
t494,0,0.001
t495,0,0
t496,0,0.001
t497,0,0.003
t498,0,0.013
t499,0,0.039
t500,0,0.064
t501,0,0.074
t502,0,0.084
t503,0,0.097
t504,0.153,0.084
t505,0.41,0.032
t506,0.604,0.038
t507,0.729,0.046
t508,0.782,0.066
t509,0.779,0.094
t510,0.715,0.133
t511,0.583,0.167
t512,0.388,0.167
t513,0.137,0.112
t514,0,0.068
t515,0,0.042
t516,0,0.025
t517,0,0.013
t518,0,0.006
t519,0,0.005
t520,0,0.007
t521,0,0.012
t522,0,0.018
t523,0,0.027
t524,0,0.035
t525,0,0.036
t526,0,0.035
t527,0.001,0.032
t528,0.23,0.028
t529,0.487,0.004
t530,0.667,0
t531,0.777,0
t532,0.823,0
t533,0.812,0
t534,0.745,0
t535,0.61,0
t536,0.413,0
t537,0.153,0.005
t538,0,0.018
t539,0,0.017
t540,0,0.008
t541,0,0.002
t542,0,0
t543,0,0
t544,0,0
t545,0,0
t546,0,0
t547,0,0
t548,0,0
t549,0,0
t550,0,0.001
t551,0.001,0.001
t552,0.227,0.002
t553,0.483,0.001
t554,0.664,0.006
t555,0.775,0.005
t556,0.82,0.007
t557,0.812,0.012
t558,0.745,0.017
t559,0.623,0.026
t560,0.426,0.04
t561,0.162,0.077
t562,0,0.093
t563,0,0.073
t564,0,0.053
t565,0,0.036
t566,0,0.023
t567,0,0.012
t568,0,0.005
t569,0,0.002
t570,0,0.001
t571,0,0.001
t572,0,0.002
t573,0,0.002
t574,0,0.002
t575,0,0.002
t576,0.152,0.002
t577,0.33,0
t578,0.485,0
t579,0.595,0
t580,0.622,0.007
t581,0.668,0.018
t582,0.623,0.025
t583,0.494,0.035
t584,0.314,0.054
t585,0.101,0.097
t586,0,0.189
t587,0,0.289
t588,0,0.313
t589,0,0.217
t590,0,0.166
t591,0,0.176
t592,0,0.233
t593,0,0.279
t594,0,0.311
t595,0,0.354
t596,0,0.384
t597,0,0.357
t598,0,0.328
t599,0,0.311
t600,0.096,0.3
t601,0.358,0.311
t602,0.577,0.308
t603,0.716,0.283
t604,0.796,0.254
t605,0.799,0.211
t606,0.741,0.163
t607,0.584,0.123
t608,0.387,0.11
t609,0.136,0.119
t610,0,0.163
t611,0,0.197
t612,0,0.192
t613,0,0.174
t614,0,0.143
t615,0,0.103
t616,0,0.069
t617,0,0.05
t618,0,0.036
t619,0,0.024
t620,0,0.017
t621,0,0.013
t622,0,0.011
t623,0.001,0.01
t624,0.203,0.006
t625,0.458,0.01
t626,0.644,0.011
t627,0.757,0.01
t628,0.801,0.008
t629,0.79,0.004
t630,0.72,0.003
t631,0.585,0.005
t632,0.384,0.012
t633,0.133,0.051
t634,0,0.104
t635,0,0.097
t636,0,0.067
