Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1061.569254,1061.569254,0.059660083,90.04944274,586.350977,322.2843404,17.68587761,3.29E-11,164.770162,0,33.58955823,1.372880442,0.000268996,33.35203988,13.29584953,475.2182773,115.1376065,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1061.569254,826.3352118,235.2340426,8.236862288,8.236862288,4708.683276,176.1080664,1348.114782,0,138.1382122,6.312539904,8.996176625,59660.08304,0.586945929,0,0,1063829.787,0,5.87E-07,0.000983817,1.252348118,0.001266004,0.100988346,3.866136313,1.210090739,82.63843097,0,55.23435938,44.76564062,97.44273693,2.557263066,0,6705790.404,6534305.703,171484.7013,9.87E-10,0,94.17366551,21.13296796,115.3066335,313.6466738,2.057816416,315.7044902,0.000315704,6.087472054,18.6901538,198.4089263,363.1790882
cost,YCurrent,S2,880.5802375,880.5802375,0.042791169,90.26570166,435.2989076,230.0460819,15.14349595,4.73E-12,117.8016805,0,25.19216867,1.14513782,0.0001908,32.9015939,13.06855806,445.2813299,85.47657683,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,880.5802375,704.1547056,176.4255319,6.177646716,6.177646716,3361.051106,150.7921658,963.8285532,0,135.7767507,6.312539904,8.996176625,42791.16931,0.366270063,0,0,797872.3404,250000,3.66E-07,0.000855948,0.898192669,0.00096268,0.1070649,3.853716647,1.189404337,84.07569817,0,49.43319065,50.56680935,96.94797172,3.052028279,0,4811011.093,4664177.674,146833.4191,1.42E-10,0,67.22102211,18.0950599,85.31608201,223.8805284,1.762001029,225.6425294,0.000225643,6.533351438,18.37062202,161.7680671,279.5697475
cost,YCurrent,S3,713.3152873,713.3152873,0.027309043,90.66246558,295.718329,145.4768816,12.71742251,1.19E-11,74.67157354,0,16.79477911,0.917395197,0.000117493,32.34995439,12.79020515,417.5969583,58.0681229,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,713.3152873,595.698266,117.6170213,4.118431144,4.118431144,2125.46647,126.6344106,610.9470968,0,132.8847826,6.312539904,8.996176625,27309.0433,0.204836742,0,0,531914.8936,500000,2.05E-07,0.000750069,0.573138978,0.000696669,0.121405737,3.827641587,1.164070695,85.90543547,0,41.4568893,58.5431107,95.98711622,4.012883782,0,3072849.454,2949539.577,123309.8774,3.56E-10,0,42.5093294,15.19612927,57.70545866,141.5778997,1.479718529,143.0576182,0.000143058,7.448351098,18.04752701,128.7357691,203.4073426
cost,Y2030,S1,906.111923,906.111923,0.059660131,70.7451669,456.409364,254.60598,14.84236877,-8.23E-13,104.8053268,0,33.58955823,1.372880442,0.000285465,33.71431403,13.47865018,449.7025591,89.62188827,235.2340426,0,0,6.05,26.367,10.79,73.40276596,906.111923,670.8778805,235.2340426,8.236862288,8.236862288,4447.969827,160.666554,1336.356036,0,140.0374332,6.312539904,8.996176625,59660.13106,0.634963168,0,0,1063829.787,0,6.35E-07,0.001064301,1.253614123,0,0,4.002845022,1.226727915,81.51766892,0,50.370087,49.629913,97.52805184,2.471948158,0,6328958.575,6172510,156448.5749,-2.72E-11,0,88.95939654,19.27998647,108.239383,296.28048,1.877382899,298.1578629,0.000298158,4.581071068,18.59615454,168.5019735,273.3073003
cost,Y2030,S2,769.2235353,769.2235353,0.042791203,70.9891935,342.2195437,181.7875829,12.67050458,1.90E-11,74.97581184,0,25.19216867,1.14513782,0.000193684,33.21928282,13.22886137,427.0039916,67.19923852,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,769.2235353,592.7980034,176.4255319,6.177646716,6.177646716,3175.83147,137.1564296,956.0046397,0,137.4422338,6.312539904,8.996176625,42791.20314,0.400098838,0,0,797872.3404,250000,4.00E-07,0.000935003,0.899155349,0,0,3.992420729,1.203993968,83.05689451,0,44.48895906,55.51104094,97.05869978,2.941300221,0,4540701.454,4407145.792,133555.6619,6.30E-10,0,63.5166294,16.45877156,79.97540095,211.542998,1.602667943,213.145666,0.000213146,5.035677842,18.26606899,140.5069016,215.4827134
cost,Y2030,S3,642.4304741,642.4304741,0.027309063,71.41488781,236.4680711,115.0799276,10.55345006,0,47.54694694,0,16.79477911,0.917395197,0.000124049,32.63926112,12.93618703,405.962403,46.43356758,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,642.4304741,524.8134528,117.6170213,4.118431144,4.118431144,2010.447852,114.2396123,606.2635505,0,134.4014721,6.312539904,8.996176625,27309.06278,0.224320221,0,0,531914.8936,500000,2.24E-07,0.000821413,0.573835647,0,0,3.967212484,1.177356896,84.9360125,0,36.80835213,63.19164787,96.16566452,3.834335476,0,2901167.11,2789926.63,111240.4797,0,0,40.20895704,13.70875347,53.91771051,133.9164783,1.334885757,135.251364,0.000135251,5.958691717,17.9286855,115.1793393,162.7262862
cost,Y2040,S1,839.6412775,839.6412775,0.059660134,63.29175403,400.8487621,216.645078,13.80932228,0,88.10026361,0,33.58955823,1.372880442,0.000288682,33.8063035,13.52506734,438.7925155,78.71184468,235.2340426,0,0,6.05,26.367,10.79,73.40276596,839.6412775,604.407235,235.2340426,8.236862288,8.236862288,4228.734216,157.2876586,1272.031433,0,140.5196877,6.312539904,8.996176625,59660.13422,0.638127362,0,0,1063829.787,0,6.38E-07,0.001069604,1.253614123,0,0,4.006318332,1.230952464,81.23790555,0,47.74047832,52.25952168,97.45644584,2.543554161,0,6021432.06,5868273.674,153158.3857,0,0,84.57468432,18.87451903,103.4492034,281.6771364,1.837900628,283.515037,0.000283515,4.041466887,18.22375786,153.0141933,241.1144569
cost,Y2040,S2,721.5636242,721.5636242,0.042791213,63.56878664,302.382209,154.6019745,11.89262655,2.48E-11,63.02803299,0,25.19216867,1.14513782,0.000191945,33.26842062,13.25365591,419.1814151,59.37666203,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,721.5636242,545.1380923,176.4255319,6.177646716,6.177646716,3017.703728,135.4565667,910.0272334,0,137.6998386,6.312539904,8.996176625,42791.21276,0.409725865,0,0,797872.3404,250000,4.10E-07,0.0009575,0.899155349,0,0,3.996056601,1.206250586,82.90151413,0,41.90652063,58.09347937,96.94647384,3.053526159,0,4319610.137,4187709.712,131900.4255,8.57E-10,0,60.35407456,16.25478801,76.60886257,201.0100662,1.582805106,202.5928713,0.000202593,4.489993547,17.89228723,129.1042362,192.1322692
cost,Y2040,S3,612.02769,612.02769,0.027309067,64.00743902,211.055395,97.87059147,9.873012678,0,39.94917588,0,16.79477911,0.917395197,0.000127718,32.68901864,12.96129428,400.972295,41.44345958,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,612.02769,494.4106687,117.6170213,4.118431144,4.118431144,1910.353666,112.4532411,576.8042612,0,134.6623257,6.312539904,8.996176625,27309.06655,0.22808422,0,0,531914.8936,500000,2.28E-07,0.000835196,0.573835647,0,0,3.968747247,1.179641974,84.77148342,0,34.48461539,65.51538461,96.03332754,3.966672463,0,2760525.533,2651024.527,109501.0062,0,0,38.20707332,13.49438893,51.70146225,127.2491773,1.314012074,128.5631894,0.000128563,5.395984182,17.54987838,107.4101152,147.3592911
cost,Y2050,S1,765.0576957,765.0576957,0.059660168,53.20716461,338.5068265,170.8121765,12.67427674,8.07E-12,72.52397493,0,33.58955823,1.372880442,0.000296099,33.94075373,13.59290986,426.5508692,66.47019842,235.2340426,0,0,6.05,26.367,10.79,73.40276596,765.0576957,529.8236531,235.2340426,8.236862288,8.236862288,4041.106331,152.4974477,1206.866231,0,141.2245425,6.312539904,8.996176625,59660.16802,0.671920177,0,0,1063829.787,0,6.72E-07,0.001126246,1.253614123,0,0,3.987178059,1.237126993,80.83244534,0,44.24592137,55.75407863,97.42036528,2.57963472,0,5756393.763,5607899.831,148493.9322,2.87E-10,0,80.82212662,18.29969372,99.12182034,269.1791919,1.781927186,270.9611191,0.000270961,3.502431175,17.83285865,136.4316575,208.9556324
cost,Y2050,S2,668.1320107,668.1320107,0.042791234,53.4579452,257.7205003,121.9979613,10.83699293,0,51.80971106,0,25.19216867,1.14513782,0.000211799,33.41214078,13.32617596,410.4115103,50.60675725,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,668.1320107,491.7064788,176.4255319,6.177646716,6.177646716,2886.250524,130.3911692,862.1616616,0,138.453291,6.312539904,8.996176625,42791.23388,0.43084241,0,0,797872.3404,250000,4.31E-07,0.001006847,0.899155349,0,0,3.97122839,1.212850829,82.45037033,0,38.57329034,61.42670966,96.92739414,3.072605862,0,4132258.27,4005290.26,126968.0099,0,0,57.72501049,15.64694031,73.37195079,192.2539325,1.523616118,193.7775486,0.000193778,3.941794103,17.49123233,116.8645223,168.6742333
cost,Y2050,S3,577.9918748,577.9918748,0.027309075,53.93449754,182.6059891,77.23463981,8.928059385,-7.52E-12,32.866425,0,16.79477911,0.917395197,0.000131298,32.83141361,13.03314565,395.3858858,35.85705036,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,577.9918748,460.3748535,117.6170213,4.118431144,4.118431144,1827.231515,107.4227979,546.9278058,0,135.4088308,6.312539904,8.996176625,27309.07463,0.236173502,0,0,531914.8936,500000,2.36E-07,0.000864817,0.573835647,0,0,3.9474259,1.186181358,84.3041406,0,31.59317579,68.40682421,96.03819553,3.961804466,0,2640277.381,2535674.754,104602.6272,-2.67E-10,0,36.54463029,12.89073575,49.43536604,121.7123882,1.255231526,122.9676197,0.000122968,4.833572413,17.15144608,99.13396478,132.0003898
