t,s,w
t1,0.051,0.012
t2,0.173,0.004
t3,0.299,0
t4,0.414,0
t5,0.469,0
t6,0.468,0
t7,0.478,0.001
t8,0.37,0.02
t9,0.198,0.073
t10,0.051,0.14
t11,0,0.144
t12,0,0.085
t13,0,0.048
t14,0,0.027
t15,0,0.018
t16,0,0.016
t17,0,0.015
t18,0,0.013
t19,0,0.01
t20,0,0.007
t21,0,0.003
t22,0,0.001
t23,0,0
t24,0,0
t25,0.067,0
t26,0.202,0.001
t27,0.332,0.017
t28,0.496,0.067
t29,0.634,0.094
t30,0.709,0.099
t31,0.718,0.074
t32,0.614,0.058
t33,0.434,0.079
t34,0.173,0.197
t35,0,0.337
t36,0,0.295
t37,0,0.196
t38,0,0.134
t39,0,0.112
t40,0,0.116
t41,0,0.119
t42,0,0.103
t43,0,0.086
t44,0,0.078
t45,0,0.074
t46,0,0.068
t47,0,0.07
t48,0,0.071
t49,0.016,0.073
t50,0.087,0.149
t51,0.267,0.328
t52,0.543,0.532
t53,0.728,0.679
t54,0.737,0.756
t55,0.696,0.789
t56,0.586,0.807
t57,0.397,0.781
t58,0.157,0.697
t59,0,0.705
t60,0,0.627
t61,0,0.502
t62,0,0.435
t63,0,0.317
t64,0,0.159
t65,0,0.054
t66,0,0.011
t67,0,0.002
t68,0,0
t69,0,0
t70,0,0.001
t71,0,0.002
t72,0,0.002
t73,0.018,0.006
t74,0.077,0.017
t75,0.175,0.055
t76,0.338,0.148
t77,0.6,0.328
t78,0.76,0.537
t79,0.721,0.737
t80,0.615,0.819
t81,0.434,0.8
t82,0.181,0.663
t83,0,0.594
t84,0,0.506
t85,0,0.386
t86,0,0.309
t87,0,0.27
t88,0,0.252
t89,0,0.225
t90,0,0.2
t91,0,0.186
t92,0,0.179
t93,0,0.178
t94,0,0.183
t95,0,0.184
t96,0,0.159
t97,0.164,0.105
t98,0.39,0.028
t99,0.58,0.045
t100,0.775,0.1
t101,0.821,0.185
t102,0.821,0.139
t103,0.765,0.031
t104,0.65,0
t105,0.47,0.054
t106,0.206,0.288
t107,0,0.42
t108,0,0.312
t109,0,0.214
t110,0,0.202
t111,0,0.233
t112,0,0.254
t113,0,0.234
t114,0,0.227
t115,0,0.232
t116,0,0.233
t117,0,0.22
t118,0,0.195
t119,0,0.169
t120,0,0.136
t121,0.046,0.107
t122,0.203,0.106
t123,0.61,0.315
t124,0.733,0.582
t125,0.797,0.707
t126,0.792,0.786
t127,0.738,0.824
t128,0.629,0.826
t129,0.455,0.763
t130,0.203,0.621
t131,0,0.42
t132,0,0.243
t133,0,0.124
t134,0,0.072
t135,0,0.048
t136,0,0.035
t137,0,0.023
t138,0,0.01
t139,0,0.003
t140,0,0.001
t141,0,0
t142,0,0
t143,0,0
t144,0,0.001
t145,0.068,0
t146,0.164,0
t147,0.266,0.004
t148,0.432,0.015
t149,0.699,0.041
t150,0.77,0.084
t151,0.716,0.115
t152,0.61,0.155
t153,0.433,0.226
t154,0.178,0.337
t155,0,0.345
t156,0,0.241
t157,0,0.177
t158,0,0.144
t159,0,0.083
t160,0,0.049
t161,0,0.038
t162,0,0.047
t163,0,0.063
t164,0,0.072
t165,0,0.064
t166,0,0.069
t167,0,0.071
t168,0,0.043
t169,0.011,0.031
t170,0.052,0.02
t171,0.089,0.014
t172,0.131,0.01
t173,0.172,0.015
t174,0.173,0.011
t175,0.135,0.004
t176,0.085,0.005
t177,0.048,0.008
t178,0.014,0.011
t179,0,0.02
t180,0,0.036
t181,0,0.041
t182,0,0.032
t183,0,0.027
t184,0,0.027
t185,0,0.021
t186,0,0.017
t187,0,0.014
t188,0,0.003
t189,0,0.001
t190,0,0.001
t191,0,0.003
t192,0,0.002
t193,0.04,0.002
t194,0.106,0.009
t195,0.204,0.022
t196,0.376,0.088
t197,0.502,0.262
t198,0.497,0.413
t199,0.555,0.538
t200,0.461,0.599
t201,0.305,0.538
t202,0.074,0.46
t203,0,0.466
t204,0,0.422
t205,0,0.324
t206,0,0.234
t207,0,0.178
t208,0,0.171
t209,0,0.119
t210,0,0.093
t211,0,0.083
t212,0,0.08
t213,0,0.076
t214,0,0.054
t215,0,0.036
t216,0,0.03
t217,0.03,0.026
t218,0.12,0.049
t219,0.33,0.15
t220,0.727,0.442
t221,0.781,0.71
t222,0.782,0.839
t223,0.727,0.871
t224,0.617,0.868
t225,0.427,0.837
t226,0.166,0.708
t227,0,0.523
t228,0,0.343
t229,0,0.213
t230,0,0.113
t231,0,0.045
t232,0,0.014
t233,0,0.003
t234,0,0
t235,0,0.005
t236,0,0.016
t237,0,0.028
t238,0,0.026
t239,0,0.025
t240,0,0.019
t241,0.191,0.006
t242,0.464,0
t243,0.647,0.055
t244,0.759,0.192
t245,0.81,0.246
t246,0.806,0.227
t247,0.75,0.195
t248,0.637,0.155
t249,0.458,0.109
t250,0.201,0.069
t251,0,0.112
t252,0,0.135
t253,0,0.148
t254,0,0.169
t255,0,0.212
t256,0,0.285
t257,0,0.381
t258,0,0.463
t259,0,0.447
t260,0,0.454
t261,0,0.457
t262,0,0.387
t263,0,0.297
t264,0,0.232
t265,0.064,0.149
t266,0.212,0.156
t267,0.604,0.402
t268,0.773,0.447
t269,0.816,0.437
t270,0.808,0.469
t271,0.75,0.512
t272,0.637,0.506
t273,0.461,0.405
t274,0.206,0.21
t275,0,0.067
t276,0,0.003
t277,0,0.004
t278,0,0.03
t279,0,0.048
t280,0,0.047
t281,0,0.032
t282,0,0.014
t283,0,0.007
t284,0,0.004
t285,0,0.002
t286,0,0.001
t287,0,0
t288,0,0
t289,0.04,0
t290,0.127,0.003
t291,0.261,0.032
t292,0.43,0.083
t293,0.702,0.166
t294,0.769,0.238
t295,0.706,0.295
t296,0.6,0.367
t297,0.435,0.371
t298,0.186,0.328
t299,0,0.32
t300,0,0.273
t301,0,0.244
t302,0,0.212
t303,0,0.119
t304,0,0.039
t305,0,0.003
t306,0,0.002
t307,0,0.018
t308,0,0.025
t309,0,0.022
t310,0,0.012
t311,0,0.006
t312,0,0.003
t313,0.048,0.003
t314,0.13,0.005
t315,0.202,0.022
t316,0.339,0.049
t317,0.557,0.086
t318,0.698,0.137
t319,0.699,0.196
t320,0.587,0.283
t321,0.406,0.341
t322,0.161,0.338
t323,0,0.305
t324,0,0.183
t325,0,0.127
t326,0,0.163
t327,0,0.221
t328,0,0.244
t329,0,0.249
t330,0,0.257
t331,0,0.258
t332,0,0.245
t333,0,0.227
t334,0,0.193
t335,0,0.161
t336,0,0.135
t337,0.028,0.144
t338,0.113,0.136
t339,0.209,0.088
t340,0.289,0.043
t341,0.344,0.013
t342,0.355,0.004
t343,0.305,0.002
t344,0.24,0.007
t345,0.144,0.032
t346,0.045,0.089
t347,0,0.122
t348,0,0.115
t349,0,0.17
t350,0,0.188
t351,0,0.157
t352,0,0.129
t353,0,0.137
t354,0,0.104
t355,0,0.075
t356,0,0.041
t357,0,0.017
t358,0,0.008
t359,0,0.002
t360,0,0.001
t361,0.117,0
t362,0.371,0
t363,0.557,0.009
t364,0.764,0.038
t365,0.807,0.083
t366,0.804,0.086
t367,0.753,0.066
t368,0.637,0.039
t369,0.453,0.019
t370,0.195,0.017
t371,0,0.037
t372,0,0.035
t373,0,0.034
t374,0,0.025
t375,0,0.014
t376,0,0.006
t377,0,0.001
t378,0,0
t379,0,0
t380,0,0
t381,0,0.003
t382,0,0.013
t383,0,0.013
t384,0,0.005
t385,0.117,0
t386,0.337,0
t387,0.579,0.001
t388,0.778,0.018
t389,0.837,0.056
t390,0.826,0.129
t391,0.755,0.248
t392,0.629,0.374
t393,0.438,0.495
t394,0.182,0.544
t395,0,0.615
t396,0,0.568
t397,0,0.395
t398,0,0.312
t399,0,0.298
t400,0,0.264
t401,0,0.227
t402,0,0.212
t403,0,0.205
t404,0,0.191
t405,0,0.174
t406,0,0.159
t407,0,0.15
t408,0,0.155
t409,0.047,0.188
t410,0.325,0.274
t411,0.654,0.566
t412,0.759,0.765
t413,0.819,0.793
t414,0.811,0.789
t415,0.751,0.759
t416,0.636,0.69
t417,0.457,0.597
t418,0.204,0.471
t419,0.001,0.37
t420,0,0.285
t421,0,0.22
t422,0,0.179
t423,0,0.134
t424,0,0.074
t425,0,0.032
t426,0,0.007
t427,0,0
t428,0,0
t429,0,0
t430,0,0
t431,0,0.002
t432,0,0.005
t433,0.054,0.004
t434,0.163,0.008
t435,0.31,0.035
t436,0.592,0.101
t437,0.789,0.193
t438,0.794,0.283
t439,0.741,0.395
t440,0.629,0.468
t441,0.451,0.447
t442,0.201,0.298
t443,0.001,0.283
t444,0,0.221
t445,0,0.133
t446,0,0.055
t447,0,0.016
t448,0,0.025
t449,0,0.076
t450,0,0.152
t451,0,0.228
t452,0,0.264
t453,0,0.23
t454,0,0.167
t455,0,0.109
t456,0,0.082
t457,0.106,0.063
t458,0.3,0.022
t459,0.489,0.002
t460,0.647,0
t461,0.708,0
t462,0.728,0.001
t463,0.653,0.003
t464,0.436,0.039
t465,0.241,0.131
t466,0.065,0.223
t467,0,0.262
t468,0,0.263
t469,0,0.289
t470,0,0.28
t471,0,0.279
t472,0,0.261
t473,0,0.217
t474,0,0.172
t475,0,0.162
t476,0,0.164
t477,0,0.203
t478,0,0.166
t479,0,0.112
t480,0,0.061
t481,0.099,0.041
t482,0.332,0.017
t483,0.524,0.001
t484,0.655,0
t485,0.675,0
t486,0.681,0
t487,0.677,0.004
t488,0.537,0.003
t489,0.332,0.004
t490,0.107,0.041
t491,0,0.167
t492,0,0.189
t493,0,0.156
t494,0,0.13
t495,0,0.101
t496,0,0.073
t497,0,0.039
t498,0,0.017
t499,0,0.008
t500,0,0.004
t501,0,0.002
t502,0,0.001
t503,0,0
t504,0,0
t505,0.098,0.001
t506,0.289,0.011
t507,0.439,0.034
t508,0.568,0.059
t509,0.577,0.091
t510,0.54,0.126
t511,0.49,0.159
t512,0.394,0.193
t513,0.237,0.232
t514,0.074,0.261
t515,0,0.268
t516,0,0.184
t517,0,0.109
t518,0,0.069
t519,0,0.042
t520,0,0.023
t521,0,0.011
t522,0,0.005
t523,0,0.001
t524,0,0
t525,0,0
t526,0,0
t527,0,0
t528,0,0.001
t529,0.035,0.002
t530,0.127,0.005
t531,0.283,0.021
t532,0.438,0.036
t533,0.688,0.049
t534,0.762,0.068
t535,0.705,0.097
t536,0.59,0.142
t537,0.41,0.184
t538,0.168,0.231
t539,0.001,0.217
t540,0,0.155
t541,0,0.138
t542,0,0.144
t543,0,0.155
t544,0,0.138
t545,0,0.107
t546,0,0.084
t547,0,0.072
t548,0,0.065
t549,0,0.061
t550,0,0.053
t551,0,0.044
t552,0,0.045
t553,0.064,0.057
t554,0.211,0.074
t555,0.45,0.145
t556,0.768,0.22
t557,0.812,0.265
t558,0.812,0.277
t559,0.752,0.285
t560,0.64,0.313
t561,0.464,0.3
t562,0.214,0.193
t563,0.003,0.112
t564,0,0.057
t565,0,0.037
t566,0,0.031
t567,0,0.026
t568,0,0.037
t569,0,0.084
t570,0,0.171
t571,0,0.255
t572,0,0.253
t573,0,0.228
t574,0,0.167
t575,0,0.109
t576,0,0.07
t577,0.096,0.042
t578,0.292,0.015
t579,0.573,0.001
t580,0.769,0
t581,0.82,0
t582,0.811,0
t583,0.747,0
t584,0.621,0
t585,0.43,0.012
t586,0.175,0.126
t587,0.002,0.339
t588,0,0.334
t589,0,0.218
t590,0,0.113
t591,0,0.073
t592,0,0.061
t593,0,0.047
t594,0,0.039
t595,0,0.036
t596,0,0.034
t597,0,0.034
t598,0,0.041
t599,0,0.05
t600,0,0.059
t601,0.032,0.086
t602,0.112,0.148
t603,0.236,0.206
