Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1018.120703,1018.120703,0.059659851,78.03863965,515.5916629,267.7037792,21.50210764,1.79E-11,147.5989581,0,33.58955823,1.372880442,0.000186335,31.47532091,12.34887204,502.5290402,101.243099,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1018.120703,782.8866605,235.2340426,49.44213266,49.44213266,3911.242806,214.1083797,1207.623607,0,128.2995196,5.377677482,5.768432975,59659.85119,0.35509135,0,0,1063829.787,0,3.55E-07,0.000595193,1.253595255,1.89E-05,0.001505036,3.463247852,1.123903792,88.97558734,0,50.64150659,49.35849341,95.14444129,4.855558707,0,6696389.563,6371242.437,325147.1265,5.36E-10,0,78.22485613,25.69300557,103.9178617,305.819637,3.901765518,309.7214025,0.000309721,5.667220983,18.71159301,190.5066023,338.1055605
cost,YCurrent,S2,849.7478341,849.7478341,0.042791024,78.10095068,383.6955407,190.5140014,18.07926396,-1.17E-11,105.2528155,0,25.19216867,1.14513782,0.000134625,31.26783988,12.24417876,466.0522934,75.34358756,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,849.7478341,673.3223022,176.4255319,37.0815995,37.0815995,2783.474032,180.0252319,861.1563815,0,127.211801,5.377677482,5.768432975,42791.0239,0.220866341,0,0,797872.3404,250000,2.21E-07,0.000516151,0.899074758,8.06E-05,0.008962965,3.443209842,1.114375377,89.73636895,0,45.1540475,54.8459525,94.31335273,5.686647267,0,4807544.842,4534156.725,273388.1174,-3.50E-10,0,55.66948063,21.60302782,77.27250846,217.6395228,3.280657408,220.9201802,0.00022092,6.109854703,18.38123227,156.1941231,261.4469386
cost,YCurrent,S3,693.3605595,693.3605595,0.027308958,78.22719903,261.8177782,119.7809331,14.73680125,-6.14E-12,66.45619783,0,16.79477911,0.917395197,8.93E-05,31.01498972,12.11659259,431.5427814,51.4113108,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,693.3605595,575.7435383,117.6170213,24.72106633,24.72106633,1750.039967,146.7424817,543.730622,0,125.886235,5.377677482,5.768432975,27308.95832,0.11985526,0,0,531914.8936,500000,1.20E-07,0.000438886,0.57381662,1.90E-05,0.003315881,3.40653459,1.102763419,90.68128149,0,37.76069673,62.23930327,92.7496794,7.250320605,0,3073582.705,2850738.105,222844.6002,-1.84E-10,0,35.00079935,17.60909781,52.60989716,136.835429,2.674135202,139.5095643,0.00013951,7.014785571,18.04404465,125.1102889,191.5664868
cost,Y2030,S1,882.8676262,882.8676262,0.059659958,60.94084144,402.5381142,213.89636,15.2684015,1.16E-11,93.68453085,0,33.58955823,1.372880442,0.000250069,32.07477912,12.6513539,480.329512,79.04357084,235.2340426,0,0,6.05,26.367,10.79,73.40276596,882.8676262,647.6335836,235.2340426,49.44213266,49.44213266,3736.772229,165.2782984,1194.556537,0,131.4421772,5.377677482,5.768432975,59659.95806,0.461966795,0,0,1063829.787,0,4.62E-07,0.000774333,1.253614123,0,0,3.578117226,1.151433472,86.84826557,0,45.59439062,54.40560938,96.03988551,3.960114487,0,6338030.82,6087037.544,250993.2767,3.85E-10,0,74.73544459,19.83339581,94.56884039,292.1778021,3.011919321,295.1897214,0.00029519,4.31904741,18.57465962,163.9896565,257.6741873
cost,Y2030,S2,752.9958742,752.9958742,0.042791096,61.06838443,302.8237951,152.3371454,13.07454508,0,66.84941371,0,25.19216867,1.14513782,0.00016232,31.74185775,12.48336442,450.1720791,59.46337318,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,752.9958742,576.5703423,176.4255319,37.0815995,37.0815995,2661.331938,141.5301112,852.3862311,0,129.6968381,5.377677482,5.768432975,42791.09568,0.292641612,0,0,797872.3404,250000,2.93E-07,0.000683884,0.899118832,3.65E-05,0.004061199,3.559703439,1.136144302,88.01698856,0,40.21586379,59.78413621,95.2764111,4.7235889,0,4550121.67,4335192.628,214929.0421,0,0,53.22663875,16.98361334,70.21025209,208.0892461,2.579148506,210.6683946,0.000210668,4.771237087,18.2360958,137.317049,204.1664627
cost,Y2030,S3,631.9084062,631.9084062,0.027308994,61.30520983,210.4519669,96.04637911,10.61842404,0,42.34109439,0,16.79477911,0.917395197,0.000104245,31.41523676,12.31855406,421.4564393,41.32496867,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,631.9084062,514.2913849,117.6170213,24.72106633,24.72106633,1677.931509,114.9429465,539.8845534,0,127.9845287,5.377677482,5.768432975,27308.9942,0.155743275,0,0,531914.8936,500000,1.56E-07,0.0005703,0.573835647,0,0,3.532856489,1.121144471,89.19457087,0,33.30418853,66.69581147,93.99712151,6.002878486,0,2907830.107,2733276.599,174553.5079,0,0,33.55863018,13.79315358,47.35178376,131.1972768,2.094642095,133.2919189,0.000133292,5.691597123,17.89669157,113.0906985,155.4317928
cost,Y2040,S1,825.5631523,825.5631523,0.059659969,54.51594326,354.6392103,182.1514064,13.69081466,0,78.86366535,0,33.58955823,1.372880442,0.000254161,32.23728033,12.73335072,470.923942,69.63800086,235.2340426,0,0,6.05,26.367,10.79,73.40276596,825.5631523,590.3291097,235.2340426,49.44213266,49.44213266,3555.44604,155.9378613,1138.669252,0,132.2940892,5.377677482,5.768432975,59659.96871,0.472618143,0,0,1063829.787,0,4.73E-07,0.000792186,1.253614123,0,0,3.58629829,1.158896222,86.28900339,0,42.95724794,57.04275206,96.0718285,3.928171495,0,6028473.955,5791665.16,236808.7955,0,0,71.1089208,18.71254335,89.82146416,277.9999277,2.841705546,280.8416332,0.000280842,3.841321062,18.20689654,150.309429,229.1730944
cost,Y2040,S2,711.9538459,711.9538459,0.04279111,54.70188349,268.5181286,129.5769298,11.90989041,0,56.31377485,0,25.19216867,1.14513782,0.000162594,31.84477094,12.53529359,443.4357173,52.72701137,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,711.9538459,535.528314,176.4255319,37.0815995,37.0815995,2529.235382,135.6532014,813.0837391,0,130.2363601,5.377677482,5.768432975,42791.10966,0.306623046,0,0,797872.3404,250000,3.07E-07,0.000716558,0.899155349,0,0,3.570372789,1.140870515,87.65236609,0,37.71566516,62.28433484,95.23801487,4.761985132,0,4326017.459,4120013.151,206004.3082,0,0,50.58470764,16.27838417,66.86309181,197.7606312,2.472051699,200.2326829,0.000200233,4.289489095,17.87169549,127.2382234,183.5519983
cost,Y2040,S3,605.7728603,605.7728603,0.027309003,54.93491176,188.6061333,81.77458782,9.590284845,-1.01E-11,35.64402563,0,16.79477911,0.917395197,0.000105894,31.51570519,12.36924963,417.166727,37.03525638,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,605.7728603,488.155839,117.6170213,24.72106633,24.72106633,1596.172878,109.2329818,514.6445557,0,128.5112341,5.377677482,5.768432975,27309.00306,0.164602103,0,0,531914.8936,500000,1.65E-07,0.000602739,0.573835124,5.24E-07,9.12E-05,3.541060718,1.12575841,88.82900547,0,31.13479419,68.86520581,94.00276078,5.997239218,0,2765977.684,2600095.386,165882.2985,-3.48E-10,0,31.92345755,13.10795781,45.03141536,124.8045785,1.990587581,126.7951661,0.000126795,5.192301348,17.5234902,106.1525478,141.7965734
cost,Y2050,S1,761.5511126,761.5511126,0.059660014,45.82504996,301.1336752,143.9318098,11.98201536,0,64.93727869,0,33.58955823,1.372880442,0.000265685,32.46939374,12.8504733,460.4174374,59.13149625,235.2340426,0,0,6.05,26.367,10.79,73.40276596,761.5511126,526.3170701,235.2340426,49.44213266,49.44213266,3405.165602,144.1681288,1080.616567,0,133.5109429,5.377677482,5.768432975,59660.0144,0.518308795,0,0,1063829.787,0,5.18E-07,0.000868771,1.253614123,0,0,3.570090577,1.16955586,85.50254281,0,39.54214894,60.45785106,96.2028659,3.797134105,0,5765800.101,5546864.939,218935.162,0,0,68.10331204,17.30017545,85.4034875,266.2495171,2.627221945,268.876739,0.000268877,3.361909791,17.81026981,135.6343079,200.5715866
