t,s,w
t1,0.254,0
t2,0.487,0.018
t3,0.643,0.021
t4,0.695,0.016
t5,0.711,0.019
t6,0.66,0.037
t7,0.482,0.059
t8,0.299,0.079
t9,0.092,0.104
t10,0,0.117
t11,0,0.111
t12,0,0.103
t13,0,0.107
t14,0,0.097
t15,0,0.07
t16,0,0.044
t17,0,0.022
t18,0,0.01
t19,0,0.007
t20,0,0.008
t21,0,0.013
t22,0,0.021
t23,0,0.039
t24,0.021,0.056
t25,0.203,0.036
t26,0.42,0.128
t27,0.573,0.14
t28,0.653,0.087
t29,0.658,0.045
t30,0.578,0.028
t31,0.437,0.027
t32,0.24,0.05
t33,0.071,0.119
t34,0,0.195
t35,0,0.227
t36,0,0.223
t37,0,0.194
t38,0,0.162
t39,0,0.133
t40,0,0.107
t41,0,0.086
t42,0,0.063
t43,0,0.038
t44,0,0.021
t45,0,0.012
t46,0,0.012
t47,0,0.018
t48,0.024,0.022
t49,0.211,0.012
t50,0.423,0.017
t51,0.573,0.024
t52,0.652,0.013
t53,0.644,0.003
t54,0.57,0.001
t55,0.423,0.002
t56,0.248,0.01
t57,0.076,0.07
t58,0,0.132
t59,0,0.169
t60,0,0.188
t61,0,0.155
t62,0,0.085
t63,0,0.037
t64,0,0.013
t65,0,0.002
t66,0,0
t67,0,0.004
t68,0,0.021
t69,0,0.039
t70,0,0.045
t71,0,0.054
t72,0.003,0.062
t73,0.046,0.036
t74,0.105,0.045
t75,0.188,0.056
t76,0.265,0.095
t77,0.219,0.115
t78,0.164,0.122
t79,0.115,0.14
t80,0.063,0.141
t81,0.016,0.157
t82,0,0.191
t83,0,0.187
t84,0,0.16
t85,0,0.128
t86,0,0.105
t87,0,0.095
t88,0,0.079
t89,0,0.059
t90,0,0.037
t91,0,0.025
t92,0,0.014
t93,0,0.005
t94,0,0.004
t95,0,0.005
t96,0.005,0.004
t97,0.071,0.004
t98,0.191,0.013
t99,0.286,0.021
t100,0.349,0.009
t101,0.303,0.002
t102,0.23,0.003
t103,0.159,0.012
t104,0.094,0.021
t105,0.031,0.032
t106,0,0.041
t107,0,0.053
t108,0,0.061
t109,0,0.059
t110,0,0.052
t111,0,0.053
t112,0,0.054
t113,0,0.033
t114,0,0.023
t115,0,0.007
t116,0,0
t117,0,0.004
t118,0,0.001
t119,0,0
t120,0.013,0.001
t121,0.14,0.01
t122,0.392,0.043
t123,0.575,0.058
t124,0.66,0.037
t125,0.656,0.012
t126,0.614,0.005
t127,0.494,0.006
t128,0.307,0.02
t129,0.094,0.07
t130,0,0.138
t131,0,0.205
t132,0,0.223
t133,0,0.186
t134,0,0.135
t135,0,0.089
t136,0,0.057
t137,0,0.04
t138,0,0.035
t139,0,0.033
t140,0,0.025
t141,0,0.013
t142,0,0.006
t143,0,0.004
t144,0.007,0.002
t145,0.074,0.001
t146,0.16,0.007
t147,0.218,0.019
t148,0.226,0.024
t149,0.219,0.028
t150,0.199,0.051
t151,0.153,0.088
t152,0.092,0.112
t153,0.025,0.112
t154,0,0.118
t155,0,0.114
t156,0,0.104
t157,0,0.101
t158,0,0.108
t159,0,0.109
t160,0,0.099
t161,0,0.081
t162,0,0.061
t163,0,0.042
t164,0,0.042
t165,0,0.044
t166,0,0.039
t167,0,0.026
t168,0.006,0.018
t169,0.065,0.015
t170,0.154,0.054
t171,0.206,0.1
t172,0.245,0.109
t173,0.222,0.096
t174,0.171,0.095
t175,0.11,0.133
t176,0.055,0.14
t177,0.014,0.133
t178,0,0.163
t179,0,0.207
t180,0,0.252
t181,0,0.269
t182,0,0.27
t183,0,0.259
t184,0,0.227
t185,0,0.192
t186,0,0.194
t187,0,0.233
t188,0,0.265
t189,0,0.279
t190,0,0.28
t191,0,0.264
t192,0.001,0.243
t193,0.029,0.277
t194,0.09,0.342
t195,0.139,0.346
t196,0.178,0.323
t197,0.196,0.286
t198,0.172,0.25
t199,0.116,0.236
t200,0.082,0.245
t201,0.027,0.199
t202,0,0.146
t203,0,0.119
t204,0,0.089
t205,0,0.068
t206,0,0.054
t207,0,0.043
t208,0,0.035
t209,0,0.021
t210,0,0.015
t211,0,0.01
t212,0,0.009
t213,0,0.005
t214,0,0.004
t215,0,0.002
t216,0.01,0.001
t217,0.084,0.002
t218,0.19,0.001
t219,0.28,0.001
t220,0.303,0
t221,0.276,0
t222,0.246,0
t223,0.195,0
t224,0.119,0.001
t225,0.035,0.014
t226,0,0.042
t227,0,0.045
t228,0,0.03
t229,0,0.013
t230,0,0.003
t231,0,0.001
t232,0,0.001
t233,0,0.002
t234,0,0.002
t235,0,0.001
t236,0,0.001
t237,0,0
t238,0,0
t239,0,0.006
t240,0.009,0
t241,0.033,0.001
t242,0.153,0
t243,0.303,0
t244,0.374,0
t245,0.409,0.003
t246,0.352,0.011
t247,0.264,0.023
t248,0.162,0.034
t249,0.05,0.027
t250,0,0.018
t251,0,0.008
t252,0,0.004
t253,0,0.003
t254,0,0.009
t255,0,0.027
t256,0,0.047
t257,0,0.061
t258,0,0.065
t259,0,0.061
t260,0,0.054
t261,0,0.049
t262,0,0.035
t263,0,0.017
t264,0.033,0.005
t265,0.269,0.001
t266,0.496,0
t267,0.633,0
t268,0.72,0.001
t269,0.742,0.003
t270,0.686,0.007
t271,0.551,0.016
t272,0.36,0.029
t273,0.107,0.055
t274,0,0.05
t275,0,0.016
t276,0,0.005
t277,0,0.008
t278,0,0.013
t279,0,0.016
t280,0,0.01
t281,0,0.006
t282,0,0.002
t283,0,0
t284,0,0
t285,0,0
t286,0,0
t287,0,0.001
t288,0.033,0.003
t289,0.237,0.001
t290,0.448,0.005
t291,0.588,0.016
t292,0.695,0.013
t293,0.71,0.009
t294,0.663,0.011
t295,0.55,0.018
t296,0.364,0.03
t297,0.131,0.055
t298,0,0.112
t299,0,0.16
t300,0,0.162
t301,0,0.127
t302,0,0.1
t303,0,0.09
t304,0,0.084
t305,0,0.077
t306,0,0.068
t307,0,0.067
t308,0,0.065
t309,0,0.052
t310,0,0.047
t311,0,0.05
t312,0.01,0.042
t313,0.091,0.028
t314,0.23,0.054
t315,0.357,0.059
t316,0.417,0.057
t317,0.395,0.03
t318,0.332,0.015
t319,0.232,0.011
t320,0.13,0.019
t321,0.037,0.041
t322,0,0.063
t323,0,0.073
t324,0,0.084
t325,0,0.083
t326,0,0.068
t327,0,0.044
t328,0,0.018
t329,0,0.006
t330,0,0.002
t331,0,0.001
t332,0,0.001
t333,0,0.002
t334,0,0.03
t335,0,0.093
t336,0.007,0.094
t337,0.057,0.134
t338,0.156,0.362
t339,0.286,0.501
t340,0.406,0.602
t341,0.433,0.692
t342,0.408,0.75
t343,0.302,0.783
t344,0.171,0.796
t345,0.056,0.747
t346,0,0.663
t347,0,0.571
t348,0,0.477
t349,0,0.406
t350,0,0.356
t351,0,0.313
t352,0,0.255
t353,0,0.194
t354,0,0.135
t355,0,0.085
t356,0,0.047
t357,0,0.021
t358,0,0.011
t359,0,0.005
t360,0.047,0.001
t361,0.305,0
t362,0.428,0
t363,0.513,0
t364,0.581,0
t365,0.607,0
t366,0.618,0
t367,0.54,0
t368,0.364,0
t369,0.153,0.001
t370,0.001,0.001
t371,0,0
t372,0,0
t373,0,0
t374,0,0
t375,0,0.001
t376,0,0.005
t377,0,0.01
t378,0,0.022
t379,0,0.042
t380,0,0.073
t381,0,0.113
t382,0,0.146
t383,0,0.157
t384,0.05,0.152
t385,0.305,0.078
t386,0.537,0.052
t387,0.686,0.075
t388,0.753,0.089
t389,0.764,0.098
t390,0.715,0.089
t391,0.57,0.064
t392,0.389,0.033
t393,0.149,0.011
t394,0.001,0.001
t395,0,0
t396,0,0
t397,0,0.018
t398,0,0.078
t399,0,0.137
t400,0,0.144
t401,0,0.114
t402,0,0.092
t403,0,0.077
t404,0,0.077
t405,0,0.078
t406,0,0.079
t407,0,0.085
t408,0.037,0.094
t409,0.263,0.062
t410,0.494,0.03
t411,0.638,0.058
t412,0.732,0.061
t413,0.743,0.061
t414,0.691,0.062
t415,0.572,0.061
t416,0.388,0.052
t417,0.149,0.041
t418,0.001,0.037
t419,0,0.034
t420,0,0.035
t421,0,0.064
t422,0,0.137
t423,0,0.208
t424,0,0.273
t425,0,0.308
t426,0,0.295
t427,0,0.252
t428,0,0.205
t429,0,0.167
t430,0,0.135
t431,0,0.111
t432,0.009,0.089
t433,0.083,0.041
t434,0.309,0.023
t435,0.522,0.021
t436,0.527,0.035
t437,0.516,0.055
t438,0.456,0.079
t439,0.339,0.11
t440,0.184,0.155
t441,0.057,0.19
t442,0,0.228
t443,0,0.269
t444,0,0.289
t445,0,0.295
t446,0,0.291
t447,0,0.275
t448,0,0.24
t449,0,0.201
t450,0,0.176
t451,0,0.165
t452,0,0.135
t453,0,0.095
t454,0,0.077
t455,0,0.068
t456,0.022,0.045
t457,0.179,0.014
t458,0.395,0.024
t459,0.559,0.134
t460,0.667,0.192
t461,0.697,0.225
t462,0.661,0.259
t463,0.557,0.247
t464,0.38,0.264
