Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1041.160316,1041.160316,0.059659653,87.97204756,564.7018778,291.4031528,45.05425231,0,151.2271848,0,33.58955823,1.372880442,0.000128908,30.29927278,11.7554475,476.4584379,110.8865256,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1041.160316,805.9262731,235.2340426,13.72810381,13.72810381,4257.498674,448.6301121,1237.308994,0,122.1340914,6.216081201,6.215172684,59659.6533,0.157209634,0,0,1063829.787,0,1.57E-07,0.000263511,1.25361284,1.28E-06,0.000102348,3.548391986,1.069894641,93.46714729,0,54.23774507,45.76225493,90.46584869,9.534151305,0,6632194.998,5999871.492,632323.506,0,0,85.14997349,53.83561345,138.9855869,287.9938316,7.587882071,295.5817137,0.000295582,5.826189244,18.85984729,196.3612456,347.5884304
cost,YCurrent,S2,864.4868615,864.4868615,0.042790907,87.99468364,418.4045302,205.1576634,38.23122224,1.13E-11,106.7675769,0,25.19216867,1.14513782,9.31E-05,30.20353103,11.70713698,446.0823313,82.15914707,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,864.4868615,688.0613296,176.4255319,10.29607786,10.29607786,2997.422889,380.6894275,873.5498407,0,121.6321657,6.216081201,6.215172684,42790.90656,0.103519221,0,0,797872.3404,250000,1.04E-07,0.000241919,0.899154472,8.76E-07,9.75E-05,3.492772883,1.065497771,93.85284763,0,48.39917746,51.60082254,88.72924379,11.27075621,0,4760676.448,4224112.211,536564.2364,3.40E-10,0,59.94845778,45.6827313,105.6311891,202.7573861,6.438770836,209.196157,0.000209196,6.238006775,18.52687359,160.1623881,266.929965
cost,YCurrent,S3,701.3238425,701.3238425,0.027308904,88.06145838,283.400106,127.9559557,28.99173706,7.62E-12,66.92638022,0,16.79477911,0.917395197,5.93E-05,30.13914905,11.67465034,417.9237365,55.64928033,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,701.3238425,583.7068213,117.6170213,6.864051907,6.864051907,1869.479814,288.6867627,547.5775554,0,121.2946434,6.216081201,6.215172684,27308.90378,0.065314622,0,0,531914.8936,500000,6.53E-08,0.00023917,0.573835134,5.13E-07,8.94E-05,3.430642919,1.062541076,94.11400863,0,40.40930721,59.59069279,86.62182429,13.37817571,0,3041451.401,2634560.689,406890.7125,2.28E-10,0,37.38959628,34.64241153,72.0320078,126.4589131,4.882688549,131.3416016,0.000131342,7.123373045,18.19489387,127.6051288,194.5315091
cost,Y2030,S1,892.5137141,892.5137141,0.059659821,68.81275002,440.4531272,245.4745982,16.17532455,0,100.1557036,0,33.58955823,1.372880442,0.000186201,31.38272638,12.30214958,452.0605869,86.48867459,235.2340426,0,0,6.05,26.367,10.79,73.40276596,892.5137141,657.2796716,235.2340426,13.72810381,13.72810381,4288.444467,175.0956128,1277.069431,0,127.8140932,6.216081201,6.215172684,59659.8206,0.324509659,0,0,1063829.787,0,3.25E-07,0.000543933,1.253613285,8.38E-07,6.69E-05,3.825281194,1.119651456,89.31350864,0,49.34973214,50.65026786,96.07665215,3.923347847,0,6290271,6043481.788,246789.2118,0,0,85.76888934,21.01147353,106.7803629,290.0871258,2.961470542,293.0485964,0.000293049,4.474511009,18.68798405,166.7928205,266.9485241
cost,Y2030,S2,758.399569,758.399569,0.04279101,68.92350948,329.7296906,174.7458798,13.86759896,0,71.42759892,0,25.19216867,1.14513782,0.000139147,31.16093294,12.19023437,428.6698784,64.74669414,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,758.399569,581.9740371,176.4255319,10.29607786,10.29607786,3052.812823,150.1148079,910.7619418,0,126.6513418,6.216081201,6.215172684,42791.00992,0.206882227,0,0,797872.3404,250000,2.07E-07,0.000483471,0.899154773,5.76E-07,6.40E-05,3.803497518,1.109465754,90.13347156,0,43.47704087,56.52295913,95.31254714,4.687452857,0,4513750.281,4302170.365,211579.9165,0,0,61.05625646,18.01377695,79.07003341,206.5041775,2.538958998,209.0431365,0.000209043,4.921826712,18.35211179,139.1823367,210.6099356
cost,Y2030,S3,634.1976004,634.1976004,0.027308949,69.10989808,227.2915127,110.0271739,11.48345475,-2.12E-13,45.09003015,0,16.79477911,0.917395197,8.49E-05,30.91330925,12.06528543,406.9060877,44.63163153,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,634.1976004,516.5805792,117.6170213,6.864051907,6.864051907,1922.176179,124.3067822,574.9357956,0,125.3531755,6.216081201,6.215172684,27308.94929,0.110829899,0,0,531914.8936,500000,1.11E-07,0.000405837,0.573835304,3.43E-07,5.98E-05,3.762228396,1.098093817,91.06690015,0,35.83922623,64.16077377,93.92499955,6.075000454,0,2884027.627,2708822.936,175204.6914,-6.99E-12,0,38.44352358,14.91681387,53.36033744,130.0235009,2.102456297,132.1259572,0.000132126,5.833881149,18.01128453,114.2271343,159.3171645
cost,Y2040,S1,828.1861633,828.1861633,0.059659859,61.5279497,386.6838668,209.3731204,14.01935129,3.26E-11,84.3783981,0,33.58955823,1.372880442,0.000195372,31.55917756,12.39118545,441.5022964,75.93038409,235.2340426,0,0,6.05,26.367,10.79,73.40276596,828.1861633,592.9521207,235.2340426,13.72810381,13.72810381,4086.791569,159.6798812,1218.293457,0,128.7391378,6.216081201,6.215172684,59659.85947,0.363375996,0,0,1063829.787,0,3.63E-07,0.00060908,1.253613346,7.76E-07,6.19E-05,3.837085908,1.127754847,88.67175364,0,46.69045246,53.30954754,96.23917535,3.760824646,0,5984364.292,5759302.845,225061.4472,1.13E-09,0,81.73583138,19.16158574,100.8974171,276.4465365,2.700737367,279.1472739,0.000279147,3.956444155,18.31261025,151.6625042,236.0409023
cost,Y2040,S2,712.3398526,712.3398526,0.042791029,61.64733326,291.2299055,149.1998967,11.84571865,5.76E-12,60.23326058,0,25.19216867,1.14513782,0.000139291,31.33534335,12.27824048,421.1099471,57.18676284,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,712.3398526,535.9143207,176.4255319,10.29607786,10.29607786,2912.2596,134.9222876,869.6750459,0,127.5656878,6.216081201,6.215172684,42791.02941,0.22637228,0,0,797872.3404,250000,2.26E-07,0.000529018,0.899154815,5.34E-07,5.93E-05,3.818880876,1.117475425,89.48742653,0,40.88356203,59.11643797,95.57160873,4.428391272,0,4294262.774,4104096.016,190166.7579,1.99E-10,0,58.24519199,16.19067451,74.4358665,196.9966088,2.282001095,199.2786099,0.000199279,4.399722373,17.97391911,128.0353889,188.2686494
cost,Y2040,S3,604.8938468,604.8938468,0.027308965,61.86770828,202.7974796,94.04363116,9.762239248,-3.01E-12,38.07496723,0,16.79477911,0.917395197,9.43E-05,31.06336898,12.14100437,402.0963671,39.82191098,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,604.8938468,487.2768255,117.6170213,6.864051907,6.864051907,1835.65454,111.1915359,549.7435894,0,126.1398631,6.216081201,6.215172684,27308.96502,0.126561331,0,0,531914.8936,500000,1.27E-07,0.000463442,0.573835332,3.16E-07,5.50E-05,3.782568221,1.104985201,90.49894962,0,33.52612706,66.47387294,94.28784522,5.712154779,0,2743611.844,2586892.489,156719.3551,-1.04E-10,0,36.7130908,13.34298431,50.05607511,124.1708395,1.880632261,126.0514717,0.000126051,5.299723497,17.63201874,106.6549964,144.7299636
cost,Y2050,S1,755.9708828,755.9708828,0.059659916,51.60224756,326.3215156,165.8067208,11.6857497,-5.70E-12,69.49395385,0,33.58955823,1.372880442,0.000219453,31.83969886,12.53273426,429.6493672,64.07745485,235.2340426,0,0,6.05,26.367,10.79,73.40276596,755.9708828,520.7368403,235.2340426,13.72810381,13.72810381,3922.686329,140.6034475,1156.443869,0,130.2097697,6.216081201,6.215172684,59659.91586,0.419761169,0,0,1063829.787,0,4.20E-07,0.00070359,1.253613209,9.13E-07,7.28E-05,3.82061159,1.140637583,87.67026573,0,43.16588417,56.83411583,96.53917646,3.460823543,0,5726211.955,5528037.863,198174.0914,-2.03E-10,0,78.45372657,16.8724137,95.32614027,265.3458174,2.378089097,267.7239065,0.000267724,3.43369614,17.90546065,135.360069,204.8540228
