t,s,w
t1,0.212,0.479
t2,0.444,0.444
t3,0.595,0.386
t4,0.646,0.35
t5,0.65,0.328
t6,0.617,0.315
t7,0.543,0.324
t8,0.421,0.339
t9,0.249,0.365
t10,0.056,0.386
t11,0,0.451
t12,0,0.508
t13,0,0.532
t14,0,0.532
t15,0,0.544
t16,0,0.562
t17,0,0.567
t18,0,0.552
t19,0,0.544
t20,0,0.526
t21,0,0.494
t22,0,0.466
t23,0,0.465
t24,0.011,0.472
t25,0.102,0.504
t26,0.225,0.494
t27,0.338,0.454
t28,0.405,0.436
t29,0.438,0.422
t30,0.428,0.398
t31,0.383,0.383
t32,0.297,0.385
t33,0.167,0.389
t34,0.034,0.352
t35,0,0.334
t36,0,0.341
t37,0,0.335
t38,0,0.343
t39,0,0.364
t40,0,0.393
t41,0,0.402
t42,0,0.388
t43,0,0.384
t44,0,0.379
t45,0,0.352
t46,0,0.324
t47,0,0.285
t48,0.01,0.248
t49,0.086,0.272
t50,0.17,0.216
t51,0.249,0.148
t52,0.326,0.101
t53,0.364,0.075
t54,0.384,0.058
t55,0.354,0.049
t56,0.267,0.041
t57,0.146,0.036
t58,0.026,0.044
t59,0,0.078
t60,0,0.133
t61,0,0.183
t62,0,0.201
t63,0,0.194
t64,0,0.156
t65,0,0.113
t66,0,0.091
t67,0,0.087
t68,0,0.1
t69,0,0.106
t70,0,0.127
t71,0,0.164
t72,0.008,0.17
t73,0.094,0.114
t74,0.223,0.083
t75,0.356,0.07
t76,0.446,0.053
t77,0.463,0.042
t78,0.438,0.035
t79,0.369,0.027
t80,0.269,0.023
t81,0.149,0.021
t82,0.029,0.017
t83,0,0.025
t84,0,0.057
t85,0,0.095
t86,0,0.124
t87,0,0.151
t88,0,0.171
t89,0,0.18
t90,0,0.183
t91,0,0.192
t92,0,0.209
t93,0,0.215
t94,0,0.207
t95,0,0.192
t96,0.006,0.166
t97,0.081,0.108
t98,0.222,0.071
t99,0.366,0.04
t100,0.417,0.008
t101,0.421,0.003
t102,0.361,0.002
t103,0.276,0.007
t104,0.18,0.018
t105,0.087,0.047
t106,0.015,0.084
t107,0,0.129
t108,0,0.197
t109,0,0.233
t110,0,0.245
t111,0,0.251
t112,0,0.251
t113,0,0.248
t114,0,0.245
t115,0,0.261
t116,0,0.289
t117,0,0.296
t118,0,0.282
t119,0,0.273
t120,0.012,0.261
t121,0.121,0.233
t122,0.257,0.213
t123,0.387,0.167
t124,0.47,0.109
t125,0.512,0.063
t126,0.495,0.039
t127,0.428,0.031
t128,0.308,0.027
t129,0.161,0.031
t130,0.031,0.046
t131,0,0.071
t132,0,0.089
t133,0,0.111
t134,0,0.131
t135,0,0.136
t136,0,0.137
t137,0,0.154
t138,0,0.171
t139,0,0.184
t140,0,0.187
t141,0,0.184
t142,0,0.175
t143,0,0.164
t144,0.009,0.156
t145,0.091,0.13
t146,0.222,0.126
t147,0.359,0.104
t148,0.462,0.078
t149,0.504,0.058
t150,0.48,0.045
t151,0.388,0.046
t152,0.257,0.064
t153,0.127,0.095
t154,0.026,0.117
t155,0,0.121
t156,0,0.117
t157,0,0.117
t158,0,0.139
t159,0,0.175
t160,0,0.196
t161,0,0.198
t162,0,0.207
t163,0,0.227
t164,0,0.249
t165,0,0.259
t166,0,0.282
t167,0,0.308
t168,0.016,0.305
t169,0.14,0.274
t170,0.288,0.279
t171,0.397,0.272
t172,0.452,0.208
t173,0.479,0.144
t174,0.454,0.098
t175,0.353,0.077
t176,0.248,0.07
t177,0.126,0.07
t178,0.021,0.096
t179,0,0.18
t180,0,0.282
t181,0,0.352
t182,0,0.383
t183,0,0.388
t184,0,0.376
t185,0,0.381
t186,0,0.386
t187,0,0.38
t188,0,0.376
t189,0,0.343
t190,0,0.332
t191,0,0.332
t192,0.022,0.323
t193,0.171,0.302
t194,0.35,0.326
t195,0.501,0.328
t196,0.601,0.311
t197,0.612,0.278
t198,0.587,0.251
t199,0.526,0.249
t200,0.379,0.263
t201,0.161,0.264
t202,0.023,0.262
t203,0,0.245
t204,0,0.213
t205,0,0.184
t206,0,0.185
t207,0,0.208
t208,0,0.237
t209,0,0.25
t210,0,0.257
t211,0,0.277
t212,0,0.281
t213,0,0.277
t214,0,0.279
t215,0,0.297
t216,0.015,0.282
t217,0.117,0.219
t218,0.236,0.246
t219,0.341,0.286
t220,0.385,0.291
t221,0.431,0.285
t222,0.452,0.292
t223,0.388,0.293
t224,0.277,0.284
t225,0.145,0.272
t226,0.028,0.239
t227,0,0.208
t228,0,0.192
t229,0,0.177
t230,0,0.16
t231,0,0.142
t232,0,0.127
t233,0,0.121
t234,0,0.132
t235,0,0.145
t236,0,0.146
t237,0,0.133
t238,0,0.138
t239,0,0.158
t240,0.025,0.161
t241,0.189,0.101
t242,0.366,0.079
t243,0.549,0.058
t244,0.658,0.046
t245,0.668,0.045
t246,0.659,0.051
t247,0.515,0.057
t248,0.387,0.057
t249,0.199,0.054
t250,0.04,0.054
t251,0,0.044
t252,0,0.016
t253,0,0.003
t254,0,0.001
t255,0,0.001
t256,0,0.004
t257,0,0.01
t258,0,0.017
t259,0,0.032
t260,0,0.054
t261,0,0.075
t262,0,0.095
t263,0,0.106
t264,0.025,0.103
t265,0.187,0.056
t266,0.398,0.02
t267,0.566,0.006
t268,0.661,0.002
t269,0.691,0.001
t270,0.654,0.002
t271,0.562,0.003
t272,0.422,0.004
t273,0.254,0.009
t274,0.051,0.041
t275,0,0.108
t276,0,0.126
t277,0,0.093
t278,0,0.041
t279,0,0.005
t280,0,0.003
t281,0,0.021
t282,0,0.074
t283,0,0.133
t284,0,0.166
t285,0,0.166
t286,0,0.147
t287,0,0.141
t288,0.029,0.154
t289,0.196,0.1
t290,0.399,0.088
t291,0.555,0.056
t292,0.654,0.025
t293,0.672,0.012
t294,0.604,0.012
t295,0.516,0.022
t296,0.365,0.044
t297,0.182,0.077
t298,0.043,0.134
t299,0,0.189
t300,0,0.175
t301,0,0.134
t302,0,0.092
t303,0,0.057
t304,0,0.049
t305,0,0.061
t306,0,0.084
t307,0,0.123
t308,0,0.159
t309,0,0.183
t310,0,0.218
t311,0,0.251
t312,0.026,0.245
t313,0.205,0.191
t314,0.421,0.167
t315,0.593,0.108
t316,0.666,0.068
t317,0.69,0.052
t318,0.644,0.055
t319,0.537,0.066
t320,0.383,0.068
t321,0.203,0.062
t322,0.051,0.073
t323,0,0.105
t324,0,0.107
t325,0,0.089
t326,0,0.063
t327,0,0.035
t328,0,0.021
t329,0,0.03
t330,0,0.073
t331,0,0.145
t332,0,0.216
t333,0,0.256
t334,0,0.281
t335,0,0.305
t336,0.025,0.309
t337,0.186,0.282
t338,0.435,0.311
t339,0.581,0.246
t340,0.614,0.145
t341,0.641,0.073
t342,0.619,0.041
t343,0.516,0.026
t344,0.37,0.023
t345,0.191,0.034
t346,0.041,0.059
t347,0,0.114
t348,0,0.225
t349,0,0.398
t350,0,0.51
t351,0,0.564
t352,0,0.592
t353,0,0.633
t354,0,0.604
t355,0,0.61
t356,0,0.615
t357,0,0.586
t358,0,0.532
t359,0,0.493
t360,0.019,0.429
t361,0.14,0.36
t362,0.291,0.323
t363,0.425,0.265
t364,0.507,0.23
t365,0.548,0.207
t366,0.499,0.194
t367,0.384,0.225
t368,0.262,0.294
t369,0.143,0.373
t370,0.032,0.432
t371,0,0.438
t372,0,0.437
t373,0,0.432
t374,0,0.425
t375,0,0.442
t376,0,0.388
t377,0,0.316
t378,0,0.301
t379,0,0.312
t380,0,0.322
t381,0,0.355
t382,0,0.382
t383,0,0.404
t384,0.018,0.394
t385,0.163,0.355
t386,0.359,0.327
t387,0.551,0.261
t388,0.664,0.177
t389,0.701,0.11
t390,0.64,0.062
t391,0.546,0.031
t392,0.396,0.017
t393,0.223,0.013
t394,0.055,0.016
t395,0,0.028
t396,0,0.048
t397,0,0.074
t398,0,0.102
t399,0,0.137
t400,0,0.183
t401,0,0.236
t402,0,0.291
t403,0,0.336
t404,0,0.374
t405,0,0.387
t406,0,0.379
t407,0,0.358
t408,0.052,0.303
t409,0.289,0.218
t410,0.481,0.194
t411,0.599,0.144
t412,0.663,0.101
t413,0.691,0.067
t414,0.674,0.048
t415,0.611,0.047
t416,0.477,0.06
t417,0.293,0.078
t418,0.073,0.11
t419,0,0.168
t420,0,0.201
t421,0,0.203
t422,0,0.178
t423,0,0.148
t424,0,0.13
t425,0,0.118
t426,0,0.113
t427,0,0.115
t428,0,0.128
t429,0,0.153
t430,0,0.186
t431,0,0.231
t432,0.044,0.251
t433,0.26,0.17
t434,0.46,0.137
t435,0.605,0.09
t436,0.67,0.055
t437,0.691,0.039
t438,0.656,0.04
t439,0.555,0.051
t440,0.424,0.07
t441,0.224,0.11
t442,0.047,0.178
t443,0,0.237
t444,0,0.251
t445,0,0.233
t446,0,0.216
t447,0,0.161
t448,0,0.133
t449,0,0.146
t450,0,0.175
t451,0,0.179
t452,0,0.179
t453,0,0.189
t454,0,0.203
t455,0,0.218
t456,0.03,0.201
t457,0.174,0.13
t458,0.309,0.1
t459,0.395,0.059
t460,0.457,0.029
