Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,957.4848533,957.4848533,0.059659535,75.75701211,499.3502878,128.5381281,205.7444712,0,89.75796602,0,33.58955823,1.372880442,7.60E-05,29.16440541,11.18280245,458.1345655,98.05389468,235.2340426,0,0,6.05,26.367,10.79,73.40276596,957.4848533,722.2508107,235.2340426,8.236862288,8.236862288,1877.985549,2048.711508,734.3807845,0,116.1845533,6.199584147,4.439063966,59659.53505,0.038951079,0,0,1063829.787,0,3.90E-08,6.53E-05,1.25360136,1.28E-05,0.00101806,2.106083499,1.017776687,98.25338045,0,52.15229109,47.84770891,39.62655078,60.37344922,0,6696494.579,2653589.825,4042904.754,0,0,37.55971098,245.845381,283.4050919,127.3723116,48.51485705,175.8871686,0.000175887,4.507497307,18.71123359,179.1572275,268.9151935
cost,YCurrent,S2,803.6727674,803.6727674,0.04279083,75.75202464,371.0145111,92.25287675,147.6645073,0,64.39999789,0,25.19216867,1.14513782,5.58E-05,29.17275255,11.18701434,432.6582563,72.85350321,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,803.6727674,627.2472355,176.4255319,6.177646716,6.177646716,1347.845748,1470.37718,526.907227,0,116.2283131,6.199584147,4.439063966,42790.83019,0.027155528,0,0,797872.3404,250000,2.72E-08,6.35E-05,0.89915429,1.06E-06,0.000117739,2.106772244,1.018160023,98.21638816,0,46.16487284,53.83512716,39.62655078,60.37344922,0,4806129.499,1904503.346,2901626.152,0,0,26.95691496,176.4452616,203.4021765,91.41616063,34.81951383,126.2356745,0.000126236,4.958054053,18.38549932,147.7592512,212.1592491
cost,YCurrent,S3,661.6474809,661.6474809,0.027308855,75.74276183,252.530928,58.94423171,94.36428344,0,41.12780236,0,16.79477911,0.917395197,3.58E-05,29.18779548,11.19460489,409.1165529,49.58771752,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,661.6474809,544.0304596,117.6170213,4.118431144,4.118431144,861.1951722,939.637368,336.4990218,0,116.3071756,6.199584147,4.439063966,27308.85524,0.016773633,0,0,531914.8936,500000,1.68E-08,6.14E-05,0.573834971,6.76E-07,0.000117846,2.108212849,1.018850859,98.14979214,0,38.16699002,61.83300998,39.62268748,60.37731252,0,3071137.102,1216867.056,1854270.046,0,0,17.22390344,112.7564842,129.9803876,58.40961869,22.25124055,80.66085924,8.07E-05,5.880533543,18.05536034,119.4628369,160.5906392
cost,Y2030,S1,853.8384139,853.8384139,0.059659538,63.9002805,412.7156762,125.702946,150.4031353,0,61.23681944,0,33.58955823,1.372880442,7.54E-05,29.20631282,11.20394859,441.1227377,81.04206693,235.2340426,0,0,6.05,26.367,10.79,73.40276596,853.8384139,618.6043714,235.2340426,8.236862288,8.236862288,2196.032124,1628.092781,780.8209351,0,116.4042527,6.199584147,4.439063966,59659.53845,0.042358836,0,0,1063829.787,0,4.24E-08,7.10E-05,1.25361357,5.53E-07,4.41E-05,2.338849943,1.019701254,98.06793865,0,48.33650834,51.66349166,49.1301931,50.8698069,0,6315849.384,3102988.999,3212860.386,0,0,43.92064247,195.3711338,239.2917762,148.9434719,38.55432463,187.4977966,0.000187498,3.692304677,18.62698736,159.0443734,220.2811929
cost,Y2030,S2,729.3240226,729.3240226,0.042790834,63.8968808,308.868868,90.22056538,107.9485909,0,43.93851848,0,25.19216867,1.14513782,5.92E-05,29.2153293,11.20849824,420.4551546,60.65040152,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,729.3240226,552.8984907,176.4255319,6.177646716,6.177646716,1576.154466,1168.528311,560.2530537,0,116.4515216,6.199584147,4.439063966,42790.83385,0.030810433,0,0,797872.3404,250000,3.08E-08,7.20E-05,0.899154952,3.97E-07,4.41E-05,2.339722126,1.020115329,98.02813187,0,42.3500198,57.6499802,49.1301931,50.8698069,0,4533064.024,2227103.109,2305960.916,0,0,31.52308933,140.2233973,171.7464867,106.9009492,27.67153099,134.5724802,0.000134572,4.144191485,18.29020938,133.3948908,177.3334093
cost,Y2030,S3,614.1936802,614.1936802,0.027308861,63.89124365,212.8658742,57.60277047,69.04222833,1.41E-11,28.05661419,0,16.79477911,0.917395197,4.80E-05,29.23407945,11.21795941,401.327806,41.79897061,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,614.1936802,496.5766589,117.6170213,4.118431144,4.118431144,1006.321159,747.3724091,357.7454206,0,116.5498192,6.199584147,4.439063966,27308.86131,0.022845777,0,0,531914.8936,500000,2.28E-08,8.37E-05,0.573834913,7.34E-07,0.000127924,2.340999337,1.020976416,97.94545537,0,34.6577767,65.3422233,49.08645822,50.91354178,0,2896786.276,1421929.785,1474856.491,4.66E-10,0,20.12642319,89.68468909,109.8111123,68.2526297,17.69827789,85.95090759,8.60E-05,5.064358579,17.94959073,110.2452519,138.301866
cost,Y2040,S1,801.9015733,801.9015733,0.059659546,58.88175274,369.3033984,123.7001606,113.844953,1.89E-11,56.31135376,0,33.58955823,1.372880442,8.40E-05,29.25559324,11.2288151,432.5981749,72.51750407,235.2340426,0,0,6.05,26.367,10.79,73.40276596,801.9015733,566.6675307,235.2340426,8.236862288,8.236862288,2414.525668,1296.689711,813.0487822,0,116.6626051,6.199584147,4.439063966,59659.5458,0.049709247,0,0,1063829.787,0,4.97E-08,8.33E-05,1.253614123,0,0,2.560757763,1.021964421,97.85076461,0,46.05345727,53.94654273,57.14206032,42.85793968,0,5970593.151,3411719.94,2558873.211,6.54E-10,0,48.29051336,155.6027653,203.8932786,163.7625571,30.70647853,194.4690356,0.000194469,3.409786633,18.34576374,147.1149681,203.4263218
cost,Y2040,S2,692.0847429,692.0847429,0.042790838,58.88201173,277.7417926,88.5601255,81.97950441,1.64E-11,40.36613916,0,25.19216867,1.14513782,6.02E-05,29.26506328,11.23359361,414.3429503,54.53819722,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,692.0847429,515.659211,176.4255319,6.177646716,6.177646716,1728.621007,933.7434556,582.8245655,0,116.7122518,6.199584147,4.439063966,42790.83784,0.0348061,0,0,797872.3404,250000,3.48E-08,8.13E-05,0.899155349,0,0,2.559286439,1.022399326,97.80914119,0,40.1311827,59.8688173,56.9996986,43.0003014,0,4285177.09,2442538.026,1842639.064,5.66E-10,0,34.57242014,112.0492147,146.6216348,117.2418252,22.11166877,139.353494,0.000139353,3.855129523,18.00329864,124.5980831,164.9642223
cost,Y2040,S3,590.4421659,590.4421659,0.027308864,58.8598933,193.0127733,56.25319941,52.84988397,4.58E-12,25.67236296,0,16.79477911,0.917395197,4.64E-05,29.28264241,11.2424639,397.4293926,37.9005572,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,590.4421659,472.8251446,117.6170213,4.118431144,4.118431144,1098.01631,601.9581801,370.6691821,0,116.8044103,6.199584147,4.439063966,27308.8639,0.025434722,0,0,531914.8936,500000,2.54E-08,9.31E-05,0.573835647,0,0,2.550437491,1.023206634,97.7319699,0,32.68953074,67.31046926,56.63645678,43.36354322,0,2739392.501,1551494.85,1187897.651,1.58E-10,0,21.9603262,72.23498161,94.19530781,74.4717528,14.25477181,88.72652461,8.87E-05,4.756718921,17.6525717,104.2282267,129.9005896
cost,Y2050,S1,740.2008965,740.2008965,0.059659618,50.56505934,317.7298547,152.4050391,26.0453475,-4.03E-12,63.0201142,0,33.58955823,1.372880442,0.000126599,29.79552719,11.50126148,422.4710418,62.39037099,235.2340426,0,0,6.05,26.367,10.79,73.40276596,740.2008965,504.966854,235.2340426,8.236862288,8.236862288,3605.626842,313.3787513,1048.713171,0,119.493207,6.199584147,4.439063966,59659.61773,0.121634898,0,0,1063829.787,0,1.22E-07,0.000203881,1.25361345,6.72E-07,5.36E-05,3.464712663,1.046760493,95.53283741,0,42.92481355,57.07518645,89.17555264,10.82444736,0,5713161.697,5094743.516,618418.1806,-1.43E-10,0,72.11253684,37.60545016,109.717987,244.5476888,7.421018168,251.968707,0.000251969,3.281779639,17.93696889,132.7696046,195.7897188
