t,s,w
t1,0.277,0.178
t2,0.493,0.131
t3,0.628,0.118
t4,0.582,0.106
t5,0.575,0.091
t6,0.506,0.071
t7,0.344,0.046
t8,0.169,0.026
t9,0.026,0.019
t10,0,0.03
t11,0,0.042
t12,0,0.049
t13,0,0.039
t14,0,0.015
t15,0,0.005
t16,0,0.005
t17,0,0.01
t18,0,0.022
t19,0,0.041
t20,0,0.058
t21,0,0.07
t22,0,0.064
t23,0,0.05
t24,0.035,0.036
t25,0.237,0.021
t26,0.453,0.003
t27,0.598,0
t28,0.637,0
t29,0.639,0
t30,0.572,0.001
t31,0.401,0.001
t32,0.207,0.001
t33,0.033,0.002
t34,0,0.006
t35,0,0.01
t36,0,0.008
t37,0,0.004
t38,0,0.002
t39,0,0.001
t40,0,0
t41,0,0
t42,0,0
t43,0,0
t44,0,0
t45,0,0
t46,0,0.001
t47,0,0.003
t48,0.034,0.005
t49,0.214,0.007
t50,0.414,0.005
t51,0.553,0.004
t52,0.562,0.004
t53,0.561,0.005
t54,0.494,0.009
t55,0.332,0.013
t56,0.165,0.021
t57,0.026,0.028
t58,0,0.041
t59,0,0.063
t60,0,0.084
t61,0,0.101
t62,0,0.1
t63,0,0.072
t64,0,0.039
t65,0,0.019
t66,0,0.007
t67,0,0.001
t68,0,0
t69,0,0.007
t70,0,0.047
t71,0,0.127
t72,0.002,0.218
t73,0.035,0.25
t74,0.088,0.257
t75,0.136,0.276
t76,0.183,0.245
t77,0.205,0.202
t78,0.193,0.174
t79,0.152,0.155
t80,0.076,0.146
t81,0.01,0.164
t82,0,0.197
t83,0,0.257
t84,0,0.354
t85,0,0.484
t86,0,0.583
t87,0,0.617
t88,0,0.601
t89,0,0.581
t90,0,0.571
t91,0,0.566
t92,0,0.566
t93,0,0.571
t94,0,0.568
t95,0,0.541
t96,0.009,0.494
t97,0.096,0.415
t98,0.234,0.433
t99,0.363,0.369
t100,0.374,0.278
t101,0.379,0.22
t102,0.311,0.176
t103,0.187,0.137
t104,0.084,0.12
t105,0.011,0.12
t106,0,0.123
t107,0,0.117
t108,0,0.09
t109,0,0.076
t110,0,0.086
t111,0,0.074
t112,0,0.055
t113,0,0.043
t114,0,0.045
t115,0,0.067
t116,0,0.098
t117,0,0.142
t118,0,0.148
t119,0,0.108
t120,0.017,0.054
t121,0.127,0.015
t122,0.302,0.001
t123,0.461,0
t124,0.488,0
t125,0.438,0
t126,0.318,0
t127,0.172,0
t128,0.065,0
t129,0.01,0
t130,0,0
t131,0,0
t132,0,0
t133,0,0
t134,0,0
t135,0,0
t136,0,0
t137,0,0
t138,0,0
t139,0,0
t140,0,0.001
t141,0,0.008
t142,0,0.015
t143,0,0.02
t144,0.033,0.034
t145,0.21,0.048
t146,0.403,0.041
t147,0.464,0.026
t148,0.459,0.014
t149,0.341,0.009
t150,0.182,0.008
t151,0.12,0.006
t152,0.077,0.006
t153,0.025,0.009
t154,0,0.015
t155,0,0.023
t156,0,0.029
t157,0,0.041
t158,0,0.08
t159,0,0.145
t160,0,0.233
t161,0,0.323
t162,0,0.379
t163,0,0.441
t164,0,0.494
t165,0,0.541
t166,0,0.563
t167,0,0.552
t168,0.043,0.495
t169,0.248,0.337
t170,0.419,0.313
t171,0.591,0.47
t172,0.644,0.578
t173,0.638,0.653
t174,0.594,0.708
t175,0.482,0.711
t176,0.256,0.685
t177,0.028,0.697
t178,0,0.75
t179,0,0.762
t180,0,0.754
t181,0,0.723
t182,0,0.65
t183,0,0.569
t184,0,0.523
t185,0,0.513
t186,0,0.509
t187,0,0.463
t188,0,0.38
t189,0,0.312
t190,0,0.256
t191,0,0.213
t192,0.006,0.161
t193,0.046,0.088
t194,0.092,0.032
t195,0.13,0.005
t196,0.161,0
t197,0.154,0
t198,0.14,0
t199,0.109,0
t200,0.074,0
t201,0.018,0.001
t202,0,0.001
t203,0,0
t204,0,0
t205,0,0
t206,0,0
t207,0,0
t208,0,0.001
t209,0,0.003
t210,0,0.008
t211,0,0.014
t212,0,0.026
t213,0,0.041
t214,0,0.036
t215,0,0.023
t216,0.029,0.017
t217,0.203,0.01
t218,0.4,0.009
t219,0.54,0.012
t220,0.634,0.009
t221,0.63,0.003
t222,0.561,0.001
t223,0.374,0.005
t224,0.146,0.004
t225,0.028,0.001
t226,0,0
t227,0,0
t228,0,0
t229,0,0.001
t230,0,0.003
t231,0,0.01
t232,0,0.028
t233,0,0.049
t234,0,0.043
t235,0,0.017
t236,0,0.005
t237,0,0.002
t238,0,0
t239,0,0
t240,0.014,0
t241,0.092,0
t242,0.21,0
t243,0.359,0.002
t244,0.243,0.011
t245,0.198,0.01
t246,0.164,0.007
t247,0.151,0.002
t248,0.087,0.001
t249,0.016,0
t250,0,0.001
t251,0,0.001
t252,0,0.003
t253,0,0.011
t254,0,0.027
t255,0,0.053
t256,0,0.095
t257,0,0.138
t258,0,0.192
t259,0,0.28
t260,0,0.361
t261,0,0.358
t262,0,0.285
t263,0,0.189
t264,0.031,0.088
t265,0.187,0.03
t266,0.387,0.007
t267,0.533,0.008
t268,0.612,0.022
t269,0.619,0.032
t270,0.548,0.033
t271,0.352,0.033
t272,0.157,0.025
t273,0.028,0.013
t274,0,0.003
t275,0,0
t276,0,0
t277,0,0
t278,0,0.002
t279,0,0.03
t280,0,0.073
t281,0,0.077
t282,0,0.07
t283,0,0.078
t284,0,0.09
t285,0,0.096
t286,0,0.095
t287,0,0.087
t288,0.027,0.077
t289,0.163,0.054
t290,0.383,0.033
t291,0.541,0.021
t292,0.567,0.016
t293,0.577,0.012
t294,0.517,0.01
t295,0.34,0.009
t296,0.175,0.004
t297,0.031,0.002
t298,0,0.003
t299,0,0.018
t300,0,0.053
t301,0,0.078
t302,0,0.064
t303,0,0.035
t304,0,0.012
t305,0,0.009
t306,0,0.019
t307,0,0.049
t308,0,0.085
t309,0,0.108
t310,0,0.108
t311,0,0.066
t312,0.047,0.042
t313,0.248,0.009
t314,0.45,0
t315,0.571,0
t316,0.585,0
t317,0.532,0
t318,0.363,0
t319,0.251,0
t320,0.121,0
t321,0.023,0
t322,0,0
t323,0,0
t324,0,0
t325,0,0.007
t326,0,0.045
t327,0,0.103
t328,0,0.169
t329,0,0.238
t330,0,0.328
t331,0,0.478
t332,0,0.676
t333,0,0.824
t334,0,0.894
t335,0,0.919
