Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,912.7368353,912.7368353,0.059659552,68.37156656,461.9469078,111.2066609,183.6659329,0,91.26475186,0,33.58955823,1.372880442,6.78E-05,29.49662026,11.35043542,450.7899275,90.7092567,235.2340426,0,0,6.05,26.367,10.79,73.40276596,912.7368353,677.5027927,235.2340426,8.236862288,8.236862288,1624.766948,1828.863289,746.7089891,0,117.9261884,5.833194606,3.711430358,59659.55221,0.056119178,0,0,1063829.787,0,5.61E-08,9.41E-05,1.253538346,7.58E-05,0.006044623,2.14143815,1.033033411,96.80229018,0,50.61118276,49.38881724,36.11266059,63.88733941,0,6756615.893,2439993.764,4316622.128,0,0,32.49533896,219.4635947,251.9589336,117.1197007,51.79946554,168.9191662,0.000168919,4.371477528,18.57442731,169.53564,260.8003918
cost,YCurrent,S2,771.7336814,771.7336814,0.04279085,68.37179493,344.3176914,79.49049539,132.10515,-8.25E-13,65.51860985,0,25.19216867,1.14513782,6.34E-05,29.5092553,11.35681096,427.4159901,67.61123698,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,771.7336814,595.3081495,176.4255319,6.177646716,6.177646716,1161.383038,1315.444053,536.0594746,0,117.9924276,5.833194606,3.711430358,42790.84983,0.046789694,0,0,797872.3404,250000,4.68E-08,0.000109345,0.899154064,1.28E-06,0.000142807,2.143365371,1.033613666,96.74794685,0,44.61612855,55.38387145,35.96899299,64.03100701,0,4848918.004,1744106.977,3104811.027,-2.47E-11,0,23.22766075,157.8532863,181.0809471,83.71713488,37.25773232,120.9748672,0.000120975,4.823322964,18.25441628,140.8754788,206.3940886
cost,YCurrent,S3,641.4738707,641.4738707,0.027308867,68.35671893,235.6684782,50.62470376,84.58581361,0,41.84279752,0,16.79477911,0.917395197,4.05E-05,29.53376839,11.36918007,405.8053926,46.27655716,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,641.4738707,523.8568494,117.6170213,4.118431144,4.118431144,739.6440535,842.2677349,342.3489617,0,118.1209374,5.833194606,3.711430358,27308.86688,0.028416275,0,0,531914.8936,500000,2.84E-08,0.000104055,0.573752942,8.27E-05,0.014412808,2.144862616,1.034739412,96.64268982,0,36.73859356,63.26140644,35.84549671,64.15450329,0,3098744.778,1110760.457,1987984.32,0,0,14.79288107,101.0721282,115.8650093,53.31650195,23.85581184,77.17231379,7.72E-05,5.743311006,17.92754521,115.0005182,156.8433157
cost,Y2030,S1,817.1588714,817.1588714,0.059659556,57.31644419,382.0564665,96.65178684,150.903368,4.56E-12,58.64246958,0,33.58955823,1.372880442,7.40E-05,29.52936918,11.36696027,435.1024049,75.02173412,235.2340426,0,0,6.05,26.367,10.79,73.40276596,817.1588714,581.9248289,235.2340426,8.236862288,8.236862288,1688.50799,1633.50773,747.7407931,0,118.0978746,5.833194606,3.711430358,59659.55645,0.060352521,0,0,1063829.787,0,6.04E-08,0.000101162,1.252939909,0.000674213,0.053781558,2.239761903,1.034537381,96.66156276,0,46.7542457,53.2457543,39.67484413,60.32515587,0,6391245.964,2535716.874,3855529.09,1.51E-10,0,33.7701598,196.0209276,229.7910874,121.71441,46.26634908,167.980759,0.000167981,3.510026135,18.44979453,150.7641327,209.4066023
cost,Y2030,S2,703.1682611,703.1682611,0.042790845,57.31171723,287.0061368,69.35768577,108.3241092,-1.15E-11,42.07183765,0,25.19216867,1.14513782,5.65E-05,29.54187211,11.37326914,416.1621243,56.35737116,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,703.1682611,526.7427291,176.4255319,6.177646716,6.177646716,1211.679684,1172.593243,536.4513035,0,118.1634211,5.833194606,3.711430358,42790.84507,0.042034539,0,0,797872.3404,250000,4.20E-08,9.82E-05,0.899155349,0,0,2.240320953,1.035111569,96.60794352,0,40.81613928,59.18386072,39.66704705,60.33295295,0,4587283.656,1819639.966,2767643.689,-3.80E-10,0,24.23359369,140.7111892,164.9447829,87.34271838,33.21172427,120.5544426,0.000120554,3.960616895,18.11889321,127.4063063,169.4781439
cost,Y2030,S3,597.7059388,597.7059388,0.027308871,57.31301101,199.0843195,43.93448035,69.60789387,0,26.87525063,0,16.79477911,0.917395197,4.19E-05,29.56801685,11.38646157,398.6216193,39.09278391,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,597.7059388,480.0889175,117.6170213,4.118431144,4.118431144,767.5359509,753.4956591,342.6820419,0,118.3004848,5.833194606,3.711430358,27308.87055,0.032091644,0,0,531914.8936,500000,3.21E-08,0.000117514,0.573823295,1.24E-05,0.002152656,2.242427478,1.036312247,96.49601292,0,33.30807117,66.69192883,39.32466354,60.67533646,0,2931104.834,1152647.114,1778457.72,0,0,15.35071902,90.41947909,105.7701981,55.32706148,21.34149264,76.66855412,7.67E-05,4.876902523,17.78591146,106.3074491,133.1826997
cost,Y2040,S1,771.4006505,771.4006505,0.059659567,52.63146913,343.8086915,88.05629218,130.5111952,-2.20E-11,49.33954198,0,33.58955823,1.372880442,8.13E-05,29.55782387,11.38131827,427.5919591,67.51128826,235.2340426,0,0,6.05,26.367,10.79,73.40276596,771.4006505,536.166608,235.2340426,8.236862288,8.236862288,1718.786594,1486.517579,712.3866121,0,118.2470482,5.833194606,3.711430358,59659.56661,0.070519202,0,0,1063829.787,0,7.05E-08,0.000118203,1.253614123,0,0,2.24371397,1.035844142,96.53962016,0,44.56940647,55.43059353,42.38557001,57.61442999,0,6089779.533,2581187.767,3508591.766,-7.59E-10,0,34.37573188,178.3821095,212.7578414,123.8970128,42.10310119,166.000114,0.000166,3.162414056,18.06178281,139.3287101,188.668252
cost,Y2040,S2,670.3539972,670.3539972,0.042790852,52.63505971,259.577785,63.14557909,93.7161675,1.92E-12,35.41774694,0,25.19216867,1.14513782,5.88E-05,29.5723022,11.38862393,410.7762122,50.97145913,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,670.3539972,493.9284653,176.4255319,6.177646716,6.177646716,1232.549908,1067.423604,511.3774417,0,118.3229508,5.833194606,3.711430358,42790.8525,0.049459269,0,0,797872.3404,250000,4.95E-08,0.000115584,0.899154221,1.13E-06,0.000125432,2.245548628,1.036509049,96.47769128,0,38.7224938,61.2775062,42.35272422,57.64727578,0,4370396.139,1850981.824,2519414.315,6.63E-11,0,24.65099816,128.0908325,152.7418307,88.84712755,30.23297178,119.0800993,0.00011908,3.605336705,17.73058484,118.8576842,154.2754311
cost,Y2040,S3,576.7706525,576.7706525,0.027308875,52.64249393,181.58521,40.19034676,60.04691496,0,22.6327008,0,16.79477911,0.917395197,4.89E-05,29.60028198,11.4027423,395.1854426,35.65660717,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,576.7706525,459.1536313,117.6170213,4.118431144,4.118431144,784.4826021,683.932091,326.7811657,0,118.4696346,5.833194606,3.711430358,27308.87535,0.036892961,0,0,531914.8936,500000,3.69E-08,0.000135095,0.573834936,7.11E-07,0.000123951,2.248459345,1.037793999,96.35823685,0,31.48308763,68.51691237,42.189923,57.810077,0,2792365.248,1178096.748,1614268.5,0,0,15.68965204,82.07185092,97.76150296,56.54864389,19.371222,75.91986589,7.59E-05,4.503064265,17.39702245,100.3409199,122.9736207
cost,Y2050,S1,721.5166591,721.5166591,0.059659574,46.93343595,302.112322,95.19266274,83.77014108,-9.43E-12,47.04388247,0,33.58955823,1.372880442,8.87E-05,29.69338636,11.44972203,419.404337,59.32366623,235.2340426,0,0,6.05,26.367,10.79,73.40276596,721.5166591,486.2826165,235.2340426,8.236862288,8.236862288,2252.085771,1007.925972,782.853852,0,118.957734,5.833194606,3.711430358,59659.57434,0.078243269,0,0,1063829.787,0,7.82E-08,0.00013115,1.253575995,3.81E-05,0.003041392,2.586375095,1.04206975,95.96286619,0,41.87184291,58.12815709,58.70575461,41.29424539,0,5761053.289,3382069.806,2378983.482,-3.36E-10,0,45.04171542,120.9511167,165.9928321,162.3393507,28.54780179,190.8871525,0.000190887,2.943849651,17.82147827,128.5849346,175.6288171
