t,s,w
t1,0.107,0.084
t2,0.292,0.043
t3,0.449,0.023
t4,0.517,0.05
t5,0.54,0.068
t6,0.494,0.069
t7,0.406,0.059
t8,0.219,0.031
t9,0.039,0.014
t10,0,0.031
t11,0,0.083
t12,0,0.152
t13,0,0.223
t14,0,0.289
t15,0,0.305
t16,0,0.256
t17,0,0.225
t18,0,0.204
t19,0,0.181
t20,0,0.162
t21,0,0.168
t22,0,0.192
t23,0,0.22
t24,0.014,0.244
t25,0.262,0.218
t26,0.495,0.068
t27,0.639,0.003
t28,0.701,0
t29,0.696,0.005
t30,0.625,0.013
t31,0.463,0.014
t32,0.237,0.009
t33,0.037,0.004
t34,0,0.001
t35,0,0.001
t36,0,0.001
t37,0,0.001
t38,0,0.004
t39,0,0.006
t40,0,0.002
t41,0,0
t42,0,0
t43,0,0
t44,0,0.001
t45,0,0.007
t46,0,0.018
t47,0,0.031
t48,0.003,0.048
t49,0.112,0.064
t50,0.291,0.054
t51,0.429,0.087
t52,0.481,0.167
t53,0.462,0.177
t54,0.388,0.167
t55,0.242,0.126
t56,0.103,0.104
t57,0.011,0.083
t58,0,0.039
t59,0,0.014
t60,0,0.006
t61,0,0.007
t62,0,0.02
t63,0,0.057
t64,0,0.125
t65,0,0.223
t66,0,0.316
t67,0,0.394
t68,0,0.463
t69,0,0.484
t70,0,0.447
t71,0,0.413
t72,0.007,0.38
t73,0.2,0.285
t74,0.516,0.308
t75,0.679,0.278
t76,0.725,0.168
t77,0.733,0.122
t78,0.672,0.127
t79,0.517,0.16
t80,0.301,0.188
t81,0.07,0.213
t82,0,0.242
t83,0,0.256
t84,0,0.33
t85,0,0.458
t86,0,0.58
t87,0,0.657
t88,0,0.684
t89,0,0.677
t90,0,0.653
t91,0,0.624
t92,0,0.592
t93,0,0.587
t94,0,0.593
t95,0,0.568
t96,0.015,0.523
t97,0.23,0.325
t98,0.446,0.107
t99,0.676,0.159
t100,0.734,0.104
t101,0.708,0.037
t102,0.601,0.004
t103,0.525,0
t104,0.182,0.001
t105,0.022,0.009
t106,0,0.026
t107,0,0.05
t108,0,0.07
t109,0,0.064
t110,0,0.036
t111,0,0.008
t112,0,0.001
t113,0,0
t114,0,0.002
t115,0,0.012
t116,0,0.04
t117,0,0.081
t118,0,0.113
t119,0,0.135
t120,0.01,0.142
t121,0.2,0.093
t122,0.419,0.01
t123,0.564,0.024
t124,0.569,0.058
t125,0.564,0.068
t126,0.489,0.072
t127,0.297,0.072
t128,0.14,0.065
t129,0.019,0.049
t130,0,0.04
t131,0,0.039
t132,0,0.039
t133,0,0.05
t134,0,0.079
t135,0,0.133
t136,0,0.181
t137,0,0.215
t138,0,0.253
t139,0,0.318
t140,0,0.388
t141,0,0.405
t142,0,0.379
t143,0,0.355
t144,0.014,0.316
t145,0.182,0.185
t146,0.358,0.061
t147,0.402,0.065
t148,0.309,0.034
t149,0.31,0.018
t150,0.253,0.027
t151,0.247,0.045
t152,0.163,0.053
t153,0.035,0.061
t154,0,0.085
t155,0,0.153
t156,0,0.32
t157,0,0.58
t158,0,0.75
t159,0,0.788
t160,0,0.776
t161,0,0.748
t162,0,0.72
t163,0,0.707
t164,0,0.697
t165,0,0.668
t166,0,0.619
t167,0,0.57
t168,0.023,0.481
t169,0.326,0.273
t170,0.56,0.179
t171,0.704,0.371
t172,0.771,0.43
t173,0.779,0.459
t174,0.718,0.46
t175,0.574,0.432
t176,0.359,0.344
t177,0.111,0.204
t178,0,0.072
t179,0,0.021
t180,0,0.01
t181,0,0.008
t182,0,0.014
t183,0,0.022
t184,0,0.037
t185,0,0.053
t186,0,0.047
t187,0,0.034
t188,0,0.025
t189,0,0.022
t190,0,0.016
t191,0,0.009
t192,0.021,0.005
t193,0.261,0.003
t194,0.501,0.001
t195,0.636,0.068
t196,0.684,0.3
t197,0.648,0.358
t198,0.584,0.337
t199,0.454,0.288
t200,0.212,0.196
t201,0.023,0.142
t202,0,0.167
t203,0,0.274
t204,0,0.369
t205,0,0.406
t206,0,0.41
t207,0,0.418
t208,0,0.407
t209,0,0.364
t210,0,0.309
t211,0,0.273
t212,0,0.25
t213,0,0.228
t214,0,0.236
t215,0,0.27
t216,0.009,0.294
t217,0.179,0.24
t218,0.407,0.096
t219,0.571,0.103
t220,0.644,0.119
t221,0.662,0.096
t222,0.609,0.079
t223,0.469,0.078
t224,0.263,0.109
t225,0.044,0.179
t226,0,0.265
t227,0,0.352
t228,0,0.367
t229,0,0.3
t230,0,0.237
t231,0,0.189
t232,0,0.138
t233,0,0.097
t234,0,0.063
t235,0,0.04
t236,0,0.022
t237,0,0.016
t238,0,0.042
t239,0,0.07
t240,0.003,0.069
t241,0.066,0.043
t242,0.155,0.008
t243,0.242,0.002
t244,0.302,0
t245,0.34,0.002
t246,0.32,0.006
t247,0.231,0.008
t248,0.114,0.019
t249,0.015,0.049
t250,0,0.089
t251,0,0.127
t252,0,0.157
t253,0,0.179
t254,0,0.186
t255,0,0.168
t256,0,0.149
t257,0,0.151
t258,0,0.156
t259,0,0.15
t260,0,0.113
t261,0,0.058
t262,0,0.014
t263,0,0.004
t264,0.005,0.013
t265,0.114,0.035
t266,0.197,0.014
t267,0.292,0.009
t268,0.345,0.058
t269,0.348,0.111
t270,0.366,0.134
t271,0.243,0.108
t272,0.115,0.103
t273,0.014,0.13
t274,0,0.177
t275,0,0.246
t276,0,0.296
t277,0,0.287
t278,0,0.248
t279,0,0.221
t280,0,0.219
t281,0,0.205
t282,0,0.202
t283,0,0.213
t284,0,0.255
t285,0,0.345
t286,0,0.44
t287,0,0.476
t288,0.021,0.479
t289,0.296,0.321
t290,0.527,0.133
t291,0.668,0.138
t292,0.719,0.041
t293,0.719,0.003
t294,0.655,0
t295,0.505,0
t296,0.293,0
