Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,920.8745548,920.8745548,0.05965954,69.54614266,468.7489569,116.3769536,187.0855157,0,89.6515334,0,33.58955823,1.372880442,6.43E-05,29.38057257,11.29187868,452.1255979,92.04492712,235.2340426,0,0,6.05,26.367,10.79,73.40276596,920.8745548,685.6405123,235.2340426,8.236862288,8.236862288,1700.306675,1862.913966,733.5099752,0,117.3178089,5.641243933,3.95884071,59659.53961,0.04351248,0,0,1063829.787,0,4.35E-08,7.29E-05,1.253127826,0.000486297,0.038791568,2.103586001,1.027704006,97.30428163,0,50.90258542,49.09741458,39.04343915,60.95656085,0,6762517.795,2640319.52,4122198.274,0,0,34.0061335,223.549676,257.5558095,126.735337,49.46637929,176.2017163,0.000176202,4.367716909,18.56109995,170.9244465,260.5759799
cost,YCurrent,S2,777.5086214,777.5086214,0.04279084,69.53618395,349.1447716,83.41778504,134.3988863,0,64.30455618,0,25.19216867,1.14513782,5.54E-05,29.38969857,11.29648359,428.3638498,68.55909669,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,777.5086214,601.0830895,176.4255319,6.177646716,6.177646716,1218.762068,1338.284054,526.1263429,0,117.3656519,5.641243933,3.95884071,42790.84022,0.037181095,0,0,797872.3404,250000,3.72E-08,8.69E-05,0.899154618,7.30E-07,8.12E-05,2.103649485,1.028123111,97.26461644,0,44.90558201,55.09441799,38.99063339,61.00936661,0,4853866.928,1892553.459,2961313.469,0,0,24.37524137,160.5940865,184.9693279,90.84256604,35.53576162,126.3783277,0.000126378,4.816853952,18.23936967,141.8126717,206.1172278
cost,YCurrent,S3,645.0779809,645.0779809,0.027308862,69.51991461,238.681034,53.25253114,85.94895131,7.10E-12,41.05114052,0,16.79477911,0.917395197,4.24E-05,29.40964562,11.30654871,406.3969469,46.86811151,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,645.0779809,527.4609596,117.6170213,4.118431144,4.118431144,778.0375009,855.841251,335.8717907,0,117.4702242,5.641243933,3.95884071,27308.86164,0.023177173,0,0,531914.8936,500000,2.32E-08,8.49E-05,0.573835181,4.66E-07,8.12E-05,2.104282666,1.029039164,97.17803122,0,37.00033811,62.99966189,38.94883208,61.05116792,0,3101953.744,1208174.755,1893778.989,2.13E-10,0,15.56075002,102.7009501,118.2617001,57.99238825,22.72534787,80.71773612,8.07E-05,5.734500271,17.91280084,115.551534,156.6026745
cost,Y2030,S1,823.9969221,823.9969221,0.059659544,58.31464593,387.7721657,103.460702,150.1292816,0,58.50080501,0,33.58955823,1.372880442,7.03E-05,29.41142272,11.30744542,436.2247565,76.14408566,235.2340426,0,0,6.05,26.367,10.79,73.40276596,823.9969221,588.7628796,235.2340426,8.236862288,8.236862288,1807.459827,1625.128353,745.9344507,0,117.4795407,5.641243933,3.95884071,59659.54354,0.047446924,0,0,1063829.787,0,4.74E-08,7.95E-05,1.253613225,8.98E-07,7.16E-05,2.234351719,1.029120776,97.17032471,0,47.05990462,52.94009538,43.83607067,56.16392933,0,6402745.827,2806712.185,3596033.641,0,0,36.14919654,195.0154024,231.1645989,134.7221849,43.1524037,177.8745886,0.000177875,3.525106395,18.42305831,151.8054334,210.3062384
cost,Y2030,S2,708.0115244,708.0115244,0.042790836,58.30771691,291.0544595,74.18384062,107.8463873,-1.04E-12,41.9533987,0,25.19216867,1.14513782,4.98E-05,29.42113192,11.3123446,416.9570648,57.15231174,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,708.0115244,531.5859924,176.4255319,6.177646716,6.177646716,1295.992673,1167.421972,534.9411073,0,117.5304411,5.641243933,3.95884071,42790.8358,0.032758567,0,0,797872.3404,250000,3.28E-08,7.66E-05,0.899154705,6.44E-07,7.16E-05,2.234014576,1.029566664,97.12824192,0,41.1087178,58.8912822,43.79036681,56.20963319,0,4595716.076,2012480.927,2583235.149,-3.44E-11,0,25.91985347,140.0906366,166.0104901,96.59908449,30.99882179,127.5979063,0.000127598,3.973995992,18.09253195,128.0972113,170.05061
cost,Y2030,S3,600.7092207,600.7092207,0.027308861,58.29701405,201.5946629,47.35663513,68.98416721,0,26.77862918,0,16.79477911,0.917395197,3.80E-05,29.44076689,11.32225225,399.1145577,39.58572235,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,600.7092207,483.0921994,117.6170213,4.118431144,4.118431144,827.3210398,746.7439057,341.4500373,0,117.6333773,5.641243933,3.95884071,27308.86125,0.022788093,0,0,531914.8936,500000,2.28E-08,8.34E-05,0.573835056,5.92E-07,0.000103089,2.234366302,1.030468385,97.04324889,0,33.55944207,66.44055793,43.74093377,56.25906623,0,2937076.415,1284704.649,1652371.765,0,0,16.5464208,89.60926869,106.1556895,61.66582317,19.82846119,81.49428436,8.15E-05,4.886726282,17.75772656,106.6723008,133.45093
cost,Y2040,S1,776.7682663,776.7682663,0.059659556,53.76480428,348.295303,103.3228186,116.3662319,1.35E-11,52.85396986,0,33.58955823,1.372880442,8.46E-05,29.45853931,11.33122007,428.4729633,68.39229252,235.2340426,0,0,6.05,26.367,10.79,73.40276596,776.7682663,541.5342238,235.2340426,8.236862288,8.236862288,2016.776666,1325.406982,763.1295106,0,117.7265492,5.641243933,3.95884071,59659.55583,0.059737785,0,0,1063829.787,0,5.97E-08,0.000100131,1.253613071,1.05E-06,8.39E-05,2.403532891,1.031284571,96.96644633,0,44.83902318,55.16097682,51.64010125,48.35989875,0,6064569.111,3131749.63,2932819.481,4.66E-10,0,40.33553333,159.0488378,199.3843711,150.3239822,35.19383378,185.517816,0.000185518,3.24529778,18.12111287,140.7590542,193.6130241
cost,Y2040,S2,674.1516243,674.1516243,0.042790845,53.73450473,262.7520951,73.68481037,84.18346904,-3.07E-11,37.74132127,0,25.19216867,1.14513782,6.19E-05,29.46875247,11.33637356,411.3995291,51.59477604,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,674.1516243,497.7260924,176.4255319,6.177646716,6.177646716,1438.267058,958.8465294,544.9262582,0,117.7800917,5.641243933,3.95884071,42790.84458,0.041539508,0,0,797872.3404,250000,4.15E-08,9.71E-05,0.899154586,7.63E-07,8.48E-05,2.392867848,1.031753603,96.92236566,0,38.97522244,61.02477756,51.28246468,48.71753532,0,4355117.438,2233411.562,2121705.876,-1.06E-09,0,28.76534115,115.0615835,143.8269247,107.203755,25.46047051,132.6642255,0.000132664,3.682980377,17.77886685,119.8565196,157.5978409
cost,Y2040,S3,579.1189251,579.1189251,0.027308867,53.72523546,183.5480529,46.83137488,54.12089102,-7.06E-12,24.04688071,0,16.79477911,0.917395197,4.30E-05,29.48973023,11.34695876,395.5708722,36.0420368,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,579.1189251,461.5019039,117.6170213,4.118431144,4.118431144,914.1100235,616.4349023,347.1997346,0,117.8900675,5.641243933,3.95884071,27308.86714,0.028679592,0,0,531914.8936,500000,2.87E-08,0.000105019,0.573835165,4.83E-07,8.41E-05,2.388952622,1.032716991,96.83194996,0,31.69436276,68.30563724,50.99598951,49.00401049,0,2783502.878,1419474.836,1364028.042,-2.44E-10,0,18.28220047,73.97218828,92.25438875,68.13479212,16.36833651,84.50312863,8.45E-05,4.578765707,17.43925457,100.9940236,125.0409044
cost,Y2050,S1,721.3503553,721.3503553,0.059659605,47.10295563,301.9733143,132.4319137,32.42287872,-8.12E-12,60.68497636,0,33.58955823,1.372880442,0.000110906,29.91131091,11.55968503,419.3770411,59.29637026,235.2340426,0,0,6.05,26.367,10.79,73.40276596,721.3503553,486.1163128,235.2340426,8.236862288,8.236862288,3133.098916,390.1134837,1009.854311,0,120.1002027,5.641243933,3.95884071,59659.60495,0.108853278,0,0,1063829.787,0,1.09E-07,0.000182457,1.253613387,7.36E-07,5.87E-05,3.336332436,1.052077776,95.05000704,0,41.86222576,58.13777424,84.93083758,15.06916242,0,5728460.541,4865229.518,863231.0232,-2.89E-10,0,62.66197832,46.81361804,109.4755964,233.5310169,10.35877228,243.8897892,0.00024389,3.181483819,17.89991375,129.1210914,189.8060678
