t,s,w
t1,0.042,0.013
t2,0.139,0.005
t3,0.224,0.001
t4,0.267,0
t5,0.285,0
t6,0.303,0
t7,0.263,0
t8,0.235,0
t9,0.097,0
t10,0.017,0
t11,0,0
t12,0,0
t13,0,0
t14,0,0
t15,0,0
t16,0,0
t17,0,0.001
t18,0,0.002
t19,0,0.004
t20,0,0.01
t21,0,0.024
t22,0,0.03
t23,0,0.032
t24,0,0.034
t25,0.082,0.031
t26,0.291,0.018
t27,0.486,0.017
t28,0.592,0.019
t29,0.657,0.018
t30,0.612,0.007
t31,0.566,0.001
t32,0.441,0
t33,0.236,0
t34,0.05,0
t35,0,0
t36,0,0.001
t37,0,0.001
t38,0,0
t39,0,0.001
t40,0,0.004
t41,0,0.024
t42,0,0.054
t43,0,0.068
t44,0,0.07
t45,0,0.089
t46,0,0.115
t47,0,0.125
t48,0,0.115
t49,0.068,0.092
t50,0.194,0.043
t51,0.288,0.031
t52,0.361,0.014
t53,0.377,0.003
t54,0.355,0
t55,0.289,0
t56,0.206,0
t57,0.106,0
t58,0.016,0
t59,0,0.003
t60,0,0.013
t61,0,0.021
t62,0,0.019
t63,0,0.011
t64,0,0.004
t65,0,0.001
t66,0,0
t67,0,0.001
t68,0,0.003
t69,0,0.004
t70,0,0.004
t71,0,0.003
t72,0,0.002
t73,0.058,0.002
t74,0.198,0.001
t75,0.327,0
t76,0.456,0
t77,0.505,0
t78,0.459,0
t79,0.438,0
t80,0.293,0
t81,0.182,0
t82,0.029,0
t83,0,0
t84,0,0
t85,0,0
t86,0,0.001
t87,0,0.001
t88,0,0
t89,0,0.003
t90,0,0.014
t91,0,0.029
t92,0,0.042
t93,0,0.047
t94,0,0.039
t95,0,0.03
t96,0,0.017
t97,0.085,0.009
t98,0.289,0
t99,0.472,0
t100,0.591,0.017
t101,0.653,0.019
t102,0.651,0.009
t103,0.587,0.002
t104,0.451,0.001
t105,0.246,0
t106,0.042,0
t107,0,0
t108,0,0.054
t109,0,0.094
t110,0,0.004
t111,0,0
t112,0,0
t113,0,0.042
t114,0,0.179
t115,0,0.274
t116,0,0.34
t117,0,0.328
t118,0,0.264
t119,0,0.201
t120,0,0.141
t121,0.104,0.103
t122,0.264,0.058
t123,0.387,0.039
t124,0.459,0.016
t125,0.518,0.008
t126,0.523,0.001
t127,0.44,0
t128,0.326,0
t129,0.163,0
t130,0.026,0
t131,0,0
t132,0,0.004
t133,0,0.009
t134,0,0.009
t135,0,0.009
t136,0,0.01
t137,0,0.011
t138,0,0.014
t139,0,0.018
t140,0,0.017
t141,0,0.018
t142,0,0.018
t143,0,0.018
t144,0,0.018
t145,0.049,0.015
t146,0.184,0.005
t147,0.352,0
t148,0.459,0
t149,0.514,0
t150,0.512,0
t151,0.457,0
t152,0.356,0
t153,0.167,0
t154,0.026,0
t155,0,0
t156,0,0.004
t157,0,0.016
t158,0,0.031
t159,0,0.061
t160,0,0.091
t161,0,0.099
t162,0,0.118
t163,0,0.144
t164,0,0.121
