Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1152.544472,1152.544472,0.059660002,95.87450684,619.68311,355.7767343,15.89329749,-9.22E-12,164.9754259,0,33.58955823,1.372880442,0.000230212,34.3005322,13.77445122,532.8613619,121.6828024,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1152.544472,917.3104294,235.2340426,59.33475098,59.33475098,5198.018484,158.2583545,1349.794209,0,143.1106799,6.943316068,10.01427835,59660.00203,0.50593003,0,0,1063829.787,0,5.06E-07,0.000848022,1.253614123,0,0,3.870957845,1.253649556,79.76710838,0,53.76652486,46.23347514,97.93269848,2.067301522,0,6696490.684,6558054.031,138436.6539,-2.76E-10,0,103.9603697,18.99100254,122.9513722,314.7865935,1.661239846,316.4478333,0.000316448,6.380033939,18.71141783,215.6574118,380.6328377
cost,YCurrent,S2,947.9721693,947.9721693,0.042791129,96.09873327,459.5963127,254.0038487,14.07797884,1.74E-11,117.8586555,0,25.19216867,1.14513782,0.000169433,33.79765193,13.52070183,488.3758565,90.24768693,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,947.9721693,771.5466374,176.4255319,44.50106324,44.50106324,3711.082186,140.1822226,964.2947106,0,140.4743318,6.943316068,10.01427835,42791.12884,0.325806454,0,0,797872.3404,250000,3.26E-07,0.000761388,0.899155349,0,0,3.85558415,1.230555147,81.26413533,0,48.48204701,51.51795299,97.44781729,2.552182707,0,4804692.824,4682068.284,122624.5394,5.21E-10,0,74.22164372,16.82186671,91.04351043,224.7392776,1.471494473,226.2107721,0.000226211,6.828320918,18.39008679,174.3329047,292.1915602
cost,YCurrent,S3,758.0148094,758.0148094,0.027309025,96.51127537,311.72566,160.7783457,11.96880231,-1.08E-11,74.74125394,0,16.79477911,0.917395197,0.000107623,33.2703478,13.25462835,446.2891494,61.21136962,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,758.0148094,640.3977881,117.6170213,29.66737549,29.66737549,2349.026039,119.1799852,611.5172072,0,137.7099418,6.943316068,10.01427835,27309.0249,0.18643658,0,0,531914.8936,500000,1.86E-07,0.000682692,0.573835647,0,0,3.831215964,1.20633909,82.89543197,0,41.1239538,58.8760462,96.60180713,3.398192866,0,3067889.768,2963636.957,104252.8112,-3.24E-10,0,46.98052077,14.30159822,61.282119,142.2545739,1.251033735,143.5056077,0.000143506,7.752728308,18.07064911,136.9781964,211.7194504
cost,Y2030,S1,989.1617863,989.1617863,0.059660039,75.70290433,483.1169568,280.8136134,13.11133788,0,105.5810978,0,33.58955823,1.372880442,0.000253417,34.68152072,13.966695,506.0448294,94.86626995,235.2340426,0,0,6.05,26.367,10.79,73.40276596,989.1617863,753.9277437,235.2340426,59.33475098,59.33475098,4905.817527,141.9283882,1346.247768,0,145.1080109,6.943316068,10.01427835,59660.03943,0.543333418,0,0,1063829.787,0,5.43E-07,0.000910716,1.25361327,8.53E-07,6.80E-05,4.032480347,1.271146175,78.66915855,0,48.84104537,51.15895463,98.03356341,1.966436587,0,6313552.153,6189400.154,124151.9995,0,0,98.11635054,17.03140658,115.1477571,297.0912074,1.489823994,298.5810314,0.000298581,4.858996516,18.63262699,184.3068259,289.8879237
cost,Y2030,S2,830.9343359,830.9343359,0.042791159,75.92300098,361.7682802,200.6622908,11.44824525,0,75.44579256,0,25.19216867,1.14513782,0.000186206,34.16725721,13.70720172,469.1660557,71.03788605,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,830.9343359,654.508804,176.4255319,44.50106324,44.50106324,3505.572865,123.9256443,961.9972891,0,142.4119862,6.943316068,10.01427835,42791.15857,0.355535999,0,0,797872.3404,250000,3.56E-07,0.000830863,0.899154738,6.10E-07,6.79E-05,4.017451128,1.247528999,80.15845727,0,43.53752933,56.46247067,97.60760374,2.39239626,0,4531192.558,4422788.477,108404.0813,0,0,70.1114573,14.87107732,84.98253461,212.2938469,1.300848976,213.5946959,0.000213595,5.315967673,18.29634624,152.0306231,227.4764157
cost,Y2030,S3,683.4974259,683.4974259,0.027309039,76.35646856,249.4390574,127.1385892,9.726729978,1.01E-11,47.86375567,0,16.79477911,0.917395197,0.000113123,33.58453199,13.4131632,434.0583684,48.9805887,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,683.4974259,565.8804046,117.6170213,29.66737549,29.66737549,2221.112828,105.2904837,610.3031281,0,139.3570513,6.943316068,10.01427835,27309.03877,0.200311639,0,0,531914.8936,500000,2.00E-07,0.000733499,0.573835271,3.77E-07,6.56E-05,3.993649817,1.22076777,81.91566201,0,36.49451307,63.50548693,96.817846,3.182153999,0,2894358.85,2802255.894,92102.95591,3.34E-10,0,44.42225657,12.63485804,57.05711461,134.5082829,1.105235471,135.6135184,0.000135614,6.248100169,17.96142157,122.7658541,170.6296098
cost,Y2040,S1,918.0509756,918.0509756,0.059660057,67.72369382,423.6777952,238.9085356,12.32799598,3.97E-12,88.76550452,0,33.58955823,1.372880442,0.000263182,34.72461644,13.98844076,494.3731804,83.19462092,235.2340426,0,0,6.05,26.367,10.79,73.40276596,918.0509756,682.816933,235.2340426,59.33475098,59.33475098,4663.298647,140.4154081,1281.636483,0,145.33394,6.943316068,10.01427835,59660.05738,0.561283112,0,0,1063829.787,0,5.61E-07,0.000940802,1.253613342,7.81E-07,6.23E-05,4.036575051,1.273125315,78.54686325,0,46.14970262,53.85029738,97.95499027,2.045009734,0,6006255.94,5883427.421,122828.5186,1.37E-10,0,93.26597294,16.84984897,110.1158219,282.4045162,1.473942223,283.8784585,0.000283878,4.29771654,18.26004387,167.6365109,256.4020154
cost,Y2040,S2,779.9431582,779.9431582,0.042791162,67.94248125,319.1464506,170.7502354,10.64104523,0,63.43202482,0,25.19216867,1.14513782,0.000181962,34.24116283,13.7444939,460.7967076,62.66853794,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,779.9431582,603.5176263,176.4255319,44.50106324,44.50106324,3332.904535,121.2011028,915.8602501,0,142.7994362,6.943316068,10.01427835,42791.16179,0.358747331,0,0,797872.3404,250000,3.59E-07,0.000838368,0.899154788,5.60E-07,6.23E-05,4.021674982,1.250923061,79.94096769,0,40.91919357,59.08080643,97.54067055,2.459329453,0,4310963.128,4204942.342,106020.7859,0,0,66.6580907,14.54413234,81.20222304,201.8372324,1.272249431,203.1094818,0.000203109,4.7486041,17.92005738,139.7662615,203.1982863
cost,Y2040,S3,650.9692779,650.9692779,0.027309041,68.40836545,222.2498604,108.146817,9.113831898,3.28E-12,40.21714568,0,16.79477911,0.917395197,0.000114531,33.62579353,13.43398344,428.7194176,43.64163781,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,650.9692779,533.3522567,117.6170213,29.66737549,29.66737549,2110.937159,103.8062007,580.6733303,0,139.5733648,6.943316068,10.01427835,27309.04051,0.202047155,0,0,531914.8936,500000,2.02E-07,0.000739854,0.5738353,3.47E-07,6.06E-05,3.995372491,1.222662675,81.78870756,0,34.1413747,65.8586253,96.70288057,3.297119433,0,2754057.89,2663253.312,90804.57789,1.13E-10,0,42.21874318,12.45674409,54.67548726,127.836159,1.089654935,128.9258139,0.000128926,5.663523902,17.58120727,114.448258,154.6654037
cost,Y2050,S1,837.7859689,837.7859689,0.059660068,56.81713164,356.5869455,188.4085184,11.15539512,-6.01E-12,73.08851326,0,33.58955823,1.372880442,0.000255842,34.89660132,14.07522296,481.1990234,70.0204639,235.2340426,0,0,6.05,26.367,10.79,73.40276596,837.7859689,602.5519264,235.2340426,59.33475098,59.33475098,4457.403871,134.2221981,1216.260673,0,146.2355701,6.943316068,10.01427835,59660.06807,0.571973026,0,0,1063829.787,0,5.72E-07,0.00095872,1.253613263,8.60E-07,6.86E-05,4.018221629,1.281023594,78.06257468,0,42.56301236,57.43698764,97.95489421,2.045105787,0,5741072.308,5623661.306,117411.002,-2.14E-10,0,89.14807741,16.10666377,105.2547412,269.9357427,1.408932024,271.3446747,0.000271345,3.734456636,17.86965041,149.7094239,222.7979371
