t,s,w
t1,0.31,0.365
t2,0.558,0.249
t3,0.698,0.291
t4,0.755,0.282
t5,0.74,0.31
t6,0.652,0.325
t7,0.482,0.305
t8,0.218,0.272
t9,0,0.359
t10,0,0.516
t11,0,0.672
t12,0,0.762
t13,0,0.795
t14,0,0.799
t15,0,0.793
t16,0,0.788
t17,0,0.777
t18,0,0.755
t19,0,0.729
t20,0,0.692
t21,0,0.637
t22,0,0.58
t23,0,0.543
t24,0.03,0.513
t25,0.329,0.413
t26,0.563,0.192
t27,0.698,0.132
t28,0.754,0.099
t29,0.738,0.111
t30,0.651,0.105
t31,0.483,0.087
t32,0.22,0.076
t33,0,0.07
t34,0,0.089
t35,0,0.156
t36,0,0.288
t37,0,0.422
t38,0,0.502
t39,0,0.521
t40,0,0.525
t41,0,0.519
t42,0,0.494
t43,0,0.466
t44,0,0.425
t45,0,0.367
t46,0,0.272
t47,0,0.161
t48,0.027,0.074
t49,0.274,0.024
t50,0.496,0.002
t51,0.625,0.001
t52,0.633,0.02
t53,0.481,0.08
t54,0.193,0.112
t55,0.07,0.112
t56,0.021,0.118
t57,0,0.177
t58,0,0.281
t59,0,0.455
t60,0,0.654
t61,0,0.781
t62,0,0.842
t63,0,0.862
t64,0,0.849
t65,0,0.836
t66,0,0.823
t67,0,0.829
t68,0,0.827
t69,0,0.829
t70,0,0.833
t71,0,0.845
t72,0.027,0.845
t73,0.327,0.779
t74,0.556,0.714
t75,0.688,0.82
t76,0.744,0.791
t77,0.727,0.757
t78,0.639,0.73
t79,0.471,0.687
t80,0.21,0.565
t81,0.001,0.555
t82,0,0.662
t83,0,0.767
t84,0,0.829
t85,0,0.832
t86,0,0.82
t87,0,0.791
t88,0,0.77
t89,0,0.755
t90,0,0.741
t91,0,0.731
t92,0,0.722
t93,0,0.705
t94,0,0.677
t95,0,0.651
t96,0.035,0.619
t97,0.337,0.43
t98,0.567,0.335
t99,0.702,0.245
t100,0.758,0.167
t101,0.743,0.123
t102,0.654,0.084
t103,0.483,0.054
t104,0.215,0.039
t105,0.001,0.025
t106,0,0.011
t107,0,0.005
t108,0,0.008
t109,0,0.027
t110,0,0.077
t111,0,0.144
t112,0,0.196
t113,0,0.204
t114,0,0.177
t115,0,0.155
t116,0,0.139
t117,0,0.123
t118,0,0.101
t119,0,0.085
t120,0.026,0.074
t121,0.241,0.033
t122,0.407,0.006
t123,0.472,0.003
t124,0.455,0.007
t125,0.388,0.013
t126,0.29,0.014
t127,0.155,0.013
t128,0.043,0.016
t129,0,0.025
t130,0,0.023
t131,0,0.025
t132,0,0.044
t133,0,0.093
t134,0,0.179
t135,0,0.272
t136,0,0.363
t137,0,0.427
t138,0,0.457
t139,0,0.476
t140,0,0.481
t141,0,0.471
t142,0,0.464
t143,0,0.492
t144,0.03,0.559
t145,0.333,0.479
t146,0.563,0.392
t147,0.697,0.583
t148,0.752,0.607
t149,0.737,0.625
t150,0.652,0.648
t151,0.487,0.644
t152,0.226,0.494
t153,0.002,0.472
t154,0,0.575
t155,0,0.765
t156,0,0.845
t157,0,0.833
t158,0,0.815
t159,0,0.812
t160,0,0.808
t161,0,0.789
t162,0,0.777
t163,0,0.778
t164,0,0.787
t165,0,0.794
t166,0,0.795
t167,0,0.795
t168,0.043,0.782
t169,0.352,0.651
t170,0.57,0.71
t171,0.68,0.713
t172,0.75,0.705
t173,0.74,0.657
t174,0.651,0.568
t175,0.486,0.434
t176,0.231,0.22
t177,0.003,0.101
t178,0,0.118
t179,0,0.343
t180,0,0.618
t181,0,0.697
t182,0,0.64
t183,0,0.58
t184,0,0.656
t185,0,0.786
t186,0,0.841
t187,0,0.849
t188,0,0.851
t189,0,0.856
t190,0,0.866
t191,0,0.868
t192,0.047,0.858
t193,0.359,0.768
t194,0.58,0.614
t195,0.705,0.595
t196,0.751,0.672
t197,0.73,0.65
t198,0.64,0.652
t199,0.475,0.602
t200,0.205,0.708
t201,0.001,0.852
t202,0,0.902
t203,0,0.9
t204,0,0.873
t205,0,0.845
t206,0,0.822
t207,0,0.812
t208,0,0.795
t209,0,0.762
t210,0,0.708
t211,0,0.65
t212,0,0.613
t213,0,0.592
t214,0,0.602
t215,0,0.615
t216,0.042,0.587
t217,0.339,0.379
t218,0.562,0.156
t219,0.691,0.104
t220,0.741,0.089
t221,0.723,0.062
t222,0.635,0.045
t223,0.469,0.034
t224,0.215,0.034
t225,0.003,0.027
t226,0,0.019
t227,0,0.014
t228,0,0.01
t229,0,0.01
t230,0,0.011
t231,0,0.012
t232,0,0.009
t233,0,0.005
t234,0,0.002
t235,0,0.002
t236,0,0.002
t237,0,0.003
t238,0,0.006
t239,0,0.013
t240,0.035,0.027
t241,0.298,0.045
t242,0.517,0.037
t243,0.65,0.013
t244,0.701,0.038
t245,0.68,0.092
t246,0.588,0.13
t247,0.42,0.149
t248,0.173,0.207
t249,0.002,0.296
t250,0,0.367
t251,0,0.421
t252,0,0.46
t253,0,0.457
t254,0,0.413
t255,0,0.337
t256,0,0.257
t257,0,0.179
t258,0,0.112
t259,0,0.085
t260,0,0.09
t261,0,0.106
t262,0,0.118
t263,0,0.135
t264,0.029,0.163
t265,0.249,0.148
t266,0.459,0.06
t267,0.627,0.033
t268,0.673,0.026
t269,0.651,0.006
t270,0.535,0
t271,0.33,0
t272,0.109,0
t273,0.001,0
t274,0,0
t275,0,0
t276,0,0
t277,0,0
t278,0,0.001
t279,0,0.007
t280,0,0.028
t281,0,0.079
t282,0,0.162
t283,0,0.274
t284,0,0.41
t285,0,0.505
t286,0,0.485
t287,0,0.378
t288,0.011,0.282
t289,0.166,0.192
t290,0.442,0.159
t291,0.595,0.123
t292,0.677,0.129
t293,0.664,0.164
t294,0.576,0.197
t295,0.414,0.191
t296,0.171,0.155
t297,0.002,0.118
t298,0,0.052
t299,0,0.008
t300,0,0.001
t301,0,0
t302,0,0.001
t303,0,0.007
t304,0,0.035
t305,0,0.094
t306,0,0.184
t307,0,0.278
t308,0,0.314
