Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,796.6835953,796.6835953,0.059659571,47.42794742,337.3846683,1.820116965,177.7832082,-4.81E-11,82.42659693,0,33.58955823,1.372880442,0.000101776,29.19431243,11.19789329,459.298927,66.24984812,235.2340426,0,0,6.05,26.367,10.79,73.40276596,796.6835953,561.4495527,235.2340426,41.20527038,41.20527038,26.5925248,1770.285745,674.3970658,0,116.3413407,5.228059161,2.362139753,59659.57086,0.074764301,0,0,1063829.787,0,7.48E-08,0.000125318,1.253423839,0.000190283,0.015178786,1.934058883,1.019150145,98.12096923,0,42.34864007,57.65135993,0.674130029,99.32586997,0,6609665.97,44557.74315,6565108.227,-1.44E-09,0,0.531850496,212.4342894,212.9661399,2.138771671,78.78129872,80.92007039,8.09E-05,3.90714896,18.91243076,150.6722333,233.0988302
cost,YCurrent,S2,689.3464356,689.3464356,0.042790853,47.42513967,254.7850357,1.608763919,127.4192245,-2.76E-11,59.05595757,0,25.19216867,1.14513782,7.69E-05,29.17537078,11.18833549,434.5613999,50.03034075,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,689.3464356,512.9209037,176.4255319,30.90395278,30.90395278,23.50458527,1268.7837,483.1834139,0,116.2420392,5.228059161,2.362139753,42790.85251,0.04947087,0,0,797872.3404,250000,4.95E-08,0.000115611,0.899018963,0.000136385,0.015168176,1.931947072,1.018280263,98.20479057,0,36.96037616,63.03962384,0.830061254,99.16993875,0,4744670.562,39383.67197,4705286.89,-8.29E-10,0,0.470091705,152.254044,152.7241357,1.890416254,56.46344268,58.35385894,5.84E-05,4.372821732,18.57713417,128.0608122,187.1167698
cost,YCurrent,S3,589.2825249,589.2825249,0.027308866,47.41835779,178.2648701,1.320440916,81.25108189,0,37.63215805,0,16.79477911,0.917395197,4.76E-05,29.16557476,11.18339249,411.0176549,35.00461544,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,589.2825249,471.6655037,117.6170213,20.60263519,20.60263519,19.29208862,809.0619666,307.8983958,0,116.1906836,5.228059161,2.362139753,27308.8657,0.027237812,0,0,531914.8936,500000,2.72E-08,9.97E-05,0.573351134,0.000484513,0.084434193,1.929025238,1.017830388,98.24819651,0,30.25117198,69.74882802,1.065880825,98.93411918,0,3032733.243,32325.3221,3000407.921,0,0,0.385841772,97.08743599,97.47327776,1.551615461,36.00489505,37.55651051,3.76E-05,5.313114886,18.23624124,107.4629828,145.0951409
cost,Y2030,S1,732.5509398,732.5509398,0.059659562,39.93795725,283.7783145,1.815277511,154.2225133,-2.59E-11,52.4127499,0,33.58955823,1.372880442,9.71E-05,29.1763888,11.18884917,448.7726253,55.72354645,235.2340426,0,0,6.05,26.367,10.79,73.40276596,732.5509398,497.3168973,235.2340426,41.20527038,41.20527038,31.71292204,1669.437011,668.3066293,0,116.2473761,5.228059161,2.362139753,59659.56203,0.065932139,0,0,1063829.787,0,6.59E-08,0.000110514,1.253258019,0.000356104,0.028406153,2.001826839,1.018327015,98.20028196,0,38.73837286,61.26162714,0.850980758,99.14901924,0,6244247.844,53137.34763,6191110.496,-8.57E-10,0,0.634258441,200.3324414,200.9666998,2.550592686,74.29332595,76.84391864,7.68E-05,3.186765276,18.79845664,137.7082708,190.1210207
cost,Y2030,S2,643.3209633,643.3209633,0.042790846,39.94696311,216.3138741,1.568303311,110.4854097,-2.49E-11,37.57625488,0,25.19216867,1.14513782,7.07E-05,29.16395425,11.18257479,427.0070892,42.47603004,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,643.3209633,466.8954314,176.4255319,30.90395278,30.90395278,27.39827952,1195.989017,479.1288435,0,116.1821881,5.228059161,2.362139753,42790.84585,0.04281128,0,0,797872.3404,250000,4.28E-08,0.000100048,0.898916612,0.000238737,0.026551204,2.000931605,1.017755967,98.25538066,0,33.62456479,66.37543521,1.024446154,98.97555385,0,4481235.508,45907.8448,4435327.663,-8.22E-10,0,0.54796559,143.5186821,144.0666477,2.203576551,53.22393196,55.42750851,5.54E-05,3.652983446,18.45703831,118.7379966,156.3142515
cost,Y2030,S3,559.8817783,559.8817783,0.027308864,39.94184051,153.6897637,1.194662383,70.47945598,-2.94E-12,23.95351789,0,16.79477911,0.917395197,4.40E-05,29.16620078,11.18370837,406.1920145,30.1789751,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,559.8817783,442.264757,117.6170213,20.60263519,20.60263519,20.87076757,762.9301962,305.4274929,0,116.1939655,5.228059161,2.362139753,27308.86393,0.025471054,0,0,531914.8936,500000,2.55E-08,9.33E-05,0.573835338,3.10E-07,5.40E-05,1.998643304,1.017859138,98.2454215,0,27.45039572,72.54960428,1.220910229,98.77908977,0,2864298.674,34970.5155,2829328.159,-9.73E-11,0,0.417415351,91.55162355,91.9690389,1.678584744,33.9519379,35.63052265,3.56E-05,4.589471493,18.10734669,101.3797346,125.3332525
cost,Y2040,S1,704.596322,704.596322,0.059659551,37.32530229,260.4119791,2.007918525,138.9129255,-3.02E-11,44.19238782,0,33.58955823,1.372880442,9.09E-05,29.15710101,11.1791167,444.1843428,51.13526396,235.2340426,0,0,6.05,26.367,10.79,73.40276596,704.596322,469.3622794,235.2340426,41.20527038,41.20527038,39.19292258,1582.212969,638.0696734,0,116.14626,5.228059161,2.362139753,59659.55078,0.05468605,0,0,1063829.787,0,5.47E-08,9.17E-05,1.253432588,0.000181535,0.014480936,2.009647845,1.017441237,98.28577449,0,36.95903186,63.04096814,1.106812814,98.89318719,0,5933310.603,65670.64206,5867639.961,-1.04E-09,0,0.783858452,189.8655563,190.6494148,3.152190819,70.41167953,73.56387035,7.36E-05,2.918139351,18.43644239,129.902495,174.0948828
cost,Y2040,S2,623.254542,623.254542,0.042790842,37.33524917,199.5410199,1.696993807,99.48710053,1.17E-11,31.69052504,0,25.19216867,1.14513782,6.84E-05,29.15232093,11.17670471,423.7135221,39.18246294,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,623.254542,446.8290101,176.4255319,30.90395278,30.90395278,33.12392712,1133.154313,457.5621269,0,116.1212004,5.228059161,2.362139753,42790.84176,0.038726172,0,0,797872.3404,250000,3.87E-08,9.05E-05,0.899049191,0.000106158,0.011806394,2.009236584,1.017221716,98.30698507,0,32.01597525,67.98402475,1.303525404,98.6964746,0,4257806.628,55501.59106,4202305.037,4.03E-10,0,0.662478542,135.9785176,136.6409961,2.664076371,50.42766045,53.09173682,5.31E-05,3.37581542,18.09268137,112.7634584,144.4539835
cost,Y2040,S3,547.0569422,547.0569422,0.02730886,37.33812643,142.9699098,1.340862277,63.38262203,-1.00E-11,20.20174949,0,16.79477911,0.917395197,4.32E-05,29.15460248,11.17785597,404.0870324,28.07399298,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,547.0569422,429.4399209,117.6170213,20.60263519,20.60263519,26.17253179,721.9256684,291.6819918,0,116.1331615,5.228059161,2.362139753,27308.86043,0.021965059,0,0,531914.8936,500000,2.20E-08,8.04E-05,0.573779545,5.61E-05,0.009776772,2.006956115,1.017326494,98.29686,0,26.13437446,73.86562554,1.611618207,98.38838179,0,2721116.799,43854.01378,2677262.785,-3.46E-10,0,0.523450636,86.63108021,87.15453085,2.104992661,32.12715342,34.23214608,3.42E-05,4.29396391,17.74248787,97.0615116,117.2632611
cost,Y2050,S1,678.5571979,678.5571979,0.059659529,34.59120906,238.6467413,9.360730443,118.3696774,0,35.71336224,0,33.58955823,1.372880442,7.16E-05,29.09345795,11.14700292,439.9104566,46.86137769,235.2340426,0,0,6.05,26.367,10.79,73.40276596,678.5571979,443.3231553,235.2340426,41.20527038,41.20527038,221.4579068,1424.229095,594.3034828,0,115.8126115,5.228059161,2.362139753,59659.52903,0.032938668,0,0,1063829.787,0,3.29E-08,5.52E-05,1.253614123,0,0,1.963448082,1.014518477,98.56892932,0,35.16973102,64.83026898,6.564312077,93.43568792,0,5652825.558,371069.1108,5281756.447,0,0,4.429158137,170.9074914,175.3366495,17.81131732,63.38107737,81.19239468,8.12E-05,2.655526932,18.08456594,122.7141239,158.4274861
cost,Y2050,S2,604.5350913,604.5350913,0.042790826,34.58380054,183.8940536,6.816684085,84.88824904,0,25.6016926,0,25.19216867,1.14513782,4.99E-05,29.09984548,11.15022602,420.6410377,36.10997851,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,604.5350913,428.1095594,176.4255319,30.90395278,30.90395278,161.2703836,1021.379096,426.0359184,0,115.8460981,5.228059161,2.362139753,42790.82572,0.022683641,0,0,797872.3404,250000,2.27E-08,5.30E-05,0.899132402,2.29E-05,0.002551992,1.962395393,1.014811819,98.54043686,0,30.41908671,69.58091329,6.658945378,93.34105462,0,4058006.882,270220.4617,3787786.42,0,0,3.225407671,122.5654915,125.7908992,12.97058216,45.45343704,58.4240192,5.84E-05,3.103593299,17.73323483,107.2036274,132.80532
cost,Y2050,S3,535.0642691,535.0642691,0.027308856,34.5822792,132.9456332,4.418255219,54.19320825,0,16.35068372,0,16.79477911,0.917395197,4.14E-05,29.11393484,11.1573354,402.1186359,26.10559647,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,535.0642691,417.4472478,117.6170213,20.60263519,20.60263519,104.5279061,652.0550332,272.0905474,0,115.9199615,5.228059161,2.362139753,27308.85632,0.017862535,0,0,531914.8936,500000,1.79E-08,6.54E-05,0.573835647,0,0,1.96381652,1.015458863,98.47764758,0,24.84666625,75.15333375,6.753742589,93.24625741,0,2593291.636,175144.2417,2418147.395,0,0,2.090558122,78.24660398,80.3371621,8.406923602,29.01776874,37.42469234,3.74E-05,4.004419877,17.38210692,93.00544336,109.3561271
