t,s,w
t1,0,0.008
t2,0,0.006
t3,0.051,0.002
t4,0.129,0
t5,0.196,0
t6,0.277,0
t7,0.389,0
t8,0.432,0
t9,0.351,0.001
t10,0.183,0.008
t11,0.014,0.011
t12,0,0.011
t13,0,0.017
t14,0,0.021
t15,0,0.022
t16,0,0.019
t17,0,0.019
t18,0,0.016
t19,0,0.008
t20,0,0.004
t21,0,0.002
t22,0,0.001
t23,0,0.002
t24,0,0.003
t25,0,0.006
t26,0,0.01
t27,0.12,0.012
t28,0.322,0.012
t29,0.5,0.017
t30,0.606,0.021
t31,0.625,0.011
t32,0.565,0.011
t33,0.423,0.021
t34,0.198,0.025
t35,0.012,0.01
t36,0,0.004
t37,0,0.003
t38,0,0.006
t39,0,0.005
t40,0,0.003
t41,0,0.006
t42,0,0.009
t43,0,0.004
t44,0,0.001
t45,0,0.001
t46,0,0.002
t47,0,0.003
t48,0,0.005
t49,0,0.004
t50,0,0.003
t51,0.061,0.005
t52,0.203,0.004
t53,0.321,0.002
t54,0.388,0.004
t55,0.359,0.004
t56,0.286,0.009
t57,0.195,0.019
t58,0.088,0.036
t59,0.006,0.032
t60,0,0.018
t61,0,0.014
t62,0,0.012
t63,0,0.011
t64,0,0.009
t65,0,0.009
t66,0,0.01
t67,0,0.013
t68,0,0.018
t69,0,0.025
t70,0,0.049
t71,0,0.105
t72,0,0.192
t73,0,0.3
t74,0,0.429
t75,0.197,0.499
t76,0.466,0.407
t77,0.633,0.27
t78,0.704,0.27
t79,0.672,0.221
t80,0.553,0.155
t81,0.428,0.121
t82,0.251,0.12
t83,0.02,0.167
t84,0,0.213
t85,0,0.243
t86,0,0.311
t87,0,0.255
t88,0,0.121
t89,0,0.062
t90,0,0.077
t91,0,0.065
t92,0,0.021
t93,0,0.009
t94,0,0.002
t95,0,0.001
t96,0,0.002
t97,0,0.001
t98,0,0.001
t99,0.071,0
t100,0.144,0
t101,0.224,0
t102,0.284,0.005
t103,0.325,0.013
t104,0.294,0.024
t105,0.183,0.03
t106,0.076,0.023
t107,0.005,0.004
t108,0,0
t109,0,0.001
t110,0,0.008
t111,0,0.012
t112,0,0.01
t113,0,0.006
t114,0,0.003
t115,0,0.001
t116,0,0
t117,0,0
t118,0,0
t119,0,0.001
t120,0,0.003
t121,0,0.011
t122,0,0.021
t123,0.135,0.022
t124,0.426,0.005
t125,0.627,0
t126,0.701,0
t127,0.691,0
t128,0.622,0.001
t129,0.495,0.025
t130,0.258,0.063
t131,0.025,0.072
t132,0,0.012
t133,0,0.001
t134,0,0.013
t135,0,0.031
t136,0,0.031
t137,0,0.014
t138,0,0.004
t139,0,0.001
t140,0,0
t141,0,0
t142,0,0
t143,0,0.006
t144,0,0.031
t145,0,0.083
t146,0.001,0.17
t147,0.3,0.283
t148,0.554,0.308
t149,0.702,0.243
t150,0.774,0.251
t151,0.776,0.262
t152,0.714,0.271
t153,0.577,0.28
t154,0.346,0.346
t155,0.045,0.516
t156,0,0.63
t157,0,0.708
t158,0,0.762
t159,0,0.799
t160,0,0.791
t161,0,0.737
t162,0,0.697
t163,0,0.684
t164,0,0.651
t165,0,0.578
t166,0,0.466
t167,0,0.379
t168,0,0.287
t169,0,0.252
t170,0,0.247
t171,0.264,0.247
t172,0.527,0.18
t173,0.683,0.11
t174,0.76,0.063
t175,0.768,0.022
t176,0.705,0.01
t177,0.567,0.011
t178,0.334,0.01
t179,0.044,0.021
t180,0,0.043
t181,0,0.082
t182,0,0.11
t183,0,0.103
t184,0,0.061
t185,0,0.025
t186,0,0.017
t187,0,0.016
t188,0,0.019
t189,0,0.016
t190,0,0.008
t191,0,0.005
t192,0,0.004
t193,0,0.004
t194,0.002,0.006
t195,0.294,0.005
t196,0.53,0.001
t197,0.671,0.001
t198,0.73,0.003
t199,0.716,0.008
t200,0.64,0.008
t201,0.508,0.01
t202,0.29,0.014
t203,0.036,0.012
t204,0,0.003
t205,0,0.002
t206,0,0.001
t207,0,0
t208,0,0
t209,0,0.001
t210,0,0.003
t211,0,0.012
t212,0,0.026
t213,0,0.035
t214,0,0.038
t215,0,0.037
t216,0,0.038
t217,0,0.042
t218,0,0.054
t219,0.039,0.071
t220,0.121,0.074
t221,0.212,0.048
t222,0.305,0.044
t223,0.336,0.036
t224,0.298,0.016
t225,0.212,0.005
t226,0.113,0
t227,0.013,0
t228,0,0.012
t229,0,0.047
t230,0,0.037
t231,0,0.013
t232,0,0.004
t233,0,0.001
t234,0,0
t235,0,0
t236,0,0.001
t237,0,0.001
t238,0,0.001
t239,0,0.001
t240,0,0.001
t241,0,0.001
t242,0.001,0.001
t243,0.27,0.005
t244,0.526,0.011
t245,0.681,0.003
t246,0.759,0.005
t247,0.769,0.008
t248,0.71,0.025
t249,0.575,0.041
t250,0.346,0.056
t251,0.055,0.05
t252,0,0.015
t253,0,0.011
t254,0,0.008
t255,0,0.009
t256,0,0.008
t257,0,0.005
t258,0,0.003
t259,0,0.002
t260,0,0.001
t261,0,0.001
t262,0,0
t263,0,0.001
t264,0,0.003
t265,0,0.017
t266,0.001,0.03
t267,0.262,0.015
t268,0.496,0.004
t269,0.639,0.003
t270,0.694,0
t271,0.682,0
t272,0.593,0.006
t273,0.401,0.014
t274,0.156,0.012
t275,0.016,0.017
t276,0,0.024
t277,0,0.032
t278,0,0.039
t279,0,0.062
t280,0,0.072
t281,0,0.036
t282,0,0.007
t283,0,0.003
t284,0,0.003
t285,0,0.005
t286,0,0.004
t287,0,0.004
t288,0,0.012
t289,0,0.023
t290,0.001,0.03
t291,0.214,0.025
t292,0.482,0.006
t293,0.653,0
t294,0.73,0
t295,0.729,0
t296,0.648,0.003
t297,0.504,0.023
t298,0.283,0.051
t299,0.039,0.069
t300,0,0.022
t301,0,0.002
t302,0,0.002
t303,0,0.004
t304,0,0.005
t305,0,0.005
t306,0,0.002
t307,0,0.001
t308,0,0.001
t309,0,0.002
t310,0,0.011
t311,0,0.037
t312,0,0.099
t313,0,0.214
t314,0.002,0.375
t315,0.258,0.488
t316,0.501,0.401
t317,0.603,0.25
t318,0.689,0.264
t319,0.722,0.248
t320,0.645,0.241
t321,0.475,0.204
t322,0.201,0.154
t323,0.013,0.112
t324,0,0.09
t325,0,0.073
t326,0,0.077
t327,0,0.076
t328,0,0.063
t329,0,0.036
t330,0,0.016
t331,0,0.012
t332,0,0.018
t333,0,0.036
t334,0,0.1
t335,0,0.234
t336,0,0.413
t337,0,0.62
t338,0.004,0.754
t339,0.306,0.844
t340,0.555,0.819
t341,0.7,0.463
t342,0.769,0.311
t343,0.774,0.245
t344,0.709,0.188
t345,0.556,0.195
t346,0.293,0.366
t347,0.034,0.611
t348,0,0.715
t349,0,0.734
t350,0,0.674
t351,0,0.586
t352,0,0.535
t353,0,0.47
t354,0,0.398
t355,0,0.309
t356,0,0.202
t357,0,0.179
t358,0,0.171
t359,0,0.112
t360,0,0.073
t361,0,0.06
t362,0,0.028
t363,0.045,0.006
t364,0.139,0
t365,0.354,0
t366,0.501,0
t367,0.511,0
t368,0.444,0
t369,0.293,0.001
t370,0.17,0
t371,0.019,0
t372,0,0
t373,0,0.006
t374,0,0.005
t375,0,0.001
t376,0,0
t377,0,0
t378,0,0
t379,0,0
t380,0,0.003
t381,0,0.005
t382,0,0.003
t383,0,0.002
t384,0,0.002
t385,0,0.003
t386,0,0.005
t387,0.094,0.004
t388,0.286,0.002
t389,0.464,0
t390,0.551,0
t391,0.537,0
t392,0.475,0
t393,0.322,0.008
t394,0.138,0.051
t395,0.016,0.099
t396,0,0.059
t397,0,0.008
t398,0,0.001
t399,0,0.001
t400,0,0.004
t401,0,0.007
t402,0,0.007
t403,0,0.005
t404,0,0.002
t405,0,0.001
t406,0,0.001
t407,0,0.002
t408,0,0.003
t409,0,0.006
t410,0.001,0.01
t411,0.137,0.008
t412,0.285,0.001
t413,0.354,0
t414,0.373,0
t415,0.338,0
t416,0.244,0.001
t417,0.147,0.006
t418,0.064,0.014
t419,0.006,0.012
t420,0,0.003
t421,0,0.001
t422,0,0
t423,0,0
t424,0,0
t425,0,0
t426,0,0
t427,0,0
t428,0,0
t429,0,0
t430,0,0
t431,0,0
t432,0,0.001
t433,0,0.009
t434,0.003,0.025
t435,0.212,0.034
t436,0.458,0.012
t437,0.631,0
t438,0.718,0
t439,0.73,0
t440,0.677,0
t441,0.549,0.025
t442,0.33,0.083
t443,0.067,0.138
t444,0,0.102
t445,0,0.097
t446,0,0.146
t447,0,0.227
t448,0,0.386
t449,0,0.574
t450,0,0.722
t451,0,0.829
t452,0,0.887
t453,0,0.908
t454,0,0.885
t455,0,0.865
t456,0,0.84
t457,0,0.834
t458,0.013,0.877
t459,0.358,0.889
t460,0.585,0.849
t461,0.724,0.819
t462,0.79,0.86
t463,0.794,0.874
t464,0.733,0.902
t465,0.603,0.917
t466,0.386,0.942
t467,0.095,0.958
t468,0,0.974
t469,0,0.978
t470,0,0.971
t471,0,0.962
t472,0,0.941
t473,0,0.917
t474,0,0.891
t475,0,0.847
t476,0,0.773
t477,0,0.722
t478,0,0.685
t479,0,0.63
t480,0,0.591
t481,0,0.45
t482,0.01,0.266
t483,0.309,0.132
t484,0.544,0.051
t485,0.688,0.028
t486,0.76,0.013
t487,0.761,0.004
t488,0.675,0.002
t489,0.475,0.005
t490,0.201,0
t491,0.024,0
t492,0,0
t493,0,0
t494,0,0
t495,0,0.001
t496,0,0.001
t497,0,0
t498,0,0.001
t499,0,0.002
t500,0,0.007
t501,0,0.009
t502,0,0.008
t503,0,0.009
t504,0,0.02
t505,0,0.039
t506,0.004,0.056
t507,0.091,0.045
t508,0.168,0.017
t509,0.431,0.001
t510,0.559,0
t511,0.527,0
t512,0.414,0
t513,0.357,0.014
t514,0.251,0.053
t515,0.045,0.092
t516,0,0.049
t517,0,0.003
t518,0,0.001
t519,0,0.01
t520,0,0.025
t521,0,0.009
t522,0,0.002
t523,0,0
t524,0,0
t525,0,0
t526,0,0
t527,0,0.001
t528,0,0.005
t529,0,0.01
t530,0.001,0.01
t531,0.055,0.004
t532,0.124,0
t533,0.196,0.001
t534,0.255,0.002
t535,0.308,0.003
t536,0.346,0.005
t537,0.273,0.011
t538,0.139,0.009
t539,0.024,0.002
t540,0,0
t541,0,0
t542,0,0.003
t543,0,0.008
t544,0,0.011
t545,0,0.004
t546,0,0
t547,0,0
t548,0,0
t549,0,0
t550,0,0
t551,0,0
t552,0,0
t553,0,0
t554,0.002,0
t555,0.075,0
t556,0.164,0
t557,0.231,0
t558,0.241,0
t559,0.204,0.001
t560,0.153,0.002
t561,0.092,0.004
t562,0.039,0.002
t563,0.004,0
t564,0,0
t565,0,0.003
t566,0,0.012
t567,0,0.008
t568,0,0.002
t569,0,0
t570,0,0
t571,0,0
t572,0,0
t573,0,0
t574,0,0
t575,0,0.001
t576,0,0.002
t577,0,0.003
t578,0.012,0.005
t579,0.251,0.007
t580,0.443,0.002
t581,0.594,0
t582,0.68,0
t583,0.686,0
t584,0.597,0.007
t585,0.446,0.032
t586,0.252,0.062
t587,0.048,0.069
t588,0,0.02
t589,0,0.002
t590,0,0
t591,0,0.004
t592,0,0.005
t593,0,0.001
t594,0,0
t595,0,0
t596,0,0
t597,0,0.001
t598,0,0.005
t599,0,0.007
t600,0,0.006
t601,0,0.007
t602,0.02,0.007
t603,0.337,0.005
t604,0.567,0.003
t605,0.71,0.011
t606,0.78,0.032
t607,0.784,0.05
t608,0.725,0.073
t609,0.596,0.087
t610,0.386,0.166
t611,0.104,0.296
t612,0,0.376
t613,0,0.42
t614,0,0.523
t615,0,0.614
t616,0,0.654
t617,0,0.629
t618,0,0.552
t619,0,0.504
t620,0,0.45
t621,0,0.345
t622,0,0.309
t623,0,0.334
t624,0,0.358
t625,0,0.334
t626,0.022,0.278
t627,0.328,0.147
t628,0.553,0.033
t629,0.692,0.028
t630,0.759,0.036
t631,0.758,0.023
t632,0.692,0.009
t633,0.551,0.003
t634,0.321,0
t635,0.057,0.002
t636,0,0.042
t637,0,0.107
t638,0,0.124
t639,0,0.115
t640,0,0.084
t641,0,0.058
t642,0,0.044
t643,0,0.037
t644,0,0.048
t645,0,0.043
t646,0,0.049
t647,0,0.083
t648,0,0.131
t649,0,0.218
t650,0.014,0.281
t651,0.18,0.223
t652,0.334,0.225
t653,0.395,0.298
t654,0.349,0.302
t655,0.314,0.213
t656,0.277,0.107
t657,0.187,0.051
t658,0.104,0.037
t659,0.02,0.032
t660,0,0.025
t661,0,0.02
t662,0,0.027
t663,0,0.038
t664,0,0.035
t665,0,0.02
t666,0,0.009
t667,0,0.004
t668,0,0.001
t669,0,0.001
t670,0,0.001
t671,0,0.003
t672,0,0.001
t673,0,0
t674,0.008,0
t675,0.164,0
t676,0.439,0
t677,0.636,0
t678,0.774,0
t679,0.836,0.002
t680,0.801,0.011
t681,0.665,0.024
t682,0.421,0.074
t683,0.112,0.056
t684,0,0.034
t685,0,0.005
t686,0,0
t687,0,0
t688,0,0.005
t689,0,0.015
t690,0,0.018
t691,0,0.014
t692,0,0.008
t693,0,0.01
t694,0,0.017
t695,0,0.02
t696,0,0.018
t697,0,0.015
t698,0.046,0.017
t699,0.425,0.023
t700,0.652,0.031
t701,0.792,0.1
t702,0.858,0.266
t703,0.857,0.488
t704,0.788,0.695
t705,0.648,0.816
t706,0.42,0.863
t707,0.111,0.897
t708,0,0.896
t709,0,0.86
t710,0,0.832
t711,0,0.81
t712,0,0.826
t713,0,0.8
t714,0,0.702
t715,0,0.523
t716,0,0.38
t717,0,0.454
t718,0,0.525
t719,0,0.556
t720,0,0.552
t721,0,0.532
t722,0.037,0.588
t723,0.374,0.536
t724,0.597,0.323
t725,0.731,0.227
t726,0.787,0.161
t727,0.793,0.122
t728,0.733,0.114
t729,0.595,0.106
t730,0.368,0.093
t731,0.076,0.114
t732,0,0.169
t733,0,0.202
t734,0,0.241
t735,0,0.282
t736,0,0.302
t737,0,0.225
t738,0,0.105
t739,0,0.048
t740,0,0.015
t741,0,0.003
t742,0,0.001
t743,0,0.005
t744,0,0.012
t745,0,0.006
t746,0.004,0.004
t747,0.062,0.012
t748,0.124,0.015
t749,0.216,0.007
t750,0.294,0.012
t751,0.303,0.02
t752,0.261,0.014
t753,0.207,0.004
t754,0.123,0.008
t755,0.026,0.004
t756,0,0
t757,0,0
t758,0,0
t759,0,0.001
t760,0,0.004
t761,0,0.005
t762,0,0.006
t763,0,0.007
t764,0,0.008
t765,0,0.007
t766,0,0.004
t767,0,0.003
t768,0,0.003
t769,0,0.003
t770,0.013,0.002
t771,0.161,0
t772,0.289,0
t773,0.328,0.009
t774,0.371,0.02
t775,0.44,0.025
t776,0.496,0.015
t777,0.47,0.001
t778,0.342,0.001
t779,0.094,0.005
t780,0,0.018
t781,0,0.043
t782,0,0.07
t783,0,0.096
t784,0,0.09
t785,0,0.078
t786,0,0.082
t787,0,0.094
t788,0,0.09
t789,0,0.063
t790,0,0.021
t791,0,0.007
t792,0,0.007
t793,0,0.009
t794,0.05,0.009
t795,0.382,0.002
t796,0.589,0
t797,0.735,0
t798,0.811,0
t799,0.819,0
t800,0.753,0
t801,0.625,0.008
t802,0.417,0.027
t803,0.123,0.044
t804,0,0.021
t805,0,0.006
t806,0,0.011
t807,0,0.018
t808,0,0.01
t809,0,0.003
t810,0,0.002
t811,0,0.003
t812,0,0.004
t813,0,0.005
t814,0,0.003
t815,0,0.002
t816,0,0.002
t817,0,0.002
t818,0.045,0.002
t819,0.36,0.003
t820,0.593,0.002
t821,0.738,0.003
t822,0.809,0.001
t823,0.813,0.002
t824,0.74,0.002
t825,0.613,0.011
t826,0.405,0.071
t827,0.105,0.09
t828,0,0.04
t829,0,0.007
t830,0,0.004
t831,0,0.011
t832,0,0.01
t833,0,0.005
t834,0,0.001
t835,0,0
t836,0,0
t837,0,0
t838,0,0
t839,0,0
t840,0,0
t841,0,0
t842,0.017,0
t843,0.125,0.003
t844,0.251,0.003
t845,0.428,0
t846,0.523,0
t847,0.536,0
t848,0.394,0.005
t849,0.279,0.017
t850,0.208,0.005
t851,0.079,0.005
t852,0,0.004
t853,0,0.006
t854,0,0.029
t855,0,0.032
t856,0,0.069
t857,0,0.135
t858,0,0.131
t859,0,0.077
t860,0,0.023
t861,0,0.003
t862,0,0.001
t863,0,0.002
t864,0,0.017
t865,0,0.069
t866,0.029,0.185
t867,0.236,0.276
t868,0.423,0.203
t869,0.374,0.147
t870,0.203,0.084
t871,0.133,0.234
t872,0.117,0.332
t873,0.079,0.292
t874,0.033,0.314
t875,0.004,0.247
t876,0,0.152
t877,0,0.087
t878,0,0.038
t879,0,0.007
t880,0,0
t881,0,0
t882,0,0.003
t883,0,0.048
t884,0,0.093
t885,0,0.111
t886,0,0.107
t887,0,0.084
t888,0,0.057
t889,0,0.027
t890,0.012,0.006
t891,0.146,0
t892,0.376,0
t893,0.543,0
t894,0.679,0
t895,0.725,0
t896,0.695,0
t897,0.534,0.005
t898,0.309,0.035
t899,0.077,0.048
t900,0,0.06
t901,0,0.042
t902,0,0.022
t903,0,0.021
t904,0,0.022
t905,0,0.014
t906,0,0.008
t907,0,0.004
t908,0,0.002
t909,0,0
t910,0,0
t911,0,0
t912,0,0
t913,0,0
t914,0.041,0
t915,0.291,0
t916,0.515,0
t917,0.63,0
t918,0.666,0
t919,0.649,0
t920,0.537,0
t921,0.359,0
t922,0.178,0.001
t923,0.042,0.001
t924,0,0
t925,0,0
t926,0,0
t927,0,0
t928,0,0
t929,0,0
t930,0,0
t931,0,0
t932,0,0
t933,0,0
t934,0,0
t935,0,0
t936,0,0
t937,0,0
t938,0.029,0
t939,0.217,0
t940,0.466,0
t941,0.668,0
t942,0.758,0
t943,0.787,0
t944,0.733,0
t945,0.608,0.001
t946,0.411,0.032
t947,0.144,0.062
t948,0,0.071
t949,0,0.044
t950,0,0.032
t951,0,0.034
t952,0,0.044
t953,0,0.067
t954,0,0.089
t955,0,0.102
t956,0,0.109
t957,0,0.116
t958,0,0.102
t959,0,0.092
t960,0,0.085
t961,0,0.09
t962,0.034,0.121
t963,0.23,0.132
t964,0.474,0.077
t965,0.571,0.096
t966,0.586,0.106
t967,0.564,0.101
t968,0.507,0.063
t969,0.358,0.048
t970,0.136,0.07
t971,0.02,0.056
t972,0,0.014
t973,0,0.008
t974,0,0.004
t975,0,0.001
t976,0,0
t977,0,0.014
t978,0,0.031
t979,0,0.005
t980,0,0.001
t981,0,0.01
t982,0,0.017
t983,0,0.016
t984,0,0.022
t985,0,0.033
t986,0.081,0.048
t987,0.39,0.05
t988,0.635,0.016
t989,0.775,0.002
t990,0.834,0.002
t991,0.831,0
t992,0.786,0
t993,0.669,0.009
t994,0.468,0.058
t995,0.184,0.121
t996,0,0.167
t997,0,0.135
t998,0,0.1
t999,0,0.084
t1000,0,0.091
t1001,0,0.138
t1002,0,0.162
t1003,0,0.144
t1004,0,0.105
t1005,0,0.064
t1006,0,0.028
t1007,0,0.011
t1008,0,0.017
t1009,0,0.05
t1010,0.031,0.081
t1011,0.238,0.082
t1012,0.487,0.033
t1013,0.461,0.012
t1014,0.354,0.01
t1015,0.23,0.037
t1016,0.176,0.055
t1017,0.204,0.051
t1018,0.185,0.068
t1019,0.058,0.066
t1020,0,0.05
t1021,0,0.041
t1022,0,0.071
t1023,0,0.106
t1024,0,0.132
t1025,0,0.088
t1026,0,0.064
t1027,0,0.082
t1028,0,0.098
t1029,0,0.106
t1030,0,0.083
t1031,0,0.038
t1032,0,0.02
t1033,0,0.012
t1034,0.056,0.012
t1035,0.318,0.014
t1036,0.612,0.062
t1037,0.765,0.096
t1038,0.854,0.102
t1039,0.879,0.087
t1040,0.825,0.022
t1041,0.703,0.001
t1042,0.505,0.004
t1043,0.222,0.022
t1044,0.001,0.046
t1045,0,0.074
t1046,0,0.082
t1047,0,0.064
t1048,0,0.043
t1049,0,0.025
t1050,0,0.016
t1051,0,0.024
t1052,0,0.038
t1053,0,0.021
t1054,0,0.005
t1055,0,0.001
t1056,0,0
t1057,0,0
t1058,0.156,0
t1059,0.476,0
t1060,0.683,0
t1061,0.815,0.001
t1062,0.875,0.004
t1063,0.87,0.011
t1064,0.812,0.049
t1065,0.698,0.088
t1066,0.501,0.113
t1067,0.218,0.126
t1068,0.001,0.085
t1069,0,0.031
t1070,0,0.006
t1071,0,0.001
t1072,0,0
t1073,0,0.001
t1074,0,0
t1075,0,0
t1076,0,0.002
t1077,0,0.008
t1078,0,0.02
t1079,0,0.065
t1080,0,0.1
t1081,0,0.098
t1082,0.125,0.074
t1083,0.424,0.025
t1084,0.616,0.002
t1085,0.707,0.001
t1086,0.693,0.001
t1087,0.617,0.001
t1088,0.478,0.022
t1089,0.248,0.053
t1090,0.127,0.05
t1091,0.049,0.03
t1092,0,0.019
t1093,0,0.005
t1094,0,0.001
t1095,0,0
t1096,0,0
t1097,0,0
t1098,0,0
t1099,0,0
t1100,0,0
t1101,0,0
t1102,0,0
t1103,0,0
t1104,0,0
t1105,0,0
t1106,0.016,0
t1107,0.087,0
t1108,0.182,0
t1109,0.273,0
t1110,0.335,0
t1111,0.352,0
t1112,0.322,0
t1113,0.244,0
t1114,0.142,0
t1115,0.048,0.001
t1116,0,0
t1117,0,0
t1118,0,0.001
t1119,0,0.002
t1120,0,0.004
t1121,0,0.018
t1122,0,0.053
t1123,0,0.097
t1124,0,0.14
t1125,0,0.171
t1126,0,0.185
t1127,0,0.203
t1128,0,0.245
t1129,0,0.333
t1130,0.117,0.444
t1131,0.4,0.465
t1132,0.615,0.413
t1133,0.75,0.464
t1134,0.819,0.542
t1135,0.825,0.597
t1136,0.768,0.612
t1137,0.644,0.608
t1138,0.447,0.586
t1139,0.179,0.562
t1140,0.002,0.633
t1141,0,0.697
t1142,0,0.703
t1143,0,0.638
t1144,0,0.562
t1145,0,0.457
t1146,0,0.362
t1147,0,0.31
t1148,0,0.313
t1149,0,0.277
t1150,0,0.162
t1151,0,0.09
t1152,0,0.059
t1153,0,0.035
t1154,0.105,0.016
t1155,0.323,0.002
t1156,0.519,0
t1157,0.661,0
t1158,0.739,0
t1159,0.771,0
t1160,0.729,0
t1161,0.617,0
t1162,0.427,0.015
t1163,0.167,0.011
t1164,0.002,0.002
t1165,0,0
t1166,0,0
t1167,0,0
t1168,0,0
t1169,0,0
t1170,0,0
t1171,0,0
t1172,0,0
t1173,0,0
t1174,0,0
t1175,0,0.001
t1176,0,0.003
t1177,0,0.011
t1178,0.105,0.02
t1179,0.36,0.012
t1180,0.568,0.001
t1181,0.711,0
t1182,0.785,0
t1183,0.774,0
t1184,0.67,0
t1185,0.523,0
t1186,0.334,0.06
t1187,0.125,0.097
t1188,0.002,0.058
t1189,0,0.003
t1190,0,0
t1191,0,0.002
t1192,0,0.01
t1193,0,0.007
t1194,0,0.004
t1195,0,0.009
t1196,0,0.024
t1197,0,0.035
t1198,0,0.037
t1199,0,0.036
t1200,0,0.027
t1201,0,0.017
t1202,0.044,0.019
t1203,0.208,0.023
t1204,0.451,0.029
t1205,0.673,0.038
t1206,0.771,0.031
t1207,0.78,0.025
t1208,0.725,0.022
t1209,0.6,0.035
t1210,0.411,0.073
t1211,0.168,0.113
t1212,0.004,0.103
t1213,0,0.048
t1214,0,0.025
t1215,0,0.028
t1216,0,0.031
t1217,0,0.029
t1218,0,0.028
t1219,0,0.026
t1220,0,0.012
t1221,0,0.005
t1222,0,0.004
t1223,0,0.002
t1224,0,0.002
t1225,0,0.004
t1226,0.144,0.006
t1227,0.394,0.002
t1228,0.602,0.001
t1229,0.737,0.001
t1230,0.806,0.032
t1231,0.787,0.136
t1232,0.645,0.159
t1233,0.418,0.152
t1234,0.191,0.141
t1235,0.048,0.124
t1236,0,0.068
t1237,0,0.03
t1238,0,0.02
t1239,0,0.045
t1240,0,0.054
t1241,0,0.043
t1242,0,0.032
t1243,0,0.035
t1244,0,0.041
t1245,0,0.049
t1246,0,0.058
