Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1205.652455,1205.652455,0.059660095,79.39484437,527.7248751,272.944533,14.2747291,1.08E-11,153.7262394,0,33.58955823,1.372880442,0.000280502,36.78736644,15.02928801,677.9275794,103.6256123,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1205.652455,970.418412,235.2340426,222.4581586,222.4581586,3987.811992,142.1413738,1257.755733,0,156.1478996,5.359483042,9.852959206,59660.09512,0.599029658,4.97E-12,0,1063829.787,0,5.99E-07,0.001004071,1.253614123,0,0,3.607003047,1.367855601,73.10713203,0,43.77089543,56.22910457,98.0980357,1.901964301,0,6644396.93,6518022.872,126374.0576,3.24E-10,0,79.75623984,17.05696485,96.81320469,312.8650979,1.516488691,314.3815865,0.000314382,6.382329186,18.83163975,227.0441269,380.7703663
cost,YCurrent,S2,992.6206414,992.6206414,0.042791207,79.66890925,394.6544122,194.9661411,12.82227083,2.44E-11,109.8172052,0,25.19216867,1.14513782,0.00020518,36.0527015,14.65858192,597.9662292,77.49550388,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,992.6206414,816.1951095,176.4255319,166.8436189,166.8436189,2848.521299,127.6784433,898.5012569,0,152.2964213,5.359483042,9.852959206,42791.2068,0.403763089,-6.96E-12,0,797872.3404,250000,4.04E-07,0.000943566,0.899155349,0,0,3.592512596,1.33411665,74.9559643,0,39.75883593,60.24116407,97.61991349,2.38008651,0,4769383.64,4655868.184,113515.4566,7.31E-10,0,56.97042598,15.3214132,72.29183918,223.4816728,1.36218548,224.8438583,0.000224844,6.857714942,18.49978586,183.6326931,293.4498983
cost,YCurrent,S3,791.4117835,791.4117835,0.02730907,80.2037399,271.4663644,123.4541898,11.07077539,0,69.68743649,0,16.79477911,0.917395197,0.00012921,35.27533184,14.26632737,519.9454192,53.30593563,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,791.4117835,673.7947623,117.6170213,111.2290793,111.2290793,1803.70749,110.2378344,570.1679366,0,148.2210635,5.359483042,9.852959206,27309.06985,0.231385035,4.91E-12,0,531914.8936,500000,2.31E-07,0.000847283,0.573835647,0,0,3.572152803,1.298416517,77.01688843,0,34.30153177,65.69846823,96.78250673,3.217493271,0,3046144.122,2948134.64,98009.48215,0,0,36.07414979,13.22854013,49.30268992,141.5104627,1.176113786,142.6865765,0.000142687,7.818258261,18.17283081,143.8219244,213.5093609
cost,Y2030,S1,1067.74232,1067.74232,0.059660121,61.96211965,412.4503807,215.7718188,12.57459646,0,97.02557681,0,33.58955823,1.372880442,0.000284567,36.98609865,15.12956671,655.2919398,80.98997272,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1067.74232,832.5082779,235.2340426,222.4581586,222.4581586,3769.536519,136.1182378,1237.157682,0,157.1897525,5.359483042,9.852959206,59660.12073,0.624633223,1.79E-11,0,1063829.787,0,6.25E-07,0.001046986,1.253614123,0,0,3.705712545,1.376982232,72.62257831,0,38.62826946,61.37173054,98.07364251,1.926357486,0,6282273.716,6161254.666,121019.05,0,0,75.39073037,16.33418853,91.72491891,295.740224,1.4522286,297.1924526,0.000297192,4.974352079,18.70721661,199.7448688,296.7704456
cost,Y2030,S2,893.7840042,893.7840042,0.042791215,62.25641868,312.0401542,154.1572926,11.08545334,-6.42E-12,69.37456464,0,25.19216867,1.14513782,0.000204945,36.30130625,14.7840259,581.7438499,61.27312462,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,893.7840042,717.3584722,176.4255319,166.8436189,166.8436189,2693.129934,119.998473,884.5840285,0,153.5997308,5.359483042,9.852959206,42791.21484,0.411801866,-7.26E-12,0,797872.3404,250000,4.12E-07,0.000962351,0.899155349,0,0,3.694156387,1.345533642,74.31995522,0,34.9122554,65.0877446,97.63367567,2.366324328,0,4508570.576,4401883.174,106687.4024,-2.12E-10,0,53.86259869,14.39981676,68.26241545,211.2903923,1.280248829,212.5706412,0.000212571,5.457955447,18.36886526,164.1779795,233.5525441
cost,Y2030,S3,728.4264487,728.4264487,0.027309076,62.81027131,218.8190177,97.66131104,9.64827471,1.05E-11,43.97340618,0,16.79477911,0.917395197,0.000125258,35.46280261,14.36092363,509.607431,42.96794743,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,728.4264487,610.8094274,117.6170213,111.2290793,111.2290793,1706.144391,104.4412165,560.6979011,0,149.2038784,5.359483042,9.852959206,27309.07566,0.237199616,2.58E-12,0,531914.8936,500000,2.37E-07,0.000868574,0.573835647,0,0,3.669042386,1.307025975,76.50957357,0,30.03996054,69.96003946,96.77754432,3.222455681,0,2881524.987,2788669.121,92855.86565,3.47E-10,0,34.12288782,12.53294598,46.6558338,133.8561178,1.114270388,134.9703882,0.00013497,6.417701747,18.02352134,131.2880964,175.2615026
cost,Y2040,S1,1009.921897,1009.921897,0.059660123,55.46466533,364.1202115,183.5060819,11.95262615,0,81.57577665,0,33.58955823,1.372880442,0.000281282,36.99097805,15.13202881,645.8016853,71.49971822,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1009.921897,774.6878543,235.2340426,222.4581586,222.4581586,3581.888196,136.1399599,1177.827941,0,157.2153328,5.359483042,9.852959206,59660.12301,0.626910617,1.00E-11,0,1063829.787,0,6.27E-07,0.001050803,1.253614123,0,0,3.709621033,1.377206315,72.61076202,0,36.05429417,63.94570583,97.97445148,2.025548515,0,5975584.472,5854546.109,121038.3626,0,0,71.63776391,16.33679519,87.9745591,281.0182132,1.452460351,282.4706736,0.000282471,4.470890567,18.33390336,185.1581045,266.7338812
cost,Y2040,S2,852.2983285,852.2983285,0.042791216,55.76752261,277.3636577,131.0945261,10.5370844,2.90E-12,58.30240004,0,25.19216867,1.14513782,0.000204977,36.30582808,14.78630758,574.9346709,54.46394553,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,852.2983285,675.8727966,176.4255319,166.8436189,166.8436189,2558.857618,120.0169929,841.7964085,0,153.6234365,5.359483042,9.852959206,42791.21644,0.413403555,1.74E-12,0,797872.3404,250000,4.13E-07,0.000966094,0.899155349,0,0,3.696445207,1.345741304,74.30848688,0,32.54302495,67.45697505,97.51222051,2.487779486,0,4289120.82,4182416.952,106703.8679,1.00E-10,0,51.17715236,14.40203915,65.5791915,200.7560137,1.280446415,202.0364601,0.000202036,4.9457973,17.99068208,153.3342827,211.6366827
cost,Y2040,S3,701.9330341,701.9330341,0.027309076,56.35771043,196.6740535,83.01017292,9.170934073,0,36.95061899,0,16.79477911,0.917395197,0.000122808,35.46699257,14.36303785,505.2589805,38.61949698,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,701.9330341,584.3160128,117.6170213,111.2290793,111.2290793,1620.290485,104.4565923,533.5097412,0,149.2258443,5.359483042,9.852959206,27309.07587,0.237411552,2.71E-12,0,531914.8936,500000,2.37E-07,0.00086935,0.573835647,0,0,3.670854631,1.307218396,76.49831146,0,28.01891975,71.98108025,96.61209904,3.387900964,0,2741211.65,2648342.114,92869.53592,0,0,32.4058097,12.53479108,44.94060079,127.1204215,1.114434431,128.2348559,0.000128235,5.888097988,17.64383348,123.8478957,160.7985147
cost,Y2050,S1,945.357408,945.357408,0.059660127,46.67653999,310.1529025,144.6966051,11.13385152,0,67.11787544,0,33.58955823,1.372880442,0.000285565,37.06996252,15.17188375,635.2045054,60.90253832,235.2340426,0,0,6.05,26.367,10.79,73.40276596,945.357408,710.1233654,235.2340426,222.4581586,222.4581586,3423.259272,133.9629846,1116.90372,0,157.6294086,5.359483042,9.852959206,59660.12711,0.631018596,1.73E-11,0,1063829.787,0,6.31E-07,0.001057689,1.253614123,0,0,3.689967408,1.380833619,72.42002121,0,32.80800467,67.19199533,97.91573128,2.084268715,0,5714372.227,5595269.355,119102.8726,0,0,68.46518544,16.07555815,84.5407436,268.572929,1.429234471,270.0021635,0.000270002,3.966808395,17.93421369,169.5424176,236.6602931
