t,s,w
t1,0.039,0.185
t2,0.242,0.118
t3,0.43,0.029
t4,0.498,0.015
t5,0.548,0.007
t6,0.539,0.002
t7,0.49,0.001
t8,0.402,0
t9,0.198,0
t10,0.008,0
t11,0,0.002
t12,0,0.008
t13,0,0.02
t14,0,0.041
t15,0,0.071
t16,0,0.121
t17,0,0.193
t18,0,0.259
t19,0,0.299
t20,0,0.264
t21,0,0.192
t22,0,0.144
t23,0,0.107
t24,0,0.077
t25,0.034,0.06
t26,0.256,0.03
t27,0.484,0.009
t28,0.697,0.004
t29,0.783,0.001
t30,0.779,0
t31,0.693,0
t32,0.528,0
t33,0.267,0
t34,0.011,0.001
t35,0,0.004
t36,0,0.005
t37,0,0.003
t38,0,0.009
t39,0,0.064
t40,0,0.201
t41,0,0.348
t42,0,0.402
t43,0,0.375
t44,0,0.315
t45,0,0.225
t46,0,0.12
t47,0,0.054
t48,0,0.022
t49,0.074,0.012
t50,0.408,0.005
t51,0.644,0
t52,0.764,0
t53,0.744,0.003
t54,0.606,0.014
t55,0.424,0.032
t56,0.228,0.038
t57,0.079,0.026
t58,0.002,0.021
t59,0,0.02
t60,0,0.015
t61,0,0.015
t62,0,0.025
t63,0,0.055
t64,0,0.114
t65,0,0.188
t66,0,0.254
t67,0,0.278
t68,0,0.261
t69,0,0.224
t70,0,0.184
t71,0,0.141
t72,0,0.111
t73,0.079,0.087
t74,0.41,0.035
t75,0.645,0.005
t76,0.774,0.001
t77,0.818,0
t78,0.804,0
t79,0.736,0
t80,0.585,0
t81,0.318,0
t82,0.017,0.005
t83,0,0.034
t84,0,0.076
t85,0,0.11
t86,0,0.124
t87,0,0.133
t88,0,0.162
t89,0,0.179
t90,0,0.182
t91,0,0.193
t92,0,0.213
t93,0,0.245
t94,0,0.273
t95,0,0.265
t96,0,0.22
t97,0.016,0.169
t98,0.156,0.111
t99,0.447,0.104
t100,0.714,0.151
t101,0.792,0.16
t102,0.782,0.139
t103,0.7,0.088
t104,0.541,0.037
t105,0.289,0.006
t106,0.016,0
t107,0,0.001
t108,0,0.009
t109,0,0.011
t110,0,0.008
t111,0,0.005
t112,0,0.003
t113,0,0.001
t114,0,0
t115,0,0.002
t116,0,0.031
t117,0,0.059
t118,0,0.049
t119,0,0.031
