Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,881.7028787,881.7028787,0.059659537,58.82407868,408.4494597,80.73093302,172.1439509,0,80.09566632,0,33.58955823,1.372880442,6.79E-05,29.27685781,11.23954503,473.253419,80.20434008,235.2340426,0,0,6.05,26.367,10.79,73.40276596,881.7028787,646.4688361,235.2340426,41.20527038,41.20527038,1179.506251,1714.132541,655.3258822,0,116.7740846,4.914330209,3.21576813,59659.53653,0.040439011,4.09E-12,0,1063829.787,0,4.04E-08,6.78E-05,1.252360457,0.001253666,0.10000413,1.879366974,1.022940981,97.7573505,0,46.32506818,53.67493182,31.04748129,68.95251871,0,6771948.462,2102519.432,4669429.031,0,0,23.59012502,205.6959049,229.28603,100.9209327,56.03314837,156.9540811,0.000156954,4.082533531,18.5398501,163.466392,243.5620583
cost,YCurrent,S2,750.4052841,750.4052841,0.042790832,58.81912129,305.8220965,57.94125838,123.5491374,0,57.46518255,0,25.19216867,1.14513782,5.10E-05,29.28533706,11.24382359,444.5831876,60.05212847,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,750.4052841,573.9797522,176.4255319,30.90395278,30.90395278,846.5413924,1230.247103,470.1680275,0,116.818537,4.914330209,3.21576813,42790.8319,0.028859797,1.32E-10,0,797872.3404,250000,2.89E-08,6.74E-05,0.898255582,0.000899767,0.10006797,1.87990762,1.023330384,97.72015133,0,40.75425679,59.24574321,31.04748129,68.95251871,0,4860283.424,1508995.587,3351287.837,0,0,16.93082785,147.6296524,164.5604802,72.43178816,40.21545405,112.6472422,0.000112647,4.53808133,18.21990005,136.7230928,194.1882753
cost,YCurrent,S3,628.3669101,628.3669101,0.027308858,58.81223921,210.9342078,37.00387238,78.96362052,0,36.70185696,0,16.79477911,0.917395197,3.66E-05,29.30094681,11.25170015,417.4327023,41.41966291,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,628.3669101,510.7498889,117.6170213,20.60263519,20.60263519,540.6390977,786.2844484,300.2868682,0,116.9003711,4.914330209,3.21576813,27308.85834,0.019873678,-9.68E-12,0,531914.8936,500000,1.99E-08,7.28E-05,0.573265157,0.000570491,0.099417104,1.881338492,1.024047251,97.65174401,0,33.56863711,66.43136289,31.03131112,68.96868888,0,3105611.28,963711.8985,2141899.381,0,0,10.81278195,94.35413381,105.1669158,46.25817113,25.70279258,71.96096371,7.20E-05,5.461765086,17.89602702,112.452712,149.154569
cost,Y2030,S1,800.119802,800.119802,0.059659538,49.44921549,340.2568792,72.76034666,140.3756006,0,51.60960301,0,33.58955823,1.372880442,6.65E-05,29.29840573,11.25041794,459.8629228,66.81384392,235.2340426,0,0,6.05,26.367,10.79,73.40276596,800.119802,564.8857594,235.2340426,41.20527038,41.20527038,1271.124215,1519.54613,658.0658312,0,116.8870495,4.914330209,3.21576813,59659.53776,0.041669133,1.88E-12,0,1063829.787,0,4.17E-08,6.98E-05,1.253612672,1.45E-06,0.000115693,1.971152642,1.023930553,97.66287341,0,42.52574156,57.47425844,35.37492647,64.62507353,0,6405192.963,2265832.301,4139360.662,0,0,25.4224843,182.3455355,207.7680198,108.7599504,49.67232794,158.4322784,0.000158432,3.335102772,18.4173778,147.3610868,198.9706898
cost,Y2030,S2,691.8790299,691.8790299,0.042790833,49.44061737,256.9019471,52.17955635,100.8131499,0,37.00987697,0,25.19216867,1.14513782,5.31E-05,29.30716596,11.25483828,434.9770829,50.44602371,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,691.8790299,515.453498,176.4255319,30.90395278,30.90395278,911.5775373,1091.288166,471.9070489,0,116.9329749,4.914330209,3.21576813,42790.83282,0.029780477,-3.65E-11,0,797872.3404,250000,2.98E-08,6.96E-05,0.898301577,0.000853772,0.094952654,1.970772641,1.02433286,97.62451627,0,37.13104979,62.86895021,35.34230022,64.65769978,0,4597678.239,1624925.246,2972752.993,0,0,18.23155075,130.9545799,149.1861306,77.99641183,35.67303591,113.6694477,0.000113669,3.789268254,18.08640846,125.1360674,162.1459444
cost,Y2030,S3,591.001629,591.001629,0.027308856,49.43238008,179.7018119,33.29481617,64.48056569,0,23.628658,0,16.79477911,0.917395197,3.28E-05,29.32282516,11.2627398,411.299817,35.28677758,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,591.001629,473.3846077,117.6170213,20.60263519,20.60263519,581.6608773,697.9930527,301.2852562,0,117.0150683,4.914330209,3.21576813,27308.85606,0.017593618,-1.72E-11,0,531914.8936,500000,1.76E-08,6.44E-05,0.573294395,0.000541253,0.094321929,1.971538082,1.025051998,97.55602661,0,30.40631415,69.59368585,35.28783824,64.71216176,0,2938221.765,1036834.944,1901386.821,0,0,11.63321755,83.75916633,95.39238387,49.76807729,22.81664185,72.58471914,7.26E-05,4.707088681,17.75232826,104.9165492,128.5452072
cost,Y2040,S1,761.1431162,761.1431162,0.059659535,45.53536214,307.6775638,67.86306066,120.4687796,0,43.80566796,0,33.58955823,1.372880442,6.59E-05,29.31749877,11.26005214,453.4655524,60.4164735,235.2340426,0,0,6.05,26.367,10.79,73.40276596,761.1431162,525.9090736,235.2340426,41.20527038,41.20527038,1324.631278,1372.134845,632.4860373,0,116.9871447,4.914330209,3.21576813,59659.53521,0.039117449,5.21E-12,0,1063829.787,0,3.91E-08,6.56E-05,1.253000831,0.000613292,0.048921878,1.992062288,1.024807387,97.57931221,0,40.42308959,59.57691041,38.71464661,61.28535339,0,6099011.86,2361210.888,3737800.972,0,0,26.49262557,164.6561814,191.148807,113.3381226,44.85361166,158.1917343,0.000158192,3.035842468,18.04013986,137.3112827,181.1169506
cost,Y2040,S2,663.9231822,663.9231822,0.042790838,45.53593431,233.5345836,48.49200361,86.69907666,0,31.41542091,0,25.19216867,1.14513782,6.29E-05,29.32624678,11.26446631,430.3885985,45.85753934,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,663.9231822,487.4976502,176.4255319,30.90395278,30.90395278,946.5241342,987.499205,453.5900491,0,117.0330061,4.914330209,3.21576813,42790.83847,0.035432998,5.57E-12,0,797872.3404,250000,3.54E-08,8.28E-05,0.898743426,0.000411923,0.045812209,1.991794638,1.025209133,97.54107407,0,35.1749404,64.8250596,38.54524557,61.45475443,0,4377242.895,1687219.023,2690023.872,0,0,18.93048268,118.4999046,137.4303873,80.98651312,32.28028646,113.2667996,0.000113267,3.481814044,17.70902486,117.5743214,148.9897423
cost,Y2040,S3,573.1653011,573.1653011,0.027308859,45.5347681,164.7930187,30.96482861,55.42745642,0,20.06957432,0,16.79477911,0.917395197,3.81E-05,29.3450119,11.27393504,408.3722824,32.35924298,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,573.1653011,455.5482798,117.6170213,20.60263519,20.60263519,604.4080551,631.3166329,289.7735868,0,117.1313821,4.914330209,3.21576813,27308.85936,0.020897828,7.75E-13,0,531914.8936,500000,2.09E-08,7.65E-05,0.573580172,0.000255476,0.04452073,1.993825163,1.026070908,97.45915147,0,28.75139482,71.24860518,38.51732722,61.48267278,0,2797137.863,1077382.743,1719755.119,0,0,12.0881611,75.75799594,87.84615705,51.71437168,20.63706143,72.35143311,7.24E-05,4.381483327,17.37434863,99.58373764,119.653312
cost,Y2050,S1,719.0991398,719.0991398,0.059659546,40.88289673,272.5344022,77.27650339,76.32956861,1.69E-11,43.25153288,0,33.58955823,1.372880442,8.26E-05,29.4083707,11.30590539,446.5647376,53.5156587,235.2340426,0,0,6.05,26.367,10.79,73.40276596,719.0991398,483.8650973,235.2340426,41.20527038,41.20527038,1828.221931,918.4006816,719.7456362,0,117.4635405,4.914330209,3.21576813,59659.54636,0.050260372,-4.37E-13,0,1063829.787,0,5.03E-08,8.42E-05,1.253501831,0.000112292,0.008957453,2.377880695,1.028980614,97.1835607,0,37.89941986,62.10058014,56.57117438,43.42882562,0,5760676.551,3258882.377,2501794.174,6.01E-10,0,36.56443862,110.2080818,146.7725204,156.4263541,30.02153008,186.4478842,0.000186448,2.873170505,17.82237093,128.160516,171.4120489
