t,s,w
t1,0.175,0
t2,0.405,0
t3,0.573,0.001
t4,0.643,0.002
t5,0.673,0.003
t6,0.626,0.004
t7,0.476,0.007
t8,0.309,0.013
t9,0.113,0.032
t10,0.002,0.064
t11,0,0.103
t12,0,0.111
t13,0,0.084
t14,0,0.043
t15,0,0.012
t16,0,0.002
t17,0,0
t18,0,0.001
t19,0,0.005
t20,0,0.013
t21,0,0.023
t22,0,0.026
t23,0,0.022
t24,0.003,0.017
t25,0.126,0.006
t26,0.327,0.003
t27,0.447,0.005
t28,0.482,0.002
t29,0.508,0.001
t30,0.451,0.001
t31,0.371,0.002
t32,0.257,0.007
t33,0.116,0.032
t34,0.003,0.082
t35,0,0.139
t36,0,0.159
t37,0,0.126
t38,0,0.084
t39,0,0.06
t40,0,0.062
t41,0,0.073
t42,0,0.067
t43,0,0.045
t44,0,0.03
t45,0,0.03
t46,0,0.034
t47,0,0.028
t48,0.004,0.017
t49,0.14,0.01
t50,0.347,0.008
t51,0.509,0.023
t52,0.603,0.02
t53,0.631,0.01
t54,0.593,0.005
t55,0.49,0.005
t56,0.31,0.007
t57,0.111,0.007
t58,0.001,0.007
t59,0,0.007
t60,0,0.004
t61,0,0.002
t62,0,0.003
t63,0,0.017
t64,0,0.042
t65,0,0.065
t66,0,0.083
t67,0,0.089
t68,0,0.084
t69,0,0.069
t70,0,0.057
t71,0,0.046
t72,0.001,0.036
t73,0.06,0.02
t74,0.17,0.007
t75,0.261,0.023
t76,0.334,0.035
t77,0.323,0.037
t78,0.265,0.048
t79,0.22,0.067
t80,0.151,0.09
t81,0.063,0.126
t82,0.001,0.191
t83,0,0.243
t84,0,0.245
t85,0,0.215
t86,0,0.191
t87,0,0.153
t88,0,0.119
t89,0,0.102
t90,0,0.102
t91,0,0.113
t92,0,0.115
t93,0,0.11
t94,0,0.122
t95,0,0.133
t96,0.003,0.134
t97,0.1,0.072
t98,0.255,0.052
t99,0.355,0.083
t100,0.449,0.064
t101,0.456,0.041
t102,0.395,0.029
t103,0.336,0.024
t104,0.222,0.021
t105,0.079,0.062
t106,0.001,0.176
t107,0,0.286
t108,0,0.32
t109,0,0.315
t110,0,0.346
t111,0,0.27
t112,0,0.208
t113,0,0.196
t114,0,0.051
t115,0,0.002
t116,0,0
t117,0,0.002
t118,0,0.056
t119,0,0.11
t120,0.003,0.118
t121,0.113,0.05
t122,0.295,0.011
t123,0.446,0.013
t124,0.538,0.009
t125,0.559,0.008
t126,0.506,0.007
t127,0.404,0.008
t128,0.241,0.01
t129,0.08,0.016
t130,0.001,0.058
t131,0,0.144
t132,0,0.197
t133,0,0.22
t134,0,0.209
t135,0,0.177
t136,0,0.128
t137,0,0.089
t138,0,0.063
t139,0,0.044
t140,0,0.035
t141,0,0.041
t142,0,0.058
t143,0,0.074
t144,0.001,0.079
t145,0.068,0.042
t146,0.185,0.018
t147,0.298,0.057
t148,0.365,0.074
t149,0.381,0.09
t150,0.34,0.103
t151,0.254,0.113
t152,0.158,0.114
t153,0.061,0.118
t154,0.001,0.131
t155,0,0.104
t156,0,0.065
t157,0,0.032
t158,0,0.01
t159,0,0.001
t160,0,0
t161,0,0
t162,0,0
t163,0,0.001
t164,0,0.003
t165,0,0.003
t166,0,0.001
t167,0,0.004
t168,0.001,0.015
t169,0.058,0.019
t170,0.124,0.027
t171,0.16,0.08
t172,0.184,0.101
t173,0.19,0.126
t174,0.171,0.183
t175,0.117,0.213
t176,0.059,0.202
t177,0.017,0.213
t178,0,0.243
t179,0,0.247
t180,0,0.179
t181,0,0.162
t182,0,0.203
t183,0,0.213
t184,0,0.18
t185,0,0.144
t186,0,0.128
t187,0,0.13
t188,0,0.142
t189,0,0.153
t190,0,0.184
t191,0,0.216
t192,0,0.209
t193,0.019,0.187
t194,0.064,0.211
t195,0.122,0.195
t196,0.21,0.131
t197,0.238,0.069
t198,0.209,0.047
t199,0.171,0.059
t200,0.099,0.077
t201,0.032,0.087
t202,0,0.113
t203,0,0.155
t204,0,0.201
t205,0,0.207
t206,0,0.214
t207,0,0.239
t208,0,0.193
t209,0,0.162
t210,0,0.155
t211,0,0.121
t212,0,0.083
t213,0,0.058
t214,0,0.037
t215,0,0.027
t216,0.002,0.027
t217,0.091,0.013
t218,0.246,0.002
t219,0.33,0
t220,0.424,0.001
t221,0.514,0.001
t222,0.388,0.001
t223,0.252,0.003
t224,0.147,0.01
t225,0.054,0.017
t226,0.001,0.017
t227,0,0.013
t228,0,0.005
t229,0,0.001
t230,0,0.001
t231,0,0.003
t232,0,0.008
t233,0,0.012
t234,0,0.009
t235,0,0.006
t236,0,0.007
t237,0,0.008
t238,0,0.011
t239,0,0.013
t240,0.004,0.011
t241,0.123,0.007
t242,0.289,0.002
t243,0.39,0.006
t244,0.471,0.014
t245,0.551,0.025
t246,0.537,0.036
t247,0.451,0.045
t248,0.301,0.047
t249,0.12,0.029
t250,0.004,0.004
t251,0,0
t252,0,0
t253,0,0.017
t254,0,0.076
t255,0,0.134
t256,0,0.141
t257,0,0.099
t258,0,0.062
t259,0,0.042
t260,0,0.027
t261,0,0.011
t262,0,0.005
t263,0,0.002
t264,0.003,0
t265,0.07,0
t266,0.211,0
t267,0.378,0
t268,0.543,0
t269,0.629,0
t270,0.598,0
t271,0.43,0
t272,0.242,0
t273,0.086,0
t274,0.002,0
t275,0,0.002
t276,0,0.005
t277,0,0.006
t278,0,0.005
t279,0,0.004
t280,0,0.006
t281,0,0.007
t282,0,0.007
t283,0,0.01
t284,0,0.01
t285,0,0.011
t286,0,0.015
t287,0,0.023
t288,0.006,0.025
t289,0.148,0.011
t290,0.35,0.002
t291,0.512,0.005
t292,0.606,0.001
t293,0.634,0
t294,0.601,0
t295,0.499,0.001
t296,0.335,0.005
t297,0.133,0.04
t298,0.005,0.156
t299,0,0.299
t300,0,0.379
t301,0,0.383
t302,0,0.352
t303,0,0.294
t304,0,0.24
t305,0,0.218
t306,0,0.18
t307,0,0.146
t308,0,0.145
t309,0,0.133
t310,0,0.127
t311,0,0.123
t312,0.004,0.108
t313,0.101,0.044
t314,0.262,0.015
t315,0.389,0.017
t316,0.411,0.012
t317,0.383,0.015
t318,0.338,0.028
t319,0.257,0.048
t320,0.157,0.082
t321,0.058,0.105
t322,0.001,0.119
t323,0,0.101
t324,0,0.078
t325,0,0.067
t326,0,0.058
t327,0,0.059
t328,0,0.053
t329,0,0.06
t330,0,0.113
t331,0,0.208
t332,0,0.305
t333,0,0.407
t334,0,0.601
t335,0,0.779
t336,0.003,0.849
t337,0.083,0.896
t338,0.216,0.976
t339,0.34,0.966
t340,0.45,0.941
t341,0.485,0.912
t342,0.461,0.881
t343,0.383,0.853
t344,0.259,0.82
t345,0.11,0.75
t346,0.006,0.597
t347,0,0.502
t348,0,0.447
t349,0,0.379
t350,0,0.278
t351,0,0.195
t352,0,0.14
t353,0,0.11
t354,0,0.089
t355,0,0.083
t356,0,0.082
t357,0,0.069
t358,0,0.045
t359,0,0.026
t360,0.014,0.011
t361,0.243,0
t362,0.482,0
t363,0.647,0
t364,0.735,0
t365,0.756,0
t366,0.72,0
t367,0.611,0.001
t368,0.436,0.001
t369,0.195,0.001
t370,0.012,0
t371,0,0
t372,0,0
t373,0,0
t374,0,0.002
t375,0,0.019
t376,0,0.044
t377,0,0.063
t378,0,0.089
t379,0,0.101
t380,0,0.093
t381,0,0.074
t382,0,0.045
t383,0,0.017
t384,0.017,0.005
t385,0.252,0.001
t386,0.488,0
t387,0.643,0
t388,0.717,0
t389,0.741,0.001
t390,0.701,0.008
t391,0.562,0.03
t392,0.384,0.071
t393,0.159,0.153
t394,0.009,0.302
t395,0,0.479
t396,0,0.584
t397,0,0.602
t398,0,0.573
t399,0,0.528
t400,0,0.46
t401,0,0.39
t402,0,0.355
t403,0,0.343
t404,0,0.33
t405,0,0.314
t406,0,0.311
t407,0,0.323
t408,0.006,0.285
t409,0.101,0.176
t410,0.333,0.173
t411,0.493,0.361
t412,0.605,0.504
t413,0.611,0.513
t414,0.518,0.454
t415,0.399,0.361
t416,0.24,0.268
t417,0.091,0.185
t418,0.004,0.131
t419,0,0.091
t420,0,0.059
t421,0,0.039
t422,0,0.025
t423,0,0.018
t424,0,0.017
t425,0,0.015
t426,0,0.013
t427,0,0.011
t428,0,0.01
t429,0,0.013
t430,0,0.023
t431,0,0.041
t432,0.005,0.054
t433,0.093,0.035
t434,0.217,0.015
t435,0.349,0.03
t436,0.422,0.038
t437,0.45,0.041
t438,0.422,0.052
t439,0.36,0.076
t440,0.258,0.115
t441,0.115,0.16
t442,0.007,0.266
t443,0,0.41
t444,0,0.474
t445,0,0.46
t446,0,0.407
t447,0,0.34
t448,0,0.281
t449,0,0.244
t450,0,0.213
t451,0,0.183
t452,0,0.158
t453,0,0.133
t454,0,0.108
t455,0,0.095
t456,0.007,0.105
t457,0.14,0.067
t458,0.332,0.035
t459,0.488,0.111
t460,0.564,0.168
t461,0.595,0.231
t462,0.569,0.259
t463,0.47,0.254
t464,0.299,0.243
t465,0.119,0.219
t466,0.008,0.264
t467,0,0.341
t468,0,0.346
t469,0,0.292
t470,0,0.194
t471,0,0.089
t472,0,0.032
t473,0,0.022
t474,0,0.041
t475,0,0.08
t476,0,0.148
t477,0,0.231
t478,0,0.27
t479,0,0.285
t480,0.019,0.326
t481,0.257,0.232
t482,0.492,0.163
t483,0.652,0.167
t484,0.748,0.214
t485,0.778,0.321
t486,0.749,0.401
t487,0.615,0.434
t488,0.46,0.43
t489,0.236,0.294
t490,0.026,0.168
t491,0,0.117
t492,0,0.132
t493,0,0.212
t494,0,0.32
t495,0,0.37
t496,0,0.352
t497,0,0.318
t498,0,0.289
t499,0,0.272
t500,0,0.279
t501,0,0.285
t502,0,0.289
t503,0,0.292
t504,0.037,0.282
t505,0.333,0.136
t506,0.561,0.053
t507,0.707,0.131
t508,0.779,0.152
t509,0.797,0.152
t510,0.761,0.142
t511,0.647,0.108
t512,0.488,0.064
t513,0.257,0.013
t514,0.031,0.006
t515,0,0.072
t516,0,0.279
t517,0,0.513
t518,0,0.606
t519,0,0.583
t520,0,0.475
t521,0,0.346
t522,0,0.245
t523,0,0.18
t524,0,0.132
t525,0,0.099
t526,0,0.078
t527,0,0.065
t528,0.033,0.05
t529,0.298,0.022
t530,0.522,0.002
t531,0.666,0.011
t532,0.73,0.029
t533,0.744,0.031
t534,0.701,0.035
t535,0.585,0.047
t536,0.416,0.059
t537,0.191,0.084
t538,0.017,0.169
t539,0,0.302
t540,0,0.415
t541,0,0.482
t542,0,0.498
t543,0,0.491
t544,0,0.465
t545,0,0.418
t546,0,0.367
t547,0,0.311
t548,0,0.259
t549,0,0.222
t550,0,0.223
t551,0,0.267
t552,0.019,0.311
t553,0.217,0.201
t554,0.438,0.051
t555,0.593,0.116
t556,0.68,0.25
t557,0.691,0.275
t558,0.651,0.279
t559,0.519,0.262
t560,0.35,0.235
t561,0.148,0.228
t562,0.011,0.277
t563,0,0.291
t564,0,0.231
t565,0,0.128
t566,0,0.038
t567,0,0.002
t568,0,0
t569,0,0.001
t570,0,0.032
t571,0,0.122
t572,0,0.24
t573,0,0.332
t574,0,0.406
t575,0,0.494
t576,0.005,0.511
t577,0.085,0.468
t578,0.219,0.591
t579,0.341,0.652
t580,0.407,0.679
t581,0.408,0.705
t582,0.357,0.73
t583,0.292,0.751
t584,0.206,0.768
t585,0.088,0.723
t586,0.006,0.684
t587,0,0.72
t588,0,0.691
t589,0,0.59
t590,0,0.501
t591,0,0.422
t592,0,0.388
t593,0,0.368
t594,0,0.347
t595,0,0.33
t596,0,0.311
t597,0,0.272
t598,0,0.236
t599,0,0.194
t600,0.01,0.135
t601,0.095,0.042
t602,0.212,0.033
t603,0.327,0.049
t604,0.451,0.031
t605,0.523,0.025
t606,0.53,0.034
t607,0.433,0.05
t608,0.262,0.067
t609,0.097,0.087
t610,0.006,0.183
t611,0,0.361
t612,0,0.466
t613,0,0.468
t614,0,0.42
t615,0,0.339
t616,0,0.249
t617,0,0.175
t618,0,0.119
t619,0,0.086
t620,0,0.064
t621,0,0.046
t622,0,0.033
t623,0,0.023
t624,0.009,0.011
t625,0.114,0
t626,0.256,0
t627,0.378,0
t628,0.442,0.002
t629,0.43,0.003
t630,0.395,0.002
t631,0.321,0
t632,0.211,0
t633,0.09,0
t634,0.007,0
t635,0,0.001
t636,0,0.001
t637,0,0
t638,0,0
t639,0,0.002
t640,0,0.027
t641,0,0.063
t642,0,0.084
t643,0,0.095
t644,0,0.113
t645,0,0.146
t646,0,0.18
t647,0,0.193
t648,0.009,0.194
t649,0.114,0.109
t650,0.256,0.07
t651,0.374,0.063
t652,0.435,0.031
t653,0.413,0.016
t654,0.369,0.015
t655,0.298,0.024
t656,0.2,0.041
t657,0.086,0.054
t658,0.007,0.071
t659,0,0.09
t660,0,0.1
t661,0,0.079
t662,0,0.046
t663,0,0.021
t664,0,0.01
t665,0,0.006
t666,0,0.003
t667,0,0.001
t668,0,0
t669,0,0
t670,0,0
t671,0,0.001
t672,0.013,0.001
t673,0.145,0
t674,0.324,0
t675,0.387,0
t676,0.392,0
t677,0.394,0
t678,0.361,0
t679,0.3,0
t680,0.21,0
t681,0.099,0
t682,0.009,0.001
t683,0,0.014
t684,0,0.03
t685,0,0.038
t686,0,0.034
t687,0,0.025
t688,0,0.027
t689,0,0.026
t690,0,0.009
t691,0,0.001
t692,0,0
t693,0,0
t694,0,0
t695,0,0.002
t696,0.003,0.002
t697,0.042,0.002
t698,0.088,0.01
t699,0.134,0.027
t700,0.157,0.044
t701,0.151,0.065
t702,0.132,0.088
t703,0.101,0.124
t704,0.062,0.175
t705,0.026,0.201
t706,0.001,0.207
t707,0,0.253
t708,0,0.341
t709,0,0.45
t710,0,0.528
t711,0,0.596
t712,0,0.6
t713,0,0.568
t714,0,0.553
t715,0,0.519
t716,0,0.519
t717,0,0.449
t718,0,0.426
t719,0,0.476
t720,0.014,0.488
t721,0.154,0.371
t722,0.344,0.391
t723,0.519,0.274
t724,0.614,0.129
t725,0.614,0.048
t726,0.524,0.018
t727,0.364,0.013
t728,0.229,0.015
t729,0.124,0.007
