Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1034.772029,1034.772029,0.059659578,85.28815082,550.4975687,187.2866316,181.8569091,0,105.4213241,0,33.58955823,1.372880442,9.33E-05,29.57844728,11.39172468,484.27446,108.0973255,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1034.772029,799.5379862,235.2340426,24.333326,24.333326,2736.321066,1810.849839,862.5350833,0,118.3551663,6.393679891,5.455296152,59659.57762,0.081520813,0,0,1063829.787,0,8.15E-08,0.000136643,1.252297463,0.001316659,0.105029068,2.47360722,1.036791257,96.45143063,0,53.19988881,46.80011119,56.31841632,43.68158368,0,6656866.344,3749041.701,2907824.643,0,0,54.72642132,217.3019806,272.0284019,179.9540017,34.89389571,214.8478974,0.000214848,5.028273985,18.80253549,194.563378,299.9847021
cost,YCurrent,S2,859.8883205,859.8883205,0.042790861,85.28599281,407.9123483,134.1076621,130.8982637,5.59E-12,75.57385284,0,25.19216867,1.14513782,7.19E-05,29.59507594,11.40011537,451.9759722,80.09887131,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,859.8883205,683.4627886,176.4255319,18.2499945,18.2499945,1959.358326,1303.426418,618.3293561,0,118.442342,6.393679891,5.455296152,42790.86144,0.058406172,0,0,797872.3404,250000,5.84E-08,0.000136492,0.898461283,0.000694065,0.077190792,2.472310318,1.037554916,96.38044064,0,47.43782868,52.56217132,56.19051081,43.80948919,0,4777537.49,2684522.72,2093014.77,1.68E-10,0,39.18716651,156.4111702,195.5983367,128.8570906,25.11617724,153.9732678,0.000153973,5.478531221,18.47416853,158.8572175,234.4310704
cost,YCurrent,S3,698.2065233,698.2065233,0.027308874,85.25858348,276.3621663,85.46308237,83.97682233,1.45E-11,48.16934024,0,16.79477911,0.917395197,5.01E-05,29.62532044,11.41537651,421.844357,54.26728973,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,698.2065233,580.589502,117.6170213,12.166663,12.166663,1248.644555,836.2036719,394.1114025,0,118.6008987,6.393679891,5.455296152,27308.87368,0.035217478,0,0,531914.8936,500000,3.52E-08,0.00012896,0.573834934,7.13E-07,0.000124276,2.469160705,1.038943873,96.25159031,0,39.58172218,60.41827782,56.02603152,43.97396848,0,3053529.946,1710771.65,1342758.296,4.34E-10,0,24.97289109,100.3444406,125.3173317,82.1170392,16.11309955,98.23013876,9.82E-05,6.401179841,18.1378528,126.6396714,174.8090117
cost,Y2030,S1,906.9543894,906.9543894,0.059659638,69.8602401,443.6590549,229.7884176,44.89238214,6.37E-12,92.06090288,0,33.58955823,1.372880442,0.000123894,30.23285575,11.721934,463.2953345,87.11819999,235.2340426,0,0,6.05,26.367,10.79,73.40276596,906.9543894,671.7203469,235.2340426,24.333326,24.333326,4014.406684,485.9537214,1173.853916,0,121.7859004,6.393679891,5.455296152,59659.63775,0.141654798,0,0,1063829.787,0,1.42E-07,0.000237438,1.253613065,1.06E-06,8.43E-05,3.516124466,1.066844488,93.7343738,0,48.91746047,51.08253953,87.57525429,12.42474571,0,6280484.921,5500150.641,780334.2808,2.11E-10,0,80.28813367,58.31444656,138.6025802,264.0072307,9.364011369,273.3712421,0.000273371,4.387623303,18.71131734,169.7031139,261.7640168
cost,Y2030,S2,768.5025994,768.5025994,0.042790902,69.91530123,331.5260633,161.5677767,36.73907894,-7.37E-12,65.01454395,0,25.19216867,1.14513782,9.50E-05,30.17468216,11.69258007,436.9765361,65.09943518,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,768.5025994,592.0770674,176.4255319,18.2499945,18.2499945,2822.591188,397.6953612,828.9900989,0,121.4809256,6.393679891,5.455296152,42790.90195,0.098909493,0,0,797872.3404,250000,9.89E-08,0.000231146,0.899132118,2.32E-05,0.002583588,3.462013062,1.064172908,93.96969163,0,43.13922472,56.86077528,85.82707714,14.17292286,0,4505851.514,3867240.655,638610.8594,-2.44E-10,0,56.45182376,47.72344334,104.1752671,185.6275514,7.663330313,193.2908817,0.000193291,4.819851095,18.3774566,141.2312316,206.2457756
cost,Y2030,S3,640.2052781,640.2052781,0.027308896,70.01661973,227.8808544,99.8151139,28.08307922,7.89E-12,40.4942866,0,16.79477911,0.917395197,5.87E-05,30.11412053,11.66202115,412.3244237,44.7473564,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,640.2052781,522.5882568,117.6170213,12.166663,12.166663,1743.771355,303.9953819,516.3362013,0,121.1634314,6.393679891,5.455296152,27308.89566,0.057203338,0,0,531914.8936,500000,5.72E-08,0.000209468,0.573811632,2.40E-05,0.004185116,3.378774722,1.061391659,94.21592785,0,35.59496652,64.40503348,83.03443788,16.96556212,0,2877295.766,2389146.365,488149.4004,2.61E-10,0,34.87542711,36.47944583,71.35487294,114.6790255,5.857792805,120.5368183,0.000120537,5.712880932,18.04392851,115.5181827,156.0124693
cost,Y2040,S1,842.8196862,842.8196862,0.059659719,62.47402089,390.0509895,208.3342579,22.34073526,2.41E-11,81.60815378,0,33.58955823,1.372880442,0.000159183,30.79809532,12.0071494,452.7686967,76.59156223,235.2340426,0,0,6.05,26.367,10.79,73.40276596,842.8196862,607.5856437,235.2340426,24.333326,24.333326,4066.513825,254.46013,1178.295417,0,124.7491669,6.393679891,5.455296152,59659.71915,0.223051673,0,0,1063829.787,0,2.23E-07,0.000373873,1.253597688,1.64E-05,0.001310942,3.71111849,1.092802702,91.50782646,0,46.2792927,53.7207073,93.16728233,6.832717666,0,5980149.524,5571542.791,408606.733,8.31E-10,0,81.3302765,30.53521559,111.8654921,267.434054,4.903280796,272.3373348,0.000272337,3.956366488,18.32272813,154.4275598,236.0357135
cost,Y2040,S2,722.7686457,722.7686457,0.042790944,62.55568819,293.2985725,147.0214869,19.6758729,-6.89E-13,57.70824253,0,25.19216867,1.14513782,0.00011814,30.63213723,11.92340826,429.4700733,57.59297238,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,722.7686457,546.3431138,176.4255319,18.2499945,18.2499945,2869.738828,224.1074484,833.2176938,0,123.8791322,6.393679891,5.455296152,42790.94395,0.140916803,0,0,797872.3404,250000,1.41E-07,0.000329315,0.899155349,0,0,3.658798176,1.085181198,92.15050925,0,40.57986939,59.42013061,91.61482324,8.385176757,0,4291704.812,3931837.777,359867.0344,-2.38E-11,0,57.39477656,26.89289381,84.28767037,188.7282133,4.318404412,193.0466177,0.000193047,4.385920854,17.98216507,129.9694509,187.6776935
cost,Y2040,S3,611.2978895,611.2978895,0.02730892,62.70076181,203.7181297,91.51021654,16.07726624,8.39E-12,36.08437584,0,16.79477911,0.917395197,7.16E-05,30.4849077,11.84911741,407.5797598,40.00269254,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,611.2978895,493.6808682,117.6170213,12.166663,12.166663,1786.204364,183.1194546,521.002531,0,123.1072819,6.393679891,5.455296152,27308.91961,0.08114758,0,0,531914.8936,500000,8.11E-08,0.000297147,0.573835647,0,0,3.584818326,1.078419789,92.72826869,0,33.32550843,66.67449157,89.27349071,10.72650929,0,2741333.333,2447283.958,294049.3746,2.90E-10,0,35.72408729,21.97433455,57.69842184,117.46963,3.528592496,120.9982225,0.000120998,5.270673111,17.64311873,107.8520124,143.9363883
cost,Y2050,S1,769.935959,769.935959,0.059659795,52.38459092,329.1299058,168.6458542,13.03486781,1.89E-11,68.7063092,0,33.58955823,1.372880442,0.000185741,31.44611514,12.33413505,440.8060531,64.62891863,235.2340426,0,0,6.05,26.367,10.79,73.40276596,769.935959,534.7019164,235.2340426,24.333326,24.333326,3989.855076,156.8360951,1143.336731,0,128.1464085,6.393679891,5.455296152,59659.79494,0.298847002,0,0,1063829.787,0,2.99E-07,0.000500919,1.253614123,0,0,3.777316424,1.122562539,89.08189661,0,42.74769895,57.25230105,95.59586557,4.404134426,0,5718356.517,5466512.409,251844.108,6.72E-10,0,79.79710151,18.82033141,98.61743293,262.3925956,3.022129296,265.4147249,0.000265415,3.464862291,17.92443423,138.0066646,206.7129738
cost,Y2050,S2,670.8000842,670.8000842,0.042790997,52.50657712,249.8597802,119.7428255,11.50707169,9.33E-12,48.85482207,0,25.19216867,1.14513782,0.000136204,31.20509839,12.21251991,420.9403039,49.06320307,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,670.8000842,494.3745523,176.4255319,18.2499945,18.2499945,2832.8981,138.4535859,812.9895673,0,126.882879,6.393679891,5.455296152,42790.99666,0.193621152,0,0,797872.3404,250000,1.94E-07,0.000452481,0.899155349,0,0,3.744756108,1.11149402,89.96899504,0,37.24802458,62.75197542,94.58229139,5.417708612,0,4103688.046,3881362.185,222325.8607,3.32E-10,0,56.657962,16.6144303,73.2723923,186.3053849,2.667910328,188.9732952,0.000188973,3.898135768,17.58352381,117.9502925,166.8051146
cost,Y2050,S3,578.4683095,578.4683095,0.027308947,52.72045843,176.2769756,74.98613022,9.937049441,-1.60E-11,30.64782265,0,16.79477911,0.917395197,8.47E-05,30.92335825,12.07035607,402.1913339,34.61426663,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,578.4683095,460.8512882,117.6170213,12.166663,12.166663,1774.035855,119.5630101,510.0082042,0,125.4058574,6.393679891,5.455296152,27308.94684,0.10838216,0,0,531914.8936,500000,1.08E-07,0.000396874,0.573835647,0,0,3.680977625,1.09855531,91.02864376,0,30.47305665,69.52694335,92.6793447,7.320655298,0,2622603.618,2430611.848,191991.7707,-5.70E-10,0,35.48071711,14.34756121,49.82827831,116.6693687,2.303901249,118.9732699,0.000118973,4.77356477,17.23745316,99.71320392,130.3610266
